5147_32135_000000_000000	PART V.	PART five	true	30.105	31.095	14
5147_32135_000001_000000	THE COLONIES OF ATLANTIS.	THE COLONIES OF ATLANTIS.	true	31.095	32.64	13
5147_32135_000002_000000	CHAPTER I.	CHAPTER one	true	32.64	33.76	19.516539
5147_32135_000003_000000	THE CENTRAL AMERICAN AND MEXICAN COLONIES.	THE CENTRAL AMERICAN AND MEXICAN COLONIES.	true	33.86	36.97	20.268484
5147_32135_000004_000000	The western shores of Atlantis were not far distant from the West India Islands; a people possessed of ships could readily pass from island to island until they reached the continent.	The western shores of Atlantis were not far distant from the West India Islands; a people possessed of ships could readily pass from island to island until they reached the continent.	true	37.67	47.26	15
5147_32135_000004_000001	Columbus found the natives making such voyages in open canoes.	Columbus found the natives making such voyages in open canoes.	true	47.69	51.22	14
5147_32135_000004_000002	If, then, we will suppose that there was no original connection between the inhabitants of the main-land and of Atlantis, the commercial activity of the Atlanteans would soon reveal to them the shores of the Gulf.	If, then, we will suppose that there was no original connection between the inhabitants of the main land and of Atlantis, the commercial activity of the Atlanteans would soon reveal to them the shores of the Gulf.	true	51.83	62.41	13
5147_32135_000004_000003	Commerce implies the plantation of colonies; the trading-post is always the nucleus of a settlement; we have seen this illustrated in modern times in the case of the English East India Company and the Hudson Bay Company.	Commerce implies the plantation of colonies; the trading post is always the nucleus of a settlement; we have seen this illustrated in modern times in the case of the English East India Company and the Hudson Bay Company.	true	63.71	75.16	17
5147_32135_000004_000004	We can therefore readily believe that commercial intercourse between Atlantis and Yucatan, Honduras and Mexico, created colonies along the shores of the Gulf which gradually spread into the interior, and to the high table-lands of Mexico.	We can therefore readily believe that commercial intercourse between Atlantis and Yucatan, Honduras and Mexico, created colonies along the shores of the Gulf which gradually spread into the interior, and to the high table lands of Mexico.	true	75.8	89.86	17
5147_32135_000004_000005	And, accordingly, we find, as I have already shown, that all the traditions of Central America and Mexico point to some country in the East, and beyond the sea, as the source of their first civilized people; and this region, known among them as "Aztlan," lived in the memory of the people as a beautiful and happy land, where their ancestors had dwelt in peace for many generations.	And, accordingly, we find, as I have already shown, that all the traditions of Central America and Mexico point to some country in the East, and beyond the sea, as the source of their first civilized people; and this region, known among them as "Aztlan," lived in the memory of the people as a beautiful and happy land, where their ancestors had dwelt in peace for many generations.	true	90.8	112.36	17
5147_32135_000005_000000	Dr. Le Plongeon, who spent four years exploring Yucatan, says:	dr Le Plongeon, who spent four years exploring Yucatan, says:	true	113.99	118.15	15
5147_32135_000006_000000	"One-third of this tongue (the Maya) is pure Greek.	"One third of this tongue (the Maya) is pure Greek.	true	118.82	122.41	18.690668
5147_32135_000006_000001	Who brought the dialect of Homer to America? or who took to Greece that of the Mayas? Greek is the offspring of the Sanscrit.	Who brought the dialect of Homer to America? or who took to Greece that of the Mayas? Greek is the offspring of the Sanscrit.	true	122.72	130.725	20.774132
5147_32135_000006_000002	Is Maya? or are they coeval?... The Maya is not devoid of words from the Assyrian."	Is Maya? or are they coeval?... The Maya is not devoid of words from the Assyrian."	true	130.725	137.2	18.567417
5147_32135_000007_000000	That the population of Central America (and in this term I include Mexico) was at one time very dense, and had attained to a high degree of civilization, higher even than that of Europe in the time of Columbus, there can be no question; and it is also probable, as I have shown, that they originally belonged to the white race.	That the population of Central America (and in this term I include Mexico) was at one time very dense, and had attained to a high degree of civilization, higher even than that of Europe in the time of Columbus, there can be no question; and it is also probable, as I have shown, that they originally belonged to the white race.	true	139.19	158.04	19
5147_32135_000007_000001	Desire Charnay, who is now exploring the ruins of Central America, says (North American Review, January, 1881, p. 48), "The Toltecs were fair, robust, and bearded.	Desire Charnay, who is now exploring the ruins of Central America, says (North American Review, January, eighteen eighty one, p. forty eight), "The Toltecs were fair, robust, and bearded.	false	158.04	170.92	18.978832
5147_32135_000007_000002	I have often seen Indians of pure blood with blue eyes." Quetzalcoatl was represented as large, "with a big head and a heavy beard." The same author speaks (page 44) of "the ocean of ruins all around, not inferior in size to those of Egypt." At Teotihuacan he measured one building two thousand feet wide on each side, and fifteen pyramids, each nearly as large in the base as Cheops.	I have often seen Indians of pure blood with blue eyes." Quetzalcoatl was represented as large, "with a big head and a heavy beard." The same author speaks (page forty four) of "the ocean of ruins all around, not inferior in size to those of Egypt." At Teotihuacan he measured one building two thousand feet wide on each side, and fifteen pyramids, each nearly as large in the base as Cheops.	false	171.14	196.81	19.275415
5147_32135_000007_000003	"The city is indeed of vast extent ... the whole ground, over a space of five or six miles in diameter, is covered with heaps of ruins--ruins which at first make no impression, so complete is their dilapidation." He asserts the great antiquity of these ruins, because he found the very highways of the ancient city to be composed of broken bricks and pottery, the debris left by earlier populations.	"The city is indeed of vast extent ... the whole ground, over a space of five or six miles in diameter, is covered with heaps of ruins-ruins which at first make no impression, so complete is their dilapidation." He asserts the great antiquity of these ruins, because he found the very highways of the ancient city to be composed of broken bricks and pottery, the debris left by earlier populations.	true	197.3	219.19	16
5147_32135_000007_000004	"This continent," he says (page 43), "is the land of mysteries; we here enter an infinity whose limits we cannot estimate.... I shall soon have to quit work in this place.	"This continent," he says (page forty three), "is the land of mysteries; we here enter an infinity whose limits we cannot estimate.... I shall soon have to quit work in this place.	true	220.13	229.57	17
5147_32135_000007_000005	The long avenue on which it stands is lined with ruins of public buildings and palaces, forming continuous lines, as in the streets of modern cities.	The long avenue on which it stands is lined with ruins of public buildings and palaces, forming continuous lines, as in the streets of modern cities.	true	229.7	237.46	13
5147_32135_000007_000006	Still, all these edifices and halls were as nothing compared with the vast substructures which strengthened their foundations."	Still, all these edifices and halls were as nothing compared with the vast substructures which strengthened their foundations."	false	237.95	244.66	14
5147_32135_000008_000000	We find the strongest resemblances to the works of the ancient European races: the masonry is similar; the cement is the same; the sculptures are alike; both peoples used the arch; in both continents we find bricks, glassware, and even porcelain (North American Review, December, 1880, pp. 524, 525), "with blue figures on a white ground;" also bronze composed of the same elements of copper and tin in like proportions; coins made of copper, round and T-shaped, and even metallic candlesticks.	We find the strongest resemblances to the works of the ancient European races: the masonry is similar; the cement is the same; the sculptures are alike; both peoples used the arch; in both continents we find bricks, glassware, and even porcelain (North American Review, December, eighteen eighty, p p. five hundred twenty four, five hundred twenty five), "with blue figures on a white ground;" also bronze composed of the same elements of copper and tin in like proportions; coins made of copper, round and T shaped, and even metallic candlesticks.	false	245.42	281.23	20.079388
5147_32135_000009_000000	Desire Charnay believes that he has found in the ruins of Tula the bones of swine, sheep, oxen, and horses, in a fossil state, indicating an immense antiquity.	Desire Charnay believes that he has found in the ruins of Tula the bones of swine, sheep, oxen, and horses, in a fossil state, indicating an immense antiquity.	false	282.44	292.39	17
5147_32135_000009_000001	The Toltecs possessed a pure and simple religion, like that of Atlantis, as described by Plato, with the same sacrifices of fruits and flowers; they were farmers; they raised and wove cotton; they cultivated fruits; they used the sign of the Cross extensively; they cut and engraved precious stones; among their carvings have been found representations of the elephant and the lion, both animals not known in America.	The Toltecs possessed a pure and simple religion, like that of Atlantis, as described by Plato, with the same sacrifices of fruits and flowers; they were farmers; they raised and wove cotton; they cultivated fruits; they used the sign of the Cross extensively; they cut and engraved precious stones; among their carvings have been found representations of the elephant and the lion, both animals not known in America.	true	292.97	316.03	19
5147_32135_000009_000002	The forms of sepulture were the same as among the ancient races of the Old World; they burnt the bodies of their great men, and enclosed the dust in funeral urns; some of their dead were buried in a sitting position, others reclined at full length, and many were embalmed like the Egyptian mummies.	The forms of sepulture were the same as among the ancient races of the Old World; they burnt the bodies of their great men, and enclosed the dust in funeral urns; some of their dead were buried in a sitting position, others reclined at full length, and many were embalmed like the Egyptian mummies.	true	316.88	334.06	17
5147_32135_000010_000000	When we turn to Mexico, the same resemblances present themselves.	When we turn to Mexico, the same resemblances present themselves.	true	335.54	338.95	17
5147_32135_000011_000000	The government was an elective monarchy, like that of Poland, the king being selected from the royal family by the votes of the nobles of the kingdom.	The government was an elective monarchy, like that of Poland, the king being selected from the royal family by the votes of the nobles of the kingdom.	true	339.68	347.05	15
5147_32135_000011_000001	There was a royal family, an aristocracy, a privileged priesthood, a judiciary, and a common people.	There was a royal family, an aristocracy, a privileged priesthood, a judiciary, and a common people.	true	347.36	354.13	18.7999
5147_32135_000011_000002	Here we have all the several estates into which society in Europe is divided.	Here we have all the several estates into which society in Europe is divided.	true	354.32	358.21	17
5147_32135_000012_000000	There were thirty grand nobles in the kingdom, and the vastness of the realm may be judged by the fact that each of these could muster one hundred thousand vassals from their own estates, or a total of three millions.	There were thirty grand nobles in the kingdom, and the vastness of the realm may be judged by the fact that each of these could muster one hundred thousand vassals from their own estates, or a total of three millions.	true	359.48	370.24	12
5147_32135_000012_000001	And we have only to read of the vast hordes brought into the field against Cortez to know that this was not an exaggeration.	And we have only to read of the vast hordes brought into the field against Cortez to know that this was not an exaggeration.	true	370.28	375.91	13
5147_32135_000013_000000	They even possessed that which has been considered the crowning feature of European society, the feudal system.	They even possessed that which has been considered the crowning feature of European society, the feudal system.	true	376.73	382.57	17
5147_32135_000013_000001	The nobles held their lands upon the tenure of military service.	The nobles held their lands upon the tenure of military service.	true	382.91	386.2	15
5147_32135_000014_000000	But the most striking feature was the organization of the judiciary.	But the most striking feature was the organization of the judiciary.	true	386.51	390.46	17
5147_32135_000014_000001	The judges were independent even of the king, and held their offices for life.	The judges were independent even of the king, and held their offices for life.	true	391.43	395.5	15
5147_32135_000014_000002	There were supreme judges for the larger divisions of the kingdom, district judges in each of the provinces, and magistrates chosen by the people throughout the country.	There were supreme judges for the larger divisions of the kingdom, district judges in each of the provinces, and magistrates chosen by the people throughout the country.	true	395.72	405.31	18.35334
5147_32135_000015_000000	There was also a general legislative assembly, congress, or parliament, held every eighty days, presided over by the king, consisting of all the judges of the realm, to which the last appeal lay	There was also a general legislative assembly, congress, or parliament, held every eighty days, presided over by the king, consisting of all the judges of the realm, to which the last appeal lay	true	405.77	416.98	18
5147_32135_000016_000000	"The rites of marriage," says Prescott, "were celebrated with as much formality as in any Christian country; and the institution was held in such reverence that a tribunal was instituted for the sole purpose of determining questions relating to it.	"The rites of marriage," says Prescott, "were celebrated with as much formality as in any Christian country; and the institution was held in such reverence that a tribunal was instituted for the sole purpose of determining questions relating to it.	true	418.46	431.38	16
5147_32135_000016_000001	Divorces could not be obtained until authorized by a sentence of the court, after a patient hearing of the parties."	Divorces could not be obtained until authorized by a sentence of the court, after a patient hearing of the parties."	true	431.48	437.08	15
5147_32135_000017_000000	Slavery was tolerated, but the labors of the slave were light, his rights carefully guarded, and his children were free.	Slavery was tolerated, but the labors of the slave were light, his rights carefully guarded, and his children were free.	true	437.36	443.71	17
5147_32135_000017_000001	The slave could own property, and even other slaves.	The slave could own property, and even other slaves.	true	444.35	447.07	16
5147_32135_000018_000000	Their religion possessed so many features similar to those of the Old World, that the Spanish priests declared the devil had given them a bogus imitation of Christianity to destroy their souls.	Their religion possessed so many features similar to those of the Old World, that the Spanish priests declared the devil had given them a bogus imitation of Christianity to destroy their souls.	false	448.4	458.44	15
5147_32135_000018_000001	"The devil," said they, "stole all he could."	"The devil," said they, "stole all he could."	true	458.51	461.23	19.881468
5147_32135_000019_000000	They had confessions, absolution of sins, and baptism.	They had confessions, absolution of sins, and baptism.	true	461.42	464.865	17.624432
5147_32135_000019_000001	When their children were named, they sprinkled their lips and bosoms with water, and "the Lord was implored to permit the holy drops to wash away the sin that was given it before the foundation of the world."	When their children were named, they sprinkled their lips and bosoms with water, and "the Lord was implored to permit the holy drops to wash away the sin that was given it before the foundation of the world."	true	464.865	474.79	16
5147_32135_000020_000000	The priests were numerous and powerful.	The priests were numerous and powerful.	true	475.01	476.925	18
5147_32135_000020_000001	They practised fasts, vigils, flagellations, and many of them lived in monastic seclusion.	They practised fasts, vigils, flagellations, and many of them lived in monastic seclusion.	false	476.925	481.99	15
5147_32135_000021_000000	The Aztecs, like the Egyptians, had progressed through all the three different modes of writing--the picture-writing, the symbolical, and the phonetic.	The Aztecs, like the Egyptians, had progressed through all the three different modes of writing-the picture writing, the symbolical, and the phonetic.	false	482.6	489.97	17
5147_32135_000021_000001	They recorded all their laws, their tribute-rolls specifying the various imposts, their mythology, astronomical calendars, and rituals, their political annals and their chronology.	They recorded all their laws, their tribute rolls specifying the various imposts, their mythology, astronomical calendars, and rituals, their political annals and their chronology.	true	490.43	501.67	17
5147_32135_000021_000002	They wrote on cotton-cloth, on skins prepared like parchment, on a composition of silk and gum, and on a species of paper, soft and beautiful, made from the aloe.	They wrote on cotton cloth, on skins prepared like parchment, on a composition of silk and gum, and on a species of paper, soft and beautiful, made from the aloe.	true	502.13	511.6	21
5147_32135_000021_000003	Their books were about the size and shape of our own, but the leaves were long strips folded together in many folds.	Their books were about the size and shape of our own, but the leaves were long strips folded together in many folds.	true	512.27	517.99	14
5147_32135_000022_000000	They wrote poetry and cultivated oratory, and paid much attention to rhetoric.	They wrote poetry and cultivated oratory, and paid much attention to rhetoric.	true	519.05	523.305	17
5147_32135_000022_000001	They also had a species of theatrical performances.	They also had a species of theatrical performances.	true	523.305	525.73	17
5147_32135_000023_000000	Their proficiency in astronomy is thus spoken of by Prescott:	Their proficiency in astronomy is thus spoken of by Prescott:	true	526.28	529.93	17.321917
