8119_115687_000000_000000	The message ended with a repetition of the warning to other airmen to avoid the valley.	The message ended with a repetition of the warning to other airmen to avoid the valley.	false	2.22	22.95	21.65815
8119_115687_000001_000000	CHAPTER VII	CHAPTER seven	true	22.95	24.1	22.44335
8119_115687_000002_000000	Incredible Treason	Incredible Treason	true	24.47	26.5	24.590471
8119_115687_000003_000000	After receiving this report, and reassurances of support from the Big Bosses of the neighboring Gangs, Hart determined to reestablish the Wyoming Valley community.	After receiving this report, and reassurances of support from the Big Bosses of the neighboring Gangs, Hart determined to reestablish the Wyoming Valley community.	true	28.16	38.26	19
8119_115687_000004_000000	A careful survey of the territory showed that it was only the northern sections and slopes that had been "beamed" by the first Han ship.	A careful survey of the territory showed that it was only the northern sections and slopes that had been "beamed" by the first Han ship.	true	38.9	46.63	18.312334
8119_115687_000005_000000	The synthetic-fabrics plant had been partially wiped out, though the lower levels underground had not been reached by the dis ray.	The synthetic fabrics plant had been partially wiped out, though the lower levels underground had not been reached by the dis ray.	true	47.15	54.1	21.229546
8119_115687_000005_000001	The forest screen above it, however, had been annihilated, and it was determined to abandon it, after removing all usable machinery and evidences of the processes that might be of interest to the Han scientists, should they return to the valley in the future.	The forest screen above it, however, had been annihilated, and it was determined to abandon it, after removing all usable machinery and evidences of the processes that might be of interest to the Han scientists, should they return to the valley in the future.	true	54.5	69.67	19.938007
8119_115687_000006_000000	The ammunition plant, and the rocket-ship plant, which had just been about to start operation at the time of the raid, were intact, as were the other important plants.	The ammunition plant, and the rocket ship plant, which had just been about to start operation at the time of the raid, were intact, as were the other important plants.	true	69.86	79.51	23.9555
8119_115687_000007_000000	Hart brought the Camboss up from the Susquanna Works, and laid out new camp locations, scattering them farther to the south, and avoiding ground which had been seared by the Han beams and the immediate locations of the Han wrecks.	Hart brought the Camboss up from the Susquanna Works, and laid out new camp locations, scattering them farther to the south, and avoiding ground which had been seared by the Han beams and the immediate locations of the Han wrecks.	false	79.88	94.03	21
8119_115687_000008_000000	During this period, a sharp check was kept upon Han messages, for the phone plant had been one of the first to be put in operation, and when it became evident that the Hans did not intend any immediate reprisals, the entire membership of the community was summoned back, and normal life was resumed.	During this period, a sharp check was kept upon Han messages, for the phone plant had been one of the first to be put in operation, and when it became evident that the Hans did not intend any immediate reprisals, the entire membership of the community was summoned back, and normal life was resumed.	true	95.27	114.55	23.496742
8119_115687_000009_000000	Wilma and I had been married the day after the destruction of the ships, and spent this intervening period in a delightful honeymoon, camping high in the mountains.	Wilma and I had been married the day after the destruction of the ships, and spent this intervening period in a delightful honeymoon, camping high in the mountains.	true	114.56	125.59	19.584162
