8119_115687_000001_000000	CHAPTER VII	CHAPTER seven
8119_115687_000002_000000	Incredible Treason	Incredible Treason
8119_115687_000005_000000	The synthetic-fabrics plant had been partially wiped out, though the lower levels underground had not been reached by the dis ray.	The synthetic fabrics plant had been partially wiped out, though the lower levels underground had not been reached by the dis ray.
8119_115687_000006_000000	The ammunition plant, and the rocket-ship plant, which had just been about to start operation at the time of the raid, were intact, as were the other important plants.	The ammunition plant, and the rocket ship plant, which had just been about to start operation at the time of the raid, were intact, as were the other important plants.
8119_115687_000008_000000	During this period, a sharp check was kept upon Han messages, for the phone plant had been one of the first to be put in operation, and when it became evident that the Hans did not intend any immediate reprisals, the entire membership of the community was summoned back, and normal life was resumed.	During this period, a sharp check was kept upon Han messages, for the phone plant had been one of the first to be put in operation, and when it became evident that the Hans did not intend any immediate reprisals, the entire membership of the community was summoned back, and normal life was resumed.
8119_115687_000009_000001	On our return, we had a camp of our own, of course.	On our return, we had a camp of our own, of course.
8119_115687_000009_000002	We were assigned to location 1017.	We were assigned to location ten seventeen.
8119_115687_000009_000003	And as might be expected, we had a great deal of banter over which one of us was Camp Boss.	And as might be expected, we had a great deal of banter over which one of us was Camp Boss.
8119_115687_000010_000000	I found myself a full-fledged member of the Gang now, for I had elected to search no farther for a permanent alliance, much as I would have liked to familiarize myself with this 25th Century life in other sections of the country.	I found myself a full fledged member of the Gang now, for I had elected to search no farther for a permanent alliance, much as I would have liked to familiarize myself with this twenty fifth Century life in other sections of the country.
8119_115687_000010_000001	The Wyomings had a high morale, and had prospered under the rule of Big Boss Hart for many years.	The Wyomings had a high morale, and had prospered under the rule of Big Boss Hart for many years.
8119_115687_000010_000002	But many of the gangs, I found, were badly organized, lacked strong hands in authority, and were rife with intrigue.	But many of the gangs, I found, were badly organized, lacked strong hands in authority, and were rife with intrigue.
8119_115687_000010_000003	On the whole, I thought I would be wise to stay with a group which had already proved its friendliness, and in which I seemed to have prospects of advancement.	On the whole, I thought I would be wise to stay with a group which had already proved its friendliness, and in which I seemed to have prospects of advancement.
8119_115687_000010_000004	Under these modern social and economic conditions, the kind of individual freedom to which I had been accustomed in the 20th Century was impossible.	Under these modern social and economic conditions, the kind of individual freedom to which I had been accustomed in the twentieth Century was impossible.
8119_115687_000011_000000	This entire modern life, it appeared to me, judging from my ancient viewpoint, was organized along what I called "political" lines.	This entire modern life, it appeared to me, judging from my ancient viewpoint, was organized along what I called "political" lines.
8119_115687_000013_000000	As society was organized in the 20th Century, I do not believe the system could have worked in anything but politics.	As society was organized in the twentieth Century, I do not believe the system could have worked in anything but politics.
8119_115687_000014_000000	But owing to the centuries of desperate suffering the people had endured at the hands of the Hans, there developed a spirit of self-sacrifice and consideration for the common good that made the scheme applicable and efficient in all forms of human co-operation.	But owing to the centuries of desperate suffering the people had endured at the hands of the Hans, there developed a spirit of self sacrifice and consideration for the common good that made the scheme applicable and efficient in all forms of human co-operation.
8119_115687_000016_000002	The eternal cycle seems to be at work.	The eternal cycle seems to be at work.
8119_115687_000017_000000	All this, however, is wandering afar from my story, which concerns our early battles against the Hans, and not our more modern problems of self-control.	All this, however, is wandering afar from my story, which concerns our early battles against the Hans, and not our more modern problems of self control.
8119_115687_000018_000000	Our victory over the seven Han ships had set the country ablaze.	Our victory over the seven Han ships had set the country ablaze.
8119_115687_000018_000002	There was feverish activity in the ammunition plants, and the hunting of stray Han ships became an enthusiastic sport.	There was feverish activity in the ammunition plants, and the hunting of stray Han ships became an enthusiastic sport.
8119_115687_000019_000000	From the Pacific Coast came the report of a great transpacific liner of 75,000 tons "lift" being brought to earth from a position of invisibility above the clouds.	From the Pacific Coast came the report of a great transpacific liner of seventy five thousand tons "lift" being brought to earth from a position of invisibility above the clouds.
8119_115687_000019_000001	A dozen Sacramentos had caught the hazy outlines of its rep rays approaching them, head-on, in the twilight, like ghostly pillars reaching into the sky.	A dozen Sacramentos had caught the hazy outlines of its rep rays approaching them, head on, in the twilight, like ghostly pillars reaching into the sky.
8119_115687_000019_000003	They got one rep ray. The other was not strong enough to hold it up.	They got one rep ray. The other was not strong enough to hold it up.
8119_115687_000019_000004	It floated to earth, nose down, and since it was unarmed and unarmored, they had no difficulty in shooting it to pieces and massacring its crew and passengers.	It floated to earth, nose down, and since it was unarmed and unarmored, they had no difficulty in shooting it to pieces and massacring its crew and passengers.
8119_115687_000019_000005	It seemed barbarous to me.	It seemed barbarous to me.
8119_115687_000020_000001	The Sand-snipers, practically invisible in their sand-colored clothing, and half buried along the beaches, lay in wait for days, risking the play of dis beams along the route, and finally registering four hits within a week.	The Sand snipers, practically invisible in their sand colored clothing, and half buried along the beaches, lay in wait for days, risking the play of dis beams along the route, and finally registering four hits within a week.
8119_115687_000022_000000	"Tony," he said, "There are two things I want to talk to you about.	"Tony," he said, "There are two things I want to talk to you about.
8119_115687_000022_000001	One of them will become public property in a few days, I think.	One of them will become public property in a few days, I think.
8119_115687_000022_000004	They're putting armor of great thickness in the hulls of their ships below the rep-ray machines.	They're putting armor of great thickness in the hulls of their ships below the rep ray machines.
8119_115687_000022_000007	As near as we can gather from their reports, their laboratories have developed a new alloy of great tensile strength and elasticity which nevertheless lets the rep rays through like a sieve.	As near as we can gather from their reports, their laboratories have developed a new alloy of great tensile strength and elasticity which nevertheless lets the rep rays through like a sieve.
8119_115687_000022_000008	Our reports indicate that the Eries' rockets bounced off harmlessly.	Our reports indicate that the Eries' rockets bounced off harmlessly.
8119_115687_000023_000003	I have been made Superboss of the Mid-Atlantic Zone.	I have been made Superboss of the Mid Atlantic Zone.
8119_115687_000024_000002	I'm thinking of developing a permanent field force, along the lines of the regular armies of the 20th Century you told me about.	I'm thinking of developing a permanent field force, along the lines of the regular armies of the twentieth Century you told me about.
8119_115687_000025_000002	You know, a hundred and fifteen or twenty years ago there were certain of these people's ancestors who actually degraded themselves by mating with the Hans, sometimes even serving them as slaves, in the days before they brought all their service machinery to perfection.	You know, a hundred and fifteen or twenty years ago there were certain of these people's ancestors who actually degraded themselves by mating with the Hans, sometimes even serving them as slaves, in the days before they brought all their service machinery to perfection.
8119_115687_000026_000001	But I hardly suspect the Pineys. There is little intelligence among them.	But I hardly suspect the Pineys. There is little intelligence among them.
8119_115687_000026_000002	They wouldn't have the information to give the Hans, nor would they be capable of imparting it. They're absolute savages."	They wouldn't have the information to give the Hans, nor would they be capable of imparting it. They're absolute savages."
8119_115687_000027_000000	"Just what evidence is there that anybody has been clearing information to the Hans?" I asked.	"Just what evidence is there that anybody has been clearing information to the Hans?" I asked.
8119_115687_000028_000000	"Well," he replied, "first of all there was that raid upon us.	"Well," he replied, "first of all there was that raid upon us.
8119_115687_000028_000001	That first Han ship knew the location of our plants exactly.	That first Han ship knew the location of our plants exactly.
8119_115687_000028_000003	Then, the Hans quite obviously have learned that we are picking up their electrophone waves, for they've gone back to their old, but extremely accurate, system of directional control.	Then, the Hans quite obviously have learned that we are picking up their electrophone waves, for they've gone back to their old, but extremely accurate, system of directional control.
8119_115687_000028_000006	But they've been beaming those paths so hard, it looks as though they even had information of this strategy.	But they've been beaming those paths so hard, it looks as though they even had information of this strategy.
8119_115687_000028_000008	Finally, we've picked up three of their messages in which they discuss, with some nervousness, the existence of our 'mysterious' ultrophone."	Finally, we've picked up three of their messages in which they discuss, with some nervousness, the existence of our 'mysterious' ultrophone."
8119_115687_000031_000000	"Then it's quite clear," I ventured, "that whoever is 'clearing' us to them is doing it piecemeal.	"Then it's quite clear," I ventured, "that whoever is 'clearing' us to them is doing it piecemeal.
8119_115687_000031_000001	It sounds like a bit of occasional barter, rather than an out-and-out alliance.	It sounds like a bit of occasional barter, rather than an out and out alliance.
8119_115687_000032_000001	The trick would be to locate the goods.	The trick would be to locate the goods.
