1571_138486_000000_000001	The two bills had a common origin, and, to a great extent, a common object.	The two bills had a common origin, and, to a great extent, a common object.
1571_138486_000000_000002	They were framed at the same time, and laid aside at the same time: they sank together into oblivion; and they were, after the lapse of several years, again brought together before the world.	They were framed at the same time, and laid aside at the same time: they sank together into oblivion; and they were, after the lapse of several years, again brought together before the world.
1571_138486_000000_000003	Both were laid by the same peer on the table of the Upper House; and both were referred to the same select committee.	Both were laid by the same peer on the table of the Upper House; and both were referred to the same select committee.
1571_138486_000000_000004	But it soon began to appear that they would have widely different fates. The Comprehension Bill was indeed a neater specimen of legislative workmanship than the Toleration Bill, but was not, like the Toleration Bill, adapted to the wants, the feelings, and the prejudices of the existing generation.	But it soon began to appear that they would have widely different fates. The Comprehension Bill was indeed a neater specimen of legislative workmanship than the Toleration Bill, but was not, like the Toleration Bill, adapted to the wants, the feelings, and the prejudices of the existing generation.
1571_138486_000000_000005	Accordingly, while the Toleration Bill found support in all quarters, the Comprehension Bill was attacked from all quarters, and was at last coldly and languidly defended even by those who had introduced it.	Accordingly, while the Toleration Bill found support in all quarters, the Comprehension Bill was attacked from all quarters, and was at last coldly and languidly defended even by those who had introduced it.
1571_138486_000000_000006	About the same time at which the Toleration bill became law with the general concurrence of public men, the Comprehension Bill was, with a concurrence not less general, suffered to drop.	About the same time at which the Toleration bill became law with the general concurrence of public men, the Comprehension Bill was, with a concurrence not less general, suffered to drop.
1571_138486_000000_000008	The Comprehension Bill is forgotten.	The Comprehension Bill is forgotten.
1571_138486_000000_000009	No collector of antiquities has thought it worth preserving.	No collector of antiquities has thought it worth preserving.
1571_138486_000000_000011	It is a fortunate circumstance that, in this copy, almost the whole history of the Bill can be read.	It is a fortunate circumstance that, in this copy, almost the whole history of the Bill can be read.
1571_138486_000000_000012	In spite of cancellations and interlineations, the original words can easily be distinguished from those which were inserted in the committee or on the report.	In spite of cancellations and interlineations, the original words can easily be distinguished from those which were inserted in the committee or on the report.
1571_138486_000001_000000	The first clause, as it stood when the bill was introduced, dispensed all the ministers of the Established Church from the necessity of subscribing the Thirty-nine Articles.	The first clause, as it stood when the bill was introduced, dispensed all the ministers of the Established Church from the necessity of subscribing the Thirty nine Articles.
