1365_134825_000000_000000	At that moment there was a movement just beside the President; a voice was heard crying:--	At that moment there was a movement just beside the President; a voice was heard crying:--	false	0	5.07	18.25699
1365_134825_000001_000000	"Brevet!	"Brevet!	false	5.07	5.28	6
1365_134825_000001_000001	Chenildieu!	Chenildieu!	false	5.28	5.49	8
1365_134825_000001_000002	Cochepaille! look here!"	Cochepaille! look here!"	false	5.49	6.12	16
1365_134825_000002_000000	All who heard that voice were chilled, so lamentable and terrible was it; all eyes were turned to the point whence it had proceeded.	All who heard that voice were chilled, so lamentable and terrible was it; all eyes were turned to the point whence it had proceeded.	false	6.12	9.87	17.196304
1365_134825_000002_000001	A man, placed among the privileged spectators who were seated behind the court, had just risen, had pushed open the half-door which separated the tribunal from the audience, and was standing in the middle of the hall; the President, the district-attorney, M. Bamatabois, twenty persons, recognized him, and exclaimed in concert:--	A man, placed among the privileged spectators who were seated behind the court, had just risen, had pushed open the half door which separated the tribunal from the audience, and was standing in the middle of the hall; the President, the district attorney, m Bamatabois, twenty persons, recognized him, and exclaimed in concert:--	false	9.87	24	18.709059
1365_134825_000003_000000	"M.	"M.	false	24	24.09	-20
1365_134825_000003_000001	Madeleine!"	Madeleine!"	false	24.09	24.21	-20
1365_134825_000004_000000	CHAPTER XI--CHAMPMATHIEU MORE AND MORE ASTONISHED	CHAPTER eleven-c h a m p m a t h i e u MORE AND MORE ASTONISHED	false	24.21	30.16	16.816902
1365_134825_000005_000000	It was he, in fact.	It was he, in fact.	true	31.64	33.375	19.02024
1365_134825_000005_000001	The clerk's lamp illumined his countenance.	The clerk's lamp illumined his countenance.	true	33.375	35.83	14
1365_134825_000005_000002	He held his hat in his hand; there was no disorder in his clothing; his coat was carefully buttoned; he was very pale, and he trembled slightly; his hair, which had still been gray on his arrival in Arras, was now entirely white: it had turned white during the hour he had sat there.	He held his hat in his hand; there was no disorder in his clothing; his coat was carefully buttoned; he was very pale, and he trembled slightly; his hair, which had still been gray on his arrival in Arras, was now entirely white: it had turned white during the hour he had sat there.	true	36.08	53.77	16
1365_134825_000006_000000	All heads were raised: the sensation was indescribable; there was a momentary hesitation in the audience, the voice had been so heart-rending; the man who stood there appeared so calm that they did not understand at first.	All heads were raised: the sensation was indescribable; there was a momentary hesitation in the audience, the voice had been so heart rending; the man who stood there appeared so calm that they did not understand at first.	true	54.5	68.08	17.042973
1365_134825_000006_000001	They asked themselves whether he had indeed uttered that cry; they could not believe that that tranquil man had been the one to give that terrible outcry.	They asked themselves whether he had indeed uttered that cry; they could not believe that that tranquil man had been the one to give that terrible outcry.	true	68.09	76.6	18
1365_134825_000007_000000	This indecision only lasted a few seconds.	This indecision only lasted a few seconds.	true	77.3	80.11	16
1365_134825_000007_000001	Even before the President and the district-attorney could utter a word, before the ushers and the gendarmes could make a gesture, the man whom all still called, at that moment, M. Madeleine, had advanced towards the witnesses Cochepaille, Brevet, and Chenildieu.	Even before the President and the district attorney could utter a word, before the ushers and the gendarmes could make a gesture, the man whom all still called, at that moment, m Madeleine, had advanced towards the witnesses Cochepaille, Brevet, and Chenildieu.	false	80.87	98.28	20.425518
1365_134825_000008_000000	"Do you not recognize me?" said he.	"Do you not recognize me?" said he.	true	98.28	100.63	12
1365_134825_000009_000000	All three remained speechless, and indicated by a sign of the head that they did not know him.	All three remained speechless, and indicated by a sign of the head that they did not know him.	true	101.36	106.63	9
1365_134825_000009_000001	Cochepaille, who was intimidated, made a military salute.	Cochepaille, who was intimidated, made a military salute.	true	107.09	110.97	17
1365_134825_000009_000002	M. Madeleine turned towards the jury and the court, and said in a gentle voice:--	M. Madeleine turned towards the jury and the court, and said in a gentle voice:--	false	110.97	115.75	10
1365_134825_000010_000000	"Gentlemen of the jury, order the prisoner to be released!	"Gentlemen of the jury, order the prisoner to be released!	true	116.3	119.74	21.84438
1365_134825_000010_000001	Mr. President, have me arrested.	mr President, have me arrested.	true	119.87	122.14	17.298668
1365_134825_000010_000002	He is not the man whom you are in search of; it is I: I am Jean Valjean."	He is not the man whom you are in search of; it is I: I am Jean Valjean."	false	122.18	129.36	18.738338
