7802_104391_000000_000000	There they came to a high gray stone wall, blocking their way, and stood still.	There they came to a high gray stone wall, blocking their way, and stood still.	false	2.76	7.59	19
7802_104391_000001_000000	"You must climb," said Wild Star.	"You must climb," said Wild Star.	false	7.59	18.18	20
7802_104391_000001_000001	"She is in there."	"She is in there."	false	18.18	20.07	20
7802_104391_000002_000000	CHAPTER X	CHAPTER ten	true	20.07	21.49	16
7802_104391_000003_000000	ON THE GRAY WALL	ON THE GRAY WALL	true	22.19	23.89	18
7802_104391_000004_000000	It was a very high wall that hid their mother, and at first glance it seemed impossible that they could ever climb it.	It was a very high wall that hid their mother, and at first glance it seemed impossible that they could ever climb it.	true	24.23	29.71	18
7802_104391_000004_000001	But Ivra did not stop to wonder.	But Ivra did not stop to wonder.	true	29.75	31.8	23.281803
7802_104391_000004_000002	She ran up and down, hunting for a foothold.	She ran up and down, hunting for a foothold.	true	31.8	35.08	19
7802_104391_000004_000003	At last she reached the end of the wall and disappeared around the corner.	At last she reached the end of the wall and disappeared around the corner.	true	35.27	39.58	19.299232
7802_104391_000004_000004	Eric and the Wind Creatures followed.	Eric and the Wind Creatures followed.	true	40.07	42.88	22.590036
7802_104391_000004_000005	When they came up to her she had already found a place where the stones were laid a bit unevenly, one on the other, and was half way to the top, clinging with toes and fingers.	When they came up to her she had already found a place where the stones were laid a bit unevenly, one on the other, and was half way to the top, clinging with toes and fingers.	true	43.01	52.57	16
7802_104391_000005_000000	"Bravo!" cried the Wind Creatures.	"Bravo!" cried the Wind Creatures.	true	52.82	55.51	11
7802_104391_000005_000001	Eric went up after her, often slipping back and bruising and scratching his hands and knees, but as resolute as his playmate.	Eric went up after her, often slipping back and bruising and scratching his hands and knees, but as resolute as his playmate.	false	55.61	63.34	18
7802_104391_000005_000002	At last they gained the top.	At last they gained the top.	true	63.68	66.075	18.648996
7802_104391_000005_000003	The Wind Creatures had flown up and were waiting for them there, sitting cross-legged with their purple wings folded down their backs.	The Wind Creatures had flown up and were waiting for them there, sitting cross legged with their purple wings folded down their backs.	false	66.075	72.85	16
7802_104391_000006_000000	The wall enclosed the garden of a very rich family.	The wall enclosed the garden of a very rich family.	true	73.85	77.32	18.578884
7802_104391_000006_000001	It was a formal garden with straight walks, trellises, fountains, benches and neat flower beds laid out in squares and circles, now piled high with blossoming snow.	It was a formal garden with straight walks, trellises, fountains, benches and neat flower beds laid out in squares and circles, now piled high with blossoming snow.	true	77.96	88.45	17
7802_104391_000007_000000	Just as the children reached the top of the wall, the door into the garden from the stern gray mansion behind it opened and through it came three people.	Just as the children reached the top of the wall, the door into the garden from the stern gray mansion behind it opened and through it came three people.	true	89.09	98.23	19
7802_104391_000007_000001	First was a very tall lady all wrapped up in furs,--tails and heads of the poor animals that had been slain to make them hanging from her shoulders and down her back.	First was a very tall lady all wrapped up in furs,--tails and heads of the poor animals that had been slain to make them hanging from her shoulders and down her back.	true	98.24	107.98	18
7802_104391_000007_000002	Even the children could see that her face was sour in spite of all its smiling.	Even the children could see that her face was sour in spite of all its smiling.	true	108.2	112.65	14
7802_104391_000007_000003	Then came a young man in a stiff, funny hat, carrying a cane, beating up the snow flowers with it as he passed the flower beds.	Then came a young man in a stiff, funny hat, carrying a cane, beating up the snow flowers with it as he passed the flower beds.	true	112.65	121.9	20.730581
7802_104391_000007_000004	And behind them walked--Helma, with her gaze on the ground.	And behind them walked-Helma, with her gaze on the ground.	true	122.3	126.82	22.351063
7802_104391_000007_000005	That is why they did not know her at first, that and her very strange clothes.	That is why they did not know her at first, that and her very strange clothes.	true	127.67	132.79	20
7802_104391_000007_000006	She was dressed all in velvet and fur, and her arms up to her elbows were hidden in a huge white muff.	She was dressed all in velvet and fur, and her arms up to her elbows were hidden in a huge white muff.	true	133.31	140.92	16
7802_104391_000007_000007	She swayed as she walked on weird little high heels and the toes of her boots drew out to long points, almost like a goblin's.	She swayed as she walked on weird little high heels and the toes of her boots drew out to long points, almost like a goblin's.	true	141.2	148.78	15
7802_104391_000007_000008	Her hat was a velvet affair, so awkward and heavy it seemed to weigh down her head, and her candleflame hair was smothered under it.	Her hat was a velvet affair, so awkward and heavy it seemed to weigh down her head, and her candleflame hair was smothered under it.	true	149.09	157.99	19
7802_104391_000007_000009	Is it any wonder that they did not know her like that!	Is it any wonder that they did not know her like that!	true	158.24	161.08	18
7802_104391_000008_000000	But when she walked close under the wall and they heard her voice they knew her, and the Wind Creatures had to hold Ivra from jumping down and throwing herself into her arms.	But when she walked close under the wall and they heard her voice they knew her, and the Wind Creatures had to hold Ivra from jumping down and throwing herself into her arms.	true	161.9	172.57	19
7802_104391_000008_000001	"Wait," they whispered.	"Wait," they whispered.	true	172.67	174.52	16
7802_104391_000009_000000	From their high place on the wall they could look down on the heads of the three people, and hear all they were saying.	From their high place on the wall they could look down on the heads of the three people, and hear all they were saying.	true	174.8	180.43	17
7802_104391_000009_000001	They had never learned that it is not fair to listen that way.	They had never learned that it is not fair to listen that way.	true	180.89	184.15	16
7802_104391_000010_000000	From all Helma said they could plainly see she was a prisoner.	From all Helma said they could plainly see she was a prisoner.	true	184.79	189.28	19.997389
7802_104391_000010_000001	She was pleading with the old woman.	She was pleading with the old woman.	true	190.31	192.46	16
7802_104391_000010_000002	She was saying, "No, never, never, never, in a thousand days and years will I ever be happy here.	She was saying, "No, never, never, never, in a thousand days and years will I ever be happy here.	true	192.56	199.45	20
7802_104391_000010_000003	My place is in the forest.	My place is in the forest.	true	199.61	201.58	16.278805
