8725_294551_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
8725_294551_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
8725_294551_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.
8725_294551_000011_000000	INTRODUCTORY	INTRODUCTORY
8725_294551_000012_000002	3.	three.
8725_294551_000013_000000	The word 'character' occurs only once in the New Testament, and that is in the passage in the prologue of the Epistle to the Hebrews, where the original word is translated 'express image' in our version.	The word 'character' occurs only once in the New Testament, and that is in the passage in the prologue of the Epistle to the hebrews, where the original word is translated 'express image' in our version.
8725_294551_000013_000003	The only-begotten Son, who is in the bosom of the Father, He hath declared Him.	The only begotten Son, who is in the bosom of the Father, He hath declared Him.
8725_294551_000013_000005	The Son is thus the Father's character stamped upon and set forth in human nature.	The Son is thus the Father's character stamped upon and set forth in human nature.
8725_294551_000013_000006	The Word was made flesh.	The Word was made flesh.
8725_294551_000013_000007	This is the highest and best use to which our so expressive word 'character' has ever been put, and the use to which it is put when we speak of Bunyan's Characters partakes of the same high sense and usage.	This is the highest and best use to which our so expressive word 'character' has ever been put, and the use to which it is put when we speak of Bunyan's Characters partakes of the same high sense and usage.
8725_294551_000013_000008	For it is of the outstanding good or evil in a man that we think when we speak of his character.	For it is of the outstanding good or evil in a man that we think when we speak of his character.
8725_294551_000013_000009	It is really either of his likeness or unlikeness to Jesus Christ we speak, and then, through Him, his likeness or unlikeness to God Himself.	It is really either of his likeness or unlikeness to Jesus Christ we speak, and then, through Him, his likeness or unlikeness to God Himself.
8725_294551_000013_000010	And thus it is that the adjective 'moral' usually accompanies our word 'character'--moral or immoral.	And thus it is that the adjective 'moral' usually accompanies our word 'character'--moral or immoral.
8725_294551_000013_000011	A man's character does not have its seat or source in his body; character is not a physical thing: not even in his mind; it is not an intellectual thing.	A man's character does not have its seat or source in his body; character is not a physical thing: not even in his mind; it is not an intellectual thing.
8725_294551_000013_000012	Character comes up out of the will and out of the heart.	Character comes up out of the will and out of the heart.
8725_294551_000013_000014	There are more clever people than good people; character,--high, spotless, saintly character,--is a far rarer thing in this world than talent or even genius.	There are more clever people than good people; character,--high, spotless, saintly character,--is a far rarer thing in this world than talent or even genius.
