2137_131748_000000_000000	XV.	fifteen.	false	2.34	8.76	21.645311
2137_131748_000000_000001	KINETOGRAPH AND PROJECTING KINETOSCOPE	k i n e t o g r a p h AND PROJECTING KINETOSCOPE	false	8.76	35.26	22.474174
2137_131748_000001_000000	ALTHOUGH many of the arts in which Edison has been a pioneer have been enriched by his numerous inventions and patents, which were subsequent to those of a fundamental nature, the (so-called) motion-picture art is an exception, as the following, together with three other additional patents [30] comprise all that he has taken out on this subject: United States Patent No. 589,168, issued August 31, 1897, reissued in two parts--namely, No. 12,037, under date of September 30,1902, and No. 12,192, under date of January 12, 1904.	ALTHOUGH many of the arts in which Edison has been a pioneer have been enriched by his numerous inventions and patents, which were subsequent to those of a fundamental nature, the (so-called) motion picture art is an exception, as the following, together with three other additional patents [thirty] comprise all that he has taken out on this subject: United States Patent no five hundred eighty nine thousand one hundred sixty eight, issued august thirty first eighteen ninety seven, reissued in two parts-namely, no twelve thousand thirty seven, under date of september thirtieth,nineteen o two, and no twelve thousand one hundred ninety two, under date of january twelfth nineteen o four.	false	37.16	79.18	21.541216
2137_131748_000001_000001	Application filed August 24, 1891.	Application filed august twenty fourth eighteen ninety one.	true	79.82	83.2	22.749594
2137_131748_000002_000000	[Footnote 30: Not 491,993, issued February 21, 1893; No. 493,426, issued March 14, 1893; No. 772,647, issued October 18, 1904.]	[Footnote thirty: Not four hundred ninety one thousand nine hundred ninety three, issued february twenty first eighteen ninety three; no four hundred ninety three thousand four hundred twenty six, issued march fourteenth eighteen ninety three; no seven hundred seventy two thousand six hundred forty seven, issued october eighteenth nineteen o four.]	false	84.74	105.31	23.707901
2137_131748_000003_000000	There is nothing surprising in this, however, as the possibility of photographing and reproducing actual scenes of animate life are so thoroughly exemplified and rendered practicable by the apparatus and methods disclosed in the patents above cited, that these basic inventions in themselves practically constitute the art--its development proceeding mainly along the line of manufacturing details.	There is nothing surprising in this, however, as the possibility of photographing and reproducing actual scenes of animate life are so thoroughly exemplified and rendered practicable by the apparatus and methods disclosed in the patents above cited, that these basic inventions in themselves practically constitute the art-its development proceeding mainly along the line of manufacturing details.	true	107.21	128.86	22.07583
2137_131748_000003_000001	That such a view of his work is correct, the highest criterion--commercial expediency--bears witness; for in spite of the fact that the courts have somewhat narrowed the broad claims of Edison's patents by reason of the investigations of earlier experimenters, practically all the immense amount of commercial work that is done in the motion-picture field to-day is accomplished through the use of apparatus and methods licensed under the Edison patents.	That such a view of his work is correct, the highest criterion-commercial expediency-bears witness; for in spite of the fact that the courts have somewhat narrowed the broad claims of Edison's patents by reason of the investigations of earlier experimenters, practically all the immense amount of commercial work that is done in the motion picture field to day is accomplished through the use of apparatus and methods licensed under the Edison patents.	false	130.28	154.21	21.836004
2137_131748_000004_000000	The philosophy of this invention having already been described in Chapter XXI, it will be unnecessary to repeat it here.	The philosophy of this invention having already been described in Chapter twenty one, it will be unnecessary to repeat it here.	true	155.45	162.01	19.760073
2137_131748_000004_000001	Suffice it to say by way of reminder that it is founded upon the physiological phenomenon known as the persistence of vision, through which a series of sequential photographic pictures of animate motion projected upon a screen in rapid succession will reproduce to the eye all the appearance of the original movements.	Suffice it to say by way of reminder that it is founded upon the physiological phenomenon known as the persistence of vision, through which a series of sequential photographic pictures of animate motion projected upon a screen in rapid succession will reproduce to the eye all the appearance of the original movements.	false	163.01	179.92	25.151184
2137_131748_000005_000000	Edison's work in this direction comprised the invention not only of a special form of camera for making original photographic exposures from a single point of view with very great rapidity, and of a machine adapted to effect the reproduction of such pictures in somewhat similar manner but also of the conception and invention of a continuous uniform, and evenly spaced tape-like film, so absolutely essential for both the above objects.	Edison's work in this direction comprised the invention not only of a special form of camera for making original photographic exposures from a single point of view with very great rapidity, and of a machine adapted to effect the reproduction of such pictures in somewhat similar manner but also of the conception and invention of a continuous uniform, and evenly spaced tape like film, so absolutely essential for both the above objects.	false	181.07	205.78	22.63767
2137_131748_000006_000000	The mechanism of such a camera, as now used, consists of many parts assembled in such contiguous proximity to each other that an illustration from an actual machine would not help to clearness of explanation to the general reader.	The mechanism of such a camera, as now used, consists of many parts assembled in such contiguous proximity to each other that an illustration from an actual machine would not help to clearness of explanation to the general reader.	true	207.29	220	23.710028
