7314_77782_000004_000000	XVII	seventeen
7314_77782_000005_000000	SUGGESTION TO CHRISTMAS SHOPPERS	SUGGESTION TO CHRISTMAS SHOPPERS
7314_77782_000006_000000	"By Jingo!" said the Idiot, as he wearily took his place at the breakfast-table the other morning, "but I'm just regularly tuckered out."	"By Jingo!" said the Idiot, as he wearily took his place at the breakfast table the other morning, "but I'm just regularly tuckered out."
7314_77782_000008_000000	"Not a late hour," returned the Idiot.	"Not a late hour," returned the Idiot.
7314_77782_000008_000001	"Matter of fact, I went to bed last night at half-after seven and never waked until nine this morning. In spite of all that sleep and rest I feel now as if I'd been put through a threshing-machine.	"Matter of fact, I went to bed last night at half after seven and never waked until nine this morning. In spite of all that sleep and rest I feel now as if I'd been put through a threshing machine.
7314_77782_000008_000002	Every bone in my body from the funny to the medulla aches like all possessed, and my joints creak like a new pair of shoes on a school-boy in church, they are so stiff."	Every bone in my body from the funny to the medulla aches like all possessed, and my joints creak like a new pair of shoes on a school boy in church, they are so stiff."
7314_77782_000009_000000	"Oh well," said the Doctor, "what of it?	"Oh well," said the Doctor, "what of it?
7314_77782_000009_000001	The pace that kills is bound to have some symptoms preliminary to dissolution.	The pace that kills is bound to have some symptoms preliminary to dissolution.
7314_77782_000009_000002	If you, like other young men of the age, burn the candle at both ends and in the middle, what can you expect?	If you, like other young men of the age, burn the candle at both ends and in the middle, what can you expect?
7314_77782_000009_000003	You push nature into a corner and then growl like all possessed because she rebels."	You push nature into a corner and then growl like all possessed because she rebels."
7314_77782_000010_000000	"Not I," retorted the Idiot.	"Not I," retorted the Idiot.
7314_77782_000010_000001	"Mr. Pedagog and the Poet and Mr. Bib may lead the strenuous life, but as for mine the simple life is the thing. I'm not striving after the unattainable.	"mr Pedagog and the Poet and mr Bib may lead the strenuous life, but as for mine the simple life is the thing. I'm not striving after the unattainable.
7314_77782_000010_000003	The cold and clammy touch of dissipation is not writing letters of burning condemnation proceedings on my brow. Excesses in any form are utterly unknown to me, and from one end of the Subway to the other you won't find another man of my age who in general takes better care of himself.	The cold and clammy touch of dissipation is not writing letters of burning condemnation proceedings on my brow. Excesses in any form are utterly unknown to me, and from one end of the Subway to the other you won't find another man of my age who in general takes better care of himself.
7314_77782_000010_000005	No mother could watch over her offspring more tenderly than I watch over me, and--"	No mother could watch over her offspring more tenderly than I watch over me, and-"
7314_77782_000011_000000	"Well, then, what in thunder is the matter with you?" cried the Lawyer, irritated.	"Well, then, what in thunder is the matter with you?" cried the Lawyer, irritated.
7314_77782_000011_000001	"If this is all true, why on earth are you proclaiming yourself as a physical wreck?	"If this is all true, why on earth are you proclaiming yourself as a physical wreck?
7314_77782_000011_000002	There must be some cause for your condition."	There must be some cause for your condition."
7314_77782_000012_000001	"I went Christmas shopping yesterday without having previously trained for it, and this is the result.	"I went Christmas shopping yesterday without having previously trained for it, and this is the result.
7314_77782_000012_000002	I sometimes wonder, Doctor, that you gentlemen, who have the public health more or less in your hands, don't take the initiative and stave off nervous prostration and other ills attendant upon a run-down physical condition instead of waiting for a fully developed case and trying to cure it after the fact.	I sometimes wonder, Doctor, that you gentlemen, who have the public health more or less in your hands, don't take the initiative and stave off nervous prostration and other ills attendant upon a run down physical condition instead of waiting for a fully developed case and trying to cure it after the fact.
7314_77782_000013_000001	"I'm not afraid to tackle almost any kind of fever known to medical science, but the shopping-fever--well, it is incurable.	"I'm not afraid to tackle almost any kind of fever known to medical science, but the shopping fever-well, it is incurable.
7314_77782_000013_000003	I grant you that it is as much of a disease as scarlet, typhoid, or any other, but the mind has not yet been discovered that can find a remedy for it short of abject poverty, and even that has been known to fail."	I grant you that it is as much of a disease as scarlet, typhoid, or any other, but the mind has not yet been discovered that can find a remedy for it short of abject poverty, and even that has been known to fail."
7314_77782_000014_000001	There are lots of diseases that our forefathers used to regard as necessarily fatal that nowadays we look upon as mere trifles, because people can be put physically into such a condition that they are practically immune to their ravages."	There are lots of diseases that our forefathers used to regard as necessarily fatal that nowadays we look upon as mere trifles, because people can be put physically into such a condition that they are practically immune to their ravages."
7314_77782_000015_000000	"Maybe so--but if people will shop they are going to be knocked out by it.	"Maybe so-but if people will shop they are going to be knocked out by it.
7314_77782_000016_000000	"Nonsense, Doctor.	"Nonsense, Doctor.
7314_77782_000016_000002	"A college president might as well say that boys will play football, and that there's nothing they can do to stave off the inevitable consequences of playing the game to one who isn't prepared for it.	"A college president might as well say that boys will play football, and that there's nothing they can do to stave off the inevitable consequences of playing the game to one who isn't prepared for it.
7314_77782_000016_000003	You know as well as anybody else that from November 15th to December 24th every year an epidemic of shopping is going to break out in our midst.	You know as well as anybody else that from november fifteenth to december twenty fourth every year an epidemic of shopping is going to break out in our midst.
7314_77782_000016_000005	You know that the men and women in your care, unless they have properly trained for the exigencies of the epidemic period, will be prostrated physically and nervously, racked in bone and body, aching from tip to toe, their energy exhausted and their spines as limp as a rag, and yet you claim you can do nothing.	You know that the men and women in your care, unless they have properly trained for the exigencies of the epidemic period, will be prostrated physically and nervously, racked in bone and body, aching from tip to toe, their energy exhausted and their spines as limp as a rag, and yet you claim you can do nothing.
7314_77782_000016_000006	What would we think of a football trainer who would try thus to account for the condition of his eleven at the end of a season?	What would we think of a football trainer who would try thus to account for the condition of his eleven at the end of a season?
7314_77782_000016_000007	We'd bounce him, that's what."	We'd bounce him, that's what."
7314_77782_000017_000000	"Perhaps that gigantic intellect of yours has something to suggest," sneered the Doctor.	"Perhaps that gigantic intellect of yours has something to suggest," sneered the Doctor.
7314_77782_000018_000000	"Certainly," quoth the Idiot.	"Certainly," quoth the Idiot.
7314_77782_000019_000000	"To eradicate the shopping evil?" laughed the Doctor.	"To eradicate the shopping evil?" laughed the Doctor.
7314_77782_000020_000000	"Nay, nay," retorted the Idiot.	"Nay, nay," retorted the Idiot.
7314_77782_000020_000001	"The shopping inebriate is too much of a factor in our commercial prosperity to make such a thing as that popular.	"The shopping inebriate is too much of a factor in our commercial prosperity to make such a thing as that popular.
7314_77782_000021_000000	"A what?" roared the Doctor.	"A what?" roared the Doctor.
7314_77782_000022_000002	Why not have a shopnasium in which to teach what we might call shopnastics?	Why not have a shopnasium in which to teach what we might call shopnastics?
7314_77782_000023_000000	"Very nice," said the Doctor.	"Very nice," said the Doctor.
7314_77782_000023_000001	"But how on earth can you train them? That's what I'd like to know."	"But how on earth can you train them? That's what I'd like to know."
7314_77782_000024_000000	"How?	"How?
7314_77782_000024_000001	Why, how on earth do you train a football team except by practice?" demanded the Idiot.	Why, how on earth do you train a football team except by practice?" demanded the Idiot.
7314_77782_000024_000003	Take a couple of bargain-counters for the goals.	Take a couple of bargain counters for the goals.
7314_77782_000024_000004	Place one at one end of the shopnasium and one at the other.	Place one at one end of the shopnasium and one at the other.
7314_77782_000025_000000	"The women couldn't stand it," said the Doctor.	"The women couldn't stand it," said the Doctor.
7314_77782_000025_000001	"They might as well be knocked out at the real thing as in the imitation."	"They might as well be knocked out at the real thing as in the imitation."
7314_77782_000026_000001	"They wouldn't be knocked out if you gave them preliminary individual exercise with punching-bags, dummies for tackle practice, and other things the football player uses to make himself tough and irresistible."	"They wouldn't be knocked out if you gave them preliminary individual exercise with punching bags, dummies for tackle practice, and other things the football player uses to make himself tough and irresistible."
7314_77782_000027_000001	"Think of the glory of winning a goal which sustains the football player through the toughest of fights.	"Think of the glory of winning a goal which sustains the football player through the toughest of fights.
7314_77782_000027_000002	The knowledge that the nation will ring with its plaudits of his gallant achievement is half the backing of your quarter-back."	The knowledge that the nation will ring with its plaudits of his gallant achievement is half the backing of your quarter back."
7314_77782_000028_000000	"That's all right," said the Idiot, "but the make-up of the average woman is such that what pursuit of fame does for the gladiator, the chase after a bargain does for a woman.	"That's all right," said the Idiot, "but the make-up of the average woman is such that what pursuit of fame does for the gladiator, the chase after a bargain does for a woman.
7314_77782_000028_000001	I have known women so worn and weary that they couldn't get up for breakfast who had a lion's strength an hour later at a Monday marked-down sale of laundry soap and Yeats's poems.	I have known women so worn and weary that they couldn't get up for breakfast who had a lion's strength an hour later at a Monday marked down sale of laundry soap and Yeats's poems.
7314_77782_000028_000002	What the goal is to the man the bargain is to the woman, so on the question of incentive to action, Mr. Brief, the sexes are about even.	What the goal is to the man the bargain is to the woman, so on the question of incentive to action, mr Brief, the sexes are about even.
7314_77782_000028_000003	I really think, Doctor, there's a chance here for you and me to make a fortune.	I really think, Doctor, there's a chance here for you and me to make a fortune.
7314_77782_000028_000004	Dr. Capsule's Shopnasium, opened every September for the training and development of expert shoppers in all branches of shopnastics, under the medical direction of yourself and my business management would be a winner.	dr Capsule's Shopnasium, opened every September for the training and development of expert shoppers in all branches of shopnastics, under the medical direction of yourself and my business management would be a winner.
7314_77782_000028_000005	Moreover, it would furnish a business opening for all those football players our colleges are turning out, for, as our institution grew and we established branches of it all over the country, we should, of course, have to have managers in every city, and who better to teach all these things than the expert footballist of the hour?"	Moreover, it would furnish a business opening for all those football players our colleges are turning out, for, as our institution grew and we established branches of it all over the country, we should, of course, have to have managers in every city, and who better to teach all these things than the expert footballist of the hour?"
7314_77782_000029_000000	"Oh, well," said the Doctor, "perhaps it isn't such a bad thing, after all; but I don't think I care to go into it.	"Oh, well," said the Doctor, "perhaps it isn't such a bad thing, after all; but I don't think I care to go into it.
7314_77782_000030_000000	"Very well," said the Idiot.	"Very well," said the Idiot.
7314_77782_000030_000001	"That being the case, I will modify my suggestion somewhat and send the idea to President Taylor of Vassar and other heads of women's colleges.	"That being the case, I will modify my suggestion somewhat and send the idea to President Taylor of Vassar and other heads of women's colleges.
7314_77782_000030_000003	That is the only way I can see for us to build up a woman of the future who will be able to cope with the strenuous life that is involved to-day in the purchase of a cake of soap to send to one's grandmother at Christmas.	That is the only way I can see for us to build up a woman of the future who will be able to cope with the strenuous life that is involved to day in the purchase of a cake of soap to send to one's grandmother at Christmas.
