3368_170951_000000_000000	Adeimantus thought that the enquiry would be of great service to us.	Adeimantus thought that the enquiry would be of great service to us.	false	6.15	10.38	22.865196
3368_170951_000001_000000	Then, I said, my dear friend, the task must not be given up, even if somewhat long.	Then, I said, my dear friend, the task must not be given up, even if somewhat long.	false	10.38	20.91	25.52262
3368_170951_000002_000000	Certainly not.	Certainly not.	false	20.91	23.46	26.077524
3368_170951_000003_000000	Come then, and let us pass a leisure hour in story-telling, and our story shall be the education of our heroes.	Come then, and let us pass a leisure hour in story telling, and our story shall be the education of our heroes.	false	23.46	29.28	23
3368_170951_000004_000000	By all means.	By all means.	true	29.28	30.315	19.571815
3368_170951_000005_000000	And what shall be their education?	And what shall be their education?	true	30.315	31.93	22.8214
3368_170951_000005_000001	Can we find a better than the traditional sort?--and this has two divisions, gymnastic for the body, and music for the soul.	Can we find a better than the traditional sort?--and this has two divisions, gymnastic for the body, and music for the soul.	true	31.97	38.865	21.444466
3368_170951_000006_000000	True.	True.	true	38.865	39.52	27.08383
3368_170951_000007_000000	Shall we begin education with music, and go on to gymnastic afterwards?	Shall we begin education with music, and go on to gymnastic afterwards?	true	39.77	43.725	21
3368_170951_000008_000000	By all means.	By all means.	true	43.725	44.77	23.405426
3368_170951_000009_000000	And when you speak of music, do you include literature or not?	And when you speak of music, do you include literature or not?	true	44.81	48.045	24
3368_170951_000010_000000	I do.	I do.	true	48.045	48.735	24.817932
3368_170951_000011_000000	And literature may be either true or false?	And literature may be either true or false?	true	48.735	51.435	24
3368_170951_000012_000000	Yes.	Yes.	true	51.435	52.06	27.075262
3368_170951_000013_000000	And the young should be trained in both kinds, and we begin with the false?	And the young should be trained in both kinds, and we begin with the false?	false	52.37	55.78	24.206553
3368_170951_000014_000000	I do not understand your meaning, he said.	I do not understand your meaning, he said.	true	56.03	58.24	22.234516
3368_170951_000015_000000	You know, I said, that we begin by telling children stories which, though not wholly destitute of truth, are in the main fictitious; and these stories are told them when they are not of an age to learn gymnastics.	You know, I said, that we begin by telling children stories which, though not wholly destitute of truth, are in the main fictitious; and these stories are told them when they are not of an age to learn gymnastics.	false	58.67	69.79	22.512558
3368_170951_000016_000000	Very true.	Very true.	true	69.98	70.93	26.890146
3368_170951_000017_000000	That was my meaning when I said that we must teach music before gymnastics.	That was my meaning when I said that we must teach music before gymnastics.	true	71.3	74.86	21.23047
3368_170951_000018_000000	Quite right, he said.	Quite right, he said.	true	75.2	76.51	24.451456
3368_170951_000019_000000	You know also that the beginning is the most important part of any work, especially in the case of a young and tender thing; for that is the time at which the character is being formed and the desired impression is more readily taken.	You know also that the beginning is the most important part of any work, especially in the case of a young and tender thing; for that is the time at which the character is being formed and the desired impression is more readily taken.	false	77.09	88.69	21.925333
3368_170951_000020_000000	Quite true.	Quite true.	true	88.79	89.86	27.399618
