1914_133440_000000_000000	'Then came troublesome doubts.	'Then came troublesome doubts.	false	0	1.2	19.305193
1914_133440_000000_000001	Why had the Morlocks taken my Time Machine?	Why had the Morlocks taken my Time Machine?	false	1.2	2.79	16
1914_133440_000000_000002	For I felt sure it was they who had taken it.	For I felt sure it was they who had taken it.	false	2.79	3.36	17
1914_133440_000000_000003	Why, too, if the Eloi were masters, could they not restore the machine to me?	Why, too, if the Eloi were masters, could they not restore the machine to me?	false	3.36	4.14	9
1914_133440_000000_000004	And why were they so terribly afraid of the dark?	And why were they so terribly afraid of the dark?	false	4.14	4.68	18.144827
1914_133440_000000_000005	I proceeded, as I have said, to question Weena about this Under-world, but here again I was disappointed.	I proceeded, as I have said, to question Weena about this Under world, but here again I was disappointed.	false	4.68	6.42	17.209826
1914_133440_000000_000006	At first she would not understand my questions, and presently she refused to answer them.	At first she would not understand my questions, and presently she refused to answer them.	false	6.42	8.28	21.621563
1914_133440_000000_000007	She shivered as though the topic was unendurable.	She shivered as though the topic was unendurable.	false	8.28	9.27	14
1914_133440_000000_000008	And when I pressed her, perhaps a little harshly, she burst into tears.	And when I pressed her, perhaps a little harshly, she burst into tears.	false	9.27	10.2	22
1914_133440_000000_000009	They were the only tears, except my own, I ever saw in that Golden Age.	They were the only tears, except my own, I ever saw in that Golden Age.	false	10.2	11.22	19.89121
1914_133440_000000_000010	When I saw them I ceased abruptly to trouble about the Morlocks, and was only concerned in banishing these signs of the human inheritance from Weena's eyes. And very soon she was smiling and clapping her hands, while I solemnly burned a match.	When I saw them I ceased abruptly to trouble about the Morlocks, and was only concerned in banishing these signs of the human inheritance from Weena's eyes. And very soon she was smiling and clapping her hands, while I solemnly burned a match.	false	11.22	26.19	20.677122
1914_133440_000001_000000	VI	VI	false	26.19	26.76	-20
1914_133440_000002_000000	'It may seem odd to you, but it was two days before I could follow up the new-found clue in what was manifestly the proper way.	'It may seem odd to you, but it was two days before I could follow up the new found clue in what was manifestly the proper way.	true	26.76	33.94	14
1914_133440_000002_000001	I felt a peculiar shrinking from those pallid bodies.	I felt a peculiar shrinking from those pallid bodies.	true	34.01	37.84	20
1914_133440_000002_000002	They were just the half-bleached colour of the worms and things one sees preserved in spirit in a zoological museum.	They were just the half bleached colour of the worms and things one sees preserved in spirit in a zoological museum.	true	37.85	44.83	13
1914_133440_000002_000003	And they were filthily cold to the touch.	And they were filthily cold to the touch.	true	44.87	47.62	23
1914_133440_000002_000004	Probably my shrinking was largely due to the sympathetic influence of the Eloi, whose disgust of the Morlocks I now began to appreciate.	Probably my shrinking was largely due to the sympathetic influence of the Eloi, whose disgust of the Morlocks I now began to appreciate.	true	47.66	56.86	19
1914_133440_000003_000000	'The next night I did not sleep well.	'The next night I did not sleep well.	true	57.26	59.745	21
1914_133440_000003_000001	Probably my health was a little disordered.	Probably my health was a little disordered.	true	59.745	62.04	17.637611
1914_133440_000003_000002	I was oppressed with perplexity and doubt.	I was oppressed with perplexity and doubt.	true	62.04	64.81	23
1914_133440_000003_000003	Once or twice I had a feeling of intense fear for which I could perceive no definite reason.	Once or twice I had a feeling of intense fear for which I could perceive no definite reason.	true	64.88	70.69	21
1914_133440_000003_000004	I remember creeping noiselessly into the great hall where the little people were sleeping in the moonlight--that night Weena was among them--and feeling reassured by their presence. It occurred to me even then, that in the course of a few days the moon must pass through its last quarter, and the nights grow dark, when the appearances of these unpleasant creatures from below, these whitened Lemurs, this new vermin that had replaced the old, might be more abundant.	I remember creeping noiselessly into the great hall where the little people were sleeping in the moonlight-that night Weena was among them-and feeling reassured by their presence. It occurred to me even then, that in the course of a few days the moon must pass through its last quarter, and the nights grow dark, when the appearances of these unpleasant creatures from below, these whitened Lemurs, this new vermin that had replaced the old, might be more abundant.	false	70.76	100.53	19
1914_133440_000003_000005	And on both these days I had the restless feeling of one who shirks an inevitable duty.	And on both these days I had the restless feeling of one who shirks an inevitable duty.	false	100.53	106.51	19
1914_133440_000003_000006	I felt assured that the Time Machine was only to be recovered by boldly penetrating these underground mysteries.	I felt assured that the Time Machine was only to be recovered by boldly penetrating these underground mysteries.	true	106.79	113.8	17
