8742_245708_000004_000000	QUESTION 93	QUESTION ninety three
8742_245708_000008_000000	(2) Whether the image of God is in irrational creatures?	(two) Whether the image of God is in irrational creatures?
8742_245708_000010_000000	(4) Whether the image of God is in every man?	(four) Whether the image of God is in every man?
8742_245708_000011_000000	(5) Whether the image of God is in man by comparison with the Essence, or with all the Divine Persons, or with one of them?	(five) Whether the image of God is in man by comparison with the Essence, or with all the Divine Persons, or with one of them?
8742_245708_000012_000000	(6) Whether the image of God is in man, as to his mind only?	(six) Whether the image of God is in man, as to his mind only?
8742_245708_000018_000000	Objection 1: It would seem that the image of God is not in man.	Objection one: It would seem that the image of God is not in man.
8742_245708_000022_000001	74): "Where an image exists, there forthwith is likeness; but where there is likeness, there is not necessarily an image." Hence it is clear that likeness is essential to an image; and that an image adds something to likeness--namely, that it is copied from something else.	seventy four): "Where an image exists, there forthwith is likeness; but where there is likeness, there is not necessarily an image." Hence it is clear that likeness is essential to an image; and that an image adds something to likeness-namely, that it is copied from something else.
8742_245708_000022_000002	For an "image" is so called because it is produced as an imitation of something else; wherefore, for instance, an egg, however much like and equal to another egg, is not called an image of the other egg, because it is not copied from it.	For an "image" is so called because it is produced as an imitation of something else; wherefore, for instance, an egg, however much like and equal to another egg, is not called an image of the other egg, because it is not copied from it.
8742_245708_000023_000001	74): "Where there is an image there is not necessarily equality," as we see in a person's image reflected in a glass.	seventy four): "Where there is an image there is not necessarily equality," as we see in a person's image reflected in a glass.
8742_245708_000023_000002	Yet this is of the essence of a perfect image; for in a perfect image nothing is wanting that is to be found in that of which it is a copy.	Yet this is of the essence of a perfect image; for in a perfect image nothing is wanting that is to be found in that of which it is a copy.
8742_245708_000023_000003	Now it is manifest that in man there is some likeness to God, copied from God as from an exemplar; yet this likeness is not one of equality, for such an exemplar infinitely excels its copy. Therefore there is in man a likeness to God; not, indeed, a perfect likeness, but imperfect.	Now it is manifest that in man there is some likeness to God, copied from God as from an exemplar; yet this likeness is not one of equality, for such an exemplar infinitely excels its copy. Therefore there is in man a likeness to God; not, indeed, a perfect likeness, but imperfect.
8742_245708_000023_000004	And Scripture implies the same when it says that man was made "to" God's likeness; for the preposition "to" signifies a certain approach, as of something at a distance.	And Scripture implies the same when it says that man was made "to" God's likeness; for the preposition "to" signifies a certain approach, as of something at a distance.
8742_245708_000026_000001	Now a thing is said to be one not only numerically, specifically, or generically, but also according to a certain analogy or proportion.	Now a thing is said to be one not only numerically, specifically, or generically, but also according to a certain analogy or proportion.
8742_245708_000029_000000	Objection 1: It would seem that the image of God is to be found in irrational creatures.	Objection one: It would seem that the image of God is to be found in irrational creatures.
8742_245708_000031_000002	Therefore the whole universe is to the image of God, and not only man.	Therefore the whole universe is to the image of God, and not only man.
8742_245708_000034_000001	For instance, a worm, though from man it may originate, cannot be called man's image, merely because of the generic likeness.	For instance, a worm, though from man it may originate, cannot be called man's image, merely because of the generic likeness.
