3738_176682_000000_000000	XXXII	thirty two	false	2.31	24.765	15
3738_176682_000001_000000	All winter the cabin in Lonesome Cove slept through rain and sleet and snow, and no foot passed its threshold.	All winter the cabin in Lonesome Cove slept through rain and sleet and snow, and no foot passed its threshold.	false	24.765	32.04	13
3738_176682_000001_000001	Winter broke, floods came and warm sunshine.	Winter broke, floods came and warm sunshine.	true	32.04	35.59	16
3738_176682_000001_000002	A pale green light stole through the trees, shy, ethereal and so like a mist that it seemed at any moment on the point of floating upward.	A pale green light stole through the trees, shy, ethereal and so like a mist that it seemed at any moment on the point of floating upward.	false	35.75	44.32	13
3738_176682_000001_000003	Colour came with the wild flowers and song with the wood-thrush. Squirrels played on the tree-trunks like mischievous children, the brooks sang like happy human voices through the tremulous underworld and woodpeckers hammered out the joy of spring, but the awakening only made the desolate cabin lonelier still.	Colour came with the wild flowers and song with the wood thrush. Squirrels played on the tree trunks like mischievous children, the brooks sang like happy human voices through the tremulous underworld and woodpeckers hammered out the joy of spring, but the awakening only made the desolate cabin lonelier still.	true	44.66	63.49	13
3738_176682_000001_000004	After three warm days in March, Uncle Billy, the miller, rode up the creek with a hoe over his shoulder--he had promised this to Hale--for his labour of love in June's garden. Weeping April passed, May came with rosy face uplifted, and with the birth of June the laurel emptied its pink-flecked cups and the rhododendron blazed the way for the summer's coming with white stars.	After three warm days in March, Uncle Billy, the miller, rode up the creek with a hoe over his shoulder-he had promised this to Hale-for his labour of love in June's garden. Weeping April passed, May came with rosy face uplifted, and with the birth of June the laurel emptied its pink flecked cups and the rhododendron blazed the way for the summer's coming with white stars.	false	63.89	88.9	15
3738_176682_000002_000000	Back to the hills came Hale then, and with all their rich beauty they were as desolate as when he left them bare with winter, for his mission had miserably failed.	Back to the hills came Hale then, and with all their rich beauty they were as desolate as when he left them bare with winter, for his mission had miserably failed.	true	89.45	99.22	14
3738_176682_000002_000001	His train creaked and twisted around the benches of the mountains, and up and down ravines into the hills.	His train creaked and twisted around the benches of the mountains, and up and down ravines into the hills.	true	99.35	105.01	11
3738_176682_000002_000002	The smoke rolled in as usual through the windows and doors.	The smoke rolled in as usual through the windows and doors.	true	105.14	108.25	12
3738_176682_000002_000003	There was the same crowd of children, slatternly women and tobacco-spitting men in the dirty day-coaches, and Hale sat among them--for a Pullman was no longer attached to the train that ran to the Gap.	There was the same crowd of children, slatternly women and tobacco spitting men in the dirty day coaches, and Hale sat among them-for a Pullman was no longer attached to the train that ran to the Gap.	true	108.44	120.1	14
3738_176682_000002_000004	As he neared the bulk of Powell's mountain and ran along its mighty flank, he passed the ore-mines.	As he neared the bulk of Powell's mountain and ran along its mighty flank, he passed the ore mines.	true	120.26	126.36	13
3738_176682_000002_000005	At each one the commissary was closed, the cheap, dingy little houses stood empty on the hillsides, and every now and then he would see a tipple and an empty car, left as it was after dumping its last load of red ore.	At each one the commissary was closed, the cheap, dingy little houses stood empty on the hillsides, and every now and then he would see a tipple and an empty car, left as it was after dumping its last load of red ore.	false	126.36	140.35	13
3738_176682_000002_000006	On the right, as he approached the station, the big furnace stood like a dead giant, still and smokeless, and the piles of pig iron were red with rust.	On the right, as he approached the station, the big furnace stood like a dead giant, still and smokeless, and the piles of pig iron were red with rust.	true	140.66	151.9	16
3738_176682_000002_000007	The same little dummy wheezed him into the dead little town.	The same little dummy wheezed him into the dead little town.	true	152.27	155.83	11
3738_176682_000002_000008	Even the face of the Gap was a little changed by the gray scar that man had slashed across its mouth, getting limestone for the groaning monster of a furnace that was now at peace.	Even the face of the Gap was a little changed by the gray scar that man had slashed across its mouth, getting limestone for the groaning monster of a furnace that was now at peace.	true	156.26	166.54	12
3738_176682_000002_000009	The streets were deserted.	The streets were deserted.	true	166.91	168.52	17.070932
3738_176682_000002_000010	A new face fronted him at the desk of the hotel and the eyes of the clerk showed no knowledge of him when he wrote his name.	A new face fronted him at the desk of the hotel and the eyes of the clerk showed no knowledge of him when he wrote his name.	true	168.53	175.39	14
3738_176682_000002_000011	His supper was coarse, greasy and miserable, his room was cold (steam heat, it seemed, had been given up), the sheets were ill-smelling, the mouth of the pitcher was broken, and the one towel had seen much previous use. But the water was the same, as was the cool, pungent night-air--both blessed of God--and they were the sole comforts that were his that night.	His supper was coarse, greasy and miserable, his room was cold (steam heat, it seemed, had been given up), the sheets were ill smelling, the mouth of the pitcher was broken, and the one towel had seen much previous use. But the water was the same, as was the cool, pungent night air-both blessed of God-and they were the sole comforts that were his that night.	true	175.58	198.91	16
3738_176682_000003_000000	The next day it was as though he were arranging his own funeral, with but little hope of a resurrection.	The next day it was as though he were arranging his own funeral, with but little hope of a resurrection.	false	199.52	205.93	14
3738_176682_000003_000001	The tax-collector met him when he came downstairs--having seen his name on the register.	The tax collector met him when he came downstairs-having seen his name on the register.	true	206.15	211.48	12
3738_176682_000004_000000	"You know," he said, "I'll have to add 5 per cent. next month." Hale smiled.	"You know," he said, "I'll have to add five per cent. next month." Hale smiled.	true	211.97	217.24	17
3738_176682_000005_000000	"That won't be much more," he said, and the collector, a new one, laughed good-naturedly and with understanding turned away.	"That won't be much more," he said, and the collector, a new one, laughed good naturedly and with understanding turned away.	true	217.67	225.07	15
3738_176682_000005_000001	Mechanically he walked to the Club, but there was no club--then on to the office of The Progress--the paper that was the boast of the town.	Mechanically he walked to the Club, but there was no club-then on to the office of The Progress-the paper that was the boast of the town.	false	225.56	233.59	16
3738_176682_000005_000002	The Progress was defunct and the brilliant editor had left the hills.	The Progress was defunct and the brilliant editor had left the hills.	true	233.81	237.79	13
3738_176682_000005_000003	A boy with an ink-smeared face was setting type and a pallid gentleman with glasses was languidly working a hand-press.	A boy with an ink smeared face was setting type and a pallid gentleman with glasses was languidly working a hand press.	true	238.97	246.46	14
3738_176682_000005_000004	A pile of fresh-smelling papers lay on a table, and after a question or two he picked up one.	A pile of fresh smelling papers lay on a table, and after a question or two he picked up one.	true	246.71	252.28	16
3738_176682_000005_000005	Two of its four pages were covered with announcements of suits and sales to satisfy judgments--the printing of which was the raison d'etre of the noble sheet.	Two of its four pages were covered with announcements of suits and sales to satisfy judgments-the printing of which was the raison d'etre of the noble sheet.	true	252.53	262.48	15
3738_176682_000005_000006	Down the column his eye caught John Hale et al.	Down the column his eye caught john Hale et al.	false	262.73	265.98	15
3738_176682_000005_000007	John Hale et al., and he wondered why "the others" should be so persistently anonymous. There was a cloud of them--thicker than the smoke of coke-ovens.	john Hale et al., and he wondered why "the others" should be so persistently anonymous. There was a cloud of them-thicker than the smoke of coke ovens.	false	265.98	275.94	16
3738_176682_000005_000008	He had breathed that thickness for a long time, but he got a fresh sense of suffocation now.	He had breathed that thickness for a long time, but he got a fresh sense of suffocation now.	true	275.94	281.2	16
3738_176682_000005_000009	Toward the post-office he moved.	Toward the post office he moved.	true	281.42	283.78	17
3738_176682_000005_000010	Around the corner he came upon one of two brothers whom he remembered as carpenters.	Around the corner he came upon one of two brothers whom he remembered as carpenters.	false	283.85	288.7	11
