2499_156153_000000_000000	SNOW-BOUND.	SNOW BOUND.	true	2.55	3.73	21.316668
2499_156153_000001_000000	A WINTER IDYL.	A WINTER IDYL.	false	4.04	9.3	19.55847
2499_156153_000002_000000	TO THE MEMORY	TO THE MEMORY	false	9.3	10.83	17.891474
2499_156153_000003_000000	OF	OF	false	10.83	11.85	19.317732
2499_156153_000004_000000	THE HOUSEHOLD IT DESCRIBES,	THE HOUSEHOLD IT DESCRIBES,	false	11.85	16.56	18.50392
2499_156153_000005_000000	THIS POEM IS DEDICATED BY THE AUTHOR.	THIS POEM IS DEDICATED BY THE AUTHOR.	false	16.56	37.59	19.266281
2499_156153_000006_000000	The inmates of the family at the Whittier homestead who are referred to in the poem were my father, mother, my brother and two sisters, and my uncle and aunt both unmarried.	The inmates of the family at the Whittier homestead who are referred to in the poem were my father, mother, my brother and two sisters, and my uncle and aunt both unmarried.	false	37.59	54.49	20.06305
2499_156153_000006_000001	In addition, there was the district school-master who boarded with us.	In addition, there was the district school master who boarded with us.	true	55.28	60.49	18.59952
2499_156153_000006_000002	The "not unfeared, half-welcome guest" was Harriet Livermore, daughter of Judge Livermore, of New Hampshire, a young woman of fine natural ability, enthusiastic, eccentric, with slight control over her violent temper, which sometimes made her religious profession doubtful.	The "not unfeared, half welcome guest" was Harriet Livermore, daughter of Judge Livermore, of New Hampshire, a young woman of fine natural ability, enthusiastic, eccentric, with slight control over her violent temper, which sometimes made her religious profession doubtful.	false	61.04	83.26	19.910036
2499_156153_000006_000003	She was equally ready to exhort in school-house prayer-meetings and dance in a Washington ball-room, while her father was a member of Congress.	She was equally ready to exhort in school house prayer meetings and dance in a Washington ball room, while her father was a member of Congress.	false	84.35	94.87	19.33355
2499_156153_000006_000004	She early embraced the doctrine of the Second Advent, and felt it her duty to proclaim the Lord's speedy coming.	She early embraced the doctrine of the Second Advent, and felt it her duty to proclaim the Lord's speedy coming.	true	95.9	103.27	20.339453
