7932_93470_000000_000000	CHAPTER XVII.	CHAPTER seventeen.	false	0.6	4.02	22
7932_93470_000001_000000	RUTH POWLETT CONFESSES.	ruth p o w l e t t CONFESSES.	false	4.02	20.56	21.384048
7932_93470_000002_000000	Upon the morning after the conversation with his daughter, Mr. Armstrong had just started on his way up the village when he met Hiram Powlett.	Upon the morning after the conversation with his daughter, mr Armstrong had just started on his way up the village when he met Hiram Powlett.	true	21.68	29.26	17
7932_93470_000003_000000	"I was just coming to see you, Mr. Armstrong, if you can spare a minute."	"I was just coming to see you, mr Armstrong, if you can spare a minute."	true	29.72	33.46	18
7932_93470_000004_000000	"I can spare an hour--I can spare the whole morning, Mr. Powlett.	"I can spare an hour-I can spare the whole morning, mr Powlett.	true	33.74	37.305	22
7932_93470_000004_000001	I have ceased to be a working bee, and my time is at your disposal."	I have ceased to be a working bee, and my time is at your disposal."	true	37.305	41.11	15
7932_93470_000005_000000	"Well, I thought I would just step over and speak to you," Hiram began, in a slow, puzzled sort of a way.	"Well, I thought I would just step over and speak to you," Hiram began, in a slow, puzzled sort of a way.	true	41.69	48.28	23.706924
7932_93470_000005_000001	"You know what I was telling you the other day about my girl?"	"You know what I was telling you the other day about my girl?"	true	48.77	51.85	21.927797
7932_93470_000006_000000	"Yes; I remember very well."	"Yes; I remember very well."	true	52.28	54.43	19.723228
7932_93470_000007_000000	"You don't know, Mr. Armstrong, whether she has said anything to your daughter?"	"You don't know, mr Armstrong, whether she has said anything to your daughter?"	true	55.07	58.93	19.010157
7932_93470_000008_000000	"No; at least not so far as I have heard of.	"No; at least not so far as I have heard of.	true	59.36	62.41	18.845888
7932_93470_000008_000001	Mary said that they were talking together, and something was said about Miss Carne's murder; that your daughter turned very pale, and that she thought she was going to faint."	Mary said that they were talking together, and something was said about Miss Carne's murder; that your daughter turned very pale, and that she thought she was going to faint."	true	62.63	70.93	18
7932_93470_000009_000000	"That's it; that's it," Hiram said, stroking his chin, thoughtfully, "that murder is at the bottom of it.	"That's it; that's it," Hiram said, stroking his chin, thoughtfully, "that murder is at the bottom of it.	true	71.42	79.09	23.512375
7932_93470_000009_000001	Hesba thinks it must be that any talk about it brings the scene back to her; but it does not seem to me that that accounts for it at all, and I would give a lot to know what is on the girl's mind.	Hesba thinks it must be that any talk about it brings the scene back to her; but it does not seem to me that that accounts for it at all, and I would give a lot to know what is on the girl's mind.	false	79.49	90.67	21
7932_93470_000009_000002	She came in yesterday afternoon as white as a sheet, and fainted right off at the door.	She came in yesterday afternoon as white as a sheet, and fainted right off at the door.	true	90.95	95.83	21.725487
