5723_43296_000000_000000	Mabel got up presently and came across to her husband.	Mabel got up presently and came across to her husband.	false	0	4.44	16.65887
5723_43296_000001_000000	"My dear," she said, "you must not be downhearted.	"My dear," she said, "you must not be downhearted.	false	4.44	7.35	16.209541
5723_43296_000001_000001	It all may pass as it passed before.	It all may pass as it passed before.	false	7.35	11.19	19.39745
5723_43296_000001_000002	It is a great thing that they are listening to America at all.	It is a great thing that they are listening to America at all.	false	11.19	16.74	13
5723_43296_000001_000003	And this Mr. Felsenburgh seems to be on the right side."	And this mr Felsenburgh seems to be on the right side."	false	16.74	22.14	16.861258
5723_43296_000002_000000	Oliver took her hand and kissed it.	Oliver took her hand and kissed it.	false	22.14	25.89	17.593866
5723_43296_000003_000000	II	two	false	25.89	26.385	-2
5723_43296_000004_000000	Oliver seemed altogether depressed at breakfast, half an hour later.	Oliver seemed altogether depressed at breakfast, half an hour later.	true	26.385	29.95	17
5723_43296_000004_000001	His mother, an old lady of nearly eighty, who never appeared till noon, seemed to see it at once, for after a look or two at him and a word, she subsided into silence behind her plate.	His mother, an old lady of nearly eighty, who never appeared till noon, seemed to see it at once, for after a look or two at him and a word, she subsided into silence behind her plate.	true	30.29	41.23	13
5723_43296_000005_000000	It was a pleasant little room in which they sat, immediately behind Oliver's own, and was furnished, according to universal custom, in light green.	It was a pleasant little room in which they sat, immediately behind Oliver's own, and was furnished, according to universal custom, in light green.	true	42.47	50.98	12
5723_43296_000005_000001	Its windows looked out upon a strip of garden at the back, and the high creeper-grown wall that separated that domain from the next. The furniture, too, was of the usual sort; a sensible round table stood in the middle, with three tall arm-chairs, with the proper angles and rests, drawn up to it; and the centre of it, resting apparently on a broad round column, held the dishes.	Its windows looked out upon a strip of garden at the back, and the high creeper grown wall that separated that domain from the next. The furniture, too, was of the usual sort; a sensible round table stood in the middle, with three tall arm chairs, with the proper angles and rests, drawn up to it; and the centre of it, resting apparently on a broad round column, held the dishes.	true	51.68	74.89	15
5723_43296_000005_000002	It was thirty years now since the practice of placing the dining-room above the kitchen, and of raising and lowering the courses by hydraulic power into the centre of the dining-table, had become universal in the houses of the well-to-do.	It was thirty years now since the practice of placing the dining room above the kitchen, and of raising and lowering the courses by hydraulic power into the centre of the dining table, had become universal in the houses of the well to do.	true	75.35	88.48	11
5723_43296_000005_000003	The floor consisted entirely of the asbestos cork preparation invented in America, noiseless, clean, and pleasant to both foot and eye.	The floor consisted entirely of the asbestos cork preparation invented in America, noiseless, clean, and pleasant to both foot and eye.	true	89.12	98.65	12
5723_43296_000006_000000	Mabel broke the silence.	Mabel broke the silence.	true	99.62	101.41	18
5723_43296_000007_000000	"And your speech to-morrow?" she asked, taking up her fork.	"And your speech to morrow?" she asked, taking up her fork.	true	101.81	105.34	15
5723_43296_000008_000000	Oliver brightened a little, and began to discourse.	Oliver brightened a little, and began to discourse.	true	105.62	109.03	16.784584
5723_43296_000009_000000	It seemed that Birmingham was beginning to fret.	It seemed that Birmingham was beginning to fret.	true	109.04	112.03	15
5723_43296_000009_000001	They were crying out once more for free trade with America: European facilities were not enough, and it was Oliver's business to keep them quiet.	They were crying out once more for free trade with America: European facilities were not enough, and it was Oliver's business to keep them quiet.	true	112.19	120.01	15
5723_43296_000009_000002	It was useless, he proposed to tell them, to agitate until the Eastern business was settled: they must not bother the Government with such details just now. He was to tell them, too, that the Government was wholly on their side; that it was bound to come soon.	It was useless, he proposed to tell them, to agitate until the Eastern business was settled: they must not bother the Government with such details just now. He was to tell them, too, that the Government was wholly on their side; that it was bound to come soon.	false	120.62	136.81	17
5723_43296_000010_000000	"They are pig-headed," he added fiercely; "pig-headed and selfish; they are like children who cry for food ten minutes before dinner-time: it is bound to come if they will wait a little."	"They are pig headed," he added fiercely; "pig headed and selfish; they are like children who cry for food ten minutes before dinner time: it is bound to come if they will wait a little."	true	137.54	147.82	15
5723_43296_000011_000000	"And you will tell them so?"	"And you will tell them so?"	false	148.19	149.83	13
5723_43296_000012_000000	"That they are pig-headed?	"That they are pig headed?	true	150.5	151.845	23.482473
5723_43296_000012_000001	Certainly."	Certainly."	true	151.845	152.77	15
5723_43296_000013_000000	Mabel looked at her husband with a pleased twinkle in her eyes.	Mabel looked at her husband with a pleased twinkle in her eyes.	true	153.32	156.52	10
