667_158816_000000_000000	"Oh, Frank, dearest Frank, where should I be if it were not for you?"	"Oh, Frank, dearest Frank, where should I be if it were not for you?"	false	0	2.865	24.408398
667_158816_000001_000000	CHAPTER LXXV	CHAPTER seventy five	true	2.865	4.41	24.033455
667_158816_000002_000000	Lord George Gives His Reasons	Lord George Gives His Reasons	false	4.41	18.345	22.80941
667_158816_000003_000000	Lady Eustace did not leave the house during the Saturday and Sunday, and engaged herself exclusively with preparing for her journey.	Lady Eustace did not leave the house during the Saturday and Sunday, and engaged herself exclusively with preparing for her journey.	true	18.345	25.03	21
667_158816_000003_000001	She had no further interview with Mrs. Carbuncle, but there were messages between them, and even notes were written.	She had no further interview with mrs Carbuncle, but there were messages between them, and even notes were written.	true	25.4	31	17
667_158816_000003_000002	They resulted in nothing. Lizzie was desirous of getting back the spoons and forks, and, if possible, some of her money.	They resulted in nothing. Lizzie was desirous of getting back the spoons and forks, and, if possible, some of her money.	true	31.43	38.38	24.03633
667_158816_000003_000003	The spoons and forks were out of Mrs. Carbuncle's power,--in Albemarle Street; and the money had of course been spent.	The spoons and forks were out of mrs Carbuncle's power,--in Albemarle Street; and the money had of course been spent.	true	38.75	45.4	23.552183
667_158816_000003_000004	Lizzie might have saved herself the trouble, had it not been that it was a pleasure to her to insult her late friend, even though in doing so new insults were heaped upon her own head. As for the trumpery spoons, they,--so said Mrs. Carbuncle,--were the property of Miss Roanoke, having been made over to her unconditionally long before the wedding, as a part of a separate pecuniary transaction.	Lizzie might have saved herself the trouble, had it not been that it was a pleasure to her to insult her late friend, even though in doing so new insults were heaped upon her own head. As for the trumpery spoons, they,--so said mrs Carbuncle,--were the property of Miss Roanoke, having been made over to her unconditionally long before the wedding, as a part of a separate pecuniary transaction.	true	46.1	68.62	20.863909
667_158816_000003_000005	Mrs. Carbuncle had no power of disposing of Miss Roanoke's property.	mrs Carbuncle had no power of disposing of Miss Roanoke's property.	true	69.11	72.76	21.14253
667_158816_000003_000006	As to the money which Lady Eustace claimed, Mrs. Carbuncle asserted that, when the final accounts should be made up between them, it would be found that there was a considerable balance due to Mrs. Carbuncle.	As to the money which Lady Eustace claimed, mrs Carbuncle asserted that, when the final accounts should be made up between them, it would be found that there was a considerable balance due to mrs Carbuncle.	true	73.46	83.89	16
667_158816_000003_000007	But even were there anything due to Lady Eustace, Mrs. Carbuncle would decline to pay it, as she was informed that all moneys possessed by Lady Eustace were now confiscated to the Crown by reason of the PERJURIES,--the word was doubly scored in Mrs. Carbuncle's note,--which Lady Eustace had committed.	But even were there anything due to Lady Eustace, mrs Carbuncle would decline to pay it, as she was informed that all moneys possessed by Lady Eustace were now confiscated to the Crown by reason of the PERJURIES,--the word was doubly scored in mrs Carbuncle's note,--which Lady Eustace had committed.	true	84.44	102.79	22.215334
667_158816_000003_000008	This, of course, was unpleasant; but Mrs. Carbuncle did not have the honours of the battle all to herself.	This, of course, was unpleasant; but mrs Carbuncle did not have the honours of the battle all to herself.	true	103.16	109.3	21.620434
