667_158816_000001_000000	CHAPTER LXXV	CHAPTER seventy five
667_158816_000003_000000	Lady Eustace did not leave the house during the Saturday and Sunday, and engaged herself exclusively with preparing for her journey.	Lady Eustace did not leave the house during the Saturday and Sunday, and engaged herself exclusively with preparing for her journey.
667_158816_000003_000002	They resulted in nothing. Lizzie was desirous of getting back the spoons and forks, and, if possible, some of her money.	They resulted in nothing. Lizzie was desirous of getting back the spoons and forks, and, if possible, some of her money.
667_158816_000003_000003	The spoons and forks were out of Mrs. Carbuncle's power,--in Albemarle Street; and the money had of course been spent.	The spoons and forks were out of mrs Carbuncle's power,--in Albemarle Street; and the money had of course been spent.
667_158816_000003_000004	Lizzie might have saved herself the trouble, had it not been that it was a pleasure to her to insult her late friend, even though in doing so new insults were heaped upon her own head. As for the trumpery spoons, they,--so said Mrs. Carbuncle,--were the property of Miss Roanoke, having been made over to her unconditionally long before the wedding, as a part of a separate pecuniary transaction.	Lizzie might have saved herself the trouble, had it not been that it was a pleasure to her to insult her late friend, even though in doing so new insults were heaped upon her own head. As for the trumpery spoons, they,--so said mrs Carbuncle,--were the property of Miss Roanoke, having been made over to her unconditionally long before the wedding, as a part of a separate pecuniary transaction.
667_158816_000003_000005	Mrs. Carbuncle had no power of disposing of Miss Roanoke's property.	mrs Carbuncle had no power of disposing of Miss Roanoke's property.
667_158816_000003_000007	But even were there anything due to Lady Eustace, Mrs. Carbuncle would decline to pay it, as she was informed that all moneys possessed by Lady Eustace were now confiscated to the Crown by reason of the PERJURIES,--the word was doubly scored in Mrs. Carbuncle's note,--which Lady Eustace had committed.	But even were there anything due to Lady Eustace, mrs Carbuncle would decline to pay it, as she was informed that all moneys possessed by Lady Eustace were now confiscated to the Crown by reason of the PERJURIES,--the word was doubly scored in mrs Carbuncle's note,--which Lady Eustace had committed.
667_158816_000003_000008	This, of course, was unpleasant; but Mrs. Carbuncle did not have the honours of the battle all to herself.	This, of course, was unpleasant; but mrs Carbuncle did not have the honours of the battle all to herself.
667_158816_000003_000009	Lizzie also said some unpleasant things,--which, perhaps, were the more unpleasant because they were true.	Lizzie also said some unpleasant things,--which, perhaps, were the more unpleasant because they were true.
667_158816_000004_000001	"Goes to-morrow, does she?" said Lord George to the servant.	"Goes to morrow, does she?" said Lord George to the servant.
667_158816_000005_000001	The man, she thought, had behaved very badly to her,--had accepted very much from her hands, and had refused to give her anything in return; had become the first depository of her great secret, and had placed no mutual confidence in her.	The man, she thought, had behaved very badly to her,--had accepted very much from her hands, and had refused to give her anything in return; had become the first depository of her great secret, and had placed no mutual confidence in her.
667_158816_000005_000002	He had been harsh to her, and unjust; and then, too, he had declined to be in love with her!	He had been harsh to her, and unjust; and then, too, he had declined to be in love with her!
667_158816_000005_000003	She was full of spite against Lord George, and would have been glad to injure him.	She was full of spite against Lord George, and would have been glad to injure him.
667_158816_000005_000004	But, nevertheless, there would be some excitement in a farewell in which some mock affection might be displayed, and she would have an opportunity of abusing Mrs. Carbuncle.	But, nevertheless, there would be some excitement in a farewell in which some mock affection might be displayed, and she would have an opportunity of abusing mrs Carbuncle.
667_158816_000006_000002	She could have forgiven the want of deferential manner, had there been any devotion;--but Lord George was both impudent and indifferent.	She could have forgiven the want of deferential manner, had there been any devotion;--but Lord George was both impudent and indifferent.
667_158816_000007_000002	What an experience I have had since I have been here!"	What an experience I have had since I have been here!"
667_158816_000009_000000	"No woman ever intended to show a more disinterested friendship than I have done; and what has been my return?"	"No woman ever intended to show a more disinterested friendship than I have done; and what has been my return?"
667_158816_000010_000000	"You mean to me?--disinterested friendship to me?" And Lord George tapped his breast lightly with his fingers.	"You mean to me?--disinterested friendship to me?" And Lord George tapped his breast lightly with his fingers.
667_158816_000011_000000	"I was alluding particularly to Mrs. Carbuncle."	"I was alluding particularly to mrs Carbuncle."
667_158816_000012_000000	"Lady Eustace, I cannot take charge of Mrs. Carbuncle's friendships. I have enough to do to look after my own.	"Lady Eustace, I cannot take charge of mrs Carbuncle's friendships. I have enough to do to look after my own.
667_158816_000012_000001	If you have any complaint to make against me,--I will at least listen to it."	If you have any complaint to make against me,--I will at least listen to it."
667_158816_000013_000000	"God knows I do not want to make complaints," said Lizzie, covering her face with her hands.	"God knows I do not want to make complaints," said Lizzie, covering her face with her hands.
667_158816_000014_000000	"They don't do much good;--do they?	"They don't do much good;--do they?
667_158816_000014_000002	They're a queer lot;--ain't they,--the sort of people one meets about in the world?"	They're a queer lot;--ain't they,--the sort of people one meets about in the world?"
667_158816_000015_000000	"I don't know what you mean by that, Lord George."	"I don't know what you mean by that, Lord George."
667_158816_000016_000000	"Just what you were saying, when you talked of your experiences. These experiences do surprise one.	"Just what you were saying, when you talked of your experiences. These experiences do surprise one.
667_158816_000016_000001	I have knocked about the world a great deal, and would have almost said that nothing would surprise me.	I have knocked about the world a great deal, and would have almost said that nothing would surprise me.
667_158816_000016_000002	You are no more than a child to me, but you have surprised me."	You are no more than a child to me, but you have surprised me."
667_158816_000017_000000	"I hope I have not injured you, Lord George."	"I hope I have not injured you, Lord George."
667_158816_000018_000001	That surprised me."	That surprised me."
