4010_10822_000000_000000	The only free man, then, is he who is a child of the Father.	The only free man, then, is he who is a child of the Father.	false	0	1.44	29.14779
4010_10822_000000_000001	He is a servant of all, but can be made the slave of none: he is a son of the lord of the universe.	He is a servant of all, but can be made the slave of none: he is a son of the lord of the universe.	false	1.44	5.85	20.646164
4010_10822_000000_000002	He is in himself, in virtue of his truth, free. He is in himself a king.	He is in himself, in virtue of his truth, free. He is in himself a king.	false	5.85	5.94	-20
4010_10822_000000_000003	For the Son rests his claim to royalty on this, that _he was born and came into the world to bear witness to the truth_.	For the Son rests his claim to royalty on this, that underscore he was born and came into the world to bear witness to the truth underscore.	false	5.94	13.32	26.598812
4010_10822_000001_000000	KINGSHIP.	KINGSHIP.	true	13.32	14.28	19.730524
4010_10822_000002_000000	_Art thou a king then?	underscore Art thou a king then?	false	14.28	17.49	18.741362
4010_10822_000002_000001	Jesus answered, Thou sayest that I am a king! To this end was I born, and for this cause came I into the world, that I should bear witness unto the truth: every one that is of the truth heareth my voice._--John xviii.	Jesus answered, Thou sayest that I am a king! To this end was I born, and for this cause came I into the world, that I should bear witness unto the truth: every one that is of the truth heareth my voice.underscore--john x v i i i.	false	17.49	32.655	18.238592
4010_10822_000002_000002	37.	thirty seven.	true	32.655	33.58	17
4010_10822_000003_000000	Pilate asks Jesus if he is a king.	Pilate asks Jesus if he is a king.	false	35.48	38.28	20.634758
4010_10822_000003_000001	The question is called forth by what the Lord had just said concerning his kingdom, closing with the statement that it was not of this world.	The question is called forth by what the Lord had just said concerning his kingdom, closing with the statement that it was not of this world.	true	38.28	45.25	20.024782
4010_10822_000003_000002	He now answers Pilate that he is a king indeed, but shows him that his kingdom is of a very different kind from what is called kingdom in this world.	He now answers Pilate that he is a king indeed, but shows him that his kingdom is of a very different kind from what is called kingdom in this world.	false	45.41	54.04	17
4010_10822_000003_000003	The rank and rule of this world are uninteresting to him.	The rank and rule of this world are uninteresting to him.	true	54.11	58.09	19
4010_10822_000003_000004	He might have had them.	He might have had them.	true	58.4	59.775	23.415022
4010_10822_000003_000005	Calling his disciples to follow him, and his twelve legions of angels to help them, he might soon have driven the Romans into the abyss, piling them on the heap of nations they had tumbled there before.	Calling his disciples to follow him, and his twelve legions of angels to help them, he might soon have driven the romans into the abyss, piling them on the heap of nations they had tumbled there before.	true	59.775	70.45	16
4010_10822_000003_000006	What easier for him than thus to have cleared the way, and over the tributary world reigned the just monarch that was the dream of the Jews, never seen in Israel or elsewhere, but haunting the hopes and longings of the poor and their helpers!	What easier for him than thus to have cleared the way, and over the tributary world reigned the just monarch that was the dream of the Jews, never seen in Israel or elsewhere, but haunting the hopes and longings of the poor and their helpers!	true	70.94	84.13	14
4010_10822_000003_000007	He might from Jerusalem have ruled the world, not merely dispensing what men call justice, but compelling atonement.	He might from Jerusalem have ruled the world, not merely dispensing what men call justice, but compelling atonement.	true	84.5	91.6	19.492891
4010_10822_000003_000008	He did not care for government.	He did not care for government.	true	92.24	94.69	21
4010_10822_000003_000009	No such kingdom would serve the ends of his father in heaven, or comfort his own soul.	No such kingdom would serve the ends of his father in heaven, or comfort his own soul.	true	95.18	100	15
4010_10822_000003_000010	What was perfect empire to the Son of God, while he might teach one human being to love his neighbour, and be good like his father!	What was perfect empire to the Son of God, while he might teach one human being to love his neighbour, and be good like his father!	false	100.4	108.67	17
4010_10822_000003_000011	To be love-helper to one heart, for its joy, and the glory of his father, was the beginning of true kingship!	To be love helper to one heart, for its joy, and the glory of his father, was the beginning of true kingship!	true	108.77	116.02	17
4010_10822_000003_000012	The Lord would rather wash the feet of his weary brothers, than be the one only perfect monarch that ever ruled in the world.	The Lord would rather wash the feet of his weary brothers, than be the one only perfect monarch that ever ruled in the world.	true	116.3	123.46	16
4010_10822_000003_000013	It was empire he rejected when he ordered Satan behind him like a dog to his heel.	It was empire he rejected when he ordered Satan behind him like a dog to his heel.	true	123.71	128.83	17
4010_10822_000003_000014	Government, I repeat, was to him flat, stale, unprofitable.	Government, I repeat, was to him flat, stale, unprofitable.	true	129.29	135.28	23.717283
4010_10822_000004_000000	What then is the kingdom over which the Lord cares to reign, for he says he came into the world to be a king?	What then is the kingdom over which the Lord cares to reign, for he says he came into the world to be a king?	true	135.95	141.88	19
4010_10822_000004_000001	I answer, A kingdom of kings, and no other.	I answer, A kingdom of kings, and no other.	false	142.52	148.08	22.03346
4010_10822_000004_000002	Where every man is a king, there and there only does the Lord care to reign, in the name of his father.	Where every man is a king, there and there only does the Lord care to reign, in the name of his father.	true	148.08	154.27	15
4010_10822_000004_000003	As no king in Europe would care to reign over a cannibal, a savage, or an animal race, so the Lord cares for no kingdom over anything this world calls a nation. A king must rule over his own kind.	As no king in Europe would care to reign over a cannibal, a savage, or an animal race, so the Lord cares for no kingdom over anything this world calls a nation. A king must rule over his own kind.	true	154.64	167.47	18
