4945_29092_000005_000000	CHAPTER XI.	CHAPTER eleven.
4945_29092_000006_000002	No particular reason except one which he preferred to keep to himself--viz. that he could not bear to be away from Louise.	No particular reason except one which he preferred to keep to himself-viz. that he could not bear to be away from Louise.
4945_29092_000006_000003	It occurred to him, now, that the Colonel had not invited him lately--could he be offended?	It occurred to him, now, that the Colonel had not invited him lately-could he be offended?
4945_29092_000006_000005	It was a good idea; especially as Louise had absented herself from breakfast that morning, and torn his heart; he would tear hers, now, and let her see how it felt.	It was a good idea; especially as Louise had absented herself from breakfast that morning, and torn his heart; he would tear hers, now, and let her see how it felt.
4945_29092_000007_000001	For an instant the Colonel looked nonplussed, and just a bit uncomfortable; and Mrs. Sellers looked actually distressed; but the next moment the head of the house was himself again, and exclaimed:	For an instant the Colonel looked nonplussed, and just a bit uncomfortable; and mrs Sellers looked actually distressed; but the next moment the head of the house was himself again, and exclaimed:
4945_29092_000008_000000	"All right, my boy, all right--always glad to see you--always glad to hear your voice and take you by the hand.	"All right, my boy, all right-always glad to see you-always glad to hear your voice and take you by the hand.
4945_29092_000008_000003	You can't please us any better than that, Washington; the little woman will tell you so herself.	You can't please us any better than that, Washington; the little woman will tell you so herself.
4945_29092_000008_000004	We don't pretend to style.	We don't pretend to style.
4945_29092_000008_000005	Plain folks, you know--plain folks.	Plain folks, you know-plain folks.
4945_29092_000008_000006	Just a plain family dinner, but such as it is, our friends are always welcome, I reckon you know that yourself, Washington.	Just a plain family dinner, but such as it is, our friends are always welcome, I reckon you know that yourself, Washington.
4945_29092_000008_000008	To visit such a family, was to find one's self confronted by a congress made up of representatives of the imperial myths and the majestic dead of all the ages.	To visit such a family, was to find one's self confronted by a congress made up of representatives of the imperial myths and the majestic dead of all the ages.
4945_29092_000008_000009	There was something thrilling about it, to a stranger, not to say awe inspiring.]--stand off the cat's tail, child, can't you see what you're doing?--Come, come, come, Roderick Dhu, it isn't nice for little boys to hang onto young gentlemen's coat tails--but never mind him, Washington, he's full of spirits and don't mean any harm.	There was something thrilling about it, to a stranger, not to say awe inspiring.]--stand off the cat's tail, child, can't you see what you're doing?--Come, come, come, Roderick Dhu, it isn't nice for little boys to hang onto young gentlemen's coat tails-but never mind him, Washington, he's full of spirits and don't mean any harm.
4945_29092_000008_000010	Children will be children, you know.	Children will be children, you know.
4945_29092_000009_000000	Washington contemplated the banquet, and wondered if he were in his right mind.	Washington contemplated the banquet, and wondered if he were in his right mind.
4945_29092_000009_000001	Was this the plain family dinner?	Was this the plain family dinner?
4945_29092_000009_000002	And was it all present? It was soon apparent that this was indeed the dinner: it was all on the table: it consisted of abundance of clear, fresh water, and a basin of raw turnips--nothing more.	And was it all present? It was soon apparent that this was indeed the dinner: it was all on the table: it consisted of abundance of clear, fresh water, and a basin of raw turnips-nothing more.
4945_29092_000010_000001	The poor woman's face was crimson, and the tears stood in her eyes.	The poor woman's face was crimson, and the tears stood in her eyes.
4945_29092_000010_000002	Washington did not know what to do.	Washington did not know what to do.
4945_29092_000010_000006	No?	No?
4945_29092_000010_000007	Well, you're right, you're right. Some people like mustard with turnips, but--now there was Baron Poniatowski--Lord, but that man did know how to live!--true Russian you know, Russian to the back bone; I say to my wife, give me a Russian every time, for a table comrade.	Well, you're right, you're right. Some people like mustard with turnips, but-now there was Baron Poniatowski-Lord, but that man did know how to live!--true Russian you know, Russian to the back bone; I say to my wife, give me a Russian every time, for a table comrade.
4945_29092_000010_000008	The Baron used to say, 'Take mustard, Sellers, try the mustard,--a man can't know what turnips are in perfection without, mustard,' but I always said, 'No, Baron, I'm a plain man and I want my food plain--none of your embellishments for Beriah Sellers--no made dishes for me!	The Baron used to say, 'Take mustard, Sellers, try the mustard,--a man can't know what turnips are in perfection without, mustard,' but I always said, 'No, Baron, I'm a plain man and I want my food plain-none of your embellishments for Beriah Sellers-no made dishes for me!
4945_29092_000010_000010	How does that fruit strike you?"	How does that fruit strike you?"
4945_29092_000011_000000	Washington said he did not know that he had ever tasted better.	Washington said he did not know that he had ever tasted better.
4945_29092_000011_000001	He did not add that he detested turnips even when they were cooked--loathed them in their natural state.	He did not add that he detested turnips even when they were cooked-loathed them in their natural state.
4945_29092_000011_000002	No, he kept this to himself, and praised the turnips to the peril of his soul.	No, he kept this to himself, and praised the turnips to the peril of his soul.
4945_29092_000012_000000	"I thought you'd like them.	"I thought you'd like them.
4945_29092_000012_000001	Examine them--examine them--they'll bear it.	Examine them-examine them-they'll bear it.
4945_29092_000012_000002	See how perfectly firm and juicy they are--they can't start any like them in this part of the country, I can tell you.	See how perfectly firm and juicy they are-they can't start any like them in this part of the country, I can tell you.
4945_29092_000012_000005	These are the Early Malcolm--it's a turnip that can't be produced except in just one orchard, and the supply never is up to the demand.	These are the Early Malcolm-it's a turnip that can't be produced except in just one orchard, and the supply never is up to the demand.
4945_29092_000012_000006	Take some more water, Washington--you can't drink too much water with fruit--all the doctors say that.	Take some more water, Washington-you can't drink too much water with fruit-all the doctors say that.
4945_29092_000012_000007	The plague can't come where this article is, my boy!"	The plague can't come where this article is, my boy!"
4945_29092_000013_000000	"Plague?	"Plague?
4945_29092_000013_000001	What plague?"	What plague?"
4945_29092_000014_000000	"What plague, indeed?	"What plague, indeed?
4945_29092_000017_000001	And whoever it touches can make his will and contract for the funeral. Well you can't cure it, you know, but you can prevent it.	And whoever it touches can make his will and contract for the funeral. Well you can't cure it, you know, but you can prevent it.
4945_29092_000017_000002	How?	How?
4945_29092_000017_000003	Turnips! that's it!	Turnips! that's it!
4945_29092_000017_000004	Turnips and water!	Turnips and water!
4945_29092_000017_000005	Nothing like it in the world, old McDowells says, just fill yourself up two or three times a day, and you can snap your fingers at the plague.	Nothing like it in the world, old McDowells says, just fill yourself up two or three times a day, and you can snap your fingers at the plague.
4945_29092_000017_000006	Sh!--keep mum, but just you confine yourself to that diet and you're all right.	Sh!--keep mum, but just you confine yourself to that diet and you're all right.
