3989_182402_000001_000000	XV	fifteen
3989_182402_000002_000000	WHY SPOTTY THE TURTLE CARRIES HIS HOUSE WITH HIM	WHY SPOTTY THE TURTLE CARRIES HIS HOUSE WITH HIM
3989_182402_000003_000001	He had sat that way for the longest time without once moving.	He had sat that way for the longest time without once moving.
3989_182402_000003_000002	Peter Rabbit had seen him when he went by on his way to the Laughing Brook and the Green Forest to look for some one to pass the time of day with.	peter Rabbit had seen him when he went by on his way to the Laughing Brook and the Green Forest to look for some one to pass the time of day with.
3989_182402_000003_000003	Spotty was still there when Peter returned a long time after, and he didn't look as if he had moved.	Spotty was still there when peter returned a long time after, and he didn't look as if he had moved.
3989_182402_000003_000004	A sudden thought struck Peter.	A sudden thought struck peter.
3989_182402_000004_000000	"Hi, Spotty!" he shouted.	"Hi, Spotty!" he shouted.
3989_182402_000005_000000	Spotty slowly turned his head and looked up at Peter.	Spotty slowly turned his head and looked up at peter.
3989_182402_000005_000001	There was a twinkle in his eyes, though Peter didn't see it.	There was a twinkle in his eyes, though peter didn't see it.
3989_182402_000006_000001	Where else should I live?" he replied.	Where else should I live?" he replied.
3989_182402_000007_000000	"I mean, where is your house?" returned Peter.	"I mean, where is your house?" returned peter.
3989_182402_000007_000001	"Of course I know you live in the Smiling Pool, but where is your house?	"Of course I know you live in the Smiling Pool, but where is your house?
3989_182402_000007_000002	Is it in the bank or down under water?"	Is it in the bank or down under water?"
3989_182402_000008_000000	"It is just wherever I happen to be.	"It is just wherever I happen to be.
3989_182402_000008_000001	Just now it is right here," said Spotty.	Just now it is right here," said Spotty.
3989_182402_000008_000002	"I always take it with me wherever I go; I find it much the handiest way."	"I always take it with me wherever I go; I find it much the handiest way."
3989_182402_000010_000000	With that Spotty disappeared.	With that Spotty disappeared.
3989_182402_000010_000001	That is to say, his head and legs and tail disappeared.	That is to say, his head and legs and tail disappeared.
3989_182402_000010_000002	Peter stared very hard.	peter stared very hard.
3989_182402_000010_000003	Then he began to laugh, for it came to him that what Spotty had said was true.	Then he began to laugh, for it came to him that what Spotty had said was true.
3989_182402_000010_000004	His house was with him, and now he had simply retired inside.	His house was with him, and now he had simply retired inside.
3989_182402_000010_000005	He didn't need any other house than just that hard, spotted shell, inside of which he was now so cosily tucked away.	He didn't need any other house than just that hard, spotted shell, inside of which he was now so cosily tucked away.
3989_182402_000011_000000	"That's a great idea!	"That's a great idea!
3989_182402_000011_000002	That's a great idea!" shouted Peter.	That's a great idea!" shouted peter.
3989_182402_000012_000000	"Of course it is," replied Spotty, putting nothing but his head out, "You will always find me at home whenever you call, Peter, and that is more than you can say of most other people."	"Of course it is," replied Spotty, putting nothing but his head out, "You will always find me at home whenever you call, peter, and that is more than you can say of most other people."
3989_182402_000013_000000	All the way to his own home in the dear Old Briar-patch, Peter thought about Spotty and how queer it was that he should carry his house around with him.	All the way to his own home in the dear Old Briar patch, peter thought about Spotty and how queer it was that he should carry his house around with him.
3989_182402_000014_000000	"I wonder how it happens that he does it," thought he.	"I wonder how it happens that he does it," thought he.
3989_182402_000014_000001	"No wonder he is so slow.	"No wonder he is so slow.
3989_182402_000014_000004	Still, when he is in a hurry to get away from an enemy, it must be very awkward to have to carry his house on his back.	Still, when he is in a hurry to get away from an enemy, it must be very awkward to have to carry his house on his back.
3989_182402_000014_000006	He doesn't have to run away at all!	He doesn't have to run away at all!
3989_182402_000014_000007	All he has got to do is to go inside his house and stay there until the danger is past!	All he has got to do is to go inside his house and stay there until the danger is past!
3989_182402_000014_000008	I never thought of that before. Why, that is the handiest thing I ever heard of."	I never thought of that before. Why, that is the handiest thing I ever heard of."
3989_182402_000015_000000	Now Peter knew that there must be a good story about Spotty and his house, and you know Peter dearly loves a good story.	Now peter knew that there must be a good story about Spotty and his house, and you know peter dearly loves a good story.
3989_182402_000015_000001	So at the very first opportunity the next day, he hurried over to the Smiling Pool to ask Grandfather Frog about it.	So at the very first opportunity the next day, he hurried over to the Smiling Pool to ask Grandfather Frog about it.
3989_182402_000015_000002	As usual, Grandfather Frog was sitting on his big green lily-pad.	As usual, Grandfather Frog was sitting on his big green lily pad.
3989_182402_000015_000003	No sooner did Peter pop his head above the edge of the bank of the Smiling Pool than Grandfather Frog exclaimed:	No sooner did peter pop his head above the edge of the bank of the Smiling Pool than Grandfather Frog exclaimed:
3989_182402_000016_000001	You've kept me waiting a long time, Peter Rabbit.	You've kept me waiting a long time, peter Rabbit.
3989_182402_000016_000002	I don't like to be kept waiting.	I don't like to be kept waiting.
3989_182402_000016_000003	If you wanted to know about Spotty the Turtle, why didn't you come earlier?" All the time there was a twinkle in the big, goggly eyes of Grandfather Frog.	If you wanted to know about Spotty the Turtle, why didn't you come earlier?" All the time there was a twinkle in the big, goggly eyes of Grandfather Frog.
