1425_139290_000004_000000	CHAPTER I	CHAPTER one
1425_139290_000005_000004	They seldom come nearer to it than planting-time, harvest-time, cherry-time, spring-time, or fall-time.	They seldom come nearer to it than planting time, harvest time, cherry time, spring time, or fall time.
1425_139290_000005_000008	I was not allowed to make any inquiries of my master concerning it.	I was not allowed to make any inquiries of my master concerning it.
1425_139290_000006_000001	She was the daughter of Isaac and Betsey Bailey, both colored, and quite dark.	She was the daughter of Isaac and Betsey Bailey, both colored, and quite dark.
1425_139290_000007_000001	He was admitted to be such by all I ever heard speak of my parentage.	He was admitted to be such by all I ever heard speak of my parentage.
1425_139290_000007_000002	The opinion was also whispered that my master was my father; but of the correctness of this opinion, I know nothing; the means of knowing was withheld from me.	The opinion was also whispered that my master was my father; but of the correctness of this opinion, I know nothing; the means of knowing was withheld from me.
1425_139290_000008_000001	She was hired by a Mr. Stewart, who lived about twelve miles from my home.	She was hired by a mr Stewart, who lived about twelve miles from my home.
1425_139290_000008_000005	She was with me in the night.	She was with me in the night.
1425_139290_000008_000010	I was not allowed to be present during her illness, at her death, or burial.	I was not allowed to be present during her illness, at her death, or burial.
1425_139290_000008_000011	She was gone long before I knew any thing about it.	She was gone long before I knew any thing about it.
1425_139290_000012_000000	I have had two masters.	I have had two masters.
1425_139290_000012_000003	He was generally called Captain Anthony--a title which, I presume, he acquired by sailing a craft on the Chesapeake Bay. He was not considered a rich slaveholder.	He was generally called Captain Anthony-a title which, I presume, he acquired by sailing a craft on the Chesapeake Bay. He was not considered a rich slaveholder.
1425_139290_000012_000010	It required extraordinary barbarity on the part of an overseer to affect him.	It required extraordinary barbarity on the part of an overseer to affect him.
1425_139290_000012_000012	He would at times seem to take great pleasure in whipping a slave.	He would at times seem to take great pleasure in whipping a slave.
1425_139290_000012_000013	I have often been awakened at the dawn of day by the most heart-rending shrieks of an own aunt of mine, whom he used to tie up to a joist, and whip upon her naked back till she was literally covered with blood.	I have often been awakened at the dawn of day by the most heart rending shrieks of an own aunt of mine, whom he used to tie up to a joist, and whip upon her naked back till she was literally covered with blood.
1425_139290_000012_000017	I was quite a child, but I well remember it.	I was quite a child, but I well remember it.
1425_139290_000012_000020	It struck me with awful force.	It struck me with awful force.
1425_139290_000012_000022	It was a most terrible spectacle.	It was a most terrible spectacle.
1425_139290_000013_000000	This occurrence took place very soon after I went to live with my old master, and under the following circumstances.	This occurrence took place very soon after I went to live with my old master, and under the following circumstances.
1425_139290_000013_000001	Aunt Hester went out one night,--where or for what I do not know,--and happened to be absent when my master desired her presence.	Aunt Hester went out one night,--where or for what I do not know,--and happened to be absent when my master desired her presence.
1425_139290_000013_000004	Why master was so careful of her, may be safely left to conjecture.	Why master was so careful of her, may be safely left to conjecture.
1425_139290_000014_000005	She now stood fair for his infernal purpose.	She now stood fair for his infernal purpose.
1425_139290_000014_000006	Her arms were stretched up at their full length, so that she stood upon the ends of her toes.	Her arms were stretched up at their full length, so that she stood upon the ends of her toes.
1425_139290_000014_000008	I was so terrified and horror-stricken at the sight, that I hid myself in a closet, and dared not venture out till long after the bloody transaction was over.	I was so terrified and horror stricken at the sight, that I hid myself in a closet, and dared not venture out till long after the bloody transaction was over.
1425_139290_000014_000009	I expected it would be my turn next.	I expected it would be my turn next.
1425_139290_000014_000010	It was all new to me. I had never seen any thing like it before.	It was all new to me. I had never seen any thing like it before.
