3001_160952_000000_000000	He lived on and when the old King died he ascended the throne in his stead.	He lived on and when the old King died he ascended the throne in his stead.	false	6.15	20.49	18
3001_160952_000000_000001	So the brave little tailor became ruler over the whole kingdom; and his motto throughout his whole life was, "Seven at one blow."	So the brave little tailor became ruler over the whole kingdom; and his motto throughout his whole life was, "Seven at one blow."	false	20.49	34.56	20.332659
3001_160952_000001_000000	ONE EYE, TWO EYES, THREE EYES	ONE EYE, TWO EYES, THREE EYES	true	34.56	38.31	18.940685
3001_160952_000002_000000	BY WILHELM AND JAKOB GRIMM	BY WILHELM AND JAKOB GRIMM	false	38.31	40.47	-20
3001_160952_000003_000000	There was once a woman who had three daughters, of whom the eldest was named "One Eye," because she had only one eye in the middle of her forehead.	There was once a woman who had three daughters, of whom the eldest was named "One Eye," because she had only one eye in the middle of her forehead.	false	40.47	50.38	14
3001_160952_000003_000001	The second had two eyes, like other people, and she was called "Two Eyes." The youngest had three eyes, two like her second sister, and one in the middle of her forehead, like the eldest, and she bore the name of "Three Eyes."	The second had two eyes, like other people, and she was called "Two Eyes." The youngest had three eyes, two like her second sister, and one in the middle of her forehead, like the eldest, and she bore the name of "Three Eyes."	true	50.81	67.21	19
3001_160952_000004_000000	Now because little Two Eyes looked just like other people, her mother and sisters could not endure her.	Now because little Two Eyes looked just like other people, her mother and sisters could not endure her.	true	67.85	75.25	16
3001_160952_000004_000001	They said to her, "You are not better than common folks, with your two eyes; you don't belong to us."	They said to her, "You are not better than common folks, with your two eyes; you don't belong to us."	true	75.5	82.36	17
3001_160952_000005_000000	So they pushed her about, and threw all their old clothes to her for her to wear, and gave her only the pieces that were left to eat, and did everything that they could to make her miserable.	So they pushed her about, and threw all their old clothes to her for her to wear, and gave her only the pieces that were left to eat, and did everything that they could to make her miserable.	true	82.97	95.5	18
3001_160952_000005_000001	It so happened that little Two Eyes was sent into the fields to take care of the goats, and she was often very hungry, although her sisters had as much as they liked to eat.	It so happened that little Two Eyes was sent into the fields to take care of the goats, and she was often very hungry, although her sisters had as much as they liked to eat.	false	95.87	107.58	16
3001_160952_000005_000002	So one day she seated herself on a mound in the field, and began to weep and cry so bitterly that two little rivulets flowed from her eyes.	So one day she seated herself on a mound in the field, and began to weep and cry so bitterly that two little rivulets flowed from her eyes.	true	107.58	118.03	16
3001_160952_000005_000003	Once, in the midst of her sorrow she looked up, and saw a woman standing near her who said, "What are you weeping for, little Two Eyes?"	Once, in the midst of her sorrow she looked up, and saw a woman standing near her who said, "What are you weeping for, little Two Eyes?"	false	118.67	128.02	13
3001_160952_000006_000000	"I cannot help weeping," she replied; "for because I have two eyes, like other people, my mother and sisters cannot bear me; they push me about from one corner to another and make me wear their old clothes, and give me nothing to eat but what is left, so that I am always hungry.	"I cannot help weeping," she replied; "for because I have two eyes, like other people, my mother and sisters cannot bear me; they push me about from one corner to another and make me wear their old clothes, and give me nothing to eat but what is left, so that I am always hungry.	false	128.96	146.35	16
3001_160952_000006_000001	To-day they gave me so little that I am nearly starved."	To day they gave me so little that I am nearly starved."	true	146.66	150.31	14
3001_160952_000007_000000	"Dry up your tears, little Two Eyes," said the wise woman; "I will tell you something to do which will prevent you from ever being hungry again.	"Dry up your tears, little Two Eyes," said the wise woman; "I will tell you something to do which will prevent you from ever being hungry again.	true	151.04	160	16
3001_160952_000007_000001	You have only to say to your own goat:	You have only to say to your own goat:	true	160.28	163.33	16
3001_160952_000008_000000	"'Little goat, if you're able, Pray deck out my table,'	"'Little goat, if you're able, Pray deck out my table,'	true	164.03	169.72	21.88268
3001_160952_000009_000000	and immediately there will be a pretty little table before you full of all sorts of good things for you to eat, as much as you like.	and immediately there will be a pretty little table before you full of all sorts of good things for you to eat, as much as you like.	true	170.27	179.62	18
3001_160952_000009_000001	And when you have had enough, and you do not want the table any more, you need only say:	And when you have had enough, and you do not want the table any more, you need only say:	true	180.11	185.98	14
3001_160952_000010_000000	"'Little goat, when you're able, Remove my nice table,'	"'Little goat, when you're able, Remove my nice table,'	true	186.29	190.81	20
3001_160952_000011_000000	and it will vanish from your eyes."	and it will vanish from your eyes."	true	191.27	193.42	13
3001_160952_000012_000000	Then the wise woman went away.	Then the wise woman went away.	true	194.27	196.15	10
3001_160952_000012_000001	"Now," thought little Two Eyes, "I will try if what she says is true, for I am hungry," so she said:	"Now," thought little Two Eyes, "I will try if what she says is true, for I am hungry," so she said:	true	197.21	204.67	17
3001_160952_000013_000000	"Little goat, if you're able, Come and deck my pretty table."	"Little goat, if you're able, Come and deck my pretty table."	true	204.92	210.19	20.66032
3001_160952_000014_000000	The words were scarcely spoken, when a beautiful little table stood really before her; it had a white cloth and plates, and knives and forks, and silver spoons, and such a delicious dinner, smoking hot as if it had just come from the kitchen.	The words were scarcely spoken, when a beautiful little table stood really before her; it had a white cloth and plates, and knives and forks, and silver spoons, and such a delicious dinner, smoking hot as if it had just come from the kitchen.	true	210.59	227.2	15
3001_160952_000014_000001	Then little Two Eyes sat down and said the shortest grace she knew--"Pray God be our guest for all time.	Then little Two Eyes sat down and said the shortest grace she knew-"Pray God be our guest for all time.	true	228.08	235.69	17
3001_160952_000014_000002	Amen"--before she allowed herself to taste anything.	Amen"--before she allowed herself to taste anything.	true	236.45	240.31	19
3001_160952_000014_000003	But oh, how she did enjoy her dinner! and when she had finished, she said, as the wise woman had taught her:	But oh, how she did enjoy her dinner! and when she had finished, she said, as the wise woman had taught her:	true	241.01	248.92	18
3001_160952_000015_000000	"Little goat, when you're able, Remove my nice table."	"Little goat, when you're able, Remove my nice table."	true	249.35	254.02	20
3001_160952_000016_000000	In a moment, the table and everything upon it had disappeared.	In a moment, the table and everything upon it had disappeared.	true	255.38	259.18	15
3001_160952_000016_000001	"That is a pleasant way to keep house," said little Two Eyes, and felt quite contented and happy.	"That is a pleasant way to keep house," said little Two Eyes, and felt quite contented and happy.	false	259.76	265.15	15
