6499_57667_000000_000001	On The Relative Morality Of Catholic And Protestant Countries.	On The Relative Morality Of Catholic And Protestant Countries.
6499_57667_000001_000000	It has been gravely asserted that the confession of sin and the doctrine of absolution tend to the spread of crime and immorality.	It has been gravely asserted that the confession of sin and the doctrine of absolution tend to the spread of crime and immorality.
6499_57667_000002_000001	As all our catechisms teach, and as every Catholic knows, there is no pardon of sin without sorrow of heart and purpose of amendment.	As all our catechisms teach, and as every Catholic knows, there is no pardon of sin without sorrow of heart and purpose of amendment.
6499_57667_000002_000002	It is a great mistake to suppose that the most ignorant Catholic believes he can procure the pardon of his sins by simply confessing them without being truly sorry for them.	It is a great mistake to suppose that the most ignorant Catholic believes he can procure the pardon of his sins by simply confessing them without being truly sorry for them.
6499_57667_000002_000003	The estimate which so many Protestants set on the virtue of even the lower classes of Roman Catholics is clearly enough evinced in the preference which they constantly manifest in their employment of Catholics--practical Catholics--Catholics who go to confession.	The estimate which so many Protestants set on the virtue of even the lower classes of Roman Catholics is clearly enough evinced in the preference which they constantly manifest in their employment of Catholics-practical Catholics-Catholics who go to confession.
6499_57667_000002_000004	I maintain, therefore, that confession, far from being an incentive to sin, as our adversaries have the hardihood to affirm, is a most powerful check on the depravity of men and a most effectual preventive of their criminal excesses.	I maintain, therefore, that confession, far from being an incentive to sin, as our adversaries have the hardihood to affirm, is a most powerful check on the depravity of men and a most effectual preventive of their criminal excesses.
6499_57667_000003_000000	But is it true that crimes, especially murder and illegitimacy, are more prevalent in Catholic than in Protestant countries?	But is it true that crimes, especially murder and illegitimacy, are more prevalent in Catholic than in Protestant countries?
6499_57667_000003_000001	I utterly deny the assertion, and also appeal to statistics in support of the denial.	I utterly deny the assertion, and also appeal to statistics in support of the denial.
6499_57667_000003_000002	Whence do our opponents derive their information?	Whence do our opponents derive their information?
6499_57667_000003_000004	M. Hobart Seymour's "Nights Among Romanists" and similar absolutely unreliable compilations, the false statements of which have been again and again refuted.	M. Hobart Seymour's "Nights Among Romanists" and similar absolutely unreliable compilations, the false statements of which have been again and again refuted.
6499_57667_000004_000000	Rev. Mr. Seymour gives the following list of the number of murders in England, France and Ireland:	reverend Mr. Seymour gives the following list of the number of murders in England, France and Ireland:
6499_57667_000005_000000	Ireland: 19 homicides to the million of inhabitants France: 31 England: 4	Ireland: nineteen homicides to the million of inhabitants France: thirty one England: four
6499_57667_000008_000000	These figures, which are from authenticated sources, do not bear out our accusers in their assertion that murders are more prevalent in Catholic than in Protestant countries.	These figures, which are from authenticated sources, do not bear out our accusers in their assertion that murders are more prevalent in Catholic than in Protestant countries.
6499_57667_000008_000001	The statistics of this crime are limited, or they are not in very general circulation.	The statistics of this crime are limited, or they are not in very general circulation.
6499_57667_000008_000003	Here again we shall meet statistics with counter-statistics to refute unjust declarations.	Here again we shall meet statistics with counter statistics to refute unjust declarations.
6499_57667_000008_000004	We do not wish to be understood as advocating the immaculateness of Catholic communities.	We do not wish to be understood as advocating the immaculateness of Catholic communities.
6499_57667_000008_000005	We frankly admit and heartily deplore the disorders which Catholics commit, but we deny that they are worse than their Protestant neighbors; and still more emphatically do we deny that the Church is responsible for their disorders.	We frankly admit and heartily deplore the disorders which Catholics commit, but we deny that they are worse than their Protestant neighbors; and still more emphatically do we deny that the Church is responsible for their disorders.
6499_57667_000009_000002	The moral atmosphere of these countries, compared with England, must be as a healthful breeze to a pestilential marsh.	The moral atmosphere of these countries, compared with England, must be as a healthful breeze to a pestilential marsh.
6499_57667_000011_000000	Percentage Of Illegitimacy In Protestant And Catholic Countries Of Europe.	Percentage Of Illegitimacy In Protestant And Catholic Countries Of Europe.
6499_57667_000012_000000	Protestant.	Protestant.
6499_57667_000014_000001	And the same remark is applicable to Ireland.	And the same remark is applicable to Ireland.
6499_57667_000016_000000	"The proportion of illegitimate births to the total number of births is in Ireland 3.8 per cent.; in England the proportion is 6.4; in Scotland 9.9; in other words, England is nearly twice, and Scotland nearly thrice worse, than Ireland.	"The proportion of illegitimate births to the total number of births is in Ireland three point eight per cent.; in England the proportion is six point four; in Scotland nine point nine; in other words, England is nearly twice, and Scotland nearly thrice worse, than Ireland.
6499_57667_000016_000001	Something worse has to be added, from which no consolation can be derived.	Something worse has to be added, from which no consolation can be derived.
6499_57667_000016_000003	Taking Ireland according to the registration divisions, the proportion of illegitimate births varies from 6.2 to 1.3.	Taking Ireland according to the registration divisions, the proportion of illegitimate births varies from six point two to one point three.
6499_57667_000016_000004	The division showing this lowest figure is the western, being substantially the Province of Connaught, where about nineteen-twentieths of the population are Celtic and Roman Catholic.	The division showing this lowest figure is the western, being substantially the Province of Connaught, where about nineteen twentieths of the population are Celtic and Roman Catholic.
6499_57667_000016_000005	The division showing the highest proportion of illegitimacy is the north-eastern, which comprises, or almost consists of, the Province of Ulster, where the population is almost equally divided between Protestants and Roman Catholics, and where the great majority of Protestants are of Scotch blood and of the Presbyterian church.	The division showing the highest proportion of illegitimacy is the north-eastern, which comprises, or almost consists of, the Province of Ulster, where the population is almost equally divided between Protestants and Roman Catholics, and where the great majority of Protestants are of Scotch blood and of the Presbyterian church.
6499_57667_000016_000006	The sum of the whole matter is, that semi-Presbyterian and semi-Scotch Ulster is fully three times more immoral than wholly Popish and wholly Irish Connaught--which corresponds with wonderful accuracy to the more general fact that Scotland, as a whole, is three times more immoral than Ireland as a whole."	The sum of the whole matter is, that semi Presbyterian and semi Scotch Ulster is fully three times more immoral than wholly Popish and wholly Irish Connaught-which corresponds with wonderful accuracy to the more general fact that Scotland, as a whole, is three times more immoral than Ireland as a whole."
6499_57667_000017_000000	It is worthy, too, of notice, that in the tabular statement above presented the percentage of illegitimacy in Holland and Switzerland, where there are large Catholic minorities, is lower than in any other Protestant country.	It is worthy, too, of notice, that in the tabular statement above presented the percentage of illegitimacy in Holland and Switzerland, where there are large Catholic minorities, is lower than in any other Protestant country.
6499_57667_000019_000000	But we are not disposed to parade these monstrous vices, no matter by whom committed.	But we are not disposed to parade these monstrous vices, no matter by whom committed.
6499_57667_000019_000002	We certainly do not wish to excuse or palliate the evil deeds of Catholics, who, with all the blessed aids which their religion affords, ought to be much better than they are.	We certainly do not wish to excuse or palliate the evil deeds of Catholics, who, with all the blessed aids which their religion affords, ought to be much better than they are.
