6499_57667_000000_000000	II.	two.	false	23.58	24.66	23.286648
6499_57667_000000_000001	On The Relative Morality Of Catholic And Protestant Countries.	On The Relative Morality Of Catholic And Protestant Countries.	true	24.66	29.17	25
6499_57667_000001_000000	It has been gravely asserted that the confession of sin and the doctrine of absolution tend to the spread of crime and immorality.	It has been gravely asserted that the confession of sin and the doctrine of absolution tend to the spread of crime and immorality.	true	29.93	38.41	21.73579
6499_57667_000001_000001	Statistics are produced to show that murder and illegitimate births are largely in excess in countries under Catholic influence, and that this prevalence of wickedness is the _result of confession and easy absolution_.	Statistics are produced to show that murder and illegitimate births are largely in excess in countries under Catholic influence, and that this prevalence of wickedness is the underscore result of confession and easy absolution underscore.	false	38.51	53.76	22.75202
6499_57667_000002_000000	If our system of absolving those only who both repent and _confess_ leads to laxity of morals, how much more must the Protestant system, which omits that which is most humiliating and admits the sinner to reconciliation on condition of mere interior dispositions?	If our system of absolving those only who both repent and underscore confess underscore leads to laxity of morals, how much more must the Protestant system, which omits that which is most humiliating and admits the sinner to reconciliation on condition of mere interior dispositions?	false	53.76	72.67	23.12208
6499_57667_000002_000001	As all our catechisms teach, and as every Catholic knows, there is no pardon of sin without sorrow of heart and purpose of amendment.	As all our catechisms teach, and as every Catholic knows, there is no pardon of sin without sorrow of heart and purpose of amendment.	true	73.07	83.44	26.556828
6499_57667_000002_000002	It is a great mistake to suppose that the most ignorant Catholic believes he can procure the pardon of his sins by simply confessing them without being truly sorry for them.	It is a great mistake to suppose that the most ignorant Catholic believes he can procure the pardon of his sins by simply confessing them without being truly sorry for them.	true	83.54	94.63	23.042278
6499_57667_000002_000003	The estimate which so many Protestants set on the virtue of even the lower classes of Roman Catholics is clearly enough evinced in the preference which they constantly manifest in their employment of Catholics--practical Catholics--Catholics who go to confession.	The estimate which so many Protestants set on the virtue of even the lower classes of Roman Catholics is clearly enough evinced in the preference which they constantly manifest in their employment of Catholics-practical Catholics-Catholics who go to confession.	true	94.88	112.66	23.510834
6499_57667_000002_000004	I maintain, therefore, that confession, far from being an incentive to sin, as our adversaries have the hardihood to affirm, is a most powerful check on the depravity of men and a most effectual preventive of their criminal excesses.	I maintain, therefore, that confession, far from being an incentive to sin, as our adversaries have the hardihood to affirm, is a most powerful check on the depravity of men and a most effectual preventive of their criminal excesses.	true	112.88	130.08	23.31706
6499_57667_000003_000000	But is it true that crimes, especially murder and illegitimacy, are more prevalent in Catholic than in Protestant countries?	But is it true that crimes, especially murder and illegitimacy, are more prevalent in Catholic than in Protestant countries?	true	130.08	138.22	22.370646
6499_57667_000003_000001	I utterly deny the assertion, and also appeal to statistics in support of the denial.	I utterly deny the assertion, and also appeal to statistics in support of the denial.	true	138.41	144.67	22.270222
6499_57667_000003_000002	Whence do our opponents derive their information?	Whence do our opponents derive their information?	true	145.04	148.24	25.092793
6499_57667_000003_000003	Forsooth, from Rev.	Forsooth, from Rev.	true	148.34	150.21	16.673357
6499_57667_000003_000004	M. Hobart Seymour's "Nights Among Romanists" and similar absolutely unreliable compilations, the false statements of which have been again and again refuted.	M. Hobart Seymour's "Nights Among Romanists" and similar absolutely unreliable compilations, the false statements of which have been again and again refuted.	true	150.21	161.47	22.26559
6499_57667_000004_000000	Rev. Mr. Seymour gives the following list of the number of murders in England, France and Ireland:	reverend Mr. Seymour gives the following list of the number of murders in England, France and Ireland:	true	161.69	167.98	20.351492
