5767_48579_000000_000000	When it was the Two Hundred and Fifty-fifth Night,	When it was the Two Hundred and Fifty fifth Night,	true	33.24	35.74	20.400986
5767_48579_000001_000000	She said, It hath reached me, O auspicious King, that when the Badawi asked his banditti, "O Arabs, was this caravan bound from Egypt for Baghdad or from Baghdad for Egypt?"; they answered, "'Twas bound from Egypt for Baghdad;" and he said, "Return ye to the slain, for methinks the owner of this caravan is not dead." So they turned back to the slain and fell to prodding and slashing them with lance and sword till they came to Ala al-Din, who had thrown himself down among the corpses.	She said, It hath reached me, O auspicious King, that when the Badawi asked his banditti, "O Arabs, was this caravan bound from Egypt for Baghdad or from Baghdad for Egypt?"; they answered, "'twas bound from Egypt for Baghdad;" and he said, "Return ye to the slain, for methinks the owner of this caravan is not dead." So they turned back to the slain and fell to prodding and slashing them with lance and sword till they came to Ala al Din, who had thrown himself down among the corpses.	false	35.9	70.87	21.823425
5767_48579_000001_000001	And when they came to him, quoth they, "Thou dost but feign thyself dead, but we will make an end of thee," and one of the Badawin levelled his javelin and would have plunged it into his breast when he cried out, "Save me, O my lord Abd al-Kadir, O Saint of Gilan!" and behold, he saw a hand turn the lance away from his breast to that of Kamal-al-Din the cameleer, so that it pierced him and spared himself.[FN#49] Then the Arabs made off; and, when Ala al-Din saw that the birds were flown with their god send, he sat up and finding no one, rose and set off running; but, behold!	And when they came to him, quoth they, "Thou dost but feign thyself dead, but we will make an end of thee," and one of the Badawin levelled his javelin and would have plunged it into his breast when he cried out, "Save me, O my lord Abd al Kadir, O Saint of Gilan!" and behold, he saw a hand turn the lance away from his breast to that of Kamal al Din the cameleer, so that it pierced him and spared himself.[f n # forty nine] Then the Arabs made off; and, when Ala al Din saw that the birds were flown with their god send, he sat up and finding no one, rose and set off running; but, behold!	false	71.9	114.19	22.178776
5767_48579_000001_000002	Abu Naib the Badawi looked back and said to his troop, "I see somewhat moving afar off, O Arabs!" So one of the bandits turned back and, spying Ala al-Din running, called out to him, saying, "Flight shall not forward thee and we after thee;" and he smote his mare with his heel and she hastened after him.	Abu n a i b the Badawi looked back and said to his troop, "I see somewhat moving afar off, O Arabs!" So one of the bandits turned back and, spying Ala al Din running, called out to him, saying, "Flight shall not forward thee and we after thee;" and he smote his mare with his heel and she hastened after him.	false	114.38	138.135	22.050066
5767_48579_000001_000003	Then Ala al-Din seeing before him a watering tank and a cistern beside it, climbed up into a niche in the cistern and, stretching himself at full length, feigned to be asleep and said, "O gracious Protector, cover me with the veil of Thy protection which may not be torn away!" And lo! the Badawi came up to the cistern and, standing in his stirrup irons put out his hand to lay hold of Ala al-Din; but he said, "O my lady Nafisah[FN#50]!	Then Ala al Din seeing before him a watering tank and a cistern beside it, climbed up into a niche in the cistern and, stretching himself at full length, feigned to be asleep and said, "O gracious Protector, cover me with the veil of Thy protection which may not be torn away!" And lo! the Badawi came up to the cistern and, standing in his stirrup irons put out his hand to lay hold of Ala al Din; but he said, "O my lady Nafisah[f n # fifty]!	false	138.135	172.41	23.23034
5767_48579_000001_000004	Now is thy time!" And behold, a scorpion stung the Badawi in the palm and he cried out, saying, "Help, O Arabs!	Now is thy time!" And behold, a scorpion stung the Badawi in the palm and he cried out, saying, "Help, O Arabs!	true	172.41	180.49	22.63963
5767_48579_000001_000005	I am stung;" and he alighted from his mare's back.	I am stung;" and he alighted from his mare's back.	true	180.71	184.12	19.775421
5767_48579_000001_000006	So his comrades came up to him and mounted him again, asking, "What hath befallen thee?" whereto he answered, "A young scorpion[FN#51] stung me." So they departed, with the caravan. Such was their case; but as regards Ala al-Din, he tarried in the niche, and Mahmud of Balkh bade load his beasts and fared forwards till he came to the Lion's Copse where he found Ala al-Din's attendants all lying slain.	So his comrades came up to him and mounted him again, asking, "What hath befallen thee?" whereto he answered, "A young scorpion[f n # fifty one] stung me." So they departed, with the caravan. Such was their case; but as regards Ala al Din, he tarried in the niche, and Mahmud of Balkh bade load his beasts and fared forwards till he came to the Lion's Copse where he found Ala al Din's attendants all lying slain.	false	184.31	211.53	23.022722
5767_48579_000001_000007	At this he rejoiced and went on till he reached the cistern and the reservoir.	At this he rejoiced and went on till he reached the cistern and the reservoir.	false	211.53	215.74	20.09665
5767_48579_000001_000008	Now his mule was athirst and turned aside to drink, but she saw Ala al-Din's shadow in the water and shied and started; whereupon Mahmud raised his eyes and, seeing Ala al-Din lying in the niche, stripped to his shirt and bag trousers, said to him, "What man this deed to thee hath dight and left thee in this evil plight?" Answered Ala alDin, "The Arabs," and Mahmud said, "O my son, the mules and the baggage were thy ransom; so do thou comfort thyself with his saying who said,	Now his mule was athirst and turned aside to drink, but she saw Ala al Din's shadow in the water and shied and started; whereupon Mahmud raised his eyes and, seeing Ala al Din lying in the niche, stripped to his shirt and bag trousers, said to him, "What man this deed to thee hath dight and left thee in this evil plight?" Answered Ala alDin, "The Arabs," and Mahmud said, "O my son, the mules and the baggage were thy ransom; so do thou comfort thyself with his saying who said,	false	215.99	250.53	22.630362
5767_48579_000002_000000	'If thereby man can save his head from death, * His good is worth him but a slice of nail!'	'If thereby man can save his head from death, asterisk His good is worth him but a slice of nail!'	false	250.53	257.32	22.21606
