1337_10674_000000_000000	By this time it had grown late, and we did not know where to spend the night.	By this time it had grown late, and we did not know where to spend the night.	false	0	3.18	20.597252
1337_10674_000000_000001	But our lucky star having guided us to this door, we took the liberty of knocking and of asking for shelter, which was given to us at once with the best grace in the world.	But our lucky star having guided us to this door, we took the liberty of knocking and of asking for shelter, which was given to us at once with the best grace in the world.	false	3.18	8.49	20
1337_10674_000001_000000	This, madam, is my story.	This, madam, is my story.	false	8.49	9.75	21.069775
1337_10674_000002_000000	"I am satisfied," replied Zobeida; "you can go when you like."	"I am satisfied," replied Zobeida; "you can go when you like."	false	9.75	12.48	16
1337_10674_000003_000000	The calender, however, begged leave to stay and to hear the histories of his two friends and of the three other persons of the company, which he was allowed to do.	The calender, however, begged leave to stay and to hear the histories of his two friends and of the three other persons of the company, which he was allowed to do.	false	12.48	20.79	18.895596
1337_10674_000004_000000	The Story of the Second Calendar, Son of a King	The Story of the Second Calendar, Son of a King	false	20.79	23.44	19.81644
1337_10674_000005_000000	"Madam," said the young man, addressing Zobeida, "if you wish to know how I lost my right eye, I shall have to tell you the story of my whole life."	"Madam," said the young man, addressing Zobeida, "if you wish to know how I lost my right eye, I shall have to tell you the story of my whole life."	true	24.59	32.35	20.329382
1337_10674_000006_000000	I was scarcely more than a baby, when the king my father, finding me unusually quick and clever for my age, turned his thoughts to my education.	I was scarcely more than a baby, when the king my father, finding me unusually quick and clever for my age, turned his thoughts to my education.	true	32.36	41.14	19
1337_10674_000006_000001	I was taught first to read and write, and then to learn the Koran, which is the basis of our holy religion, and the better to understand it, I read with my tutors the ablest commentators on its teaching, and committed to memory all the traditions respecting the Prophet, which have been gathered from the mouth of those who were his friends.	I was taught first to read and write, and then to learn the Koran, which is the basis of our holy religion, and the better to understand it, I read with my tutors the ablest commentators on its teaching, and committed to memory all the traditions respecting the Prophet, which have been gathered from the mouth of those who were his friends.	true	41.33	59.415	20
1337_10674_000006_000002	I also learnt history, and was instructed in poetry, versification, geography, chronology, and in all the outdoor exercises in which every prince should excel.	I also learnt history, and was instructed in poetry, versification, geography, chronology, and in all the outdoor exercises in which every prince should excel.	true	59.415	70.06	22
1337_10674_000006_000003	But what I liked best of all was writing Arabic characters, and in this I soon surpassed my masters, and gained a reputation in this branch of knowledge that reached as far as India itself.	But what I liked best of all was writing Arabic characters, and in this I soon surpassed my masters, and gained a reputation in this branch of knowledge that reached as far as India itself.	false	70.28	81.4	19
1337_10674_000007_000000	Now the Sultan of the Indies, curious to see a young prince with such strange tastes, sent an ambassador to my father, laden with rich presents, and a warm invitation to visit his court.	Now the Sultan of the Indies, curious to see a young prince with such strange tastes, sent an ambassador to my father, laden with rich presents, and a warm invitation to visit his court.	true	81.98	93.64	19.971584
1337_10674_000007_000001	My father, who was deeply anxious to secure the friendship of so powerful a monarch, and held besides that a little travel would greatly improve my manners and open my mind, accepted gladly, and in a short time I had set out for India with the ambassador, attended only by a small suite on account of the length of the journey, and the badness of the roads.	My father, who was deeply anxious to secure the friendship of so powerful a monarch, and held besides that a little travel would greatly improve my manners and open my mind, accepted gladly, and in a short time I had set out for India with the ambassador, attended only by a small suite on account of the length of the journey, and the badness of the roads.	true	93.68	114.16	19
1337_10674_000007_000002	However, as was my duty, I took with me ten camels, laden with rich presents for the Sultan.	However, as was my duty, I took with me ten camels, laden with rich presents for the Sultan.	true	114.32	119.86	20
1337_10674_000008_000000	We had been travelling for about a month, when one day we saw a cloud of dust moving swiftly towards us; and as soon as it came near, we found that the dust concealed a band of fifty robbers.	We had been travelling for about a month, when one day we saw a cloud of dust moving swiftly towards us; and as soon as it came near, we found that the dust concealed a band of fifty robbers.	true	120.41	130.54	19
1337_10674_000008_000001	Our men barely numbered half, and as we were also hampered by the camels, there was no use in fighting, so we tried to overawe them by informing them who we were, and whither we were going.	Our men barely numbered half, and as we were also hampered by the camels, there was no use in fighting, so we tried to overawe them by informing them who we were, and whither we were going.	false	130.82	140.95	20.02963
1337_10674_000008_000002	The robbers, however, only laughed, and declared that was none of their business, and, without more words, attacked us brutally.	The robbers, however, only laughed, and declared that was none of their business, and, without more words, attacked us brutally.	false	141.47	148.24	20.571032
1337_10674_000008_000003	I defended myself to the last, wounded though I was, but at length, seeing that resistance was hopeless, and that the ambassador and all our followers were made prisoners, I put spurs to my horse and rode away as fast as I could, till the poor beast fell dead from a wound in his side.	I defended myself to the last, wounded though I was, but at length, seeing that resistance was hopeless, and that the ambassador and all our followers were made prisoners, I put spurs to my horse and rode away as fast as I could, till the poor beast fell dead from a wound in his side.	false	148.64	163.57	20
1337_10674_000008_000004	I managed to jump off without any injury, and looked about to see if I was pursued.	I managed to jump off without any injury, and looked about to see if I was pursued.	true	164.48	169.455	21
1337_10674_000008_000005	But for the moment I was safe, for, as I imagined, the robbers were all engaged in quarrelling over their booty.	But for the moment I was safe, for, as I imagined, the robbers were all engaged in quarrelling over their booty.	true	169.455	175.84	18
1337_10674_000009_000000	I found myself in a country that was quite new to me, and dared not return to the main road lest I should again fall into the hands of the robbers.	I found myself in a country that was quite new to me, and dared not return to the main road lest I should again fall into the hands of the robbers.	true	177.02	183.97	17
1337_10674_000009_000001	Luckily my wound was only a slight one, and after binding it up as well as I could, I walked on for the rest of the day, till I reached a cave at the foot of a mountain, where I passed the night in peace, making my supper off some fruits I had gathered on the way.	Luckily my wound was only a slight one, and after binding it up as well as I could, I walked on for the rest of the day, till I reached a cave at the foot of a mountain, where I passed the night in peace, making my supper off some fruits I had gathered on the way.	true	184.37	197.5	20.369934
1337_10674_000010_000000	I wandered about for a whole month without knowing where I was going, till at length I found myself on the outskirts of a beautiful city, watered by winding streams, which enjoyed an eternal spring.	I wandered about for a whole month without knowing where I was going, till at length I found myself on the outskirts of a beautiful city, watered by winding streams, which enjoyed an eternal spring.	true	198.17	208.9	18
1337_10674_000010_000001	My delight at the prospect of mixing once more with human beings was somewhat damped at the thought of the miserable object I must seem.	My delight at the prospect of mixing once more with human beings was somewhat damped at the thought of the miserable object I must seem.	false	209.15	216.67	16
1337_10674_000010_000002	My face and hands had been burned nearly black; my clothes were all in rags, and my shoes were in such a state that I had been forced to abandon them altogether.	My face and hands had been burned nearly black; my clothes were all in rags, and my shoes were in such a state that I had been forced to abandon them altogether.	true	216.89	225.34	18
1337_10674_000011_000000	I entered the town, and stopped at a tailor's shop to inquire where I was.	I entered the town, and stopped at a tailor's shop to inquire where I was.	true	225.92	230.05	18.775476
1337_10674_000011_000001	The man saw I was better than my condition, and begged me to sit down, and in return I told him my whole story.	The man saw I was better than my condition, and begged me to sit down, and in return I told him my whole story.	false	230.3	236.38	19
1337_10674_000011_000002	The tailor listened with attention, but his reply, instead of giving me consolation, only increased my trouble.	The tailor listened with attention, but his reply, instead of giving me consolation, only increased my trouble.	true	236.69	243.07	20
1337_10674_000012_000000	"Beware," he said, "of telling any one what you have told me, for the prince who governs the kingdom is your father's greatest enemy, and he will be rejoiced to find you in his power."	"Beware," he said, "of telling any one what you have told me, for the prince who governs the kingdom is your father's greatest enemy, and he will be rejoiced to find you in his power."	true	243.59	254.62	20.734905
1337_10674_000013_000000	I thanked the tailor for his counsel, and said I would do whatever he advised; then, being very hungry, I gladly ate of the food he put before me, and accepted his offer of a lodging in his house.	I thanked the tailor for his counsel, and said I would do whatever he advised; then, being very hungry, I gladly ate of the food he put before me, and accepted his offer of a lodging in his house.	false	255.14	266.5	19.908873
1337_10674_000014_000000	In a few days I had quite recovered from the hardships I had undergone, and then the tailor, knowing that it was the custom for the princes of our religion to learn a trade or profession so as to provide for themselves in times of ill-fortune, inquired if there was anything I could do for my living.	In a few days I had quite recovered from the hardships I had undergone, and then the tailor, knowing that it was the custom for the princes of our religion to learn a trade or profession so as to provide for themselves in times of ill fortune, inquired if there was anything I could do for my living.	false	267.17	282.16	19
1337_10674_000014_000001	I replied that I had been educated as a grammarian and a poet, but that my great gift was writing.	I replied that I had been educated as a grammarian and a poet, but that my great gift was writing.	false	282.53	288.31	20
1337_10674_000015_000000	"All that is of no use here," said the tailor.	"All that is of no use here," said the tailor.	true	288.77	291.045	16.7403
