4278_13270_000000_000000	Chapter Twenty-six	Chapter Twenty six	false	1.47	23.74	20.650856
4278_13270_000001_000000	MEANWHILE, Nazareth Avenue Church was experiencing something never known before in all its history.	MEANWHILE, Nazareth Avenue Church was experiencing something never known before in all its history.	true	24.29	30.64	15
4278_13270_000001_000001	The simple appeal on the part of its pastor to his members to do as Jesus would do had created a sensation that still continued.	The simple appeal on the part of its pastor to his members to do as Jesus would do had created a sensation that still continued.	true	30.74	38.595	17
4278_13270_000001_000002	The result of that appeal was very much the same as in Henry Maxwell's church in Raymond, only this church was far more aristocratic, wealthy and conventional. Nevertheless when, one Sunday morning in early summer, Dr. Bruce came into his pulpit and announced his resignation, the sensation deepened all over the city, although he had advised with his board of trustees, and the movement he intended was not a matter of surprise to them.	The result of that appeal was very much the same as in Henry Maxwell's church in Raymond, only this church was far more aristocratic, wealthy and conventional. Nevertheless when, one Sunday morning in early summer, dr Bruce came into his pulpit and announced his resignation, the sensation deepened all over the city, although he had advised with his board of trustees, and the movement he intended was not a matter of surprise to them.	false	38.595	63.52	13
4278_13270_000001_000003	But when it become publicly known that the Bishop had also announced his resignation and retirement from the position he had held so long, in order to go and live himself in the centre of the worst part of Chicago, the public astonishment reached its height.	But when it become publicly known that the Bishop had also announced his resignation and retirement from the position he had held so long, in order to go and live himself in the centre of the worst part of Chicago, the public astonishment reached its height.	false	63.59	77.77	16
4278_13270_000002_000000	"But why?" the Bishop replied to one valued friend who had almost with tears tried to dissuade him from his purpose.	"But why?" the Bishop replied to one valued friend who had almost with tears tried to dissuade him from his purpose.	true	77.9	84.705	19
4278_13270_000002_000001	"Why should what Dr. Bruce and I propose to do seem so remarkable a thing, as if it were unheard of that a Doctor of Divinity and a Bishop should want to save lost souls in this particular manner?	"Why should what dr Bruce and I propose to do seem so remarkable a thing, as if it were unheard of that a Doctor of Divinity and a Bishop should want to save lost souls in this particular manner?	true	84.705	95.085	13
4278_13270_000002_000002	If we were to resign our charge for the purpose of going to Bombay or Hong Kong or any place in Africa, the churches and the people would exclaim at the heroism of missions.	If we were to resign our charge for the purpose of going to Bombay or Hong Kong or any place in Africa, the churches and the people would exclaim at the heroism of missions.	true	95.085	104.38	15
4278_13270_000002_000003	Why should it seem so great a thing if we have been led to give our lives to help rescue the heathen and the lost of our own city in the way we are going to try it?	Why should it seem so great a thing if we have been led to give our lives to help rescue the heathen and the lost of our own city in the way we are going to try it?	true	104.42	113.745	15
4278_13270_000002_000004	Is it then such a tremendous event that two Christian ministers should be not only willing but eager to live close to the misery of the world in order to know it and realize it?	Is it then such a tremendous event that two Christian ministers should be not only willing but eager to live close to the misery of the world in order to know it and realize it?	true	113.745	123.55	16
4278_13270_000002_000005	Is it such a rare thing that love of humanity should find this particular form of expression in the rescue of souls?"	Is it such a rare thing that love of humanity should find this particular form of expression in the rescue of souls?"	true	123.59	130.51	18.622946
