5717_100145_000002_000001	Good.	Good.
5717_100145_000002_000002	As a matter of form, Lord Nikkolon, will you take a vote? His Imperial Majesty would be most gratified if it were unanimous."	As a matter of form, Lord Nikkolon, will you take a vote? His Imperial Majesty would be most gratified if it were unanimous."
5717_100145_000003_000000	Somebody insisted that the question would have to be debated, which meant that everybody would have to make a speech, all two thousand of them.	Somebody insisted that the question would have to be debated, which meant that everybody would have to make a speech, all two thousand of them.
5717_100145_000003_000001	He informed them that there was nothing to debate; they were confronted with an accomplished fact which they must accept.	He informed them that there was nothing to debate; they were confronted with an accomplished fact which they must accept.
5717_100145_000003_000002	So Nikkolon made a speech, telling them at what a great moment in Adityan history they stood, and concluded by saying:	So Nikkolon made a speech, telling them at what a great moment in Adityan history they stood, and concluded by saying:
5717_100145_000004_000000	"I take it that it is the unanimous will of this Convocation that the sovereignty of the Galactic Emperor be acknowledged, and that we, the 'Mastership of Aditya' do here proclaim our loyal allegiance to his Imperial Majesty, Rodrik the Third.	"I take it that it is the unanimous will of this Convocation that the sovereignty of the Galactic Emperor be acknowledged, and that we, the 'Mastership of Aditya' do here proclaim our loyal allegiance to his Imperial Majesty, Rodrik the Third.
5717_100145_000004_000001	Any dissent?	Any dissent?
5717_100145_000004_000002	Then it is ordered so recorded."	Then it is ordered so recorded."
5717_100145_000005_000000	Then he had to make another speech, to inform the representatives of his new sovereign of the fact.	Then he had to make another speech, to inform the representatives of his new sovereign of the fact.
5717_100145_000005_000002	Erskyll's charge-d'affaires, Sharll Ernanday, produced the scroll of the Imperial Constitution, and Erskyll began to read.	Erskyll's charge d'affaires, Sharll Ernanday, produced the scroll of the Imperial Constitution, and Erskyll began to read.
5717_100145_000006_000000	Section One: The universality of the Empire.	Section One: The universality of the Empire.
5717_100145_000006_000001	The absolute powers of the Emperor.	The absolute powers of the Emperor.
5717_100145_000006_000003	The Emperor also to be Planetary King of Odin.	The Emperor also to be Planetary King of Odin.
5717_100145_000007_000000	Section Two: Every planetary government to be sovereign in its own internal affairs....	Section Two: Every planetary government to be sovereign in its own internal affairs....
5717_100145_000007_000001	Only one sovereign government upon any planet, or within normal-space travel distance....	Only one sovereign government upon any planet, or within normal space travel distance....
5717_100145_000007_000002	All hyperspace ships, and all nuclear weapons....	All hyperspace ships, and all nuclear weapons....
5717_100145_000007_000004	Every sapient being shall be equally protected....	Every sapient being shall be equally protected....
5717_100145_000008_000000	Then he came to Article Six.	Then he came to Article Six.
5717_100145_000008_000001	He cleared his throat, raised his voice, and read:	He cleared his throat, raised his voice, and read:
5717_100145_000010_000000	The Convocation Chamber was silent, like a bomb with a defective fuse, for all of thirty seconds.	The Convocation Chamber was silent, like a bomb with a defective fuse, for all of thirty seconds.
5717_100145_000010_000001	Then it blew up with a roar.	Then it blew up with a roar.
5717_100145_000010_000002	Out of the corner of his eye, he saw the doors slide apart and an airjeep, bristling with machine guns, float in and rise to the ceiling.	Out of the corner of his eye, he saw the doors slide apart and an airjeep, bristling with machine guns, float in and rise to the ceiling.
5717_100145_000010_000003	The first inarticulate roar was followed by a babel of voices, like a tropical cloudburst on a prefab hut.	The first inarticulate roar was followed by a babel of voices, like a tropical cloudburst on a prefab hut.
5717_100145_000010_000004	Olvir Nikkolon's mouth was working as he shouted unheard.	Olvir Nikkolon's mouth was working as he shouted unheard.
5717_100145_000011_000001	Out of the screen-speaker a voice, as loud, by actual sound-meter test, as an anti-vehicle gun, thundered:	Out of the screen speaker a voice, as loud, by actual sound meter test, as an anti vehicle gun, thundered:
5717_100145_000014_000002	What is this, a planetary parliament or a spaceport saloon?"	What is this, a planetary parliament or a spaceport saloon?"
5717_100145_000015_000000	"You tricked us!" Nikkolon accused.	"You tricked us!" Nikkolon accused.
