5717_100145_000000_000000	[Illustration]	[Illustration]	false	0	0.3	0
5717_100145_000001_000000	"Well, what are they taking away from us, then?" somebody in the rear asked.	"Well, what are they taking away from us, then?" somebody in the rear asked.	false	0.3	9.66	24.393171
5717_100145_000002_000000	"I assume that you are agreed to accept the sovereignty of his Imperial Majesty?	"I assume that you are agreed to accept the sovereignty of his Imperial Majesty?	true	9.66	14.49	15
5717_100145_000002_000001	Good.	Good.	true	14.49	15.43	20.518337
5717_100145_000002_000002	As a matter of form, Lord Nikkolon, will you take a vote? His Imperial Majesty would be most gratified if it were unanimous."	As a matter of form, Lord Nikkolon, will you take a vote? His Imperial Majesty would be most gratified if it were unanimous."	true	15.56	23.32	22
5717_100145_000003_000000	Somebody insisted that the question would have to be debated, which meant that everybody would have to make a speech, all two thousand of them.	Somebody insisted that the question would have to be debated, which meant that everybody would have to make a speech, all two thousand of them.	true	24.14	32.89	24.079958
5717_100145_000003_000001	He informed them that there was nothing to debate; they were confronted with an accomplished fact which they must accept.	He informed them that there was nothing to debate; they were confronted with an accomplished fact which they must accept.	true	32.9	39.675	26.448404
5717_100145_000003_000002	So Nikkolon made a speech, telling them at what a great moment in Adityan history they stood, and concluded by saying:	So Nikkolon made a speech, telling them at what a great moment in Adityan history they stood, and concluded by saying:	true	39.675	47.41	24
5717_100145_000004_000000	"I take it that it is the unanimous will of this Convocation that the sovereignty of the Galactic Emperor be acknowledged, and that we, the 'Mastership of Aditya' do here proclaim our loyal allegiance to his Imperial Majesty, Rodrik the Third.	"I take it that it is the unanimous will of this Convocation that the sovereignty of the Galactic Emperor be acknowledged, and that we, the 'Mastership of Aditya' do here proclaim our loyal allegiance to his Imperial Majesty, Rodrik the Third.	true	47.72	64.26	23
5717_100145_000004_000001	Any dissent?	Any dissent?	true	64.26	65.26	27.90339
5717_100145_000004_000002	Then it is ordered so recorded."	Then it is ordered so recorded."	true	65.27	67.96	25.675535
5717_100145_000005_000000	Then he had to make another speech, to inform the representatives of his new sovereign of the fact.	Then he had to make another speech, to inform the representatives of his new sovereign of the fact.	true	68.27	73.935	22.415346
5717_100145_000005_000001	Prince Trevannion, in the name of the Emperor, delivered the well-worn words of welcome, and Lanze Degbrend got the coronet out of the black velvet bag under his arm and the Imperial Proconsul, Obray, Count Erskyll, was crowned.	Prince Trevannion, in the name of the Emperor, delivered the well worn words of welcome, and Lanze Degbrend got the coronet out of the black velvet bag under his arm and the Imperial Proconsul, Obray, Count Erskyll, was crowned.	false	73.935	88.69	20
5717_100145_000005_000002	Erskyll's charge-d'affaires, Sharll Ernanday, produced the scroll of the Imperial Constitution, and Erskyll began to read.	Erskyll's charge d'affaires, Sharll Ernanday, produced the scroll of the Imperial Constitution, and Erskyll began to read.	true	88.91	98.44	23.781322
5717_100145_000006_000000	Section One: The universality of the Empire.	Section One: The universality of the Empire.	true	98.75	102.76	21.879612
5717_100145_000006_000001	The absolute powers of the Emperor.	The absolute powers of the Emperor.	true	102.83	105.18	25.07914
5717_100145_000006_000002	The rules of succession.	The rules of succession.	true	105.18	106.99	18.737305
5717_100145_000006_000003	The Emperor also to be Planetary King of Odin.	The Emperor also to be Planetary King of Odin.	true	107.06	110.95	24
5717_100145_000007_000000	Section Two: Every planetary government to be sovereign in its own internal affairs....	Section Two: Every planetary government to be sovereign in its own internal affairs....	true	111.47	117.765	23.081202
5717_100145_000007_000001	Only one sovereign government upon any planet, or within normal-space travel distance....	Only one sovereign government upon any planet, or within normal space travel distance....	true	117.765	123.79	23.87204
5717_100145_000007_000002	All hyperspace ships, and all nuclear weapons....	All hyperspace ships, and all nuclear weapons....	true	124.37	127.3	23
5717_100145_000007_000003	No planetary government shall make war ... enter into any alliance ... tax, regulate or restrain interstellar trade or communication....	No planetary government shall make war ... enter into any alliance ... tax, regulate or restrain interstellar trade or communication....	true	127.4	136.12	19
5717_100145_000007_000004	Every sapient being shall be equally protected....	Every sapient being shall be equally protected....	true	136.19	139.59	21.9449
5717_100145_000008_000000	Then he came to Article Six.	Then he came to Article Six.	true	139.59	142.3	24.863958
5717_100145_000008_000001	He cleared his throat, raised his voice, and read:	He cleared his throat, raised his voice, and read:	true	142.4	145.86	21.633545
5717_100145_000009_000000	"_There shall be no chattel-slavery or serfdom anywhere in the Empire; no sapient being, of any race whatsoever, shall be the property of any being but himself._"	"underscore There shall be no chattel slavery or serfdom anywhere in the Empire; no sapient being, of any race whatsoever, shall be the property of any being but himself.underscore"	false	145.86	159.3	21.957699
5717_100145_000010_000000	The Convocation Chamber was silent, like a bomb with a defective fuse, for all of thirty seconds.	The Convocation Chamber was silent, like a bomb with a defective fuse, for all of thirty seconds.	true	159.3	165.82	23
5717_100145_000010_000001	Then it blew up with a roar.	Then it blew up with a roar.	true	165.86	168.46	25.536137
5717_100145_000010_000002	Out of the corner of his eye, he saw the doors slide apart and an airjeep, bristling with machine guns, float in and rise to the ceiling.	Out of the corner of his eye, he saw the doors slide apart and an airjeep, bristling with machine guns, float in and rise to the ceiling.	true	168.56	178.06	21.561531
5717_100145_000010_000003	The first inarticulate roar was followed by a babel of voices, like a tropical cloudburst on a prefab hut.	The first inarticulate roar was followed by a babel of voices, like a tropical cloudburst on a prefab hut.	true	178.13	185.17	22.38242
5717_100145_000010_000004	Olvir Nikkolon's mouth was working as he shouted unheard.	Olvir Nikkolon's mouth was working as he shouted unheard.	true	185.18	189.52	21.734682
5717_100145_000011_000000	He pressed another of the row of buttons on the arm of his chair.	He pressed another of the row of buttons on the arm of his chair.	false	189.77	193.33	21.709518
5717_100145_000011_000001	Out of the screen-speaker a voice, as loud, by actual sound-meter test, as an anti-vehicle gun, thundered:	Out of the screen speaker a voice, as loud, by actual sound meter test, as an anti vehicle gun, thundered:	true	193.34	201.315	23.847416
5717_100145_000012_000000	"SILENCE!"	"SILENCE!"	true	201.315	203.62	15
5717_100145_000013_000000	Into the shocked stillness which it produced, he spoke, like a schoolmaster who has returned to find his room in an uproar:	Into the shocked stillness which it produced, he spoke, like a schoolmaster who has returned to find his room in an uproar:	false	205.13	212.86	23.207981
5717_100145_000014_000000	"Lord Nikkolon; what is this nonsense?	"Lord Nikkolon; what is this nonsense?	true	213.08	216.15	16
5717_100145_000014_000001	You are Chairman of the Presidium; is this how you keep order here?	You are Chairman of the Presidium; is this how you keep order here?	false	216.15	220.35	25.347965
5717_100145_000014_000002	What is this, a planetary parliament or a spaceport saloon?"	What is this, a planetary parliament or a spaceport saloon?"	true	220.35	224.26	23.611914
5717_100145_000015_000000	"You tricked us!" Nikkolon accused.	"You tricked us!" Nikkolon accused.	true	224.45	227.71	28.119612
5717_100145_000015_000001	"You didn't tell us about that article when we voted.	"You didn't tell us about that article when we voted.	true	227.72	231.165	23.229353
5717_100145_000015_000002	Why, our whole society is based on slavery!"	Why, our whole society is based on slavery!"	true	231.165	234.07	24.275387
5717_100145_000016_000000	Other voices joined in:	Other voices joined in:	true	234.2	235.93	21.69972
5717_100145_000017_000000	"That's all right for you people, you have robots...."	"That's all right for you people, you have robots...."	true	236	238.51	24.459759
5717_100145_000018_000000	"Maybe you don't know it, but there are twenty million slaves on this planet...."	"Maybe you don't know it, but there are twenty million slaves on this planet...."	true	238.58	242.02	18
5717_100145_000019_000000	"Look, you can't free slaves!	"Look, you can't free slaves!	true	242.06	243.795	21.772535
5717_100145_000019_000001	That's ridiculous.	That's ridiculous.	true	243.795	244.935	23
5717_100145_000019_000002	A slave's a _slave_!"	A slave's a underscore slave underscore!"	false	244.935	246.96	19.12892
5717_100145_000020_000000	"Who'll do the work?	"Who'll do the work?	false	246.96	248.175	22.781685
5717_100145_000020_000001	And who would they belong to?	And who would they belong to?	true	248.175	249.6	18
5717_100145_000020_000002	They'd have to belong to somebody!"	They'd have to belong to somebody!"	false	249.6	251.44	20.611872
5717_100145_000021_000000	"What I want to know," Rovard Javasan made himself heard, is, "_how_ are you going to free them?"	"What I want to know," Rovard Javasan made himself heard, is, "underscore how underscore are you going to free them?"	false	251.69	258.88	23.87225
5717_100145_000022_000000	There was an ancient word, originating in one of the lost languages of Pre-Atomic Terra--_sixtifor_.	There was an ancient word, originating in one of the lost languages of Pre Atomic Terra-underscore sixtifor underscore.	false	259.37	266.91	23.349941
5717_100145_000022_000001	It meant, the basic, fundamental, question.	It meant, the basic, fundamental, question.	true	266.91	269.79	29.821215
5717_100145_000022_000002	Rovard Javasan, he suspected, had just asked the sixtifor.	Rovard Javasan, he suspected, had just asked the sixtifor.	true	269.79	274.9	23.371254
5717_100145_000022_000003	Of course, Obray, Count Erskyll, Planetary Proconsul of Aditya, didn't realize that.	Of course, Obray, Count Erskyll, Planetary Proconsul of Aditya, didn't realize that.	true	274.91	280.72	25.259981
5717_100145_000022_000004	He didn't even know what Javasan meant.	He didn't even know what Javasan meant.	true	280.79	283.41	21.194477
5717_100145_000022_000005	Just free them. Commodore Vann Shatrak couldn't see much of a problem, either.	Just free them. Commodore Vann Shatrak couldn't see much of a problem, either.	true	283.41	289.3	23.253351
5717_100145_000022_000006	He would have answered, Just free them, and then shoot down the first two or three thousand who took it seriously.	He would have answered, Just free them, and then shoot down the first two or three thousand who took it seriously.	true	289.31	295.75	24.465485
