4854_24732_000000_000000	PROP. XVI.	PROP. sixteen.	false	26.25	31.23	22.665567
4854_24732_000000_000001	From the necessity of the divine nature must follow an infinite number of things in infinite ways--that is, all things which can fall within the sphere of infinite intellect.	From the necessity of the divine nature must follow an infinite number of things in infinite ways-that is, all things which can fall within the sphere of infinite intellect.	true	31.23	42.79	18
4854_24732_000001_000000	Proof.--This proposition will be clear to everyone, who remembers that from the given definition of any thing the intellect infers several properties, which really necessarily follow therefrom (that is, from the actual essence of the thing defined); and it infers more properties in proportion as the definition of the thing expresses more reality, that is, in proportion as the essence of the thing defined involves more reality.	Proof.--This proposition will be clear to everyone, who remembers that from the given definition of any thing the intellect infers several properties, which really necessarily follow therefrom (that is, from the actual essence of the thing defined); and it infers more properties in proportion as the definition of the thing expresses more reality, that is, in proportion as the essence of the thing defined involves more reality.	true	43.55	72.55	18
4854_24732_000001_000001	Now, as the divine nature has absolutely infinite attributes (by Def. vi.), of which each expresses infinite essence after its kind, it follows that from the necessity of its nature an infinite number of things (that is, everything which can fall within the sphere of an infinite intellect) must necessarily follow.	Now, as the divine nature has absolutely infinite attributes (by Def. vi.), of which each expresses infinite essence after its kind, it follows that from the necessity of its nature an infinite number of things (that is, everything which can fall within the sphere of an infinite intellect) must necessarily follow.	false	73.16	95.34	20
4854_24732_000001_000002	Q.E.D.	q e d	false	95.34	97.5	19.035624
4854_24732_000002_000000	Corollary I.--Hence it follows, that God is the efficient cause of all that can fall within the sphere of an infinite intellect.	Corollary i--Hence it follows, that God is the efficient cause of all that can fall within the sphere of an infinite intellect.	false	97.5	106.48	19.733856
4854_24732_000003_000000	Corollary II.--It also follows that God is a cause in himself, and not through an accident of his nature.	Corollary two.--It also follows that God is a cause in himself, and not through an accident of his nature.	true	106.94	114.79	22.303625
4854_24732_000004_000000	Corollary III.--It follows, thirdly, that God is the absolutely first cause.	Corollary three.--It follows, thirdly, that God is the absolutely first cause.	true	115.37	122.22	21.461489
4854_24732_000005_000000	PROP. XVII.	PROP. seventeen.	false	122.22	125.05	14.020678
4854_24732_000005_000001	God acts solely by the laws of his own nature, and is not constrained by anyone.	God acts solely by the laws of his own nature, and is not constrained by anyone.	true	125.51	131.29	17
4854_24732_000006_000000	Proof.--We have just shown (in Prop. xvi.), that solely from the necessity of the divine nature, or, what is the same thing, solely from the laws of his nature, an infinite number of things absolutely follow in an infinite number of ways; and we proved (in Prop. xv.), that without God nothing can be nor be conceived but that all things are in God.	Proof.--We have just shown (in Prop. x v i.), that solely from the necessity of the divine nature, or, what is the same thing, solely from the laws of his nature, an infinite number of things absolutely follow in an infinite number of ways; and we proved (in Prop. x v.), that without God nothing can be nor be conceived but that all things are in God.	false	132.05	159.28	19
4854_24732_000006_000001	Wherefore nothing can exist; outside himself, whereby he can be conditioned or constrained to act.	Wherefore nothing can exist; outside himself, whereby he can be conditioned or constrained to act.	true	159.47	166.54	17
4854_24732_000006_000002	Wherefore God acts solely by the laws of his own nature, and is not constrained by anyone.	Wherefore God acts solely by the laws of his own nature, and is not constrained by anyone.	true	166.85	172.44	16
4854_24732_000006_000003	Q.E.D.	q e d	false	172.44	175.56	20.218386
4854_24732_000007_000000	Corollary I.--It follows: 1.	Corollary i--It follows: one.	false	175.56	178.39	18.407825
4854_24732_000007_000001	That there can be no cause which, either extrinsically or intrinsically, besides the perfection of his own nature, moves God to act.	That there can be no cause which, either extrinsically or intrinsically, besides the perfection of his own nature, moves God to act.	true	178.67	186.67	17
4854_24732_000008_000000	Corollary II.--It follows: 2.	Corollary two.--It follows: two.	true	187.19	190.18	23.409704
4854_24732_000008_000001	That God is the sole free cause.	That God is the sole free cause.	true	190.58	193.48	21.587196
4854_24732_000008_000002	For God alone exists by the sole necessity of his nature (by Prop. xi. and Prop. xiv., Coroll. i.), and acts by the sole necessity of his own nature, wherefore God is (by Def. vii.) the sole free cause.	For God alone exists by the sole necessity of his nature (by Prop. xi. and Prop. x i v., Coroll. i.), and acts by the sole necessity of his own nature, wherefore God is (by Def. vii.) the sole free cause.	false	193.61	210.9	20.911766
4854_24732_000008_000003	Q.E.D.	q e d	false	210.9	213.63	23.495779
4854_24732_000009_000000	Note.--Others think that God is a free cause, because he can, as they think, bring it about, that those things which we have said follow from his nature--that is, which are in his power, should not come to pass, or should not be produced by him.	Note.--Others think that God is a free cause, because he can, as they think, bring it about, that those things which we have said follow from his nature-that is, which are in his power, should not come to pass, or should not be produced by him.	true	213.63	230.35	24.151445
4854_24732_000009_000001	But this is the same as if they said, that God could bring it about, that it should follow from the nature of a triangle that its three interior angles should not be equal to two right angles; or that from a given cause no effect should follow, which is absurd.	But this is the same as if they said, that God could bring it about, that it should follow from the nature of a triangle that its three interior angles should not be equal to two right angles; or that from a given cause no effect should follow, which is absurd.	true	230.66	247.3	21.221415
4854_24732_000010_000000	Moreover, I will show below, without the aid of this proposition, that neither intellect nor will appertain to God's nature.	Moreover, I will show below, without the aid of this proposition, that neither intellect nor will appertain to God's nature.	true	247.94	256.75	20.455221
4854_24732_000010_000001	I know that there are many who think that they can show, that supreme intellect and free will do appertain to God's nature; for they say they know of nothing more perfect, which they can attribute to God, than that which is the highest perfection in ourselves.	I know that there are many who think that they can show, that supreme intellect and free will do appertain to God's nature; for they say they know of nothing more perfect, which they can attribute to God, than that which is the highest perfection in ourselves.	true	257.12	271.69	21.882883
4854_24732_000010_000002	Further, although they conceive God as actually supremely intelligent, they yet do not believe that he can bring into existence everything which he actually understands, for they think that they would thus destroy God's power.	Further, although they conceive God as actually supremely intelligent, they yet do not believe that he can bring into existence everything which he actually understands, for they think that they would thus destroy God's power.	true	272.15	285.22	20.999296
4854_24732_000010_000003	If, they contend, God had created everything which is in his intellect, he would not be able to create anything more, and this, they think, would clash with God's omnipotence; therefore, they prefer to asset that God is indifferent to all things, and that he creates nothing except that which he has decided, by some absolute exercise of will, to create.	If, they contend, God had created everything which is in his intellect, he would not be able to create anything more, and this, they think, would clash with God's omnipotence; therefore, they prefer to asset that God is indifferent to all things, and that he creates nothing except that which he has decided, by some absolute exercise of will, to create.	false	285.65	309.07	23.322481
