4145_34497_000000_000000	"A man brought it from Princess Tverskaya."	"A man brought it from Princess Tverskaya."	false	4.47	7.05	24.90298
4145_34497_000001_000000	Vronsky opened the letter, and flushed crimson.	Vronsky opened the letter, and flushed crimson.	false	7.05	8.85	22.75796
4145_34497_000002_000000	"My head's begun to ache; I'm going home," he said to Serpuhovskoy.	"My head's begun to ache; I'm going home," he said to Serpuhovskoy.	false	8.85	13.59	27.096891
4145_34497_000003_000000	"Oh, good-bye then.	"Oh, good bye then.	false	13.59	15.12	24.710419
4145_34497_000003_000001	You give me _carte blanche!_"	You give me underscore carte blanche!underscore"	false	15.12	17.79	23.217808
4145_34497_000004_000000	"We'll talk about it later on; I'll look you up in Petersburg."	"We'll talk about it later on; I'll look you up in Petersburg."	false	17.79	23.55	26.727448
4145_34497_000005_000000	Chapter 22	Chapter twenty two	true	23.55	25.18	28.710058
4145_34497_000006_000000	It was six o'clock already, and so, in order to be there quickly, and at the same time not to drive with his own horses, known to everyone, Vronsky got into Yashvin's hired fly, and told the driver to drive as quickly as possible.	It was six o'clock already, and so, in order to be there quickly, and at the same time not to drive with his own horses, known to everyone, Vronsky got into Yashvin's hired fly, and told the driver to drive as quickly as possible.	true	26.48	40.08	23.605217
4145_34497_000006_000001	It was a roomy, old-fashioned fly, with seats for four.	It was a roomy, old-fashioned fly, with seats for four.	true	40.08	43.72	23.480837
4145_34497_000006_000002	He sat in one corner, stretched his legs out on the front seat, and sank into meditation.	He sat in one corner, stretched his legs out on the front seat, and sank into meditation.	true	44.18	49.78	22.52299
4145_34497_000007_000000	A vague sense of the order into which his affairs had been brought, a vague recollection of the friendliness and flattery of Serpuhovskoy, who had considered him a man that was needed, and most of all, the anticipation of the interview before him--all blended into a general, joyous sense of life.	A vague sense of the order into which his affairs had been brought, a vague recollection of the friendliness and flattery of Serpuhovskoy, who had considered him a man that was needed, and most of all, the anticipation of the interview before him-all blended into a general, joyous sense of life.	true	50.51	67.54	22.871246
4145_34497_000007_000001	This feeling was so strong that he could not help smiling.	This feeling was so strong that he could not help smiling.	true	67.79	71.07	22.351212
4145_34497_000007_000002	He dropped his legs, crossed one leg over the other knee, and taking it in his hand, felt the springy muscle of the calf, where it had been grazed the day before by his fall, and leaning back he drew several deep breaths.	He dropped his legs, crossed one leg over the other knee, and taking it in his hand, felt the springy muscle of the calf, where it had been grazed the day before by his fall, and leaning back he drew several deep breaths.	true	71.07	83.98	24.543747
4145_34497_000008_000000	"I'm happy, very happy!" he said to himself.	"I'm happy, very happy!" he said to himself.	true	84.47	87.855	25.20311
4145_34497_000008_000001	He had often before had this sense of physical joy in his own body, but he had never felt so fond of himself, of his own body, as at that moment.	He had often before had this sense of physical joy in his own body, but he had never felt so fond of himself, of his own body, as at that moment.	true	87.855	96.94	25.07996
4145_34497_000008_000002	He enjoyed the slight ache in his strong leg, he enjoyed the muscular sensation of movement in his chest as he breathed.	He enjoyed the slight ache in his strong leg, he enjoyed the muscular sensation of movement in his chest as he breathed.	true	97.22	105.01	23.514938
4145_34497_000008_000003	The bright, cold August day, which had made Anna feel so hopeless, seemed to him keenly stimulating, and refreshed his face and neck that still tingled from the cold water.	The bright, cold August day, which had made Anna feel so hopeless, seemed to him keenly stimulating, and refreshed his face and neck that still tingled from the cold water.	true	105.32	116.41	25.672226
4145_34497_000008_000004	The scent of brilliantine on his whiskers struck him as particularly pleasant in the fresh air.	The scent of brilliantine on his whiskers struck him as particularly pleasant in the fresh air.	true	117.08	122.44	25.131628
4145_34497_000008_000005	Everything he saw from the carriage window, everything in that cold pure air, in the pale light of the sunset, was as fresh, and gay, and strong as he was himself: the roofs of the houses shining in the rays of the setting sun, the sharp outlines of fences and angles of buildings, the figures of passers-by, the carriages that met him now and then, the motionless green of the trees and grass, the fields with evenly drawn furrows of potatoes, and the slanting shadows that fell from the houses, and trees, and bushes, and even from the rows of potatoes--everything was bright like a pretty landscape just finished and freshly varnished.	Everything he saw from the carriage window, everything in that cold pure air, in the pale light of the sunset, was as fresh, and gay, and strong as he was himself: the roofs of the houses shining in the rays of the setting sun, the sharp outlines of fences and angles of buildings, the figures of passers by, the carriages that met him now and then, the motionless green of the trees and grass, the fields with evenly drawn furrows of potatoes, and the slanting shadows that fell from the houses, and trees, and bushes, and even from the rows of potatoes-everything was bright like a pretty landscape just finished and freshly varnished.	true	122.93	163.18	23.550402
4145_34497_000009_000000	"Get on, get on!" he said to the driver, putting his head out of the window, and pulling a three-rouble note out of his pocket he handed it to the man as he looked round.	"Get on, get on!" he said to the driver, putting his head out of the window, and pulling a three rouble note out of his pocket he handed it to the man as he looked round.	true	163.97	172.78	22.5669
4145_34497_000009_000001	The driver's hand fumbled with something at the lamp, the whip cracked, and the carriage rolled rapidly along the smooth highroad.	The driver's hand fumbled with something at the lamp, the whip cracked, and the carriage rolled rapidly along the smooth highroad.	true	173.06	180.61	26.262823
4145_34497_000010_000000	"I want nothing, nothing but this happiness," he thought, staring at the bone button of the bell in the space between the windows, and picturing to himself Anna just as he had seen her last time.	"I want nothing, nothing but this happiness," he thought, staring at the bone button of the bell in the space between the windows, and picturing to himself Anna just as he had seen her last time.	true	181.76	193.69	25.867989
4145_34497_000010_000001	"And as I go on, I love her more and more.	"And as I go on, I love her more and more.	true	194.39	197.11	24.240566
4145_34497_000010_000002	Here's the garden of the Vrede Villa. Whereabouts will she be?	Here's the garden of the v rede Villa. Whereabouts will she be?	false	197.75	201.85	24.960331
4145_34497_000010_000003	Where?	Where?	true	201.98	202.755	24.700592
4145_34497_000010_000004	How?	How?	true	202.755	203.68	23.823895
4145_34497_000010_000005	Why did she fix on this place to meet me, and why does she write in Betsy's letter?" he thought, wondering now for the first time at it.	Why did she fix on this place to meet me, and why does she write in Betsy's letter?" he thought, wondering now for the first time at it.	true	203.69	211.03	24.327065
4145_34497_000010_000006	But there was now no time for wonder.	But there was now no time for wonder.	true	211.22	213.645	20.455437
4145_34497_000010_000007	He called to the driver to stop before reaching the avenue, and opening the door, jumped out of the carriage as it was moving, and went into the avenue that led up to the house.	He called to the driver to stop before reaching the avenue, and opening the door, jumped out of the carriage as it was moving, and went into the avenue that led up to the house.	true	213.645	222.94	25.01307
4145_34497_000010_000008	There was no one in the avenue; but looking round to the right he caught sight of her.	There was no one in the avenue; but looking round to the right he caught sight of her.	true	223.46	228.25	26.248001
