5985_300225_000003_000001	On the one hand, Jeff Wain's infatuation had rapidly increased, in view of her speedy departure.	On the one hand, Jeff Wain's infatuation had rapidly increased, in view of her speedy departure.
5985_300225_000003_000002	From Mrs. Tryon's remark about Wain's wife Amanda, and from things Rena had since learned, she had every reason to believe that this wife was living, and that Wain must be aware of the fact.	From mrs Tryon's remark about Wain's wife Amanda, and from things Rena had since learned, she had every reason to believe that this wife was living, and that Wain must be aware of the fact.
5985_300225_000003_000003	In the light of this knowledge, Wain's former conduct took on a blacker significance than, upon reflection, she had charitably clothed it with after the first flush of indignation.	In the light of this knowledge, Wain's former conduct took on a blacker significance than, upon reflection, she had charitably clothed it with after the first flush of indignation.
5985_300225_000003_000005	In a week her school would be over, and then she would get Elder Johnson, or some one else than Wain, to take her back to Patesville.	In a week her school would be over, and then she would get Elder Johnson, or some one else than Wain, to take her back to Patesville.
5985_300225_000003_000006	True, she might abandon her school and go at once; but her work would be incomplete, she would have violated her contract, she would lose her salary for the month, explanations would be necessary, and would not be forthcoming.	True, she might abandon her school and go at once; but her work would be incomplete, she would have violated her contract, she would lose her salary for the month, explanations would be necessary, and would not be forthcoming.
5985_300225_000003_000007	She might feign sickness,--indeed, it would scarcely be feigning, for she felt far from well; she had never, since her illness, quite recovered her former vigor--but the inconvenience to others would be the same, and her self-sacrifice would have had, at its very first trial, a lame and impotent conclusion.	She might feign sickness,--indeed, it would scarcely be feigning, for she felt far from well; she had never, since her illness, quite recovered her former vigor-but the inconvenience to others would be the same, and her self sacrifice would have had, at its very first trial, a lame and impotent conclusion.
5985_300225_000003_000008	She had as yet no fear of personal violence from Wain; but, under the circumstances, his attentions were an insult.	She had as yet no fear of personal violence from Wain; but, under the circumstances, his attentions were an insult.
5985_300225_000003_000009	He was evidently bent upon conquest, and vain enough to think he might achieve it by virtue of his personal attractions.	He was evidently bent upon conquest, and vain enough to think he might achieve it by virtue of his personal attractions.
5985_300225_000003_000010	If he could have understood how she loathed the sight of his narrow eyes, with their puffy lids, his thick, tobacco-stained lips, his doubtful teeth, and his unwieldy person, Wain, a monument of conceit that he was, might have shrunk, even in his own estimation, to something like his real proportions.	If he could have understood how she loathed the sight of his narrow eyes, with their puffy lids, his thick, tobacco stained lips, his doubtful teeth, and his unwieldy person, Wain, a monument of conceit that he was, might have shrunk, even in his own estimation, to something like his real proportions.
5985_300225_000003_000011	Rena believed that, to defend herself from persecution at his hands, it was only necessary that she never let him find her alone. This, however, required constant watchfulness.	Rena believed that, to defend herself from persecution at his hands, it was only necessary that she never let him find her alone. This, however, required constant watchfulness.
5985_300225_000003_000012	Relying upon his own powers, and upon a woman's weakness and aversion to scandal, from which not even the purest may always escape unscathed, and convinced by her former silence that he had nothing serious to fear, Wain made it a point to be present at every public place where she might be.	Relying upon his own powers, and upon a woman's weakness and aversion to scandal, from which not even the purest may always escape unscathed, and convinced by her former silence that he had nothing serious to fear, Wain made it a point to be present at every public place where she might be.
