606_127691_000000_000000	Chapter 4	Chapter four	false	21.6	24.99	18.30866
606_127691_000001_000000	Snow Banners	Snow Banners	true	24.99	26.47	17.34935
606_127691_000002_000000	But it is on the mountain tops, when they are laden with loose, dry snow and swept by a gale from the north, that the most magnificent storm scenery is displayed.	But it is on the mountain tops, when they are laden with loose, dry snow and swept by a gale from the north, that the most magnificent storm scenery is displayed.	true	27.8	40.15	19.918375
606_127691_000002_000001	The peaks along the axis of the Range are then decorated with resplendent banners, some of them more than a mile long, shining, streaming, waving with solemn exuberant enthusiasm as if celebrating some surpassingly glorious event.	The peaks along the axis of the Range are then decorated with resplendent banners, some of them more than a mile long, shining, streaming, waving with solemn exuberant enthusiasm as if celebrating some surpassingly glorious event.	true	40.46	60.1	18.287748
606_127691_000003_000000	The snow of which these banners are made falls on the high Sierra in most extravagant abundance, sometimes to a depth of fifteen or twenty feet, coming from the fertile clouds not in large angled flakes such as one oftentimes sees in Yosemite, seldom even in complete crystals, for many of the starry blossoms fall before they are ripe, while most of those that attain perfect development as six-petaled flowers are more or less broken by glinting and chafing against one another on the way down to their work.	The snow of which these banners are made falls on the high Sierra in most extravagant abundance, sometimes to a depth of fifteen or twenty feet, coming from the fertile clouds not in large angled flakes such as one oftentimes sees in Yosemite, seldom even in complete crystals, for many of the starry blossoms fall before they are ripe, while most of those that attain perfect development as six petaled flowers are more or less broken by glinting and chafing against one another on the way down to their work.	true	61.16	101.53	19.809542
606_127691_000003_000001	This dry frosty snow is prepared for the grand banner-waving celebrations by the action of the wind.	This dry frosty snow is prepared for the grand banner waving celebrations by the action of the wind.	true	102.11	111.19	17
606_127691_000003_000002	Instead of at once finding rest like that which falls into the tranquil depths of the forest, it is shoved and rolled and beaten against boulders and out-jutting rocks, swirled in pits and hollows like sand in river pot-holes, and ground into sparkling dust.	Instead of at once finding rest like that which falls into the tranquil depths of the forest, it is shoved and rolled and beaten against boulders and out jutting rocks, swirled in pits and hollows like sand in river pot holes, and ground into sparkling dust.	false	111.8	133.87	18
606_127691_000003_000003	And when storm winds find this snow-dust in a loose condition on the slopes above the timber-line they toss it back into the sky and sweep it onward from peak to peak in the form of smooth regular banners, or in cloudy drifts, according to the velocity and direction of the wind, and the conformation of the slopes over which it is driven.	And when storm winds find this snow dust in a loose condition on the slopes above the timber line they toss it back into the sky and sweep it onward from peak to peak in the form of smooth regular banners, or in cloudy drifts, according to the velocity and direction of the wind, and the conformation of the slopes over which it is driven.	true	134.48	160.9	18.170185
606_127691_000003_000004	While thus flying through the air a small portion escapes from the mountains to the sky as vapor; but far the greater part is at length locked fast in bossy overcurling cornices along the ridges, or in stratified sheets in the glacier cirques, some of it to replenish the small residual glaciers and remain silent and rigid for centuries before it is finally melted and sent singing down home to the sea.	While thus flying through the air a small portion escapes from the mountains to the sky as vapor; but far the greater part is at length locked fast in bossy overcurling cornices along the ridges, or in stratified sheets in the glacier cirques, some of it to replenish the small residual glaciers and remain silent and rigid for centuries before it is finally melted and sent singing down home to the sea.	true	161.78	193.3	18.54236
606_127691_000004_000000	But, though snow-dust and storm-winds abound on the mountains, regular shapely banners are, for causes we shall presently see, seldom produced. During the five winters that I spent in Yosemite I made many excursions to high points above the walls in all kinds of weather to see what was going on outside; from all my lofty outlooks I saw only one banner-storm that seemed in every way perfect.	But, though snow dust and storm winds abound on the mountains, regular shapely banners are, for causes we shall presently see, seldom produced. During the five winters that I spent in Yosemite I made many excursions to high points above the walls in all kinds of weather to see what was going on outside; from all my lofty outlooks I saw only one banner storm that seemed in every way perfect.	false	194.12	226.6	19.048748
606_127691_000004_000001	This was in the winter of 1873, when the snow-laden peaks were swept by a powerful norther.	This was in the winter of eighteen seventy three, when the snow laden peaks were swept by a powerful norther.	true	227.24	236.05	20.000732
606_127691_000004_000002	I was awakened early in the morning by a wild storm-wind and of course I had to make haste to the middle of the Valley to enjoy it.	I was awakened early in the morning by a wild storm wind and of course I had to make haste to the middle of the Valley to enjoy it.	true	236.6	247.09	20.09423
