3835_178029_000000_000000	CHAPTER III	CHAPTER three	false	3.15	9	23.819532
3835_178029_000001_000000	Nine days after the abandonment of Moscow, a messenger from Kutuzov reached Petersburg with the official announcement of that event.	Nine days after the abandonment of Moscow, a messenger from Kutuzov reached Petersburg with the official announcement of that event.	true	9	16.3	23.496843
3835_178029_000001_000001	This messenger was Michaud, a Frenchman who did not know Russian, but who was quoique etranger, russe de coeur et d'ame, * as he said of himself.	This messenger was Michaud, a Frenchman who did not know Russian, but who was quoique etranger, russe de coeur et d'ame, asterisk as he said of himself.	false	16.52	23.97	21.523289
3835_178029_000002_000000	* Though a foreigner, Russian in heart and soul.	asterisk Though a foreigner, Russian in heart and soul.	false	23.97	28.41	24.60955
3835_178029_000003_000000	The Emperor at once received this messenger in his study at the palace on Stone Island.	The Emperor at once received this messenger in his study at the palace on Stone Island.	true	28.41	33.42	19
3835_178029_000003_000001	Michaud, who had never seen Moscow before the campaign and who did not know Russian, yet felt deeply moved (as he wrote) when he appeared before notre tres gracieux souverain * with the news of the burning of Moscow, dont les flammes eclairaient sa route.	Michaud, who had never seen Moscow before the campaign and who did not know Russian, yet felt deeply moved (as he wrote) when he appeared before notre tres gracieux souverain asterisk with the news of the burning of Moscow, dont les flammes eclairaient sa route.	false	33.42	49.89	22.057072
3835_178029_000003_000002	*(2)	asterisk(two)	false	49.89	50.31	14
3835_178029_000004_000000	* Our most gracious sovereign.	asterisk Our most gracious sovereign.	false	50.31	51.36	20.283794
3835_178029_000005_000000	* (2) Whose flames illumined his route.	asterisk (two) Whose flames illumined his route.	false	51.36	53.86	19.282293
3835_178029_000006_000000	Though the source of M. Michaud's chagrin must have been different from that which caused Russians to grieve, he had such a sad face when shown into the Emperor's study that the latter at once asked:	Though the source of m Michaud's chagrin must have been different from that which caused Russians to grieve, he had such a sad face when shown into the Emperor's study that the latter at once asked:	false	54.47	65.68	21.436363
3835_178029_000007_000000	"Have you brought me sad news, Colonel?"	"Have you brought me sad news, Colonel?"	true	65.81	67.68	26.121294
3835_178029_000008_000000	"Very sad, sire," replied Michaud, lowering his eyes with a sigh.	"Very sad, sire," replied Michaud, lowering his eyes with a sigh.	true	67.68	71.86	21.729765
3835_178029_000008_000001	"The abandonment of Moscow."	"The abandonment of Moscow."	true	71.93	74.11	28.005182
3835_178029_000009_000000	"Have they surrendered my ancient capital without a battle?" asked the Emperor quickly, his face suddenly flushing.	"Have they surrendered my ancient capital without a battle?" asked the Emperor quickly, his face suddenly flushing.	false	74.36	80.19	29.213593
3835_178029_000010_000000	Michaud respectfully delivered the message Kutuzov had entrusted to him, which was that it had been impossible to fight before Moscow, and that as the only remaining choice was between losing the army as well as Moscow, or losing Moscow alone, the field marshal had to choose the latter.	Michaud respectfully delivered the message Kutuzov had entrusted to him, which was that it had been impossible to fight before Moscow, and that as the only remaining choice was between losing the army as well as Moscow, or losing Moscow alone, the field marshal had to choose the latter.	false	80.19	97.24	24.794245
