1322_137588_000000_000000	Now is there any here, said Arthur, that knoweth King Rience?	Now is there any here, said Arthur, that knoweth King Rience?	false	0	3.51	21.80089
1322_137588_000000_000001	Then answered a knight that hight Naram, Sir, I know the king well; he is a passing good man of his body, as few be living, and a passing proud man, and Sir, doubt ye not he will make war on you with a mighty puissance. Well, said Arthur, I shall ordain for him in short time.	Then answered a knight that hight Naram, Sir, I know the king well; he is a passing good man of his body, as few be living, and a passing proud man, and Sir, doubt ye not he will make war on you with a mighty puissance. Well, said Arthur, I shall ordain for him in short time.	false	3.51	8.16	21.945156
1322_137588_000001_000000	CHAPTER XXVII.	CHAPTER twenty seven.	false	8.16	8.4	-20
1322_137588_000001_000001	How all the children were sent for that were born on May-day, and how Mordred was saved.	How all the children were sent for that were born on May day, and how Mordred was saved.	false	8.4	8.85	48
1322_137588_000002_000000	THEN King Arthur let send for all the children born on May-day, begotten of lords and born of ladies; for Merlin told King Arthur that he that should destroy him should be born on May-day, wherefore he sent for them all, upon pain of death; and so there were found many lords' sons, and all were sent unto the king, and so was Mordred sent by King Lot's wife, and all were put in a ship to the sea, and some were four weeks old, and some less.	THEN King Arthur let send for all the children born on May day, begotten of lords and born of ladies; for Merlin told King Arthur that he that should destroy him should be born on May day, wherefore he sent for them all, upon pain of death; and so there were found many lords' sons, and all were sent unto the king, and so was Mordred sent by King Lot's wife, and all were put in a ship to the sea, and some were four weeks old, and some less.	false	8.85	10.35	9
1322_137588_000002_000001	And so by fortune the ship drave unto a castle, and was all to-riven, and destroyed the most part, save that Mordred was cast up, and a good man found him, and nourished him till he was fourteen year old, and then he brought him to the court, as it rehearseth afterward, toward the end of the Death of Arthur.	And so by fortune the ship drave unto a castle, and was all to riven, and destroyed the most part, save that Mordred was cast up, and a good man found him, and nourished him till he was fourteen year old, and then he brought him to the court, as it rehearseth afterward, toward the end of the Death of Arthur.	false	10.35	16.62	20.605976
1322_137588_000002_000002	So many lords and barons of this realm were displeased, for their children were so lost, and many put the wite on Merlin more than on Arthur; so what for dread and for love, they held their peace.	So many lords and barons of this realm were displeased, for their children were so lost, and many put the wite on Merlin more than on Arthur; so what for dread and for love, they held their peace.	false	16.62	19.8	28.8439
1322_137588_000002_000003	But when the messenger came to King Rience, then was he wood out of measure, and purveyed him for a great host, as it rehearseth after in the book of Balin le Savage, that followeth next after, how by adventure Balin gat the sword.	But when the messenger came to King Rience, then was he wood out of measure, and purveyed him for a great host, as it rehearseth after in the book of Balin le Savage, that followeth next after, how by adventure Balin gat the sword.	false	19.8	23.67	21.56569
1322_137588_000003_000000	Explicit liber primus.	Explicit liber primus.	false	23.67	24.15	25.795727
1322_137588_000003_000001	Incipit liber secundus	Incipit liber secundus	false	24.15	24.63	8
1322_137588_000004_000000	BOOK II.	BOOK two.	true	24.63	25.29	25
1322_137588_000005_000000	CHAPTER I. Of a damosel which came girt with a sword for to find a man of such virtue to draw it out of the scabbard.	CHAPTER one Of a damosel which came girt with a sword for to find a man of such virtue to draw it out of the scabbard.	false	25.29	31.65	21.043844
1322_137588_000006_000000	AFTER the death of Uther Pendragon reigned Arthur his son, the which had great war in his days for to get all England into his hand.	AFTER the death of Uther Pendragon reigned Arthur his son, the which had great war in his days for to get all England into his hand.	true	31.65	39.4	16
1322_137588_000006_000001	For there were many kings within the realm of England, and in Wales, Scotland, and Cornwall.	For there were many kings within the realm of England, and in Wales, Scotland, and Cornwall.	true	39.98	44.59	15
1322_137588_000006_000002	So it befell on a time when King Arthur was at London, there came a knight and told the king tidings how that the King Rience of North Wales had reared a great number of people, and were entered into the land, and burnt and slew the king's true liege people.	So it befell on a time when King Arthur was at London, there came a knight and told the king tidings how that the King Rience of North Wales had reared a great number of people, and were entered into the land, and burnt and slew the king's true liege people.	true	45.53	59.92	22
1322_137588_000006_000003	If this be true, said Arthur, it were great shame unto mine estate but that he were mightily withstood.	If this be true, said Arthur, it were great shame unto mine estate but that he were mightily withstood.	true	60.74	66.94	21.657446
1322_137588_000006_000004	It is truth, said the knight, for I saw the host myself.	It is truth, said the knight, for I saw the host myself.	true	67.7	71.05	20.579775
1322_137588_000006_000005	Well, said the king, let make a cry, that all the lords, knights, and gentlemen of arms, should draw unto a castle called Camelot in those days, and there the king would let make a council-general and a great jousts.	Well, said the king, let make a cry, that all the lords, knights, and gentlemen of arms, should draw unto a castle called Camelot in those days, and there the king would let make a council general and a great jousts.	true	71.84	84.52	20.832256
1322_137588_000007_000000	So when the king was come thither with all his baronage, and lodged as they seemed best, there was come a damosel the which was sent on message from the great lady Lile of Avelion.	So when the king was come thither with all his baronage, and lodged as they seemed best, there was come a damosel the which was sent on message from the great lady Lile of Avelion.	false	86.99	97.03	19
1322_137588_000007_000001	And when she came before King Arthur, she told from whom she came, and how she was sent on message unto him for these causes.	And when she came before King Arthur, she told from whom she came, and how she was sent on message unto him for these causes.	true	97.64	104.62	20
1322_137588_000007_000002	Then she let her mantle fall that was richly furred; and then was she girt with a noble sword whereof the king had marvel, and said, Damosel, for what cause are ye girt with that sword? it beseemeth you not.	Then she let her mantle fall that was richly furred; and then was she girt with a noble sword whereof the king had marvel, and said, Damosel, for what cause are ye girt with that sword? it beseemeth you not.	true	105.5	117.76	20.871443
1322_137588_000007_000003	Now shall I tell you, said the damosel; this sword that I am girt withal doth me great sorrow and cumbrance, for I may not be delivered of this sword but by a knight, but he must be a passing good man of his hands and of his deeds, and without villainy or treachery, and without treason.	Now shall I tell you, said the damosel; this sword that I am girt withal doth me great sorrow and cumbrance, for I may not be delivered of this sword but by a knight, but he must be a passing good man of his hands and of his deeds, and without villainy or treachery, and without treason.	false	118.85	135.01	20.25899
1322_137588_000007_000004	And if I may find such a knight that hath all these virtues, he may draw out this sword out of the sheath, for I have been at King Rience's it was told me there were passing good knights, and he and all his knights have assayed it and none can speed. This is a great marvel, said Arthur, if this be sooth; I will myself assay to draw out the sword, not presuming upon myself that I am the best knight, but that I will begin to draw at your sword in giving example to all the barons that they shall assay everych one after other when I have assayed it.	And if I may find such a knight that hath all these virtues, he may draw out this sword out of the sheath, for I have been at King Rience's it was told me there were passing good knights, and he and all his knights have assayed it and none can speed. This is a great marvel, said Arthur, if this be sooth; I will myself assay to draw out the sword, not presuming upon myself that I am the best knight, but that I will begin to draw at your sword in giving example to all the barons that they shall assay everych one after other when I have assayed it.	true	135.8	168.28	19.86835
1322_137588_000007_000005	Then Arthur took the sword by the sheath and by the girdle and pulled at it eagerly, but the sword would not out.	Then Arthur took the sword by the sheath and by the girdle and pulled at it eagerly, but the sword would not out.	true	169.46	175.6	22.90956
