6294_86679_000000_000000	Conall Yellowclaw	Conall Yellowclaw
6294_86679_000001_000000	Conall Yellowclaw was a sturdy tenant in Erin: he had three sons. There was at that time a king over every fifth of Erin.	Conall Yellowclaw was a sturdy tenant in Erin: he had three sons. There was at that time a king over every fifth of Erin.
6294_86679_000001_000002	The children of Conall got the upper hand, and they killed the king's big son.	The children of Conall got the upper hand, and they killed the king's big son.
6294_86679_000001_000004	But I see that though I follow you revengefully, I shall not be much better for it, and I will now set a thing before you, and if you will do it, I will not follow you with revenge.	But I see that though I follow you revengefully, I shall not be much better for it, and I will now set a thing before you, and if you will do it, I will not follow you with revenge.
6294_86679_000001_000005	If you and your sons will get me the brown horse of the king of Lochlann, you shall get the souls of your sons."	If you and your sons will get me the brown horse of the king of Lochlann, you shall get the souls of your sons."
6294_86679_000002_000001	Hard is the matter you require of me, but I will lose my own life, and the life of my sons, or else I will do the pleasure of the king."	Hard is the matter you require of me, but I will lose my own life, and the life of my sons, or else I will do the pleasure of the king."
6294_86679_000003_000000	After these words Conall left the king, and he went home: when he got home he was under much trouble and perplexity.	After these words Conall left the king, and he went home: when he got home he was under much trouble and perplexity.
6294_86679_000003_000002	His wife took much sorrow that he was obliged to part from herself, while she knew not if she should see him more.	His wife took much sorrow that he was obliged to part from herself, while she knew not if she should see him more.
6294_86679_000005_000000	When he rose on the morrow, he set himself and his three sons in order, and they took their journey towards Lochlann, and they made no stop but tore through ocean till they reached it.	When he rose on the morrow, he set himself and his three sons in order, and they took their journey towards Lochlann, and they made no stop but tore through ocean till they reached it.
6294_86679_000006_000000	When they went to the house of the king's miller, the man asked them to stop there for the night.	When they went to the house of the king's miller, the man asked them to stop there for the night.
6294_86679_000006_000001	Conall told the miller that his own children and the children of his king had fallen out, and that his children had killed the king's son, and there was nothing that would please the king but that he should get the brown horse of the king of Lochlann.	Conall told the miller that his own children and the children of his king had fallen out, and that his children had killed the king's son, and there was nothing that would please the king but that he should get the brown horse of the king of Lochlann.
