6294_86679_000000_000000	Conall Yellowclaw	Conall Yellowclaw	true	23.88	25.78	21.665504
6294_86679_000001_000000	Conall Yellowclaw was a sturdy tenant in Erin: he had three sons. There was at that time a king over every fifth of Erin.	Conall Yellowclaw was a sturdy tenant in Erin: he had three sons. There was at that time a king over every fifth of Erin.	true	26.33	34.93	24.098318
6294_86679_000001_000001	It fell out for the children of the king that was near Conall, that they themselves and the children of Conall came to blows.	It fell out for the children of the king that was near Conall, that they themselves and the children of Conall came to blows.	false	35	41.14	21.650646
6294_86679_000001_000002	The children of Conall got the upper hand, and they killed the king's big son.	The children of Conall got the upper hand, and they killed the king's big son.	true	41.78	46.24	22.348413
6294_86679_000001_000003	The king sent a message for Conall, and he said to him: "O Conall! what made your sons go to spring on my sons till my big son was killed by your children?	The king sent a message for Conall, and he said to him: "O Conall! what made your sons go to spring on my sons till my big son was killed by your children?	false	46.37	55.42	21.917364
6294_86679_000001_000004	But I see that though I follow you revengefully, I shall not be much better for it, and I will now set a thing before you, and if you will do it, I will not follow you with revenge.	But I see that though I follow you revengefully, I shall not be much better for it, and I will now set a thing before you, and if you will do it, I will not follow you with revenge.	true	55.67	65.89	22.589222
6294_86679_000001_000005	If you and your sons will get me the brown horse of the king of Lochlann, you shall get the souls of your sons."	If you and your sons will get me the brown horse of the king of Lochlann, you shall get the souls of your sons."	true	66.02	72.04	21.004438
6294_86679_000002_000000	"Why," said Conall, "should not I do the pleasure of the king, though there should be no souls of my sons in dread at all?	"Why," said Conall, "should not I do the pleasure of the king, though there should be no souls of my sons in dread at all?	false	72.65	79.89	20.32673
6294_86679_000002_000001	Hard is the matter you require of me, but I will lose my own life, and the life of my sons, or else I will do the pleasure of the king."	Hard is the matter you require of me, but I will lose my own life, and the life of my sons, or else I will do the pleasure of the king."	true	79.89	87.58	22
6294_86679_000003_000000	After these words Conall left the king, and he went home: when he got home he was under much trouble and perplexity.	After these words Conall left the king, and he went home: when he got home he was under much trouble and perplexity.	true	87.89	94.63	22.316263
6294_86679_000003_000001	When he went to lie down he told his wife the thing the king had set before him.	When he went to lie down he told his wife the thing the king had set before him.	false	94.76	98.655	21.99216
6294_86679_000003_000002	His wife took much sorrow that he was obliged to part from herself, while she knew not if she should see him more.	His wife took much sorrow that he was obliged to part from herself, while she knew not if she should see him more.	true	98.655	105.31	21
6294_86679_000004_000000	"O Conall," said she, "why didst not thou let the king do his own pleasure to thy sons, rather than be going now, while I know not if ever I shall see thee more?"	"O Conall," said she, "why didst not thou let the king do his own pleasure to thy sons, rather than be going now, while I know not if ever I shall see thee more?"	true	105.32	115.75	19
6294_86679_000005_000000	When he rose on the morrow, he set himself and his three sons in order, and they took their journey towards Lochlann, and they made no stop but tore through ocean till they reached it.	When he rose on the morrow, he set himself and his three sons in order, and they took their journey towards Lochlann, and they made no stop but tore through ocean till they reached it.	true	116	125.265	22.91122
6294_86679_000005_000001	When they reached Lochlann they did not know what they should do.	When they reached Lochlann they did not know what they should do.	true	125.265	128.22	19
6294_86679_000005_000002	Said the old man to his sons, "Stop ye, and we will seek out the house of the king's miller."	Said the old man to his sons, "Stop ye, and we will seek out the house of the king's miller."	false	128.22	133.24	20.529348
6294_86679_000006_000000	When they went to the house of the king's miller, the man asked them to stop there for the night.	When they went to the house of the king's miller, the man asked them to stop there for the night.	true	133.46	137.92	22.418634
6294_86679_000006_000001	Conall told the miller that his own children and the children of his king had fallen out, and that his children had killed the king's son, and there was nothing that would please the king but that he should get the brown horse of the king of Lochlann.	Conall told the miller that his own children and the children of his king had fallen out, and that his children had killed the king's son, and there was nothing that would please the king but that he should get the brown horse of the king of Lochlann.	true	138.08	150.58	21
6294_86679_000007_000000	"If you will do me a kindness, and will put me in a way to get him, for certain I will pay ye for it."	"If you will do me a kindness, and will put me in a way to get him, for certain I will pay ye for it."	true	151.01	156.79	23.644917
6294_86679_000008_000000	"The thing is silly that you are come to seek," said the miller; "for the king has laid his mind on him so greatly that you will not get him in any way unless you steal him; but if you can make out a way, I will keep it secret."	"The thing is silly that you are come to seek," said the miller; "for the king has laid his mind on him so greatly that you will not get him in any way unless you steal him; but if you can make out a way, I will keep it secret."	true	156.8	168.73	20.614687
6294_86679_000009_000000	"This is what I am thinking," said Conall, "since you are working every day for the king, you and your gillies could put myself and my sons into four sacks of bran."	"This is what I am thinking," said Conall, "since you are working every day for the king, you and your gillies could put myself and my sons into four sacks of bran."	true	169.31	178.09	21.311209
6294_86679_000010_000000	"The plan that has come into your head is not bad," said the miller.	"The plan that has come into your head is not bad," said the miller.	true	178.25	181.57	21.181925
6294_86679_000011_000000	The miller spoke to his gillies, and he said to them to do this, and they put them in four sacks.	The miller spoke to his gillies, and he said to them to do this, and they put them in four sacks.	false	181.97	186.82	24.77223
6294_86679_000011_000001	The king's gillies came to seek the bran, and they took the four sacks with them, and they emptied them before the horses.	The king's gillies came to seek the bran, and they took the four sacks with them, and they emptied them before the horses.	true	186.98	192.75	22.979286
6294_86679_000011_000002	The servants locked the door, and they went away.	The servants locked the door, and they went away.	true	192.75	195.34	23.494112
6294_86679_000012_000000	When they rose to lay hand on the brown horse, said Conall, "You shall not do that.	When they rose to lay hand on the brown horse, said Conall, "You shall not do that.	true	195.71	200.865	21.462227
6294_86679_000012_000001	It is hard to get out of this; let us make for ourselves four hiding holes, so that if they hear us we may go and hide." They made the holes, then they laid hands on the horse.	It is hard to get out of this; let us make for ourselves four hiding holes, so that if they hear us we may go and hide." They made the holes, then they laid hands on the horse.	false	200.865	210.87	20.821083
6294_86679_000012_000002	The horse was pretty well unbroken, and he set to making a terrible noise through the stable.	The horse was pretty well unbroken, and he set to making a terrible noise through the stable.	false	210.87	215.65	20.651995
6294_86679_000012_000003	The king heard the noise.	The king heard the noise.	true	215.96	217.93	18.12682
6294_86679_000012_000004	"It must be my brown horse," said he to his gillies; "find out what is wrong with him."	"It must be my brown horse," said he to his gillies; "find out what is wrong with him."	true	218	222.97	22.520311
6294_86679_000013_000000	The servants went out, and when Conall and his sons saw them coming they went into the hiding holes.	The servants went out, and when Conall and his sons saw them coming they went into the hiding holes.	true	223.58	228.64	20.056574
6294_86679_000013_000001	The servants looked amongst the horses, and they did not find anything wrong; and they returned and they told this to the king, and the king said to them that if nothing was wrong they should go to their places of rest.	The servants looked amongst the horses, and they did not find anything wrong; and they returned and they told this to the king, and the king said to them that if nothing was wrong they should go to their places of rest.	true	228.8	240.01	23.32843
6294_86679_000013_000002	When the gillies had time to be gone, Conall and his sons laid their hands again on the horse.	When the gillies had time to be gone, Conall and his sons laid their hands again on the horse.	true	240.29	245.89	21.508398
6294_86679_000013_000003	If the noise was great that he made before, the noise that he made now was seven times greater.	If the noise was great that he made before, the noise that he made now was seven times greater.	true	245.9	250.8	21.799387
6294_86679_000013_000004	The king sent a message for his gillies again, and said for certain there was something troubling the brown horse.	The king sent a message for his gillies again, and said for certain there was something troubling the brown horse.	true	250.8	256.395	20
6294_86679_000013_000005	"Go and look well about him." The servants went out, and the others went to their hiding holes.	"Go and look well about him." The servants went out, and the others went to their hiding holes.	false	256.395	261.67	21.771677
6294_86679_000013_000006	The servants rummaged well, and did not find a thing.	The servants rummaged well, and did not find a thing.	true	262.1	265.06	21.47925
6294_86679_000013_000007	They returned and they told this.	They returned and they told this.	false	265.31	267.25	26.792953
6294_86679_000014_000000	"That is marvellous for me," said the king: "go you to lie down again, and if I notice it again I will go out myself."	"That is marvellous for me," said the king: "go you to lie down again, and if I notice it again I will go out myself."	false	267.53	274.78	20.050392
6294_86679_000015_000000	When Conall and his sons perceived that the gillies were gone, they laid hands again on the horse, and one of them caught him; and if the noise that the horse made on the two former times was great, he made more this time.	When Conall and his sons perceived that the gillies were gone, they laid hands again on the horse, and one of them caught him; and if the noise that the horse made on the two former times was great, he made more this time.	true	275.36	286.89	22.225273
6294_86679_000016_000000	"Be this from me," said the king; "it must be that some one is troubling my brown horse." He sounded the bell hastily, and when his waiting-man came to him, he said to him to let the stable gillies know that something was wrong with the horse.	"Be this from me," said the king; "it must be that some one is troubling my brown horse." He sounded the bell hastily, and when his waiting man came to him, he said to him to let the stable gillies know that something was wrong with the horse.	true	286.89	298.69	21.109362
6294_86679_000016_000001	The gillies came, and the king went with them.	The gillies came, and the king went with them.	true	298.85	301.545	23.509571
6294_86679_000016_000002	When Conall and his sons perceived the company coming they went to the hiding holes.	When Conall and his sons perceived the company coming they went to the hiding holes.	true	301.545	305.77	21
6294_86679_000017_000000	The king was a wary man, and he saw where the horses were making a noise.	The king was a wary man, and he saw where the horses were making a noise.	true	306.14	310.51	18.223484
6294_86679_000018_000000	"Be wary," said the king, "there are men within the stable, let us get at them somehow."	"Be wary," said the king, "there are men within the stable, let us get at them somehow."	true	310.82	315.82	21.612843
6294_86679_000019_000000	The king followed the tracks of the men, and he found them.	The king followed the tracks of the men, and he found them.	true	316.31	319.48	22.24741
6294_86679_000019_000001	Every one knew Conall, for he was a valued tenant of the king of Erin, and when the king brought them up out of the holes he said, "O Conall, is it you that are here?"	Every one knew Conall, for he was a valued tenant of the king of Erin, and when the king brought them up out of the holes he said, "O Conall, is it you that are here?"	false	319.82	329.14	22.814358
6294_86679_000020_000000	"I am, O king, without question, and necessity made me come.	"I am, O king, without question, and necessity made me come.	false	329.54	333.91	22.254599
6294_86679_000020_000001	I am under thy pardon, and under thine honour, and under thy grace." He told how it happened to him, and that he had to get the brown horse for the king of Erin, or that his sons were to be put to death.	I am under thy pardon, and under thine honour, and under thy grace." He told how it happened to him, and that he had to get the brown horse for the king of Erin, or that his sons were to be put to death.	true	333.92	344.19	21.27782
6294_86679_000020_000002	"I knew that I should not get him by asking, and I was going to steal him."	"I knew that I should not get him by asking, and I was going to steal him."	true	344.19	348.1	19.546778
6294_86679_000021_000000	"Yes, Conall, it is well enough, but come in," said the king.	"Yes, Conall, it is well enough, but come in," said the king.	true	348.11	352.29	22.62022
6294_86679_000021_000001	He desired his look-out men to set a watch on the sons of Conall, and to give them meat.	He desired his look out men to set a watch on the sons of Conall, and to give them meat.	true	352.29	356.625	18
6294_86679_000021_000002	And a double watch was set that night on the sons of Conall.	And a double watch was set that night on the sons of Conall.	true	356.625	360.22	25
6294_86679_000022_000000	"Now, O Conall," said the king, "were you ever in a harder place than to be seeing your lot of sons hanged to-morrow?	"Now, O Conall," said the king, "were you ever in a harder place than to be seeing your lot of sons hanged to morrow?	true	360.65	368.47	22.206802
6294_86679_000022_000001	But you set it to my goodness and to my grace, and say that it was necessity brought it on you, so I must not hang you.	But you set it to my goodness and to my grace, and say that it was necessity brought it on you, so I must not hang you.	true	368.48	375.19	21.131601
6294_86679_000022_000002	Tell me any case in which you were as hard as this, and if you tell that, you shall get the soul of your youngest son."	Tell me any case in which you were as hard as this, and if you tell that, you shall get the soul of your youngest son."	true	375.26	382.36	21.782831
6294_86679_000023_000000	"I will tell a case as hard in which I was," said Conall.	"I will tell a case as hard in which I was," said Conall.	true	382.73	386.71	24.596624
6294_86679_000023_000001	"I was once a young lad, and my father had much land, and he had parks of year-old cows, and one of them had just calved, and my father told me to bring her home.	"I was once a young lad, and my father had much land, and he had parks of year old cows, and one of them had just calved, and my father told me to bring her home.	true	387.77	397.275	22.356455
6294_86679_000023_000002	I found the cow, and took her with us.	I found the cow, and took her with us.	true	397.275	399.7	22.827282
6294_86679_000023_000003	There fell a shower of snow.	There fell a shower of snow.	true	399.77	401.925	20.17004
6294_86679_000023_000004	We went into the herd's bothy, and we took the cow and the calf in with us, and we were letting the shower pass from us.	We went into the herd's bothy, and we took the cow and the calf in with us, and we were letting the shower pass from us.	false	401.925	408.55	22.708307
6294_86679_000023_000005	Who should come in but one cat and ten, and one great one-eyed fox-coloured cat as head bard over them.	Who should come in but one cat and ten, and one great one eyed fox coloured cat as head bard over them.	true	409.1	418.09	24.078215
6294_86679_000023_000006	When they came in, in very deed I myself had no liking for their company.	When they came in, in very deed I myself had no liking for their company.	false	418.28	422.62	20.363672
6294_86679_000023_000007	'Strike up with you,' said the head bard, 'why should we be still? and sing a cronan to Conall Yellowclaw.' I was amazed that my name was known to the cats themselves, When they had sung the cronan, said the head bard, 'Now, O Conall, pay the reward of the cronan that the cats have sung to thee.' 'Well then,' said I myself, 'I have no reward whatsoever for you, unless you should go down and take that calf.' No sooner said I the word than the two cats and ten went down to attack the calf, and in very deed, he did not last them long.	'Strike up with you,' said the head bard, 'why should we be still? and sing a cronan to Conall Yellowclaw.' I was amazed that my name was known to the cats themselves, When they had sung the cronan, said the head bard, 'Now, O Conall, pay the reward of the cronan that the cats have sung to thee.' 'Well then,' said I myself, 'I have no reward whatsoever for you, unless you should go down and take that calf.' No sooner said I the word than the two cats and ten went down to attack the calf, and in very deed, he did not last them long.	false	422.84	457	21.04854
6294_86679_000023_000008	'Play up with you, why should you be silent?	'Play up with you, why should you be silent?	true	457.07	459.76	23.508799
6294_86679_000023_000009	Make a cronan to Conall Yellowclaw,' said the head bard.	Make a cronan to Conall Yellowclaw,' said the head bard.	true	459.92	463.99	25.876663
6294_86679_000023_000010	I had no liking at all for the cronan, but up came the one cat and ten, and if they did not sing me a cronan then and there!	I had no liking at all for the cronan, but up came the one cat and ten, and if they did not sing me a cronan then and there!	false	464.48	472.57	24.018986
6294_86679_000023_000011	'Pay them now their reward,' said the great fox-coloured cat.	'Pay them now their reward,' said the great fox coloured cat.	true	472.58	476.59	23.560005
6294_86679_000023_000012	'I am tired myself of yourselves and your rewards,' said I. 'I have no reward for you unless you take that cow down there.' They betook themselves to the cow, and indeed she did not last them long.	'I am tired myself of yourselves and your rewards,' said i 'I have no reward for you unless you take that cow down there.' They betook themselves to the cow, and indeed she did not last them long.	true	476.96	491.04	21.321491
6294_86679_000024_000000	[Illustration:]	[Illustration:]	false	491.04	491.49	-19
6294_86679_000025_000000	"'Why will you be silent?	"'Why will you be silent?	true	491.49	493.41	19.345074
6294_86679_000025_000001	Go up and sing a cronan to Conall Yellowclaw,' said the head bard.	Go up and sing a cronan to Conall Yellowclaw,' said the head bard.	true	493.41	497.61	25.223764
6294_86679_000025_000002	And surely, O king, I had no care for them or for their cronan, for I began to see that they were not good comrades.	And surely, O king, I had no care for them or for their cronan, for I began to see that they were not good comrades.	true	497.61	504.13	20
6294_86679_000025_000003	When they had sung me the cronan they betook themselves down where the head bard was.	When they had sung me the cronan they betook themselves down where the head bard was.	false	504.2	508.63	21
6294_86679_000025_000004	'Pay now their reward,' said the head bard; and for sure, O king, I had no reward for them; and I said to them, 'I have no reward for you.' And surely, O king, there was a catterwauling between them.	'Pay now their reward,' said the head bard; and for sure, O king, I had no reward for them; and I said to them, 'I have no reward for you.' And surely, O king, there was a catterwauling between them.	true	508.94	521.17	22.141935
6294_86679_000025_000005	So I leapt out at a turf window that was at the back of the house.	So I leapt out at a turf window that was at the back of the house.	false	521.21	524.76	21.292067
6294_86679_000025_000006	I took myself off as hard as I might into the wood.	I took myself off as hard as I might into the wood.	true	524.76	527.655	15
6294_86679_000025_000007	I was swift enough and strong at that time; and when I felt the rustling toirm of the cats after me I climbed into as high a tree as I saw in the place, and one that was close in the top; and I hid myself as well as I might.	I was swift enough and strong at that time; and when I felt the rustling toirm of the cats after me I climbed into as high a tree as I saw in the place, and one that was close in the top; and I hid myself as well as I might.	false	527.655	539.865	21
6294_86679_000025_000008	The cats began to search for me through the wood, and they could not find me; and when they were tired, each one said to the other that they would turn back.	The cats began to search for me through the wood, and they could not find me; and when they were tired, each one said to the other that they would turn back.	true	539.865	548.26	22.826754
6294_86679_000025_000009	'But,' said the one-eyed fox-coloured cat that was commander-in-chief over them, 'you saw him not with your two eyes, and though I have but one eye, there's the rascal up in the tree.' When he had said that, one of them went up in the tree, and as he was coming where I was, I drew a weapon that I had and I killed him.	'But,' said the one eyed fox coloured cat that was commander in chief over them, 'you saw him not with your two eyes, and though I have but one eye, there's the rascal up in the tree.' When he had said that, one of them went up in the tree, and as he was coming where I was, I drew a weapon that I had and I killed him.	false	548.93	567.28	22.639887
6294_86679_000025_000010	'Be this from me!' said the one-eyed one--'I must not be losing my company thus; gather round the root of the tree and dig about it, and let down that villain to earth.' On this they gathered about the tree, and they dug about the root, and the first branching root that they cut, she gave a shiver to fall, and I myself gave a shout and it was not to be wondered at.	'Be this from me!' said the one eyed one-'I must not be losing my company thus; gather round the root of the tree and dig about it, and let down that villain to earth.' On this they gathered about the tree, and they dug about the root, and the first branching root that they cut, she gave a shiver to fall, and I myself gave a shout and it was not to be wondered at.	false	567.62	586.69	23.177176
6294_86679_000025_000011	There was in the neighbourhood of the wood a priest, and he had ten men with him delving, and he said, 'There is a shout of a man in extremity and I must not be without replying to it.' And the wisest of the men said, 'Let it alone till we hear it again.' The cats began again digging wildly, and they broke the next root; and I myself gave the next shout, and in very deed it was not a weak one.	There was in the neighbourhood of the wood a priest, and he had ten men with him delving, and he said, 'There is a shout of a man in extremity and I must not be without replying to it.' And the wisest of the men said, 'Let it alone till we hear it again.' The cats began again digging wildly, and they broke the next root; and I myself gave the next shout, and in very deed it was not a weak one.	true	586.91	608.47	22.005392
6294_86679_000025_000012	'Certainly,' said the priest, 'it is a man in extremity--let us move.' They set themselves in order for moving.	'Certainly,' said the priest, 'it is a man in extremity-let us move.' They set themselves in order for moving.	true	608.63	615.21	22.45315
6294_86679_000025_000013	And the cats arose on the tree, and they broke the third root, and the tree fell on her elbow.	And the cats arose on the tree, and they broke the third root, and the tree fell on her elbow.	false	615.21	620.685	24.704214
6294_86679_000025_000014	Then I gave the third shout.	Then I gave the third shout.	true	620.685	622.36	22.277987
6294_86679_000025_000015	The stalwart men hastened, and when they saw how the cats served the tree, they began at them with the spades; and they themselves and the cats began at each other, till the cats ran away. And surely, O king, I did not move till I saw the last one of them off.	The stalwart men hastened, and when they saw how the cats served the tree, they began at them with the spades; and they themselves and the cats began at each other, till the cats ran away. And surely, O king, I did not move till I saw the last one of them off.	false	622.4	636.78	22.205772
6294_86679_000025_000016	And then I came home.	And then I came home.	true	636.78	638.86	21.612143
6294_86679_000025_000017	And there's the hardest case in which I ever was; and it seems to me that tearing by the cats were harder than hanging to-morrow by the king of Lochlann."	And there's the hardest case in which I ever was; and it seems to me that tearing by the cats were harder than hanging to morrow by the king of Lochlann."	false	638.93	649.05	23.849106
6294_86679_000026_000000	"Och!	"Och!	false	649.05	651.15	19.801523
6294_86679_000026_000001	Conall," said the king, "you are full of words.	Conall," said the king, "you are full of words.	true	651.15	654.4	21.435583
6294_86679_000026_000002	You have freed the soul of your son with your tale; and if you tell me a harder case than that you will get your second youngest son, and then you will have two sons."	You have freed the soul of your son with your tale; and if you tell me a harder case than that you will get your second youngest son, and then you will have two sons."	true	654.8	662.98	22.905907
6294_86679_000027_000000	"Well then," said Conall, "on condition that thou dost that, I will tell thee how I was once in a harder case than to be in thy power in prison to-night."	"Well then," said Conall, "on condition that thou dost that, I will tell thee how I was once in a harder case than to be in thy power in prison to night."	true	663.23	670.96	21.794445
6294_86679_000028_000000	"Let's hear," said the king.	"Let's hear," said the king.	true	671.06	673	23.88138
6294_86679_000029_000000	"I was then," said Conall, quite a young lad, and I went out hunting, and my father's land was beside the sea, and it was rough with rocks, caves, and rifts.	"I was then," said Conall, quite a young lad, and I went out hunting, and my father's land was beside the sea, and it was rough with rocks, caves, and rifts.	true	674.21	684.105	19.332336
6294_86679_000029_000001	When I was going on the top of the shore, I saw as if there were a smoke coming up between two rocks, and I began to look what might be the meaning of the smoke coming up there.	When I was going on the top of the shore, I saw as if there were a smoke coming up between two rocks, and I began to look what might be the meaning of the smoke coming up there.	false	684.105	693.45	21
6294_86679_000029_000002	When I was looking, what should I do but fall; and the place was so full of heather, that neither bone nor skin was broken.	When I was looking, what should I do but fall; and the place was so full of heather, that neither bone nor skin was broken.	false	693.45	701.98	23.344856
6294_86679_000029_000003	I knew not how I should get out of this.	I knew not how I should get out of this.	true	702.29	704.775	19.237417
6294_86679_000029_000004	I was not looking before me, but I kept looking overhead the way I came--and thinking that the day would never come that I could get up there.	I was not looking before me, but I kept looking overhead the way I came-and thinking that the day would never come that I could get up there.	false	704.775	711.1	22
6294_86679_000029_000005	It was terrible for me to be there till I should die.	It was terrible for me to be there till I should die.	true	711.56	715.09	19
6294_86679_000029_000006	I heard a great clattering, coming, and what was there but a great giant and two dozen of goats with him, and a buck at their head.	I heard a great clattering, coming, and what was there but a great giant and two dozen of goats with him, and a buck at their head.	true	715.7	722.92	22.5052
