30_4445_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.	true	8.31	10.3	18
30_4445_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.	true	10.46	13.33	22
30_4445_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.	true	13.61	17.73	23.947292
30_4445_000001_000000	EMMA ***	EMMA asterisk asterisk asterisk	false	17.73	19.89	28.931376
30_4445_000002_000000	Produced by An Anonymous Volunteer	Produced by An Anonymous Volunteer	false	19.89	22.65	18.893595
30_4445_000003_000000	EMMA	EMMA	true	22.65	23.37	19.487108
30_4445_000004_000000	By Jane Austen	By Jane Austen	true	23.37	24.88	22
30_4445_000005_000000	VOLUME I	VOLUME one	true	25.34	26.44	19.18843
30_4445_000006_000000	CHAPTER I	CHAPTER one	true	26.51	27.61	24.540346
30_4445_000007_000000	Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty-one years in the world with very little to distress or vex her.	Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty one years in the world with very little to distress or vex her.	true	29.66	45.91	20
30_4445_000008_000000	She was the youngest of the two daughters of a most affectionate, indulgent father; and had, in consequence of her sister's marriage, been mistress of his house from a very early period.	She was the youngest of the two daughters of a most affectionate, indulgent father; and had, in consequence of her sister's marriage, been mistress of his house from a very early period.	true	46.67	57.94	17
30_4445_000008_000001	Her mother had died too long ago for her to have more than an indistinct remembrance of her caresses; and her place had been supplied by an excellent woman as governess, who had fallen little short of a mother in affection.	Her mother had died too long ago for her to have more than an indistinct remembrance of her caresses; and her place had been supplied by an excellent woman as governess, who had fallen little short of a mother in affection.	true	58.34	70.81	15
30_4445_000009_000000	Sixteen years had Miss Taylor been in Mr. Woodhouse's family, less as a governess than a friend, very fond of both daughters, but particularly of Emma.	Sixteen years had Miss Taylor been in mr Woodhouse's family, less as a governess than a friend, very fond of both daughters, but particularly of Emma.	true	71.6	82.63	21.355871
30_4445_000009_000001	Between _them_ it was more the intimacy of sisters.	Between underscore them underscore it was more the intimacy of sisters.	false	83.15	86.5	15
