30_4445_000000_000001	All LibriVox recordings are in the public domain.	All LibriVox recordings are in the public domain.
30_4445_000000_000002	For more information, or to volunteer, please visit librivox.org.	For more information, or to volunteer, please visit librivox dot org.
30_4445_000004_000000	By Jane Austen	By Jane Austen
30_4445_000006_000000	CHAPTER I	CHAPTER one
30_4445_000007_000000	Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty-one years in the world with very little to distress or vex her.	Emma Woodhouse, handsome, clever, and rich, with a comfortable home and happy disposition, seemed to unite some of the best blessings of existence; and had lived nearly twenty one years in the world with very little to distress or vex her.
30_4445_000009_000000	Sixteen years had Miss Taylor been in Mr. Woodhouse's family, less as a governess than a friend, very fond of both daughters, but particularly of Emma.	Sixteen years had Miss Taylor been in mr Woodhouse's family, less as a governess than a friend, very fond of both daughters, but particularly of Emma.
30_4445_000011_000000	Sorrow came--a gentle sorrow--but not at all in the shape of any disagreeable consciousness.--Miss Taylor married.	Sorrow came-a gentle sorrow-but not at all in the shape of any disagreeable consciousness.--Miss Taylor married.
30_4445_000011_000001	It was Miss Taylor's loss which first brought grief.	It was Miss Taylor's loss which first brought grief.
30_4445_000011_000003	The wedding over, and the bride-people gone, her father and herself were left to dine together, with no prospect of a third to cheer a long evening.	The wedding over, and the bride people gone, her father and herself were left to dine together, with no prospect of a third to cheer a long evening.
30_4445_000011_000004	Her father composed himself to sleep after dinner, as usual, and she had then only to sit and think of what she had lost.	Her father composed himself to sleep after dinner, as usual, and she had then only to sit and think of what she had lost.
30_4445_000012_000000	The event had every promise of happiness for her friend.	The event had every promise of happiness for her friend.
30_4445_000012_000001	Mr. Weston was a man of unexceptionable character, easy fortune, suitable age, and pleasant manners; and there was some satisfaction in considering with what self-denying, generous friendship she had always wished and promoted the match; but it was a black morning's work for her.	mr Weston was a man of unexceptionable character, easy fortune, suitable age, and pleasant manners; and there was some satisfaction in considering with what self denying, generous friendship she had always wished and promoted the match; but it was a black morning's work for her.
30_4445_000012_000003	She recalled her past kindness--the kindness, the affection of sixteen years--how she had taught and how she had played with her from five years old--how she had devoted all her powers to attach and amuse her in health--and how nursed her through the various illnesses of childhood.	She recalled her past kindness-the kindness, the affection of sixteen years-how she had taught and how she had played with her from five years old-how she had devoted all her powers to attach and amuse her in health-and how nursed her through the various illnesses of childhood.
30_4445_000012_000004	A large debt of gratitude was owing here; but the intercourse of the last seven years, the equal footing and perfect unreserve which had soon followed Isabella's marriage, on their being left to each other, was yet a dearer, tenderer recollection.	A large debt of gratitude was owing here; but the intercourse of the last seven years, the equal footing and perfect unreserve which had soon followed Isabella's marriage, on their being left to each other, was yet a dearer, tenderer recollection.
30_4445_000013_000000	How was she to bear the change?--It was true that her friend was going only half a mile from them; but Emma was aware that great must be the difference between a Mrs. Weston, only half a mile from them, and a Miss Taylor in the house; and with all her advantages, natural and domestic, she was now in great danger of suffering from intellectual solitude.	How was she to bear the change?--It was true that her friend was going only half a mile from them; but Emma was aware that great must be the difference between a mrs Weston, only half a mile from them, and a Miss Taylor in the house; and with all her advantages, natural and domestic, she was now in great danger of suffering from intellectual solitude.
30_4445_000013_000001	She dearly loved her father, but he was no companion for her.	She dearly loved her father, but he was no companion for her.
30_4445_000013_000002	He could not meet her in conversation, rational or playful.	He could not meet her in conversation, rational or playful.
30_4445_000016_000000	Highbury, the large and populous village, almost amounting to a town, to which Hartfield, in spite of its separate lawn, and shrubberies, and name, did really belong, afforded her no equals.	Highbury, the large and populous village, almost amounting to a town, to which Hartfield, in spite of its separate lawn, and shrubberies, and name, did really belong, afforded her no equals.
30_4445_000016_000002	All looked up to them.	All looked up to them.
30_4445_000016_000004	It was a melancholy change; and Emma could not but sigh over it, and wish for impossible things, till her father awoke, and made it necessary to be cheerful.	It was a melancholy change; and Emma could not but sigh over it, and wish for impossible things, till her father awoke, and made it necessary to be cheerful.
30_4445_000016_000005	His spirits required support.	His spirits required support.
30_4445_000016_000006	He was a nervous man, easily depressed; fond of every body that he was used to, and hating to part with them; hating change of every kind.	He was a nervous man, easily depressed; fond of every body that he was used to, and hating to part with them; hating change of every kind.
30_4445_000017_000000	"Poor Miss Taylor!--I wish she were here again.	"Poor Miss Taylor!--I wish she were here again.
30_4445_000017_000001	What a pity it is that Mr. Weston ever thought of her!"	What a pity it is that mr Weston ever thought of her!"
30_4445_000018_000000	"I cannot agree with you, papa; you know I cannot.	"I cannot agree with you, papa; you know I cannot.
30_4445_000021_000000	"My dear, how am I to get so far?	"My dear, how am I to get so far?
30_4445_000021_000001	Randalls is such a distance.	Randalls is such a distance.
30_4445_000021_000002	I could not walk half so far."	I could not walk half so far."
30_4445_000022_000000	"No, papa, nobody thought of your walking.	"No, papa, nobody thought of your walking.
30_4445_000022_000001	We must go in the carriage, to be sure."	We must go in the carriage, to be sure."
30_4445_000023_000001	But James will not like to put the horses to for such a little way;--and where are the poor horses to be while we are paying our visit?"	But james will not like to put the horses to for such a little way;--and where are the poor horses to be while we are paying our visit?"
30_4445_000024_000000	"They are to be put into Mr. Weston's stable, papa.	"They are to be put into mr Weston's stable, papa.
30_4445_000024_000002	We talked it all over with Mr. Weston last night.	We talked it all over with mr Weston last night.
