7867_110528_000000_000000	The King and all the Court uttered loud cries of joy.	The King and all the Court uttered loud cries of joy.	false	0	3.24	21.88364
7867_110528_000000_000001	The marriage was at once celebrated, also that of the other two Princes; and in such a manner that the Court spent several months in fetes of all sorts.	The marriage was at once celebrated, also that of the other two Princes; and in such a manner that the Court spent several months in fetes of all sorts.	false	3.24	9.18	21.255579
7867_110528_000001_000000	Then each one of them departed to govern his kingdom, the White Cat making herself ever remembered as much by her kindness and generosity as by her rare merit and beauty.	Then each one of them departed to govern his kingdom, the White Cat making herself ever remembered as much by her kindness and generosity as by her rare merit and beauty.	false	9.18	21.03	25.861984
7867_110528_000002_000000	[Illustration]	[Illustration]	false	21.03	21.51	-20
7867_110528_000003_000000	BLUEBEARD	BLUEBEARD	true	21.51	22.42	25.889452
7867_110528_000004_000000	In the long ago times, in a splendid house, surrounded by fine gardens and a park, there lived a man who had riches in abundance, and everything to make him popular except one, and that was his beard, for his beard was neither black as a raven's wing, golden as the sunlight, nor just an ordinary every-day colour, but it was blue, bright blue.	In the long ago times, in a splendid house, surrounded by fine gardens and a park, there lived a man who had riches in abundance, and everything to make him popular except one, and that was his beard, for his beard was neither black as a raven's wing, golden as the sunlight, nor just an ordinary every day colour, but it was blue, bright blue.	true	24.08	46.95	23.878275
7867_110528_000005_000000	Of course had blue beards come into fashion his would have been considered beautiful beyond words, but, as far as we know, blue beards have never as yet been fashionable, nor are they likely to be so.	Of course had blue beards come into fashion his would have been considered beautiful beyond words, but, as far as we know, blue beards have never as yet been fashionable, nor are they likely to be so.	true	46.95	58	21.07707
7867_110528_000006_000000	However, in spite of his blue beard this man had married several times, though what had become of his wives nobody could say.	However, in spite of his blue beard this man had married several times, though what had become of his wives nobody could say.	true	58.25	66.13	22.592075
7867_110528_000007_000000	Now, not far from Bluebeard's house there dwelt a widow with two very lovely daughters, and one of these Bluebeard wished to marry, but which he did not mind, they might settle that between themselves.	Now, not far from Bluebeard's house there dwelt a widow with two very lovely daughters, and one of these Bluebeard wished to marry, but which he did not mind, they might settle that between themselves.	true	66.59	78.76	24.45796
7867_110528_000008_000000	Neither of these girls had the least desire to have a husband with a blue beard, and also, not knowing the fate of the other wives, they did not like to risk disappearing from the world as those had done, but being very polite young women they would not refuse Bluebeard's proposals outright.	Neither of these girls had the least desire to have a husband with a blue beard, and also, not knowing the fate of the other wives, they did not like to risk disappearing from the world as those had done, but being very polite young women they would not refuse Bluebeard's proposals outright.	true	79.43	95.47	23.141174
7867_110528_000008_000001	The younger said, "I would not for a moment take away Sister Anne's chance of marrying such a wealthy man," while Sister Anne declared that, although the elder, she would much prefer to give way to her sister.	The younger said, "I would not for a moment take away Sister Anne's chance of marrying such a wealthy man," while Sister Anne declared that, although the elder, she would much prefer to give way to her sister.	true	95.75	108.22	23.20449
7867_110528_000008_000002	And so it went on for some time.	And so it went on for some time.	false	108.35	110.35	20.795158
7867_110528_000009_000000	Then Bluebeard invited the widow and her daughters to spend a week with him, and many of their neighbours he also invited.	Then Bluebeard invited the widow and her daughters to spend a week with him, and many of their neighbours he also invited.	true	110.78	117.13	22.633146
7867_110528_000010_000000	Most sumptuous was the entertainment provided for them.	Most sumptuous was the entertainment provided for them.	true	117.29	120.645	20.171618
7867_110528_000010_000001	Hunting and fishing expeditions, picnics and balls went on from morning till night, and all the night through, so that there was not time even to think of sleep, only feasting and pleasure the whole week long.	Hunting and fishing expeditions, picnics and balls went on from morning till night, and all the night through, so that there was not time even to think of sleep, only feasting and pleasure the whole week long.	true	120.645	132.37	23.146662
7867_110528_000011_000000	So well, indeed, did the younger sister enjoy this, that by the end of the week she had begun to think perhaps after all her host's beard was not so very blue, and that it would be a fine thing to be the mistress of such a magnificent mansion, and the wife of such a rich husband.	So well, indeed, did the younger sister enjoy this, that by the end of the week she had begun to think perhaps after all her host's beard was not so very blue, and that it would be a fine thing to be the mistress of such a magnificent mansion, and the wife of such a rich husband.	true	132.8	148.69	23.15708
7867_110528_000012_000000	And so, not long afterwards, there was a grand wedding, and the widow's younger daughter became Mrs. Bluebeard.	And so, not long afterwards, there was a grand wedding, and the widow's younger daughter became mrs Bluebeard.	true	149.09	155.71	20.639832
7867_110528_000013_000000	About a month later, Bluebeard told his wife that he must leave her for several weeks, having to travel on business.	About a month later, Bluebeard told his wife that he must leave her for several weeks, having to travel on business.	true	156.23	162.85	24.581743
