7783_107486_000000_000000	THE ADVENTURE OF MRS.	THE ADVENTURE OF mrs	false	0	5.82	22.841621
7783_107486_000000_000001	SHADD'S MUSICALE	SHADD'S m u s i c a l e	false	5.82	20.25	21.006819
7783_107486_000001_000000	Henriette was visibly angry the other morning when I took to her the early mail and she discovered that Mrs. Van Varick Shadd had got ahead of her in the matter of Jockobinski, the monkey virtuoso.	Henriette was visibly angry the other morning when I took to her the early mail and she discovered that mrs Van Varick Shadd had got ahead of her in the matter of Jockobinski, the monkey virtuoso.	true	20.25	29.77	22
7783_107486_000001_000001	Society had been very much interested in the reported arrival in America of this wonderfully talented simian who could play the violin as well as Ysaye, and who as a performer on the piano was vastly the superior of Paderewski, because, taken in his infancy and specially trained for the purpose, he could play with his feet and tail as well as with his hands. It had been reported by Tommy Dare, the leading Newport authority on monkeys, that he had heard him play Brahm's "Variations on Paganini" with his paws on a piano, "Hiawatha" on a xylophone with his feet, and "Home, Sweet Home" with his tail on a harp simultaneously, in Paris a year ago, and that alongside of Jockobinski all other musical prodigies of the age became mere strummers.	Society had been very much interested in the reported arrival in America of this wonderfully talented simian who could play the violin as well as y s a y e, and who as a performer on the piano was vastly the superior of Paderewski, because, taken in his infancy and specially trained for the purpose, he could play with his feet and tail as well as with his hands. It had been reported by Tommy Dare, the leading Newport authority on monkeys, that he had heard him play Brahm's "Variations on Paganini" with his paws on a piano, "Hiawatha" on a xylophone with his feet, and "Home, Sweet Home" with his tail on a harp simultaneously, in Paris a year ago, and that alongside of Jockobinski all other musical prodigies of the age became mere strummers.	false	30.44	72.4	22.393805
7783_107486_000002_000000	"He's a whole orchestra in himself," said Tommy enthusiastically, "and is the only living creature that I know of who can tackle a whole symphony without the aid of a hired man."	"He's a whole orchestra in himself," said Tommy enthusiastically, "and is the only living creature that I know of who can tackle a whole symphony without the aid of a hired man."	true	73.4	82.75	21.882952
7783_107486_000003_000000	Of course society was on the _qui vive_ for a genius of so riotous an order as this, and all the wealthy families of Newport vied with one another for the privilege of being first to welcome him to our shores, not because he was a freak, mind you, but "for art's sweet sake." Mrs. Gushington-Andrews offered twenty-five hundred dollars for him as a week-end guest, and Mrs. Gaster immediately went her bid a hundred per cent.	Of course society was on the underscore qui vive underscore for a genius of so riotous an order as this, and all the wealthy families of Newport vied with one another for the privilege of being first to welcome him to our shores, not because he was a freak, mind you, but "for art's sweet sake." mrs Gushington Andrews offered twenty five hundred dollars for him as a week end guest, and mrs Gaster immediately went her bid a hundred per cent.	false	83.48	105.63	21.842943
7783_107486_000003_000001	better.	better.	true	105.63	106.18	28.417633
7783_107486_000003_000002	Henriette, in order to outdo every one else, promptly put in a bid of ten thousand dollars for a single evening, and had supposed the bargain closed when along came Mrs. Shadd's cards announcing that she would be pleased to have Mrs. Van Raffles at Onyx House on Friday evening, August 27th, to meet Herr Jockobinski, the eminent virtuoso.	Henriette, in order to outdo every one else, promptly put in a bid of ten thousand dollars for a single evening, and had supposed the bargain closed when along came mrs Shadd's cards announcing that she would be pleased to have mrs Van Raffles at Onyx House on Friday evening, august twenty seventh, to meet Herr Jockobinski, the eminent virtuoso.	false	106.67	126.15	23.30779
7783_107486_000004_000000	"It's very annoying," said Henriette, as she opened and read the invitation.	"It's very annoying," said Henriette, as she opened and read the invitation.	false	126.15	131.5	19.25426
7783_107486_000004_000001	"I had quite set my heart on having Jockobinski here.	"I had quite set my heart on having Jockobinski here.	true	131.63	134.65	20.236244
7783_107486_000004_000002	Not that I care particularly about the music end of it, but because there is nothing that gives a woman so assured a social position as being the hostess of an animal of his particular kind.	Not that I care particularly about the music end of it, but because there is nothing that gives a woman so assured a social position as being the hostess of an animal of his particular kind.	true	134.81	145.15	21.15303
