6395_86708_000000_000000	Chapter 4.	Chapter four.	true	18.69	19.66	27.157255
6395_86708_000000_000001	Conspiracy.	Conspiracy.	true	19.67	20.77	25.104532
6395_86708_000001_000000	Danglars followed Edmond and Mercedes with his eyes until the two lovers disappeared behind one of the angles of Fort Saint Nicolas, then turning round, he perceived Fernand, who had fallen, pale and trembling, into his chair, while Caderousse stammered out the words of a drinking-song.	Danglars followed Edmond and Mercedes with his eyes until the two lovers disappeared behind one of the angles of Fort Saint Nicolas, then turning round, he perceived Fernand, who had fallen, pale and trembling, into his chair, while Caderousse stammered out the words of a drinking song.	true	21.35	39.04	22.315395
6395_86708_000002_000000	"Well, my dear sir," said Danglars to Fernand, "here is a marriage which does not appear to make everybody happy."	"Well, my dear sir," said Danglars to Fernand, "here is a marriage which does not appear to make everybody happy."	true	39.29	46.15	21.756752
6395_86708_000003_000000	"It drives me to despair," said Fernand.	"It drives me to despair," said Fernand.	true	46.67	49.03	21.48738
6395_86708_000004_000000	"Do you, then, love Mercedes?"	"Do you, then, love Mercedes?"	true	50.09	51.82	20.594555
6395_86708_000005_000000	"I adore her!"	"I adore her!"	true	52.31	53.53	21.32571
6395_86708_000006_000000	"For long?"	"For long?"	true	53.87	54.82	25.569605
6395_86708_000007_000000	"As long as I have known her--always."	"As long as I have known her-always."	true	54.92	57.22	20.535318
6395_86708_000008_000000	"And you sit there, tearing your hair, instead of seeking to remedy your condition; I did not think that was the way of your people."	"And you sit there, tearing your hair, instead of seeking to remedy your condition; I did not think that was the way of your people."	true	57.95	65.68	23.062063
6395_86708_000009_000000	"What would you have me do?" said Fernand.	"What would you have me do?" said Fernand.	true	66.5	68.56	18.384462
6395_86708_000010_000000	"How do I know?	"How do I know?	true	69.02	70.095	22.715004
6395_86708_000010_000001	Is it my affair?	Is it my affair?	true	70.095	71.2	28.278637
6395_86708_000010_000002	I am not in love with Mademoiselle Mercedes; but for you--in the words of the gospel, seek, and you shall find."	I am not in love with Mademoiselle Mercedes; but for you-in the words of the gospel, seek, and you shall find."	true	71.33	78.91	21.613306
6395_86708_000011_000000	"I have found already."	"I have found already."	true	79.49	80.95	22.925272
6395_86708_000012_000000	"What?"	"What?"	true	81.26	81.97	29.70823
6395_86708_000013_000000	"I would stab the man, but the woman told me that if any misfortune happened to her betrothed, she would kill herself."	"I would stab the man, but the woman told me that if any misfortune happened to her betrothed, she would kill herself."	true	82.31	88.8	22.494694
6395_86708_000014_000000	"Pooh!	"Pooh!	false	88.8	90.6	17.640738
6395_86708_000014_000001	Women say those things, but never do them."	Women say those things, but never do them."	true	90.6	93.19	21.344036
6395_86708_000015_000000	"You do not know Mercedes; what she threatens she will do."	"You do not know Mercedes; what she threatens she will do."	true	93.5	97.72	20.593393
