6395_86708_000000_000000	Chapter 4.	Chapter four.
6395_86708_000000_000001	Conspiracy.	Conspiracy.
6395_86708_000001_000000	Danglars followed Edmond and Mercedes with his eyes until the two lovers disappeared behind one of the angles of Fort Saint Nicolas, then turning round, he perceived Fernand, who had fallen, pale and trembling, into his chair, while Caderousse stammered out the words of a drinking-song.	Danglars followed Edmond and Mercedes with his eyes until the two lovers disappeared behind one of the angles of Fort Saint Nicolas, then turning round, he perceived Fernand, who had fallen, pale and trembling, into his chair, while Caderousse stammered out the words of a drinking song.
6395_86708_000002_000000	"Well, my dear sir," said Danglars to Fernand, "here is a marriage which does not appear to make everybody happy."	"Well, my dear sir," said Danglars to Fernand, "here is a marriage which does not appear to make everybody happy."
6395_86708_000003_000000	"It drives me to despair," said Fernand.	"It drives me to despair," said Fernand.
6395_86708_000004_000000	"Do you, then, love Mercedes?"	"Do you, then, love Mercedes?"
6395_86708_000005_000000	"I adore her!"	"I adore her!"
6395_86708_000006_000000	"For long?"	"For long?"
6395_86708_000007_000000	"As long as I have known her--always."	"As long as I have known her-always."
6395_86708_000008_000000	"And you sit there, tearing your hair, instead of seeking to remedy your condition; I did not think that was the way of your people."	"And you sit there, tearing your hair, instead of seeking to remedy your condition; I did not think that was the way of your people."
6395_86708_000010_000000	"How do I know?	"How do I know?
6395_86708_000010_000001	Is it my affair?	Is it my affair?
6395_86708_000010_000002	I am not in love with Mademoiselle Mercedes; but for you--in the words of the gospel, seek, and you shall find."	I am not in love with Mademoiselle Mercedes; but for you-in the words of the gospel, seek, and you shall find."
6395_86708_000011_000000	"I have found already."	"I have found already."
6395_86708_000012_000000	"What?"	"What?"
6395_86708_000013_000000	"I would stab the man, but the woman told me that if any misfortune happened to her betrothed, she would kill herself."	"I would stab the man, but the woman told me that if any misfortune happened to her betrothed, she would kill herself."
6395_86708_000014_000001	Women say those things, but never do them."	Women say those things, but never do them."
6395_86708_000015_000000	"You do not know Mercedes; what she threatens she will do."	"You do not know Mercedes; what she threatens she will do."
6395_86708_000017_000000	"Before Mercedes should die," replied Fernand, with the accents of unshaken resolution, "I would die myself!"	"Before Mercedes should die," replied Fernand, with the accents of unshaken resolution, "I would die myself!"
6395_86708_000018_000000	"That's what I call love!" said Caderousse with a voice more tipsy than ever.	"That's what I call love!" said Caderousse with a voice more tipsy than ever.
6395_86708_000018_000001	"That's love, or I don't know what love is."	"That's love, or I don't know what love is."
6395_86708_000019_000000	"Come," said Danglars, "you appear to me a good sort of fellow, and hang me, I should like to help you, but"--	"Come," said Danglars, "you appear to me a good sort of fellow, and hang me, I should like to help you, but"--
6395_86708_000020_000000	"Yes," said Caderousse, "but how?"	"Yes," said Caderousse, "but how?"
6395_86708_000021_000001	Drink then, and do not meddle with what we are discussing, for that requires all one's wit and cool judgment."	Drink then, and do not meddle with what we are discussing, for that requires all one's wit and cool judgment."
6395_86708_000022_000001	I could drink four more such bottles; they are no bigger than cologne flasks.	I could drink four more such bottles; they are no bigger than cologne flasks.
6395_86708_000022_000002	Pere Pamphile, more wine!" and Caderousse rattled his glass upon the table.	Pere Pamphile, more wine!" and Caderousse rattled his glass upon the table.
6395_86708_000023_000000	"You were saying, sir"--said Fernand, awaiting with great anxiety the end of this interrupted remark.	"You were saying, sir"--said Fernand, awaiting with great anxiety the end of this interrupted remark.
6395_86708_000024_000000	"What was I saying?	"What was I saying?
6395_86708_000024_000001	I forget.	I forget.
6395_86708_000024_000002	This drunken Caderousse has made me lose the thread of my sentence."	This drunken Caderousse has made me lose the thread of my sentence."
6395_86708_000029_000000	"Yes; but I added, to help you it would be sufficient that Dantes did not marry her you love; and the marriage may easily be thwarted, methinks, and yet Dantes need not die."	"Yes; but I added, to help you it would be sufficient that Dantes did not marry her you love; and the marriage may easily be thwarted, methinks, and yet Dantes need not die."
6395_86708_000030_000000	"Death alone can separate them," remarked Fernand.	"Death alone can separate them," remarked Fernand.
6395_86708_000031_000000	"You talk like a noodle, my friend," said Caderousse; "and here is Danglars, who is a wide-awake, clever, deep fellow, who will prove to you that you are wrong.	"You talk like a noodle, my friend," said Caderousse; "and here is Danglars, who is a wide awake, clever, deep fellow, who will prove to you that you are wrong.
6395_86708_000031_000002	I have answered for you.	I have answered for you.
6395_86708_000031_000003	Say there is no need why Dantes should die; it would, indeed, be a pity he should.	Say there is no need why Dantes should die; it would, indeed, be a pity he should.
6395_86708_000031_000004	Dantes is a good fellow; I like Dantes.	Dantes is a good fellow; I like Dantes.
6395_86708_000031_000005	Dantes, your health."	Dantes, your health."
6395_86708_000032_000000	Fernand rose impatiently.	Fernand rose impatiently.
6395_86708_000032_000001	"Let him run on," said Danglars, restraining the young man; "drunk as he is, he is not much out in what he says. Absence severs as well as death, and if the walls of a prison were between Edmond and Mercedes they would be as effectually separated as if he lay under a tombstone."	"Let him run on," said Danglars, restraining the young man; "drunk as he is, he is not much out in what he says. Absence severs as well as death, and if the walls of a prison were between Edmond and Mercedes they would be as effectually separated as if he lay under a tombstone."
6395_86708_000033_000000	"Yes; but one gets out of prison," said Caderousse, who, with what sense was left him, listened eagerly to the conversation, "and when one gets out and one's name is Edmond Dantes, one seeks revenge"--	"Yes; but one gets out of prison," said Caderousse, who, with what sense was left him, listened eagerly to the conversation, "and when one gets out and one's name is Edmond Dantes, one seeks revenge"--
6395_86708_000035_000000	"And why, I should like to know," persisted Caderousse, "should they put Dantes in prison?	"And why, I should like to know," persisted Caderousse, "should they put Dantes in prison?
6395_86708_000035_000001	he has not robbed or killed or murdered."	he has not robbed or killed or murdered."
6395_86708_000037_000000	"I won't hold my tongue!" replied Caderousse; "I say I want to know why they should put Dantes in prison; I like Dantes; Dantes, your health!" and he swallowed another glass of wine.	"I won't hold my tongue!" replied Caderousse; "I say I want to know why they should put Dantes in prison; I like Dantes; Dantes, your health!" and he swallowed another glass of wine.
6395_86708_000038_000000	Danglars saw in the muddled look of the tailor the progress of his intoxication, and turning towards Fernand, said, "Well, you understand there is no need to kill him."	Danglars saw in the muddled look of the tailor the progress of his intoxication, and turning towards Fernand, said, "Well, you understand there is no need to kill him."
6395_86708_000039_000000	"Certainly not, if, as you said just now, you have the means of having Dantes arrested.	"Certainly not, if, as you said just now, you have the means of having Dantes arrested.
6395_86708_000039_000001	Have you that means?"	Have you that means?"
6395_86708_000040_000000	"It is to be found for the searching.	"It is to be found for the searching.
6395_86708_000040_000002	it is no affair of mine."	it is no affair of mine."
6395_86708_000042_000001	None, on my word!	None, on my word!
6395_86708_000042_000002	I saw you were unhappy, and your unhappiness interested me; that's all; but since you believe I act for my own account, adieu, my dear friend, get out of the affair as best you may;" and Danglars rose as if he meant to depart.	I saw you were unhappy, and your unhappiness interested me; that's all; but since you believe I act for my own account, adieu, my dear friend, get out of the affair as best you may;" and Danglars rose as if he meant to depart.
6395_86708_000043_000000	"No, no," said Fernand, restraining him, "stay!	"No, no," said Fernand, restraining him, "stay!
6395_86708_000043_000002	I hate him!	I hate him!
6395_86708_000043_000003	I confess it openly.	I confess it openly.
6395_86708_000044_000001	I won't have him killed--I won't!	I won't have him killed-I won't!
6395_86708_000044_000002	He's my friend, and this morning offered to share his money with me, as I shared mine with him.	He's my friend, and this morning offered to share his money with me, as I shared mine with him.
6395_86708_000044_000003	I won't have Dantes killed--I won't!"	I won't have Dantes killed-I won't!"
6395_86708_000047_000000	"But the means--the means?" said Fernand.	"But the means-the means?" said Fernand.
6395_86708_000049_000000	"No!--you undertook to do so."	"No!--you undertook to do so."
6395_86708_000051_000000	"Do you invent, then," said Fernand impatiently.	"Do you invent, then," said Fernand impatiently.
6395_86708_000053_000000	"Pen, ink, and paper," muttered Fernand.	"Pen, ink, and paper," muttered Fernand.
6395_86708_000054_000000	"Yes; I am a supercargo; pen, ink, and paper are my tools, and without my tools I am fit for nothing."	"Yes; I am a supercargo; pen, ink, and paper are my tools, and without my tools I am fit for nothing."
6395_86708_000055_000000	"Pen, ink, and paper, then," called Fernand loudly.	"Pen, ink, and paper, then," called Fernand loudly.
6395_86708_000056_000000	"There's what you want on that table," said the waiter.	"There's what you want on that table," said the waiter.
6395_86708_000057_000000	"Bring them here." The waiter did as he was desired.	"Bring them here." The waiter did as he was desired.
6395_86708_000058_000000	"When one thinks," said Caderousse, letting his hand drop on the paper, "there is here wherewithal to kill a man more sure than if we waited at the corner of a wood to assassinate him!	"When one thinks," said Caderousse, letting his hand drop on the paper, "there is here wherewithal to kill a man more sure than if we waited at the corner of a wood to assassinate him!
6395_86708_000059_000001	"Give him some more wine, Fernand." Fernand filled Caderousse's glass, who, like the confirmed toper he was, lifted his hand from the paper and seized the glass.	"Give him some more wine, Fernand." Fernand filled Caderousse's glass, who, like the confirmed toper he was, lifted his hand from the paper and seized the glass.
6395_86708_000060_000000	The Catalan watched him until Caderousse, almost overcome by this fresh assault on his senses, rested, or rather dropped, his glass upon the table.	The Catalan watched him until Caderousse, almost overcome by this fresh assault on his senses, rested, or rather dropped, his glass upon the table.
6395_86708_000061_000000	"Well!" resumed the Catalan, as he saw the final glimmer of Caderousse's reason vanishing before the last glass of wine.	"Well!" resumed the Catalan, as he saw the final glimmer of Caderousse's reason vanishing before the last glass of wine.
6395_86708_000062_000000	"Well, then, I should say, for instance," resumed Danglars, "that if after a voyage such as Dantes has just made, in which he touched at the Island of Elba, some one were to denounce him to the king's procureur as a Bonapartist agent"--	"Well, then, I should say, for instance," resumed Danglars, "that if after a voyage such as Dantes has just made, in which he touched at the Island of Elba, some one were to denounce him to the king's procureur as a Bonapartist agent"--
6395_86708_000063_000000	"I will denounce him!" exclaimed the young man hastily.	"I will denounce him!" exclaimed the young man hastily.
6395_86708_000065_000000	"Oh, I should wish nothing better than that he would come and seek a quarrel with me."	"Oh, I should wish nothing better than that he would come and seek a quarrel with me."
6395_86708_000066_000001	Mercedes, who will detest you if you have only the misfortune to scratch the skin of her dearly beloved Edmond!"	Mercedes, who will detest you if you have only the misfortune to scratch the skin of her dearly beloved Edmond!"
6395_86708_000069_000001	Proof of this crime will be found on arresting him, for the letter will be found upon him, or at his father's, or in his cabin on board the Pharaon."	Proof of this crime will be found on arresting him, for the letter will be found upon him, or at his father's, or in his cabin on board the Pharaon."
6395_86708_000071_000001	"Yes, and that's all settled; only it will be an infamous shame;" and he stretched out his hand to reach the letter.	"Yes, and that's all settled; only it will be an infamous shame;" and he stretched out his hand to reach the letter.
6395_86708_000073_000000	"All right!" said Caderousse.	"All right!" said Caderousse.
6395_86708_000073_000001	"Dantes is my friend, and I won't have him ill-used."	"Dantes is my friend, and I won't have him ill used."
6395_86708_000075_000000	"In this case," replied Caderousse, "let's have some more wine.	"In this case," replied Caderousse, "let's have some more wine.
6395_86708_000076_000000	"You have had too much already, drunkard," said Danglars; "and if you continue, you will be compelled to sleep here, because unable to stand on your legs."	"You have had too much already, drunkard," said Danglars; "and if you continue, you will be compelled to sleep here, because unable to stand on your legs."
6395_86708_000077_000000	"I?" said Caderousse, rising with all the offended dignity of a drunken man, "I can't keep on my legs?	"I?" said Caderousse, rising with all the offended dignity of a drunken man, "I can't keep on my legs?
6395_86708_000078_000000	"Done!" said Danglars, "I'll take your bet; but to-morrow--to-day it is time to return.	"Done!" said Danglars, "I'll take your bet; but to morrow-to day it is time to return.
6395_86708_000078_000001	Give me your arm, and let us go."	Give me your arm, and let us go."
6395_86708_000079_000000	"Very well, let us go," said Caderousse; "but I don't want your arm at all.	"Very well, let us go," said Caderousse; "but I don't want your arm at all.
6395_86708_000079_000001	Come, Fernand, won't you return to Marseilles with us?"	Come, Fernand, won't you return to Marseilles with us?"
6395_86708_000080_000000	"No," said Fernand; "I shall return to the Catalans."	"No," said Fernand; "I shall return to the Catalans."
6395_86708_000081_000000	"You're wrong.	"You're wrong.
6395_86708_000081_000001	Come with us to Marseilles--come along."	Come with us to Marseilles-come along."
6395_86708_000082_000000	"I will not."	"I will not."
6395_86708_000083_000000	"What do you mean?	"What do you mean?
6395_86708_000083_000001	you will not?	you will not?
6395_86708_000083_000002	Well, just as you like, my prince; there's liberty for all the world.	Well, just as you like, my prince; there's liberty for all the world.
6395_86708_000083_000003	Come along, Danglars, and let the young gentleman return to the Catalans if he chooses."	Come along, Danglars, and let the young gentleman return to the Catalans if he chooses."
