637_127579_000000_000000	CHAPTER FIFTEEN	CHAPTER FIFTEEN	false	0	0.99	-20
637_127579_000001_000000	KINDNESS OF MARHEYO AND THE REST OF THE ISLANDERS--A FULL DESCRIPTION OF THE BREAD-FRUIT TREE--DIFFERENT MODES OF PREPARING THE FRUIT	KINDNESS OF m a r h e y o AND THE REST OF THE ISLANDERS-A FULL DESCRIPTION OF THE BREAD FRUIT TREE-DIFFERENT MODES OF PREPARING THE FRUIT	false	0.99	22.785	22.062315
637_127579_000002_000000	ALL the inhabitants of the valley treated me with great kindness; but as to the household of Marheyo, with whom I was now permanently domiciled, nothing could surpass their efforts to minister to my comfort.	ALL the inhabitants of the valley treated me with great kindness; but as to the household of Marheyo, with whom I was now permanently domiciled, nothing could surpass their efforts to minister to my comfort.	true	22.785	35.53	22.105797
637_127579_000002_000001	To the gratification of my palate they paid the most unwearied attention. They continually invited me to partake of food, and when after eating heartily I declined the viands they continued to offer me, they seemed to think that my appetite stood in need of some piquant stimulant to excite its activity.	To the gratification of my palate they paid the most unwearied attention. They continually invited me to partake of food, and when after eating heartily I declined the viands they continued to offer me, they seemed to think that my appetite stood in need of some piquant stimulant to excite its activity.	true	36.29	56.17	22.890936
637_127579_000003_000000	In pursuance of this idea, old Marheyo himself would hie him away to the sea-shore by the break of day, for the purpose of collecting various species of rare sea-weed; some of which among these people are considered a great luxury.	In pursuance of this idea, old Marheyo himself would h i e him away to the sea shore by the break of day, for the purpose of collecting various species of rare sea weed; some of which among these people are considered a great luxury.	false	57.35	71.53	21.688618
637_127579_000003_000001	After a whole day spent in this employment, he would return about nightfall with several cocoanut shells filled with different descriptions of kelp.	After a whole day spent in this employment, he would return about nightfall with several cocoanut shells filled with different descriptions of kelp.	true	72.35	80.86	24.667336
637_127579_000003_000002	In preparing these for use he manifested all the ostentation of a professed cook, although the chief mystery of the affair appeared to consist in pouring water in judicious quantities upon the slimy contents of his cocoanut shells.	In preparing these for use he manifested all the ostentation of a professed cook, although the chief mystery of the affair appeared to consist in pouring water in judicious quantities upon the slimy contents of his cocoanut shells.	true	81.2	94.99	22.861298
637_127579_000004_000000	The first time he submitted one of these saline salads to my critical attention I naturally thought that anything collected at such pains must possess peculiar merits; but one mouthful was a complete dose; and great was the consternation of the old warrior at the rapidity with which I ejected his Epicurean treat.	The first time he submitted one of these saline salads to my critical attention I naturally thought that anything collected at such pains must possess peculiar merits; but one mouthful was a complete dose; and great was the consternation of the old warrior at the rapidity with which I ejected his Epicurean treat.	true	96.5	117.58	23.04633
637_127579_000005_000000	How true it is, that the rarity of any particular article enhances its value amazingly.	How true it is, that the rarity of any particular article enhances its value amazingly.	true	118.88	124.9	22.707542
637_127579_000005_000001	In some part of the valley--I know not where, but probably in the neighbourhood of the sea--the girls were sometimes in the habit of procuring small quantities of salt, a thimble-full or so being the result of the united labours of a party of five or six employed for the greater part of the day.	In some part of the valley-I know not where, but probably in the neighbourhood of the sea-the girls were sometimes in the habit of procuring small quantities of salt, a thimble full or so being the result of the united labours of a party of five or six employed for the greater part of the day.	true	125.63	142.3	21.278643
637_127579_000005_000002	This precious commodity they brought to the house, enveloped in multitudinous folds of leaves; and as a special mark of the esteem in which they held me, would spread an immense leaf on the ground, and dropping one by one a few minute particles of the salt upon it, invite me to taste them.	This precious commodity they brought to the house, enveloped in multitudinous folds of leaves; and as a special mark of the esteem in which they held me, would spread an immense leaf on the ground, and dropping one by one a few minute particles of the salt upon it, invite me to taste them.	true	143.45	161.56	23.301075
637_127579_000006_000000	From the extravagant value placed upon the article, I verily believe, that with a bushel of common Liverpool salt all the real estate in Typee might have been purchased.	From the extravagant value placed upon the article, I verily believe, that with a bushel of common Liverpool salt all the real estate in Typee might have been purchased.	true	163.1	173.02	22.719158
637_127579_000006_000001	With a small pinch of it in one hand, and a quarter section of a bread-fruit in the other, the greatest chief in the valley would have laughed at all luxuries of a Parisian table.	With a small pinch of it in one hand, and a quarter section of a bread fruit in the other, the greatest chief in the valley would have laughed at all luxuries of a Parisian table.	false	173.48	183.64	22.014061
637_127579_000007_000000	The celebrity of the bread-fruit tree, and the conspicuous place it occupies in a Typee bill of fare, induces me to give at some length a general description of the tree, and the various modes in which the fruit is prepared.	The celebrity of the bread fruit tree, and the conspicuous place it occupies in a Typee bill of fare, induces me to give at some length a general description of the tree, and the various modes in which the fruit is prepared.	true	184.73	197.89	22.499834
637_127579_000008_000000	The bread-fruit tree, in its glorious prime, is a grand and towering object, forming the same feature in a Marquesan landscape that the patriarchal elm does in New England scenery.	The bread fruit tree, in its glorious prime, is a grand and towering object, forming the same feature in a Marquesan landscape that the patriarchal elm does in New England scenery.	true	199.4	212.14	22.482378
637_127579_000008_000001	The latter tree it not a little resembles in height, in the wide spread of its stalwart branches, and in its venerable and imposing aspect.	The latter tree it not a little resembles in height, in the wide spread of its stalwart branches, and in its venerable and imposing aspect.	true	212.93	221.41	22.90806
637_127579_000009_000000	The leaves of the bread-fruit are of great size, and their edges are cut and scolloped as fantastically as those of a lady's lace collar.	The leaves of the bread fruit are of great size, and their edges are cut and scolloped as fantastically as those of a lady's lace collar.	true	222.56	230.74	22.22269
637_127579_000009_000001	As they annually tend towards decay, they almost rival in brilliant variety of their gradually changing hues the fleeting shades of the expiring dolphin.	As they annually tend towards decay, they almost rival in brilliant variety of their gradually changing hues the fleeting shades of the expiring dolphin.	false	231.5	242.41	22.19508
637_127579_000009_000002	The autumnal tints of our American forests, glorious as they are, sink into nothing in comparison with this tree.	The autumnal tints of our American forests, glorious as they are, sink into nothing in comparison with this tree.	true	243.29	251.5	24.829908
637_127579_000010_000000	The leaf, in one particular stage, when nearly all the prismatic colours are blended on its surface, is often converted by the natives into a superb and striking head-dress.	The leaf, in one particular stage, when nearly all the prismatic colours are blended on its surface, is often converted by the natives into a superb and striking head dress.	true	253.01	263.59	23.0185
637_127579_000010_000001	The principal fibre traversing its length being split open a convenient distance, and the elastic sides of the aperture pressed apart, the head is inserted between them, the leaf drooping on one side, with its forward half turned jauntily up on the brows, and the remaining part spreading laterally behind the ears.	The principal fibre traversing its length being split open a convenient distance, and the elastic sides of the aperture pressed apart, the head is inserted between them, the leaf drooping on one side, with its forward half turned jauntily up on the brows, and the remaining part spreading laterally behind the ears.	false	264.29	283.9	22.432335
637_127579_000011_000000	The fruit somewhat resembles in magnitude and general appearance one of our citron melons of ordinary size; but, unlike the citron, it has no sectional lines drawn along the outside.	The fruit somewhat resembles in magnitude and general appearance one of our citron melons of ordinary size; but, unlike the citron, it has no sectional lines drawn along the outside.	true	285.71	298.33	21.85745
637_127579_000011_000001	Its surface is dotted all over with little conical prominences, looking not unlike the knobs, on an antiquated church door.	Its surface is dotted all over with little conical prominences, looking not unlike the knobs, on an antiquated church door.	true	298.97	307.12	23.286676
637_127579_000011_000002	The rind is perhaps an eighth of an inch in thickness; and denuded of this at the time when it is in the greatest perfection, the fruit presents a beautiful globe of white pulp, the whole of which may be eaten, with the exception of a slender core, which is easily removed.	The rind is perhaps an eighth of an inch in thickness; and denuded of this at the time when it is in the greatest perfection, the fruit presents a beautiful globe of white pulp, the whole of which may be eaten, with the exception of a slender core, which is easily removed.	true	307.82	324.52	22.350883
