4592_26872_000004_000002	She gave it up just because it was so powerfully seductive.	She gave it up just because it was so powerfully seductive.
4592_26872_000004_000004	She acted in contradiction to all those rules.	She acted in contradiction to all those rules.
4592_26872_000004_000006	She felt that her unity with her husband was not maintained by the poetic feelings that had attracted him to her, but by something else--indefinite but firm as the bond between her own body and soul.	She felt that her unity with her husband was not maintained by the poetic feelings that had attracted him to her, but by something else-indefinite but firm as the bond between her own body and soul.
4592_26872_000005_000001	To adorn herself for others might perhaps have been agreeable--she did not know--but she had no time at all for it.	To adorn herself for others might perhaps have been agreeable-she did not know-but she had no time at all for it.
4592_26872_000007_000000	The subject which wholly engrossed Natasha's attention was her family: that is, her husband whom she had to keep so that he should belong entirely to her and to the home, and the children whom she had to bear, bring into the world, nurse, and bring up.	The subject which wholly engrossed Natasha's attention was her family: that is, her husband whom she had to keep so that he should belong entirely to her and to the home, and the children whom she had to bear, bring into the world, nurse, and bring up.
4592_26872_000008_000000	And the deeper she penetrated, not with her mind only but with her whole soul, her whole being, into the subject that absorbed her, the larger did that subject grow and the weaker and more inadequate did her powers appear, so that she concentrated them wholly on that one thing and yet was unable to accomplish all that she considered necessary.	And the deeper she penetrated, not with her mind only but with her whole soul, her whole being, into the subject that absorbed her, the larger did that subject grow and the weaker and more inadequate did her powers appear, so that she concentrated them wholly on that one thing and yet was unable to accomplish all that she considered necessary.
4592_26872_000010_000000	These questions, then as now, existed only for those who see nothing in marriage but the pleasure married people get from one another, that is, only the beginnings of marriage and not its whole significance, which lies in the family.	These questions, then as now, existed only for those who see nothing in marriage but the pleasure married people get from one another, that is, only the beginnings of marriage and not its whole significance, which lies in the family.
4592_26872_000011_000000	Discussions and questions of that kind, which are like the question of how to get the greatest gratification from one's dinner, did not then and do not now exist for those for whom the purpose of a dinner is the nourishment it affords; and the purpose of marriage is the family.	Discussions and questions of that kind, which are like the question of how to get the greatest gratification from one's dinner, did not then and do not now exist for those for whom the purpose of a dinner is the nourishment it affords; and the purpose of marriage is the family.
4592_26872_000013_000000	If the purpose of marriage is the family, the person who wishes to have many wives or husbands may perhaps obtain much pleasure, but in that case will not have a family.	If the purpose of marriage is the family, the person who wishes to have many wives or husbands may perhaps obtain much pleasure, but in that case will not have a family.
4592_26872_000014_000000	If the purpose of food is nourishment and the purpose of marriage is the family, the whole question resolves itself into not eating more than one can digest, and not having more wives or husbands than are needed for the family--that is, one wife or one husband.	If the purpose of food is nourishment and the purpose of marriage is the family, the whole question resolves itself into not eating more than one can digest, and not having more wives or husbands than are needed for the family-that is, one wife or one husband.
4592_26872_000016_000002	From the very first days of their married life Natasha had announced her demands.	From the very first days of their married life Natasha had announced her demands.
4592_26872_000016_000003	Pierre was greatly surprised by his wife's view, to him a perfectly novel one, that every moment of his life belonged to her and to the family.	Pierre was greatly surprised by his wife's view, to him a perfectly novel one, that every moment of his life belonged to her and to the family.
4592_26872_000017_000002	At home Natasha placed herself in the position of a slave to her husband, and the whole household went on tiptoe when he was occupied--that is, was reading or writing in his study.	At home Natasha placed herself in the position of a slave to her husband, and the whole household went on tiptoe when he was occupied-that is, was reading or writing in his study.
4592_26872_000017_000003	Pierre had but to show a partiality for anything to get just what he liked done always.	Pierre had but to show a partiality for anything to get just what he liked done always.
4592_26872_000017_000004	He had only to express a wish and Natasha would jump up and run to fulfill it.	He had only to express a wish and Natasha would jump up and run to fulfill it.
4592_26872_000018_000000	The entire household was governed according to Pierre's supposed orders, that is, by his wishes which Natasha tried to guess.	The entire household was governed according to Pierre's supposed orders, that is, by his wishes which Natasha tried to guess.
4592_26872_000018_000002	And she deduced the essentials of his wishes quite correctly, and having once arrived at them clung to them tenaciously.	And she deduced the essentials of his wishes quite correctly, and having once arrived at them clung to them tenaciously.
4592_26872_000019_000000	Thus in a time of trouble ever memorable to him after the birth of their first child who was delicate, when they had to change the wet nurse three times and Natasha fell ill from despair, Pierre one day told her of Rousseau's view, with which he quite agreed, that to have a wet nurse is unnatural and harmful.	Thus in a time of trouble ever memorable to him after the birth of their first child who was delicate, when they had to change the wet nurse three times and Natasha fell ill from despair, Pierre one day told her of Rousseau's view, with which he quite agreed, that to have a wet nurse is unnatural and harmful.
4592_26872_000020_000000	It very often happened that in a moment of irritation husband and wife would have a dispute, but long afterwards Pierre to his surprise and delight would find in his wife's ideas and actions the very thought against which she had argued, but divested of everything superfluous that in the excitement of the dispute he had added when expressing his opinion.	It very often happened that in a moment of irritation husband and wife would have a dispute, but long afterwards Pierre to his surprise and delight would find in his wife's ideas and actions the very thought against which she had argued, but divested of everything superfluous that in the excitement of the dispute he had added when expressing his opinion.
4592_26872_000021_000000	After seven years of marriage Pierre had the joyous and firm consciousness that he was not a bad man, and he felt this because he saw himself reflected in his wife.	After seven years of marriage Pierre had the joyous and firm consciousness that he was not a bad man, and he felt this because he saw himself reflected in his wife.
4592_26872_000021_000001	He felt the good and bad within himself inextricably mingled and overlapping.	He felt the good and bad within himself inextricably mingled and overlapping.
4592_26872_000021_000002	But only what was really good in him was reflected in his wife, all that was not quite good was rejected.	But only what was really good in him was reflected in his wife, all that was not quite good was rejected.
4592_26872_000021_000003	And this was not the result of logical reasoning but was a direct and mysterious reflection.	And this was not the result of logical reasoning but was a direct and mysterious reflection.
