5190_87791_000000_000000	CHAPTER XLVI	CHAPTER forty six	false	0.36	13.21	21.619816
5190_87791_000001_000000	THE PROBLEM OF DIVORCE	THE PROBLEM OF DIVORCE	true	13.61	15.7	20.97352
5190_87791_000002_000000	(Defends divorce as a protection to monogamous love, and one of the means of preventing infidelity and prostitution.)	(Defends divorce as a protection to monogamous love, and one of the means of preventing infidelity and prostitution.)	true	16.34	24.91	21
5190_87791_000003_000000	You will hear sermons and read newspaper editorials about the "divorce evil," and you will find that to the preacher or editor this "evil" consists of the fact that more and more people are refusing to stay unhappily married.	You will hear sermons and read newspaper editorials about the "divorce evil," and you will find that to the preacher or editor this "evil" consists of the fact that more and more people are refusing to stay unhappily married.	true	26.84	43.42	22.1267
5190_87791_000003_000001	It does not interest these moralizers if the statistics show that it is women who are getting most of the divorces, and that the meaning of the phenomenon is that women are refusing to continue living with drunken and dissolute men.	It does not interest these moralizers if the statistics show that it is women who are getting most of the divorces, and that the meaning of the phenomenon is that women are refusing to continue living with drunken and dissolute men.	true	44.18	60.07	17
5190_87791_000003_000002	To the clergy, the breaking of a marriage is an evil _per se_, and regardless of circumstances.	To the clergy, the breaking of a marriage is an evil underscore per se underscore, and regardless of circumstances.	false	60.89	68.5	20.949417
5190_87791_000003_000003	They know this because God has told them so, and in the name of God they seek to keep people tied in sex unions which have come to mean loathing instead of love.	They know this because God has told them so, and in the name of God they seek to keep people tied in sex unions which have come to mean loathing instead of love.	true	69.17	81.01	20.63298
5190_87791_000004_000000	Now, I will assert it as a mathematical certainty that a considerable percentage of marriages must fail.	Now, I will assert it as a mathematical certainty that a considerable percentage of marriages must fail.	true	81.59	89.92	20.512964
5190_87791_000004_000001	It is essential to progress that human beings should grow, both mentally and spiritually, and manifestly they cannot all grow in the same way.	It is essential to progress that human beings should grow, both mentally and spiritually, and manifestly they cannot all grow in the same way.	true	90.5	99.91	19
5190_87791_000004_000002	If they grow differently, must they not sometimes lose the power to make each other happy in the marital bonds?	If they grow differently, must they not sometimes lose the power to make each other happy in the marital bonds?	true	100.58	109	15
5190_87791_000004_000003	Who does not know the man who masters life and becomes a vital force, while his wife remains dull and empty?	Who does not know the man who masters life and becomes a vital force, while his wife remains dull and empty?	true	109.67	117.4	20.574986
5190_87791_000004_000004	If such a man changes wives, the world in general denounces him as a selfish beast; but the world does not know nor does it care about those thousands of men who, not caring to be branded as selfish beasts, fulfill the needs of their lives by keeping mistresses in secret.	If such a man changes wives, the world in general denounces him as a selfish beast; but the world does not know nor does it care about those thousands of men who, not caring to be branded as selfish beasts, fulfill the needs of their lives by keeping mistresses in secret.	false	118.22	137.2	21.13478
5190_87791_000005_000000	I knew a certain country school teacher, one of the most narrowly conventional young women imaginable, who was engaged to a middle-aged business man.	I knew a certain country school teacher, one of the most narrowly conventional young women imaginable, who was engaged to a middle aged business man.	true	138.56	148.6	19.41167
5190_87791_000005_000001	He went to New York on a business trip, and stayed a couple of months, and wrote her that he had met some Anarchists, and had discovered that all he had read about them in the newspapers was false, and that they were the true and pure idealists to whom the rest of his life must be devoted.	He went to New York on a business trip, and stayed a couple of months, and wrote her that he had met some Anarchists, and had discovered that all he had read about them in the newspapers was false, and that they were the true and pure idealists to whom the rest of his life must be devoted.	true	149.57	169.27	19.837528
5190_87791_000005_000002	The young lady was horrified; nor was she any happier when she came to New York and met her fiance's new friends.	The young lady was horrified; nor was she any happier when she came to New York and met her fiance's new friends.	true	169.73	177.94	19.397392
5190_87791_000005_000003	She ought in common sense to have broken the engagement; but she was in love, and she married, as many another fool woman does, with the idea of "reforming" the man.	She ought in common sense to have broken the engagement; but she was in love, and she married, as many another fool woman does, with the idea of "reforming" the man.	true	178.43	190.99	20.078176
5190_87791_000005_000004	She failed, and was utterly and unspeakably wretched.	She failed, and was utterly and unspeakably wretched.	true	191.99	196.39	21.167402
5190_87791_000006_000000	I know another man, a conservative capitalist of narrow and aggressive temper, whose wife turned into an ardent Bolshevik.	I know another man, a conservative capitalist of narrow and aggressive temper, whose wife turned into an ardent Bolshevik.	true	197.36	205.69	21.324144
5190_87791_000006_000001	The man thinks that all Bolsheviks should be shut up in jail for life, while the wife is equally certain that all jails should be razed to the ground and all Bolsheviks placed in control of the government.	The man thinks that all Bolsheviks should be shut up in jail for life, while the wife is equally certain that all jails should be razed to the ground and all Bolsheviks placed in control of the government.	true	206.15	217.99	19
5190_87791_000006_000002	These two people have got to a point where they cannot sit down to the breakfast table without flying into a quarrel.	These two people have got to a point where they cannot sit down to the breakfast table without flying into a quarrel.	true	219.41	226.39	19
5190_87791_000006_000003	I know another case of a modern scientist, an agnostic, whose wife, a half-educated, sentimental woman, took to dabbling in mysticism, and drove him wild by setting up an image of Buddha in her bedroom, and consorting with "swamis" in long yellow robes.	I know another case of a modern scientist, an agnostic, whose wife, a half educated, sentimental woman, took to dabbling in mysticism, and drove him wild by setting up an image of Buddha in her bedroom, and consorting with "swamis" in long yellow robes.	false	227.09	244.93	20.743893
5190_87791_000006_000004	I know another whose wife turned into an ultra-pious Catholic, and turned over the care of his domestic life to a priest.	I know another whose wife turned into an ultra pious Catholic, and turned over the care of his domestic life to a priest.	true	245.6	253.3	20.735773
5190_87791_000006_000005	Is it not obvious that the only possible solution of such problems lies in divorce?	Is it not obvious that the only possible solution of such problems lies in divorce?	true	254.33	260.35	18
5190_87791_000006_000006	Unless, indeed, we are all of us going to turn over the care of our domestic lives to the priests!	Unless, indeed, we are all of us going to turn over the care of our domestic lives to the priests!	true	261.26	267.49	19
5190_87791_000007_000000	Our grandfathers and grandmothers believed one thing, and believed the same thing when they were seventy as when they were twenty; so it was possible for them to dwell in domestic security and permanence till death did them part.	Our grandfathers and grandmothers believed one thing, and believed the same thing when they were seventy as when they were twenty; so it was possible for them to dwell in domestic security and permanence till death did them part.	false	268.64	282.28	19
5190_87791_000007_000001	But we are learning to change our minds; and whether what we believe is better or worse than what our ancestors believed, at least it is different.	But we are learning to change our minds; and whether what we believe is better or worse than what our ancestors believed, at least it is different.	true	283.01	291.94	19.408081
5190_87791_000007_000002	Also we are coming to take what we believe with more seriousness; the intellectual life means more and more to us, and it becomes harder and harder for us to find sexual and domestic happiness with a partner who does not share our convictions, but, on the contrary, may be contributing to the campaign funds of the opposition party.	Also we are coming to take what we believe with more seriousness; the intellectual life means more and more to us, and it becomes harder and harder for us to find sexual and domestic happiness with a partner who does not share our convictions, but, on the contrary, may be contributing to the campaign funds of the opposition party.	true	292.43	315.1	20.940426
5190_87791_000008_000000	I do not mean by this that people should get a divorce as soon as they find they differ about some intellectual idea; on the contrary, I have advocated that they should do everything possible to understand and to tolerate each other.	I do not mean by this that people should get a divorce as soon as they find they differ about some intellectual idea; on the contrary, I have advocated that they should do everything possible to understand and to tolerate each other.	false	316.31	330.37	17
5190_87791_000008_000001	But it is a fact that intellectual convictions are the raw material out of which characters and lives are made, and it is inevitable that some characters and lives that fit quite well at twenty should fit very badly at thirty or forty.	But it is a fact that intellectual convictions are the raw material out of which characters and lives are made, and it is inevitable that some characters and lives that fit quite well at twenty should fit very badly at thirty or forty.	true	330.92	349.72	21.190035
5190_87791_000008_000002	When we refuse divorce under such circumstances we are not fostering marriage, as we fondly imagine; we are really fostering adultery.	When we refuse divorce under such circumstances we are not fostering marriage, as we fondly imagine; we are really fostering adultery.	true	350.63	360.1	21
5190_87791_000008_000003	It is a fact that not one person in ten who is held by legal or social force in an unhappy sex union will refrain from seeking satisfaction outside; and because these outside satisfactions are disgraceful, and in some cases criminal, they seldom have any permanence.	It is a fact that not one person in ten who is held by legal or social force in an unhappy sex union will refrain from seeking satisfaction outside; and because these outside satisfactions are disgraceful, and in some cases criminal, they seldom have any permanence.	true	361.19	380.5	19.84799
5190_87791_000008_000004	Therefore it follows that "strict" divorce laws, such as the clerical propaganda urges upon us, are in reality laws for the promotion of fornication and prostitution.	Therefore it follows that "strict" divorce laws, such as the clerical propaganda urges upon us, are in reality laws for the promotion of fornication and prostitution.	true	381.59	395.02	21.483833
5190_87791_000009_000000	There is a short story by Edith Wharton, in which the "divorce evil" is exhibited to us in its naked horror; the story called "The Other Two," in the volume "The Descent of Man." A society woman has been divorced twice and married three times, and by an ingenious set of circumstances the woman and all three of the men are brought into the same drawing-room at the same time.	There is a short story by Edith Wharton, in which the "divorce evil" is exhibited to us in its naked horror; the story called "The Other Two," in the volume "The Descent of Man." A society woman has been divorced twice and married three times, and by an ingenious set of circumstances the woman and all three of the men are brought into the same drawing room at the same time.	true	396.62	422.89	22.181131
