5190_87791_000001_000000	THE PROBLEM OF DIVORCE	THE PROBLEM OF DIVORCE
5190_87791_000002_000000	(Defends divorce as a protection to monogamous love, and one of the means of preventing infidelity and prostitution.)	(Defends divorce as a protection to monogamous love, and one of the means of preventing infidelity and prostitution.)
5190_87791_000003_000000	You will hear sermons and read newspaper editorials about the "divorce evil," and you will find that to the preacher or editor this "evil" consists of the fact that more and more people are refusing to stay unhappily married.	You will hear sermons and read newspaper editorials about the "divorce evil," and you will find that to the preacher or editor this "evil" consists of the fact that more and more people are refusing to stay unhappily married.
5190_87791_000003_000003	They know this because God has told them so, and in the name of God they seek to keep people tied in sex unions which have come to mean loathing instead of love.	They know this because God has told them so, and in the name of God they seek to keep people tied in sex unions which have come to mean loathing instead of love.
5190_87791_000004_000000	Now, I will assert it as a mathematical certainty that a considerable percentage of marriages must fail.	Now, I will assert it as a mathematical certainty that a considerable percentage of marriages must fail.
5190_87791_000004_000003	Who does not know the man who masters life and becomes a vital force, while his wife remains dull and empty?	Who does not know the man who masters life and becomes a vital force, while his wife remains dull and empty?
5190_87791_000005_000003	She ought in common sense to have broken the engagement; but she was in love, and she married, as many another fool woman does, with the idea of "reforming" the man.	She ought in common sense to have broken the engagement; but she was in love, and she married, as many another fool woman does, with the idea of "reforming" the man.
5190_87791_000005_000004	She failed, and was utterly and unspeakably wretched.	She failed, and was utterly and unspeakably wretched.
5190_87791_000006_000000	I know another man, a conservative capitalist of narrow and aggressive temper, whose wife turned into an ardent Bolshevik.	I know another man, a conservative capitalist of narrow and aggressive temper, whose wife turned into an ardent Bolshevik.
5190_87791_000006_000004	I know another whose wife turned into an ultra-pious Catholic, and turned over the care of his domestic life to a priest.	I know another whose wife turned into an ultra pious Catholic, and turned over the care of his domestic life to a priest.
5190_87791_000007_000002	Also we are coming to take what we believe with more seriousness; the intellectual life means more and more to us, and it becomes harder and harder for us to find sexual and domestic happiness with a partner who does not share our convictions, but, on the contrary, may be contributing to the campaign funds of the opposition party.	Also we are coming to take what we believe with more seriousness; the intellectual life means more and more to us, and it becomes harder and harder for us to find sexual and domestic happiness with a partner who does not share our convictions, but, on the contrary, may be contributing to the campaign funds of the opposition party.
5190_87791_000008_000001	But it is a fact that intellectual convictions are the raw material out of which characters and lives are made, and it is inevitable that some characters and lives that fit quite well at twenty should fit very badly at thirty or forty.	But it is a fact that intellectual convictions are the raw material out of which characters and lives are made, and it is inevitable that some characters and lives that fit quite well at twenty should fit very badly at thirty or forty.
5190_87791_000008_000002	When we refuse divorce under such circumstances we are not fostering marriage, as we fondly imagine; we are really fostering adultery.	When we refuse divorce under such circumstances we are not fostering marriage, as we fondly imagine; we are really fostering adultery.
5190_87791_000008_000004	Therefore it follows that "strict" divorce laws, such as the clerical propaganda urges upon us, are in reality laws for the promotion of fornication and prostitution.	Therefore it follows that "strict" divorce laws, such as the clerical propaganda urges upon us, are in reality laws for the promotion of fornication and prostitution.
5190_87791_000009_000000	There is a short story by Edith Wharton, in which the "divorce evil" is exhibited to us in its naked horror; the story called "The Other Two," in the volume "The Descent of Man." A society woman has been divorced twice and married three times, and by an ingenious set of circumstances the woman and all three of the men are brought into the same drawing-room at the same time.	There is a short story by Edith Wharton, in which the "divorce evil" is exhibited to us in its naked horror; the story called "The Other Two," in the volume "The Descent of Man." A society woman has been divorced twice and married three times, and by an ingenious set of circumstances the woman and all three of the men are brought into the same drawing room at the same time.
5190_87791_000009_000001	Just imagine, if you can, such an excruciating situation: a woman, her husband, and two men who used to be her husbands, all compelled to meet together and think of something to say!	Just imagine, if you can, such an excruciating situation: a woman, her husband, and two men who used to be her husbands, all compelled to meet together and think of something to say!
5190_87791_000009_000002	I cite this story because it is a perfect illustration of the extent to which the "divorce problem" is a problem of our lack of sense. Mrs. Wharton will, I fear, consider me a very vulgar person if I assert that there is absolutely no reason whatever why any of those four people in her story should have had a moment's discomfort of mind, except that they thought there was.	I cite this story because it is a perfect illustration of the extent to which the "divorce problem" is a problem of our lack of sense. mrs Wharton will, I fear, consider me a very vulgar person if I assert that there is absolutely no reason whatever why any of those four people in her story should have had a moment's discomfort of mind, except that they thought there was.
5190_87791_000009_000004	I would not say that they should choose to be intimate friends--though even that may be possible occasionally.	I would not say that they should choose to be intimate friends-though even that may be possible occasionally.
5190_87791_000010_000000	I know, because I have seen it happen.	I know, because I have seen it happen.
5190_87791_000010_000002	I visited his home, and met his wife and two little children, and saw a man and woman living in domestic happiness.	I visited his home, and met his wife and two little children, and saw a man and woman living in domestic happiness.
5190_87791_000010_000003	The man had also two grown sons, and after a few days he remarked that he would like me to meet the mother of these young men.	The man had also two grown sons, and after a few days he remarked that he would like me to meet the mother of these young men.
5190_87791_000010_000005	This lady had been the writer's wife for ten years or so, and there had been a terrible uproar when they voluntarily parted.	This lady had been the writer's wife for ten years or so, and there had been a terrible uproar when they voluntarily parted.
5190_87791_000012_000000	THE RESTRICTION OF DIVORCE	THE RESTRICTION OF DIVORCE
5190_87791_000013_000000	(Discusses the circumstances under which society has the right to forbid divorce, or to impose limitations upon it.)	(Discusses the circumstances under which society has the right to forbid divorce, or to impose limitations upon it.)
5190_87791_000014_000000	We have quoted the old maxim, "Marry in haste and repent at leisure," and we suggested that parents and guardians should have the right to ask the young to wait before marriage, and make certain of the state of their hearts.	We have quoted the old maxim, "Marry in haste and repent at leisure," and we suggested that parents and guardians should have the right to ask the young to wait before marriage, and make certain of the state of their hearts.
5190_87791_000015_000003	In the first place, there are or may be children, and society should try to preserve for every child a home with a father and a mother in it.	In the first place, there are or may be children, and society should try to preserve for every child a home with a father and a mother in it.
5190_87791_000015_000004	Second, there are property rights, of which every marriage is a tangle, and the settlement of which the law should always oversee.	Second, there are property rights, of which every marriage is a tangle, and the settlement of which the law should always oversee.
