7495_102612_000002_000000	Chapter XXX.	Chapter thirty.
7495_102612_000004_000001	No; he doth but mistake the truth totally.	No; he doth but mistake the truth totally.
7495_102612_000005_000000	Tempest.	Tempest.
7495_102612_000006_000000	It was the very next morning that several ladies and gentlemen were gathered on the piazza of the hotel at Montepoole, to brace minds or appetites with the sweet mountain air while waiting for breakfast.	It was the very next morning that several ladies and gentlemen were gathered on the piazza of the hotel at Montepoole, to brace minds or appetites with the sweet mountain air while waiting for breakfast.
7495_102612_000011_000000	"Whose are they?	"Whose are they?
7495_102612_000011_000001	Are they for sale?"	Are they for sale?"
7495_102612_000013_000000	"Constance!" said Mrs. Evelyn from the piazza,--"don't take that!	"Constance!" said mrs Evelyn from the piazza,--"don't take that!
7495_102612_000013_000001	I dare say they are for Mr. Sweet."	I dare say they are for mr Sweet."
7495_102612_000014_000000	"Well, mamma!--" said Constance with great equanimity,--"Mr.	"Well, mamma!--" said Constance with great equanimity,--"mr
7495_102612_000014_000002	My taste leads me to prefer the simplicity of primitive arrangements this morning."	My taste leads me to prefer the simplicity of primitive arrangements this morning."
7495_102612_000015_000000	"Young man!" called out the landlady's reproving voice, "won't you never recollect to bring that basket round the back way?"	"Young man!" called out the landlady's reproving voice, "won't you never recollect to bring that basket round the back way?"
7495_102612_000017_000000	"Where do you get them?" said Mrs. Evelyn.	"Where do you get them?" said mrs Evelyn.
7495_102612_000018_000000	"How?--" said Philetus.	"How?--" said Philetus.
7495_102612_000019_000001	Are they fresh picked?"	Are they fresh picked?"
7495_102612_000020_000000	"Just afore I started."	"Just afore I started."
7495_102612_000021_000000	"Started from where?" said a gentleman standing by Mrs. Evelyn.	"Started from where?" said a gentleman standing by mrs Evelyn.
7495_102612_000022_000000	"From Mr. Rossitur's down to Queechy."	"From mr Rossitur's down to Queechy."
7495_102612_000023_000000	"Mr. Rossitur's!" said Mrs. Evelyn;--"does he send them here?"	"mr Rossitur's!" said mrs Evelyn;--"does he send them here?"
7495_102612_000024_000000	"He doos not," said Philetus;--"he doosn't keep to hum for a long spell."	"He doos not," said Philetus;--"he doosn't keep to hum for a long spell."
7495_102612_000026_000000	"Who doos?	"Who doos?
7495_102612_000026_000001	It's Miss Fliddy Ringgan."	It's Miss Fliddy Ringgan."
7495_102612_000027_000000	"Mamma!" exclaimed Constance looking up.	"Mamma!" exclaimed Constance looking up.
7495_102612_000028_000000	"What does she have to do with it?" said Mrs. Evelyn.	"What does she have to do with it?" said mrs Evelyn.
7495_102612_000029_000001	"Her and me was a picking 'em afore sunrise."	"Her and me was a picking 'em afore sunrise."
7495_102612_000030_000000	"All that basketful!"	"All that basketful!"
7495_102612_000032_000000	"And does she send that too?"	"And does she send that too?"
7495_102612_000034_000000	"But hasn't she any help in taking care of the garden?" said Constance.	"But hasn't she any help in taking care of the garden?" said Constance.
7495_102612_000036_000000	"But where is Mr. Hugh?"	"But where is mr Hugh?"
7495_102612_000037_000000	"He's to hum."	"He's to hum."
7495_102612_000038_000001	does he leave it all to his cousin?"	does he leave it all to his cousin?"
7495_102612_000039_000000	"He's to the mill."	"He's to the mill."
7495_102612_000041_000000	"She doos," said Philetus.	"She doos," said Philetus.
7495_102612_000042_000000	And receiving a gratuity which he accepted without demonstration of any kind whatever, the basket-bearer at length released moved off.	And receiving a gratuity which he accepted without demonstration of any kind whatever, the basket bearer at length released moved off.
7495_102612_000044_000000	"She's a very clever girl," said Mrs. Evelyn dismissing the subject.	"She's a very clever girl," said mrs Evelyn dismissing the subject.
7495_102612_000045_000000	"She's too lovely for anything!" said Constance.	"She's too lovely for anything!" said Constance.
7495_102612_000045_000001	"Mr. Carleton,--if you will just imagine we are in China, and introduct a pair of familiar chop-sticks into this basket, I shall be repaid for the loss of a strawberry by the expression of ecstasy which will immediately spread itself over your features.	"mr Carleton,--if you will just imagine we are in China, and introduct a pair of familiar chop sticks into this basket, I shall be repaid for the loss of a strawberry by the expression of ecstasy which will immediately spread itself over your features.
7495_102612_000046_000000	He smiled a little as he complied with the young lady's invitation, but the expression of ecstasy did not come.	He smiled a little as he complied with the young lady's invitation, but the expression of ecstasy did not come.
7495_102612_000047_000000	"Are Mr. Rossitur's circumstances so much reduced?" he said, drawing nearer to Mrs. Evelyn.	"Are mr Rossitur's circumstances so much reduced?" he said, drawing nearer to mrs Evelyn.
7495_102612_000050_000000	"They are all broken to pieces," said Mrs. Evelyn, as Mr. Carleton's eye went back to her for his answer;--"Mr.	"They are all broken to pieces," said mrs Evelyn, as mr Carleton's eye went back to her for his answer;--"mr
7495_102612_000050_000001	Rossitur failed and lost everything--bankrupt--a year or two after they came home."	Rossitur failed and lost everything-bankrupt-a year or two after they came home."
7495_102612_000052_000001	They don't look like it.	They don't look like it.
7495_102612_000054_000001	He has gone down hill sadly since his misfortunes.	He has gone down hill sadly since his misfortunes.
7495_102612_000054_000002	I am very sorry for them."	I am very sorry for them."
7495_102612_000055_000000	"And his niece takes care of his farm in the meantime?"	"And his niece takes care of his farm in the meantime?"
7495_102612_000056_000000	"Do you know her?" asked both the Miss Evelyns again.	"Do you know her?" asked both the Miss Evelyns again.
7495_102612_000057_000000	"I can hardly say that," he replied.	"I can hardly say that," he replied.
7495_102612_000057_000001	"I had such a pleasure formerly.	"I had such a pleasure formerly.
7495_102612_000058_000000	"So she says."	"So she says."
7495_102612_000059_000000	"And so she acts," said Constance.	"And so she acts," said Constance.
7495_102612_000059_000001	"I wish you had heard her yesterday.	"I wish you had heard her yesterday.
7495_102612_000059_000002	It was beyond everything.	It was beyond everything.
7495_102612_000060_000000	The manner still more than the matter of this speech was beyond the withstanding of any good-natured muscles, though the gentleman's smile was a grave one and quickly lost in gravity.	The manner still more than the matter of this speech was beyond the withstanding of any good-natured muscles, though the gentleman's smile was a grave one and quickly lost in gravity.
7495_102612_000061_000000	"And this has been her life ever since Mr. Rossitur lost his property?"	"And this has been her life ever since mr Rossitur lost his property?"
7495_102612_000062_000000	"Entirely,--sacrificed!--" said Mrs. Evelyn, with a compassionately resigned air;--"education, advantages and everything given up; and set down here where she has seen nobody from year's end to year's end but the country people about--very good people--but not the kind of people she ought to have been brought up among."	"Entirely,--sacrificed!--" said mrs Evelyn, with a compassionately resigned air;--"education, advantages and everything given up; and set down here where she has seen nobody from year's end to year's end but the country people about-very good people-but not the kind of people she ought to have been brought up among."
7495_102612_000063_000000	"Oh mamma!" said the eldest Miss Evelyn in a deprecatory tone,--"you shouldn't talk so--it isn't right--I am sure she is very nice--nicer now than anybody else I know; and clever too."	"Oh mamma!" said the eldest Miss Evelyn in a deprecatory tone,--"you shouldn't talk so-it isn't right-I am sure she is very nice-nicer now than anybody else I know; and clever too."
7495_102612_000064_000000	"Nice!" said Edith.	"Nice!" said Edith.
7495_102612_000066_000000	"And happy, mamma--Fleda don't look miserable--she seems perfectly happy and contented!"	"And happy, mamma-Fleda don't look miserable-she seems perfectly happy and contented!"
