7933_113273_000000_000000	One of these was Quilp, the ugly dwarf.	One of these was Quilp, the ugly dwarf.
7933_113273_000000_000001	He had loaned the grandfather more money than the shop would bring, and he made up his mind now that the old man had a secret hoard somewhere, which might be his if he could find it.	He had loaned the grandfather more money than the shop would bring, and he made up his mind now that the old man had a secret hoard somewhere, which might be his if he could find it.
7933_113273_000000_000002	He soon learned that if Kit knew anything about it he would not tell, so he and his lawyer (a sleek, oily rascal named Brass) made many plans for finding them.	He soon learned that if Kit knew anything about it he would not tell, so he and his lawyer (a sleek, oily rascal named Brass) made many plans for finding them.
7933_113273_000000_000003	But for a long time Quilp could get no trace.	But for a long time Quilp could get no trace.
7933_113273_000001_000000	Another who tried to find them was a curious lodger who roomed in Brass's house.	Another who tried to find them was a curious lodger who roomed in Brass's house.
7933_113273_000002_000000	He kept in his room a big box-like trunk, in which was a silver stove that he used to cook his meals.	He kept in his room a big box like trunk, in which was a silver stove that he used to cook his meals.
7933_113273_000002_000001	The stove had a lot of little openings. In one he would put an egg, in another some coffee, in another a piece of meat and in the fourth some water.	The stove had a lot of little openings. In one he would put an egg, in another some coffee, in another a piece of meat and in the fourth some water.
7933_113273_000002_000002	Then he would light a lamp that stood under it, and in five minutes the egg would be cooked, the coffee boiled and the meat done--all ready to eat.	Then he would light a lamp that stood under it, and in five minutes the egg would be cooked, the coffee boiled and the meat done-all ready to eat.
7933_113273_000003_000000	He was the queerest sort of boarder!	He was the queerest sort of boarder!
7933_113273_000003_000001	The strangest habit he had was this: He seemed to be very fond of Punch-and-Judy shows, and whenever he heard one on the street he would run out without his hat, make the showmen perform in front of the house and then invite them to his rooms, where he would question them for a long time.	The strangest habit he had was this: He seemed to be very fond of Punch and Judy shows, and whenever he heard one on the street he would run out without his hat, make the showmen perform in front of the house and then invite them to his rooms, where he would question them for a long time.
7933_113273_000004_000002	The younger had become a traveler in many countries and had never seen his brother since.	The younger had become a traveler in many countries and had never seen his brother since.
7933_113273_000004_000003	But he dreamed often of the days when they had been children and at last he forgot the thing that had driven them apart.	But he dreamed often of the days when they had been children and at last he forgot the thing that had driven them apart.
7933_113273_000004_000004	He had come back now to England, a rich man, to find the other had vanished with little Nell, his grandchild.	He had come back now to England, a rich man, to find the other had vanished with little Nell, his grandchild.
7933_113273_000004_000005	He had soon learned the story of their misfortune and how the fear of Quilp had driven them away.	He had soon learned the story of their misfortune and how the fear of Quilp had driven them away.
7933_113273_000004_000006	After much inquiry he had discovered they had been seen with a Punch-and-Judy show and now he was trying to find the showmen.	After much inquiry he had discovered they had been seen with a Punch and Judy show and now he was trying to find the showmen.
7933_113273_000004_000007	And finally, in this way, he did find the very same pair the wanderers had met!	And finally, in this way, he did find the very same pair the wanderers had met!
7933_113273_000005_000001	But he remembered that his brother, little Nell's grandfather, could not be expected to know him after all the years he had been gone, and as for little Nell herself, she had never seen him, and he was afraid if they heard a strange man had come for them they would take fright and run away again.	But he remembered that his brother, little Nell's grandfather, could not be expected to know him after all the years he had been gone, and as for little Nell herself, she had never seen him, and he was afraid if they heard a strange man had come for them they would take fright and run away again.
7933_113273_000005_000002	So he tried to find some one they had loved to go with him to show that he intended only kindness.	So he tried to find some one they had loved to go with him to show that he intended only kindness.
7933_113273_000006_000000	He was not long in hearing of Kit, who had found a situation as footman, and he gained his employer's leave to take the lad with him.	He was not long in hearing of Kit, who had found a situation as footman, and he gained his employer's leave to take the lad with him.
