7933_113273_000000_000000	One of these was Quilp, the ugly dwarf.	One of these was Quilp, the ugly dwarf.	true	40.815	43.41	25.060705
7933_113273_000000_000001	He had loaned the grandfather more money than the shop would bring, and he made up his mind now that the old man had a secret hoard somewhere, which might be his if he could find it.	He had loaned the grandfather more money than the shop would bring, and he made up his mind now that the old man had a secret hoard somewhere, which might be his if he could find it.	true	43.41	53.95	23.787172
7933_113273_000000_000002	He soon learned that if Kit knew anything about it he would not tell, so he and his lawyer (a sleek, oily rascal named Brass) made many plans for finding them.	He soon learned that if Kit knew anything about it he would not tell, so he and his lawyer (a sleek, oily rascal named Brass) made many plans for finding them.	true	54.08	63.97	22.566631
7933_113273_000000_000003	But for a long time Quilp could get no trace.	But for a long time Quilp could get no trace.	true	63.98	66.91	25.874508
7933_113273_000001_000000	Another who tried to find them was a curious lodger who roomed in Brass's house.	Another who tried to find them was a curious lodger who roomed in Brass's house.	true	67.13	72.375	28.247486
7933_113273_000001_000001	He seemed to have plenty of money but was very eccentric. Nobody knew even his name and so they called him The Stranger.	He seemed to have plenty of money but was very eccentric. Nobody knew even his name and so they called him The Stranger.	false	72.375	79.32	23.371891
7933_113273_000002_000000	He kept in his room a big box-like trunk, in which was a silver stove that he used to cook his meals.	He kept in his room a big box like trunk, in which was a silver stove that he used to cook his meals.	true	79.32	85.54	24.167318
7933_113273_000002_000001	The stove had a lot of little openings. In one he would put an egg, in another some coffee, in another a piece of meat and in the fourth some water.	The stove had a lot of little openings. In one he would put an egg, in another some coffee, in another a piece of meat and in the fourth some water.	true	85.58	95.61	25.680416
7933_113273_000002_000002	Then he would light a lamp that stood under it, and in five minutes the egg would be cooked, the coffee boiled and the meat done--all ready to eat.	Then he would light a lamp that stood under it, and in five minutes the egg would be cooked, the coffee boiled and the meat done-all ready to eat.	true	95.61	104.745	24.204472
7933_113273_000003_000000	He was the queerest sort of boarder!	He was the queerest sort of boarder!	true	104.745	106.995	25.682194
7933_113273_000003_000001	The strangest habit he had was this: He seemed to be very fond of Punch-and-Judy shows, and whenever he heard one on the street he would run out without his hat, make the showmen perform in front of the house and then invite them to his rooms, where he would question them for a long time.	The strangest habit he had was this: He seemed to be very fond of Punch and Judy shows, and whenever he heard one on the street he would run out without his hat, make the showmen perform in front of the house and then invite them to his rooms, where he would question them for a long time.	true	106.995	124.06	22.593977
7933_113273_000003_000002	This habit used to puzzle both Brass and Quilp, the dwarf, and they never could guess why he did it.	This habit used to puzzle both Brass and Quilp, the dwarf, and they never could guess why he did it.	false	124.13	130.15	24.968006
7933_113273_000004_000000	The truth was, the mysterious Stranger was a long-missing brother of little Nell's grandfather.	The truth was, the mysterious Stranger was a long missing brother of little Nell's grandfather.	false	130.25	136.455	22.874662
7933_113273_000004_000001	A misunderstanding had come between them many years before when both were young men.	A misunderstanding had come between them many years before when both were young men.	false	136.455	141.93	25.827875
7933_113273_000004_000002	The younger had become a traveler in many countries and had never seen his brother since.	The younger had become a traveler in many countries and had never seen his brother since.	true	141.93	146.92	20
7933_113273_000004_000003	But he dreamed often of the days when they had been children and at last he forgot the thing that had driven them apart.	But he dreamed often of the days when they had been children and at last he forgot the thing that had driven them apart.	true	146.96	153.27	22.525219
7933_113273_000004_000004	He had come back now to England, a rich man, to find the other had vanished with little Nell, his grandchild.	He had come back now to England, a rich man, to find the other had vanished with little Nell, his grandchild.	true	153.27	159.375	24.702435
7933_113273_000004_000005	He had soon learned the story of their misfortune and how the fear of Quilp had driven them away.	He had soon learned the story of their misfortune and how the fear of Quilp had driven them away.	true	159.375	164.73	21.949259
7933_113273_000004_000006	After much inquiry he had discovered they had been seen with a Punch-and-Judy show and now he was trying to find the showmen.	After much inquiry he had discovered they had been seen with a Punch and Judy show and now he was trying to find the showmen.	true	164.73	171.67	23.609661
7933_113273_000004_000007	And finally, in this way, he did find the very same pair the wanderers had met!	And finally, in this way, he did find the very same pair the wanderers had met!	true	171.71	177.25	23.950914
