1961_145733_000000_000000	THE SWINEHERD	THE SWINEHERD	true	18.69	19.72	18
1961_145733_000001_000000	There was once a poor Prince.	There was once a poor Prince.	true	20.33	22.27	21.371845
1961_145733_000001_000001	He possessed a kingdom which, though small, was yet large enough for him to marry on, and married he wished to be.	He possessed a kingdom which, though small, was yet large enough for him to marry on, and married he wished to be.	true	22.34	28.48	13
1961_145733_000002_000000	Now it was certainly a little audacious of him to venture to say to the Emperor's daughter, 'Will you marry me?' But he did venture to say so, for his name was known far and wide.	Now it was certainly a little audacious of him to venture to say to the Emperor's daughter, 'Will you marry me?' But he did venture to say so, for his name was known far and wide.	true	28.97	39.19	19
1961_145733_000002_000001	There were hundreds of princesses who would gladly have said 'Yes,' but would she say the same?	There were hundreds of princesses who would gladly have said 'Yes,' but would she say the same?	true	39.35	45.07	18.281942
1961_145733_000003_000000	Well, we shall see.	Well, we shall see.	true	45.35	46.78	16.96023
1961_145733_000004_000000	On the grave of the Prince's father grew a rose-tree, a very beautiful rose-tree.	On the grave of the Prince's father grew a rose tree, a very beautiful rose tree.	true	47.42	52.9	20
1961_145733_000004_000001	It only bloomed every five years, and then bore but a single rose, but oh, such a rose!	It only bloomed every five years, and then bore but a single rose, but oh, such a rose!	true	52.97	59.02	17
1961_145733_000004_000002	Its scent was so sweet that when you smelt it you forgot all your cares and troubles.	Its scent was so sweet that when you smelt it you forgot all your cares and troubles.	true	59.15	64.3	22
1961_145733_000004_000003	And he had also a nightingale which could sing as if all the beautiful melodies in the world were shut up in its little throat.	And he had also a nightingale which could sing as if all the beautiful melodies in the world were shut up in its little throat.	true	64.43	71.95	16
1961_145733_000004_000004	This rose and this nightingale the Princess was to have, and so they were both put into silver caskets and sent to her.	This rose and this nightingale the Princess was to have, and so they were both put into silver caskets and sent to her.	true	72.38	80.08	21
1961_145733_000005_000000	The Emperor had them brought to him in the great hall, where the Princess was playing 'Here comes a duke a-riding' with her ladies-in-waiting.	The Emperor had them brought to him in the great hall, where the Princess was playing 'Here comes a duke a riding' with her ladies in waiting.	true	80.45	88.24	21.488256
1961_145733_000005_000001	And when she caught sight of the big caskets which contained the presents, she clapped her hands for joy.	And when she caught sight of the big caskets which contained the presents, she clapped her hands for joy.	false	88.4	94.45	20
1961_145733_000006_000000	'If only it were a little pussy cat!' she said.	'If only it were a little pussy cat!' she said.	true	94.7	97.66	26.550306
1961_145733_000006_000001	But the rose-tree with the beautiful rose came out.	But the rose tree with the beautiful rose came out.	true	97.73	100.93	21.459393
1961_145733_000007_000000	'But how prettily it is made!' said all the ladies-in-waiting.	'But how prettily it is made!' said all the ladies in waiting.	true	101.21	104.8	16
1961_145733_000008_000000	'It is more than pretty,' said the Emperor, 'it is charming!'	'It is more than pretty,' said the Emperor, 'it is charming!'	true	104.84	108.37	18.969967
1961_145733_000009_000000	But the Princess felt it, and then she almost began to cry.	But the Princess felt it, and then she almost began to cry.	true	108.68	112.3	19.764635
1961_145733_000010_000000	'Ugh! Papa,' she said, 'it is not artificial, it is REAL!'	'Ugh! Papa,' she said, 'it is not artificial, it is REAL!'	false	112.58	117.52	21.961296
1961_145733_000011_000000	'Ugh!' said all the ladies-in-waiting, 'it is real!'	'Ugh!' said all the ladies in waiting, 'it is real!'	true	117.59	121.27	18.005537
1961_145733_000012_000000	'Let us see first what is in the other casket before we begin to be angry,' thought the Emperor, and there came out the nightingale.	'Let us see first what is in the other casket before we begin to be angry,' thought the Emperor, and there came out the nightingale.	false	121.79	129.63	17
1961_145733_000012_000001	It sang so beautifully that one could scarcely utter a cross word against it.	It sang so beautifully that one could scarcely utter a cross word against it.	false	129.63	134.56	17
1961_145733_000013_000000	'Superbe! charmant!' said the ladies-in-waiting, for they all chattered French, each one worse than the other.	'Superbe! charmant!' said the ladies in waiting, for they all chattered French, each one worse than the other.	false	134.81	142.3	17
1961_145733_000014_000000	'How much the bird reminds me of the musical snuff-box of the late Empress!' said an old courtier.	'How much the bird reminds me of the musical snuff box of the late Empress!' said an old courtier.	false	142.79	148.02	13
1961_145733_000014_000001	'Ah, yes, it is the same tone, the same execution!'	'Ah, yes, it is the same tone, the same execution!'	false	148.02	152.5	19.615187
1961_145733_000015_000000	'Yes,' said the Emperor; and then he wept like a little child.	'Yes,' said the Emperor; and then he wept like a little child.	true	152.93	156.82	20.57776
1961_145733_000016_000000	'I hope that this, at least, is not real?' asked the Princess.	'I hope that this, at least, is not real?' asked the Princess.	true	157.28	161.2	19.364788
1961_145733_000017_000000	'Yes, it is a real bird,' said those who had brought it.	'Yes, it is a real bird,' said those who had brought it.	true	161.66	164.74	20.28921
1961_145733_000018_000000	'Then let the bird fly away,' said the Princess; and she would not on any account allow the Prince to come.	'Then let the bird fly away,' said the Princess; and she would not on any account allow the Prince to come.	true	165.08	171.67	22.276943
1961_145733_000019_000000	'But he was nothing daunted.	'But he was nothing daunted.	true	171.8	173.71	23.556965
1961_145733_000019_000001	He painted his face brown and black, drew his cap well over his face, and knocked at the door.	He painted his face brown and black, drew his cap well over his face, and knocked at the door.	true	173.81	179.44	20.27998
1961_145733_000019_000002	'Good-day, Emperor,' he said.	'Good day, Emperor,' he said.	true	179.63	181.44	19.145
1961_145733_000019_000003	'Can I get a place here as servant in the castle?'	'Can I get a place here as servant in the castle?'	false	181.44	184.72	18
1961_145733_000020_000000	'Yes,' said the Emperor, 'but there are so many who ask for a place that I don't know whether there will be one for you; but, still, I will think of you.	'Yes,' said the Emperor, 'but there are so many who ask for a place that I don't know whether there will be one for you; but, still, I will think of you.	true	185.15	193.45	20.963211
1961_145733_000020_000001	Stay, it has just occurred to me that I want someone to look after the swine, for I have so very many of them.'	Stay, it has just occurred to me that I want someone to look after the swine, for I have so very many of them.'	true	193.67	200.26	20.853762
1961_145733_000021_000000	And the Prince got the situation of Imperial Swineherd.	And the Prince got the situation of Imperial Swineherd.	true	200.66	204.61	20
1961_145733_000021_000001	He had a wretched little room close to the pigsties; here he had to stay, but the whole day he sat working, and when evening was come he had made a pretty little pot.	He had a wretched little room close to the pigsties; here he had to stay, but the whole day he sat working, and when evening was come he had made a pretty little pot.	true	204.83	215.37	21
1961_145733_000021_000002	All round it were little bells, and when the pot boiled they jingled most beautifully and played the old tune--	All round it were little bells, and when the pot boiled they jingled most beautifully and played the old tune-	false	215.37	222.34	21.54982
1961_145733_000022_000000	'Where is Augustus dear? Alas! he's not here, here, here!'	'Where is Augustus dear? Alas! he's not here, here, here!'	true	222.59	227.14	22.996994
1961_145733_000023_000000	But the most wonderful thing was, that when one held one's finger in the steam of the pot, then at once one could smell what dinner was ready in any fire-place in the town.	But the most wonderful thing was, that when one held one's finger in the steam of the pot, then at once one could smell what dinner was ready in any fire place in the town.	true	227.48	239.5	21
