8459_285173_000000_000000	"DEAR B.........	"DEAR b........	true	31.155	32.08	24.010063
8459_285173_000000_000001	Believing only a portion of my former volume to be worthy a second edition-that small portion I thought it as well to include in the present book as to republish by itself.	Believing only a portion of my former volume to be worthy a second edition that small portion I thought it as well to include in the present book as to republish by itself.	true	32.45	41.83	21.799026
8459_285173_000000_000002	I have therefore herein combined 'Al Aaraaf' and 'Tamerlane' with other poems hitherto unprinted.	I have therefore herein combined 'Al Aaraaf' and 'Tamerlane' with other poems hitherto unprinted.	true	41.93	47.83	23.719187
8459_285173_000000_000003	Nor have I hesitated to insert from the 'Minor Poems,' now omitted, whole lines, and even passages, to the end that being placed in a fairer light, and the trash shaken from them in which they were imbedded, they may have some chance of being seen by posterity.	Nor have I hesitated to insert from the 'Minor Poems,' now omitted, whole lines, and even passages, to the end that being placed in a fairer light, and the trash shaken from them in which they were imbedded, they may have some chance of being seen by posterity.	false	48.26	62.17	23.342627
8459_285173_000001_000000	"It has been said that a good critique on a poem may be written by one who is no poet himself.	"It has been said that a good critique on a poem may be written by one who is no poet himself.	true	63.77	69.16	20.312836
8459_285173_000001_000001	This, according to your idea and _mine _of poetry, I feel to be false-the less poetical the critic, the less just the critique, and the converse.	This, according to your idea and underscore mine underscore of poetry, I feel to be false the less poetical the critic, the less just the critique, and the converse.	false	69.35	78.13	24.83088
8459_285173_000001_000002	On this account, and because there are but few B-'s in the world, I would be as much ashamed of the world's good opinion as proud of your own.	On this account, and because there are but few B 's in the world, I would be as much ashamed of the world's good opinion as proud of your own.	true	78.77	85.63	22.644094
8459_285173_000001_000003	Another than yourself might here observe, 'Shakespeare is in possession of the world's good opinion, and yet Shakespeare is the greatest of poets.	Another than yourself might here observe, 'Shakespeare is in possession of the world's good opinion, and yet Shakespeare is the greatest of poets.	true	86.03	93.01	23.229647
8459_285173_000001_000004	It appears then that the world judge correctly, why should you be ashamed of their favorable judgment?' The difficulty lies in the interpretation of the word 'judgment' or 'opinion.' The opinion is the world's, truly, but it may be called theirs as a man would call a book his, having bought it; he did not write the book, but it is his; they did not originate the opinion, but it is theirs.	It appears then that the world judge correctly, why should you be ashamed of their favorable judgment?' The difficulty lies in the interpretation of the word 'judgment' or 'opinion.' The opinion is the world's, truly, but it may be called theirs as a man would call a book his, having bought it; he did not write the book, but it is his; they did not originate the opinion, but it is theirs.	false	93.29	116.53	21.18346
8459_285173_000001_000005	A fool, for example, thinks Shakespeare a great poet-yet the fool has never read Shakespeare.	A fool, for example, thinks Shakespeare a great poet yet the fool has never read Shakespeare.	true	116.93	122.11	23.230467
8459_285173_000001_000006	But the fool's neighbor, who is a step higher on the Andes of the mind, whose head (that is to say, his more exalted thought) is too far above the fool to be seen or understood, but whose feet (by which I mean his everyday actions) are sufficiently near to be discerned, and by means of which that superiority is ascertained, which but for them would never have been discovered-this neighbor asserts that Shakespeare is a great poet--the fool believes him, and it is henceforward his _opinion.	But the fool's neighbor, who is a step higher on the Andes of the mind, whose head (that is to say, his more exalted thought) is too far above the fool to be seen or understood, but whose feet (by which I mean his everyday actions) are sufficiently near to be discerned, and by means of which that superiority is ascertained, which but for them would never have been discovered this neighbor asserts that Shakespeare is a great poet-the fool believes him, and it is henceforward his underscore opinion.	false	122.3	149.04	23.66225
