3889_130125_000000_000000	And, after paying his bill, Fix left the tavern.	And, after paying his bill, Fix left the tavern.	false	1.62	21.78	13.617572
3889_130125_000001_000000	Chapter XX	Chapter twenty	true	21.78	22.75	11.846094
3889_130125_000002_000000	IN WHICH FIX COMES FACE TO FACE WITH PHILEAS FOGG	IN WHICH FIX COMES FACE TO FACE WITH PHILEAS FOGG	true	23.15	27.07	13.267584
3889_130125_000003_000000	While these events were passing at the opium-house, Mr. Fogg, unconscious of the danger he was in of losing the steamer, was quietly escorting Aouda about the streets of the English quarter, making the necessary purchases for the long voyage before them.	While these events were passing at the opium house, mr Fogg, unconscious of the danger he was in of losing the steamer, was quietly escorting Aouda about the streets of the English quarter, making the necessary purchases for the long voyage before them.	true	27.95	42.61	15
3889_130125_000003_000001	It was all very well for an Englishman like Mr. Fogg to make the tour of the world with a carpet-bag; a lady could not be expected to travel comfortably under such conditions.	It was all very well for an Englishman like mr Fogg to make the tour of the world with a carpet bag; a lady could not be expected to travel comfortably under such conditions.	true	43.07	54.01	15.4905405
3889_130125_000003_000002	He acquitted his task with characteristic serenity, and invariably replied to the remonstrances of his fair companion, who was confused by his patience and generosity:	He acquitted his task with characteristic serenity, and invariably replied to the remonstrances of his fair companion, who was confused by his patience and generosity:	true	54.38	63.79	13.558767
3889_130125_000004_000000	"It is in the interest of my journey--a part of my programme."	"It is in the interest of my journey-a part of my programme."	true	65.51	69.58	15.931662
3889_130125_000005_000000	The purchases made, they returned to the hotel, where they dined at a sumptuously served table-d'hote; after which Aouda, shaking hands with her protector after the English fashion, retired to her room for rest. Mr. Fogg absorbed himself throughout the evening in the perusal of The Times and Illustrated London News.	The purchases made, they returned to the hotel, where they dined at a sumptuously served table d'hote; after which Aouda, shaking hands with her protector after the English fashion, retired to her room for rest. mr Fogg absorbed himself throughout the evening in the perusal of The Times and Illustrated London News.	false	70.4	89.98	14
3889_130125_000006_000000	Had he been capable of being astonished at anything, it would have been not to see his servant return at bedtime.	Had he been capable of being astonished at anything, it would have been not to see his servant return at bedtime.	false	91.22	97.72	13
3889_130125_000006_000001	But, knowing that the steamer was not to leave for Yokohama until the next morning, he did not disturb himself about the matter.	But, knowing that the steamer was not to leave for Yokohama until the next morning, he did not disturb himself about the matter.	true	97.91	105.82	14.601734
3889_130125_000006_000002	When Passepartout did not appear the next morning to answer his master's bell, Mr. Fogg, not betraying the least vexation, contented himself with taking his carpet-bag, calling Aouda, and sending for a palanquin.	When Passepartout did not appear the next morning to answer his master's bell, mr Fogg, not betraying the least vexation, contented himself with taking his carpet bag, calling Aouda, and sending for a palanquin.	true	106.37	119.44	13
3889_130125_000007_000000	It was then eight o'clock; at half-past nine, it being then high tide, the Carnatic would leave the harbour.	It was then eight o'clock; at half past nine, it being then high tide, the Carnatic would leave the harbour.	true	120.32	127.42	15
3889_130125_000007_000001	Mr. Fogg and Aouda got into the palanquin, their luggage being brought after on a wheelbarrow, and half an hour later stepped upon the quay whence they were to embark.	mr Fogg and Aouda got into the palanquin, their luggage being brought after on a wheelbarrow, and half an hour later stepped upon the quay whence they were to embark.	false	127.88	137.5	15.7334385
3889_130125_000007_000002	Mr. Fogg then learned that the Carnatic had sailed the evening before.	mr Fogg then learned that the Carnatic had sailed the evening before.	false	137.75	142.39	16.25964
3889_130125_000007_000003	He had expected to find not only the steamer, but his domestic, and was forced to give up both; but no sign of disappointment appeared on his face, and he merely remarked to Aouda, "It is an accident, madam; nothing more."	He had expected to find not only the steamer, but his domestic, and was forced to give up both; but no sign of disappointment appeared on his face, and he merely remarked to Aouda, "It is an accident, madam; nothing more."	true	142.82	158.29	12.593153
3889_130125_000008_000000	At this moment a man who had been observing him attentively approached. It was Fix, who, bowing, addressed Mr. Fogg: "Were you not, like me, sir, a passenger by the Rangoon, which arrived yesterday?"	At this moment a man who had been observing him attentively approached. It was Fix, who, bowing, addressed mr Fogg: "Were you not, like me, sir, a passenger by the Rangoon, which arrived yesterday?"	true	160.43	173.53	13.625534
3889_130125_000009_000000	"I was, sir," replied Mr. Fogg coldly.	"I was, sir," replied mr Fogg coldly.	false	173.96	176.74	13.868732
3889_130125_000009_000001	"But I have not the honour--"	"But I have not the honour-"	true	177.02	179.05	15.2690325
3889_130125_000010_000000	"Pardon me; I thought I should find your servant here."	"Pardon me; I thought I should find your servant here."	true	179.45	182.44	17.028982
3889_130125_000011_000000	"Do you know where he is, sir?" asked Aouda anxiously.	"Do you know where he is, sir?" asked Aouda anxiously.	false	183.83	187.54	14.501449
3889_130125_000012_000000	"What!" responded Fix, feigning surprise.	"What!" responded Fix, feigning surprise.	true	188.48	191.32	13.493686
3889_130125_000012_000001	"Is he not with you?"	"Is he not with you?"	true	191.48	193.15	16.674898
3889_130125_000013_000000	"No," said Aouda.	"No," said Aouda.	true	193.49	195.31	15.104133
3889_130125_000013_000001	"He has not made his appearance since yesterday. Could he have gone on board the Carnatic without us?"	"He has not made his appearance since yesterday. Could he have gone on board the Carnatic without us?"	true	195.41	202.06	14.567296
3889_130125_000014_000000	"Without you, madam?" answered the detective.	"Without you, madam?" answered the detective.	true	202.22	205.35	14
3889_130125_000014_000001	"Excuse me, did you intend to sail in the Carnatic?"	"Excuse me, did you intend to sail in the Carnatic?"	false	205.35	208.9	10.616565
3889_130125_000015_000000	"Yes, sir."	"Yes, sir."	true	209.27	210.19	8.634057
3889_130125_000016_000000	"So did I, madam, and I am excessively disappointed.	"So did I, madam, and I am excessively disappointed.	true	210.65	214.48	13
3889_130125_000016_000001	The Carnatic, its repairs being completed, left Hong Kong twelve hours before the stated time, without any notice being given; and we must now wait a week for another steamer."	The Carnatic, its repairs being completed, left Hong Kong twelve hours before the stated time, without any notice being given; and we must now wait a week for another steamer."	false	214.79	226.36	15
3889_130125_000017_000000	As he said "a week"	As he said "a week"	true	227.42	229.215	10.685316
3889_130125_000017_000001	Fix felt his heart leap for joy.	Fix felt his heart leap for joy.	true	229.215	231.76	11.30752
3889_130125_000017_000002	Fogg detained at Hong Kong for a week!	Fogg detained at Hong Kong for a week!	true	231.89	235.065	13.644446
3889_130125_000017_000003	There would be time for the warrant to arrive, and fortune at last favoured the representative of the law.	There would be time for the warrant to arrive, and fortune at last favoured the representative of the law.	true	235.065	241.39	14.62694
3889_130125_000017_000004	His horror may be imagined when he heard Mr. Fogg say, in his placid voice, "But there are other vessels besides the Carnatic, it seems to me, in the harbour of Hong Kong."	His horror may be imagined when he heard mr Fogg say, in his placid voice, "But there are other vessels besides the Carnatic, it seems to me, in the harbour of Hong Kong."	false	242.63	252.97	16.339676
3889_130125_000018_000000	And, offering his arm to Aouda, he directed his steps toward the docks in search of some craft about to start.	And, offering his arm to Aouda, he directed his steps toward the docks in search of some craft about to start.	true	253.91	261.19	13.493178
3889_130125_000018_000001	Fix, stupefied, followed; it seemed as if he were attached to Mr. Fogg by an invisible thread. Chance, however, appeared really to have abandoned the man it had hitherto served so well.	Fix, stupefied, followed; it seemed as if he were attached to mr Fogg by an invisible thread. Chance, however, appeared really to have abandoned the man it had hitherto served so well.	true	261.5	274.66	12.865352
