7995_276907_000003_000000	The remainder of the day Mr. Booth spent in melancholy contemplation on his present condition.	The remainder of the day mr Booth spent in melancholy contemplation on his present condition.
7995_276907_000003_000001	He was destitute of the common necessaries of life, and consequently unable to subsist where he was; nor was there a single person in town to whom he could, with any reasonable hope, apply for his delivery.	He was destitute of the common necessaries of life, and consequently unable to subsist where he was; nor was there a single person in town to whom he could, with any reasonable hope, apply for his delivery.
7995_276907_000003_000002	Grief for some time banished the thoughts of food from his mind; but in the morning nature began to grow uneasy for want of her usual nourishment: for he had not eat a morsel during the last forty hours.	Grief for some time banished the thoughts of food from his mind; but in the morning nature began to grow uneasy for want of her usual nourishment: for he had not eat a morsel during the last forty hours.
7995_276907_000003_000003	A penny loaf, which is, it seems, the ordinary allowance to the prisoners in Bridewell, was now delivered him; and while he was eating this a man brought him a little packet sealed up, informing him that it came by a messenger, who said it required no answer.	A penny loaf, which is, it seems, the ordinary allowance to the prisoners in Bridewell, was now delivered him; and while he was eating this a man brought him a little packet sealed up, informing him that it came by a messenger, who said it required no answer.
7995_276907_000004_000000	Mr. Booth now opened his packet, and, after unfolding several pieces of blank paper successively, at last discovered a guinea, wrapt with great care in the inmost paper.	mr Booth now opened his packet, and, after unfolding several pieces of blank paper successively, at last discovered a guinea, wrapt with great care in the inmost paper.
7995_276907_000004_000001	He was vastly surprized at this sight, as he had few if any friends from whom he could expect such a favour, slight as it was; and not one of his friends, as he was apprized, knew of his confinement.	He was vastly surprized at this sight, as he had few if any friends from whom he could expect such a favour, slight as it was; and not one of his friends, as he was apprized, knew of his confinement.
7995_276907_000004_000002	As there was no direction to the packet, nor a word of writing contained in it, he began to suspect that it was delivered to the wrong person; and being one of the most untainted honesty, he found out the man who gave it him, and again examined him concerning the person who brought it, and the message delivered with it.	As there was no direction to the packet, nor a word of writing contained in it, he began to suspect that it was delivered to the wrong person; and being one of the most untainted honesty, he found out the man who gave it him, and again examined him concerning the person who brought it, and the message delivered with it.
7995_276907_000004_000003	The man assured Booth that he had made no mistake; saying, "If your name is Booth, sir, I am positive you are the gentleman to whom the parcel I gave you belongs."	The man assured Booth that he had made no mistake; saying, "If your name is Booth, sir, I am positive you are the gentleman to whom the parcel I gave you belongs."
7995_276907_000005_000000	The most scrupulous honesty would, perhaps, in such a situation, have been well enough satisfied in finding no owner for the guinea; especially when proclamation had been made in the prison that Mr. Booth had received a packet without any direction, to which, if any person had any claim, and would discover the contents, he was ready to deliver it to such claimant.	The most scrupulous honesty would, perhaps, in such a situation, have been well enough satisfied in finding no owner for the guinea; especially when proclamation had been made in the prison that mr Booth had received a packet without any direction, to which, if any person had any claim, and would discover the contents, he was ready to deliver it to such claimant.
7995_276907_000006_000000	The first thing after redemption of the coat, which Mr. Booth, hungry as he was, thought of, was to supply himself with snuff, which he had long, to his great sorrow, been without.	The first thing after redemption of the coat, which mr Booth, hungry as he was, thought of, was to supply himself with snuff, which he had long, to his great sorrow, been without.
7995_276907_000006_000001	On this occasion he presently missed that iron box which the methodist had so dexterously conveyed out of his pocket, as we mentioned in the last chapter.	On this occasion he presently missed that iron box which the methodist had so dexterously conveyed out of his pocket, as we mentioned in the last chapter.
7995_276907_000007_000001	Though Mr. Booth was, as we have hinted, a man of a very sweet disposition, yet was he rather overwarm.	Though mr Booth was, as we have hinted, a man of a very sweet disposition, yet was he rather overwarm.
7995_276907_000007_000002	Having, therefore, no doubt concerning the person of the thief, he eagerly sought him out, and very bluntly charged him with the fact.	Having, therefore, no doubt concerning the person of the thief, he eagerly sought him out, and very bluntly charged him with the fact.
7995_276907_000008_000000	The gambler, whom I think we should now call the philosopher, received this charge without the least visible emotion either of mind or muscle. After a short pause of a few moments, he answered, with great solemnity, as follows: "Young man, I am entirely unconcerned at your groundless suspicion.	The gambler, whom I think we should now call the philosopher, received this charge without the least visible emotion either of mind or muscle. After a short pause of a few moments, he answered, with great solemnity, as follows: "Young man, I am entirely unconcerned at your groundless suspicion.
7995_276907_000008_000001	He that censures a stranger, as I am to you, without any cause, makes a worse compliment to himself than to the stranger.	He that censures a stranger, as I am to you, without any cause, makes a worse compliment to himself than to the stranger.
7995_276907_000008_000002	You know yourself, friend; you know not me.	You know yourself, friend; you know not me.
7995_276907_000008_000003	It is true, indeed, you heard me accused of being a cheat and a gamester; but who is my accuser?	It is true, indeed, you heard me accused of being a cheat and a gamester; but who is my accuser?
7995_276907_000008_000004	Look at my apparel, friend; do thieves and gamesters wear such cloaths as these? play is my folly, not my vice; it is my impulse, and I have been a martyr to it.	Look at my apparel, friend; do thieves and gamesters wear such cloaths as these? play is my folly, not my vice; it is my impulse, and I have been a martyr to it.
7995_276907_000009_000000	Booth was a little staggered at this defence.	Booth was a little staggered at this defence.
7995_276907_000010_000000	Robinson answered, "If that be the case, you have nothing more to do but to signify your intention in the prison, and I am well convinced you will not be long without regaining the possession of your snuff-box."	Robinson answered, "If that be the case, you have nothing more to do but to signify your intention in the prison, and I am well convinced you will not be long without regaining the possession of your snuff box."
7995_276907_000011_000002	"Have I not heard you often say, the wickeder any man was the better, provided he was what you call a believer?" "You mistake me," cries Cooper (for that was the name of the methodist): "no man can be wicked after he is possessed by the spirit.	"Have I not heard you often say, the wickeder any man was the better, provided he was what you call a believer?" "You mistake me," cries Cooper (for that was the name of the methodist): "no man can be wicked after he is possessed by the spirit.
7995_276907_000011_000003	There is a wide difference between the days of sin and the days of grace.	There is a wide difference between the days of sin and the days of grace.
