7594_101832_000000_000000	"Of course the lion had to admit that what Soongoora, the hare, said was true.	"Of course the lion had to admit that what Soongoora, the hare, said was true.	false	1.35	5.52	21.328224
7594_101832_000001_000000	"And now," said Keema to the shark, "you want to make a washerman's donkey of me.	"And now," said Keema to the shark, "you want to make a washerman's donkey of me.	false	5.52	9.93	20
7594_101832_000001_000001	Get out of there, and go home by yourself.	Get out of there, and go home by yourself.	false	9.93	12.72	17
7594_101832_000001_000002	You are not going to get me again, and our friendship is ended.	You are not going to get me again, and our friendship is ended.	false	12.72	18.84	22.061768
7594_101832_000001_000003	Good-bye, Papa."	Good bye, Papa."	false	18.84	20.91	22.814741
7594_101832_000002_000000	II.	two.	false	20.91	21.27	13
7594_101832_000003_000000	THE HARE AND THE LION.	THE HARE AND THE LION.	true	21.27	22.69	19
7594_101832_000004_000000	One day Soongoo'ra, the hare, roaming through the forest in search of food, glanced up through the boughs of a very large calabash tree, and saw that a great hole in the upper part of the trunk was inhabited by bees; thereupon he returned to town in search of some one to go with him and help to get the honey.	One day Soongoo'ra, the hare, roaming through the forest in search of food, glanced up through the boughs of a very large calabash tree, and saw that a great hole in the upper part of the trunk was inhabited by bees; thereupon he returned to town in search of some one to go with him and help to get the honey.	false	24.41	45.25	21.94032
7594_101832_000005_000000	As he was passing the house of Boo'koo, the big rat, that worthy gentleman invited him in.	As he was passing the house of Boo'koo, the big rat, that worthy gentleman invited him in.	true	46.22	52.63	20.891695
7594_101832_000005_000001	So he went in, sat down, and remarked: "My father has died, and has left me a hive of honey.	So he went in, sat down, and remarked: "My father has died, and has left me a hive of honey.	true	52.73	60.43	20.534477
7594_101832_000005_000002	I would like you to come and help me to eat it."	I would like you to come and help me to eat it."	true	60.62	63.34	22.674309
7594_101832_000006_000000	Of course Bookoo jumped at the offer, and he and the hare started off immediately.	Of course Bookoo jumped at the offer, and he and the hare started off immediately.	true	63.92	69.52	23.275265
7594_101832_000007_000000	When they arrived at the great calabash tree, Soongoora pointed out the bees' nest and said, "Go on; climb up." So, taking some straw with them, they climbed up to the nest, lit the straw, smoked out the bees, put out the fire, and set to work eating the honey.	When they arrived at the great calabash tree, Soongoora pointed out the bees' nest and said, "Go on; climb up." So, taking some straw with them, they climbed up to the nest, lit the straw, smoked out the bees, put out the fire, and set to work eating the honey.	false	70.28	88.6	23.410969
7594_101832_000008_000000	In the midst of the feast, who should appear at the foot of the tree but Sim'ba, the lion?	In the midst of the feast, who should appear at the foot of the tree but Sim'ba, the lion?	true	89.54	95.17	22.478832
7594_101832_000008_000001	Looking up, and seeing them eating, he asked, "Who are you?"	Looking up, and seeing them eating, he asked, "Who are you?"	true	95.42	99.58	20.585682
7594_101832_000009_000000	Then Soongoora whispered to Bookoo, "Hold your tongue; that old fellow is crazy." But in a very little while Simba roared out angrily: "Who are you, I say?	Then Soongoora whispered to Bookoo, "Hold your tongue; that old fellow is crazy." But in a very little while Simba roared out angrily: "Who are you, I say?	false	100.16	111.315	18.164934
7594_101832_000009_000001	Speak, I tell you!"	Speak, I tell you!"	true	111.315	112.87	23.194323
7594_101832_000009_000002	This made Bookoo so scared that he blurted out, "It's only us!"	This made Bookoo so scared that he blurted out, "It's only us!"	true	113.03	117.52	20.413252
7594_101832_000010_000000	Upon this the hare said to him: "You just wrap me up in this straw, call to the lion to keep out of the way, and then throw me down.	Upon this the hare said to him: "You just wrap me up in this straw, call to the lion to keep out of the way, and then throw me down.	true	119.09	127.99	22.37412
7594_101832_000010_000001	Then you'll see what will happen."	Then you'll see what will happen."	false	128.39	131.4	16.972761
7594_101832_000011_000000	So Bookoo, the big rat, wrapped Soongoora, the hare, in the straw, and then called to Simba, the lion, "Stand back; I'm going to throw this straw down, and then I'll come down myself." When Simba stepped back out of the way, Bookoo threw down the straw, and as it lay on the ground Soongoora crept out and ran away while the lion was looking up.	So Bookoo, the big rat, wrapped Soongoora, the hare, in the straw, and then called to Simba, the lion, "Stand back; I'm going to throw this straw down, and then I'll come down myself." When Simba stepped back out of the way, Bookoo threw down the straw, and as it lay on the ground Soongoora crept out and ran away while the lion was looking up.	false	131.4	153.79	20.965225
7594_101832_000012_000000	After waiting a minute or two, Simba roared out, "Well, come down, I say!" and, there being no help for it, the big rat came down.	After waiting a minute or two, Simba roared out, "Well, come down, I say!" and, there being no help for it, the big rat came down.	true	155.54	166.27	20.735767
7594_101832_000013_000000	As soon as he was within reach, the lion caught hold of him, and asked, "Who was up there with you?"	As soon as he was within reach, the lion caught hold of him, and asked, "Who was up there with you?"	true	166.85	171.85	22.000113
7594_101832_000014_000000	"Why," said Bookoo, "Soongoora, the hare.	"Why," said Bookoo, "Soongoora, the hare.	false	172.07	175.12	22.217506
7594_101832_000014_000001	Didn't you see him when I threw him down?"	Didn't you see him when I threw him down?"	true	175.4	177.46	20.694305
7594_101832_000015_000000	"Of course I didn't see him," replied the lion, in an incredulous tone, and, without wasting further time, he ate the big rat, and then searched around for the hare, but could not find him.	"Of course I didn't see him," replied the lion, in an incredulous tone, and, without wasting further time, he ate the big rat, and then searched around for the hare, but could not find him.	true	177.68	189.19	21.395887
7594_101832_000016_000000	Three days later, Soongoora called on his acquaintance, Ko'bay, the tortoise, and said to him, "Let us go and eat some honey."	Three days later, Soongoora called on his acquaintance, Ko'bay, the tortoise, and said to him, "Let us go and eat some honey."	false	190.31	198.34	21.827099
7594_101832_000017_000000	"Whose honey?" inquired Kobay, cautiously.	"Whose honey?" inquired Kobay, cautiously.	true	198.98	202.57	20.93635
7594_101832_000018_000000	"My father's," Soongoora replied.	"My father's," Soongoora replied.	false	202.91	205.54	19.839525
7594_101832_000019_000000	"Oh, all right; I'm with you," said the tortoise, eagerly; and away they went.	"Oh, all right; I'm with you," said the tortoise, eagerly; and away they went.	true	205.82	211.24	22.46932
7594_101832_000020_000000	When they arrived at the great calabash tree they climbed up with their straw, smoked out the bees, sat down, and began to eat.	When they arrived at the great calabash tree they climbed up with their straw, smoked out the bees, sat down, and began to eat.	true	211.97	220.3	25.968672
7594_101832_000021_000000	Just then Mr. Simba, who owned the honey, came out again, and, looking up, inquired, "Who are you, up there?"	Just then mr Simba, who owned the honey, came out again, and, looking up, inquired, "Who are you, up there?"	true	220.67	229.38	21.589586
7594_101832_000022_000000	Soongoora whispered to Kobay, "Keep quiet;" but when the lion repeated his question angrily, Kobay became suspicious, and said: "I will speak.	Soongoora whispered to Kobay, "Keep quiet;" but when the lion repeated his question angrily, Kobay became suspicious, and said: "I will speak.	false	229.38	240.45	22.88612
7594_101832_000022_000001	You told me this honey was yours; am I right in suspecting that it belongs to Simba?"	You told me this honey was yours; am I right in suspecting that it belongs to Simba?"	true	240.45	245.89	21.557884
