3654_171139_000001_000000	CHAPTER 7.	CHAPTER seven.
3654_171139_000002_000000	Vespasian, When He Had Taken The City Gadaea Marches To Jotapata.	Vespasian, When He Had Taken The City Gadaea Marches To Jotapata.
3654_171139_000003_000001	So Vespasian marched to the city Gadara, and took it upon the first onset, because he found it destitute of any considerable number of men grown up and fit for war.	So Vespasian marched to the city Gadara, and took it upon the first onset, because he found it destitute of any considerable number of men grown up and fit for war.
3654_171139_000004_000006	Accordingly, he wrote these things, and sent messengers immediately to carry his letter to Jerusalem.	Accordingly, he wrote these things, and sent messengers immediately to carry his letter to Jerusalem.
3654_171139_000005_000001	Now Vespasian was very desirous of demolishing Jotapata, for he had gotten intelligence that the greatest part of the enemy had retired thither, and that it was, on other accounts, a place of great security to them.	Now Vespasian was very desirous of demolishing Jotapata, for he had gotten intelligence that the greatest part of the enemy had retired thither, and that it was, on other accounts, a place of great security to them.
3654_171139_000005_000002	Accordingly, he sent both foot-men and horsemen to level the road, which was mountainous and rocky, not without difficulty to be traveled over by footmen, but absolutely impracticable for horsemen.	Accordingly, he sent both foot men and horsemen to level the road, which was mountainous and rocky, not without difficulty to be traveled over by footmen, but absolutely impracticable for horsemen.
3654_171139_000005_000003	Now these workmen accomplished what they were about in four days' time, and opened a broad way for the army.	Now these workmen accomplished what they were about in four days' time, and opened a broad way for the army.
3654_171139_000005_000005	And a certain deserter told this good news to Vespasian, that Josephus had removed himself thither, which made him make haste to the city, as supposing that with taking that he should take all Judea, in case he could but withal get Josephus under his power.	And a certain deserter told this good news to Vespasian, that Josephus had removed himself thither, which made him make haste to the city, as supposing that with taking that he should take all Judea, in case he could but withal get Josephus under his power.
3654_171139_000005_000006	So he took this news to be of the vastest advantage to him, and believed it to be brought about by the providence of God, that he who appeared to be the most prudent man of all their enemies, had, of his own accord, shut himself up in a place of sure custody.	So he took this news to be of the vastest advantage to him, and believed it to be brought about by the providence of God, that he who appeared to be the most prudent man of all their enemies, had, of his own accord, shut himself up in a place of sure custody.
3654_171139_000005_000007	Accordingly, he sent Placidus with a thousand horsemen, and Ebutius a decurion, a person that was of eminency both in council and in action, to encompass the city round, that Josephus might not escape away privately.	Accordingly, he sent Placidus with a thousand horsemen, and Ebutius a decurion, a person that was of eminency both in council and in action, to encompass the city round, that Josephus might not escape away privately.
3654_171139_000007_000002	But when Vespasian had set against them the archers and slingers, and the whole multitude that could throw to a great distance, he permitted them to go to work, while he himself, with the footmen, got upon an acclivity, whence the city might easily be taken.	But when Vespasian had set against them the archers and slingers, and the whole multitude that could throw to a great distance, he permitted them to go to work, while he himself, with the footmen, got upon an acclivity, whence the city might easily be taken.
3654_171139_000007_000003	Josephus was then in fear for the city, and leaped out, and all the Jewish multitude with him; these fell together upon the Romans in great numbers, and drove them away from the wall, and performed a great many glorious and bold actions.	Josephus was then in fear for the city, and leaped out, and all the Jewish multitude with him; these fell together upon the romans in great numbers, and drove them away from the wall, and performed a great many glorious and bold actions.
3654_171139_000007_000004	Yet did they suffer as much as they made the enemy suffer; for as despair of deliverance encouraged the Jews, so did a sense of shame equally encourage the Romans.	Yet did they suffer as much as they made the enemy suffer; for as despair of deliverance encouraged the Jews, so did a sense of shame equally encourage the romans.
3654_171139_000007_000005	These last had skill as well as strength; the other had only courage, which armed them, and made them fight furiously.	These last had skill as well as strength; the other had only courage, which armed them, and made them fight furiously.
3654_171139_000007_000006	And when the fight had lasted all day, it was put an end to by the coming on of the night.	And when the fight had lasted all day, it was put an end to by the coming on of the night.
3654_171139_000007_000007	They had wounded a great many of the Romans, and killed of them thirteen men; of the Jews' side seventeen were slain, and six hundred wounded.	They had wounded a great many of the romans, and killed of them thirteen men; of the Jews' side seventeen were slain, and six hundred wounded.
3654_171139_000008_000001	On the next day the Jews made another attack upon the Romans, and went out of the walls and fought a much more desperate battle with them than before.	On the next day the Jews made another attack upon the romans, and went out of the walls and fought a much more desperate battle with them than before.
3654_171139_000009_000002	It is only to be come at on the north side, where the utmost part of the city is built on the mountain, as it ends obliquely at a plain.	It is only to be come at on the north side, where the utmost part of the city is built on the mountain, as it ends obliquely at a plain.
