2638_10172_000000_000000	CHAPTER I.	CHAPTER one	true	21.12	22.15	19.171984
2638_10172_000001_000000	IN that part of the city of York which is situated on the western bank of the Ouse there is a narrow street, called Skeldergate, running nearly north and south, parallel with the course of the river.	IN that part of the city of York which is situated on the western bank of the Ouse there is a narrow street, called Skeldergate, running nearly north and south, parallel with the course of the river.	false	23.3	33.88	20.242537
2638_10172_000001_000001	The postern by which Skeldergate was formerly approached no longer exists; and the few old houses left in the street are disguised in melancholy modern costume of whitewash and cement.	The postern by which Skeldergate was formerly approached no longer exists; and the few old houses left in the street are disguised in melancholy modern costume of whitewash and cement.	true	34.49	45.04	19
2638_10172_000001_000002	Shops of the smaller and poorer order, intermixed here and there with dingy warehouses and joyless private residences of red brick, compose the present a spect of Skeldergate.	Shops of the smaller and poorer order, intermixed here and there with dingy warehouses and joyless private residences of red brick, compose the present a spect of Skeldergate.	true	45.35	55.33	17
2638_10172_000001_000003	On the river-side the houses are separated at intervals by lanes running down to the water, and disclosing lonely little plots of open ground, with the masts of sailing-barges rising beyond.	On the river side the houses are separated at intervals by lanes running down to the water, and disclosing lonely little plots of open ground, with the masts of sailing barges rising beyond.	true	56	67.3	15
2638_10172_000001_000004	At its southward extremity the street ceases on a sudden, and the broad flow of the Ouse, the trees, the meadows, the public-walk on one bank and the towing-path on the other, open to view.	At its southward extremity the street ceases on a sudden, and the broad flow of the Ouse, the trees, the meadows, the public walk on one bank and the towing path on the other, open to view.	false	67.55	79.27	22
2638_10172_000002_000000	Here, where the street ends, and on the side of it furthest from the river, a narrow little lane leads up to the paved footway surmounting the ancient Walls of York.	Here, where the street ends, and on the side of it furthest from the river, a narrow little lane leads up to the paved footway surmounting the ancient Walls of York.	true	80.12	89.08	19.889477
2638_10172_000002_000001	The one small row of buildings, which is all that the lane possesses, is composed of cheap lodging-houses, with an opposite view, at the distance of a few feet, of a portion of the massive city wall.	The one small row of buildings, which is all that the lane possesses, is composed of cheap lodging houses, with an opposite view, at the distance of a few feet, of a portion of the massive city wall.	true	89.54	100.33	19.93622
2638_10172_000002_000002	This place is called Rosemary Lane.	This place is called Rosemary Lane.	true	100.97	103.81	21.12415
2638_10172_000002_000003	Very little light enters it; very few people live in it; the floating population of Skeldergate passes it by; and visitors to the Walk on the Walls, who use it as the way up or the way down, get out of the dreary little passage as fast as they can.	Very little light enters it; very few people live in it; the floating population of Skeldergate passes it by; and visitors to the Walk on the Walls, who use it as the way up or the way down, get out of the dreary little passage as fast as they can.	true	104.48	119.5	21.16495
2638_10172_000003_000000	The door of one of the houses in this lost corner of York opened softly on the evening of the twenty-third of September, eighteen hundred and forty-six; and a solitary individual of the male sex sauntered into Skeldergate from the seclusion of Rosemary Lane.	The door of one of the houses in this lost corner of York opened softly on the evening of the twenty third of September, eighteen hundred and forty six; and a solitary individual of the male sex sauntered into Skeldergate from the seclusion of Rosemary Lane.	true	120.29	135.52	18.944748
2638_10172_000004_000000	Turning northward, this person directed his steps toward the bridge over the Ouse and the busy center of the city.	Turning northward, this person directed his steps toward the bridge over the Ouse and the busy center of the city.	false	136.1	142.27	21
2638_10172_000004_000001	He bore the external appearance of respectable poverty; he carried a gingham umbrella, preserved in an oilskin case; he picked his steps, with the neatest avoidance of all dirty places on the pavement; and he surveyed the scene around him with eyes of two different colors--a bilious brown eye on the lookout for employment, and a bilious green eye in a similar predicament.	He bore the external appearance of respectable poverty; he carried a gingham umbrella, preserved in an oilskin case; he picked his steps, with the neatest avoidance of all dirty places on the pavement; and he surveyed the scene around him with eyes of two different colors-a bilious brown eye on the lookout for employment, and a bilious green eye in a similar predicament.	true	142.76	164.05	21
2638_10172_000004_000002	In plainer terms, the stranger from Rosemary Lane was no other than--Captain Wragge.	In plainer terms, the stranger from Rosemary Lane was no other than-Captain Wragge.	true	164.6	169.75	20
