2638_10172_000002_000002	This place is called Rosemary Lane.	This place is called Rosemary Lane.
2638_10172_000002_000003	Very little light enters it; very few people live in it; the floating population of Skeldergate passes it by; and visitors to the Walk on the Walls, who use it as the way up or the way down, get out of the dreary little passage as fast as they can.	Very little light enters it; very few people live in it; the floating population of Skeldergate passes it by; and visitors to the Walk on the Walls, who use it as the way up or the way down, get out of the dreary little passage as fast as they can.
2638_10172_000004_000001	He bore the external appearance of respectable poverty; he carried a gingham umbrella, preserved in an oilskin case; he picked his steps, with the neatest avoidance of all dirty places on the pavement; and he surveyed the scene around him with eyes of two different colors--a bilious brown eye on the lookout for employment, and a bilious green eye in a similar predicament.	He bore the external appearance of respectable poverty; he carried a gingham umbrella, preserved in an oilskin case; he picked his steps, with the neatest avoidance of all dirty places on the pavement; and he surveyed the scene around him with eyes of two different colors-a bilious brown eye on the lookout for employment, and a bilious green eye in a similar predicament.
2638_10172_000004_000002	In plainer terms, the stranger from Rosemary Lane was no other than--Captain Wragge.	In plainer terms, the stranger from Rosemary Lane was no other than-Captain Wragge.
2638_10172_000005_000001	The railway mania of that famous year had attacked even the wary Wragge; had withdrawn him from his customary pursuits; and had left him prostrate in the end, like many a better man.	The railway mania of that famous year had attacked even the wary Wragge; had withdrawn him from his customary pursuits; and had left him prostrate in the end, like many a better man.
2638_10172_000005_000002	He had lost his clerical appearance--he had faded with the autumn leaves.	He had lost his clerical appearance-he had faded with the autumn leaves.
2638_10172_000005_000003	His crape hat-band had put itself in brown mourning for its own bereavement of black.	His crape hat band had put itself in brown mourning for its own bereavement of black.
2638_10172_000005_000006	He was as courteous, as persuasive, as blandly dignified as ever.	He was as courteous, as persuasive, as blandly dignified as ever.
2638_10172_000005_000008	He paced the streets of York, a man superior to clothes and circumstances--his vagabond varnish as bright on him as ever.	He paced the streets of York, a man superior to clothes and circumstances-his vagabond varnish as bright on him as ever.
2638_10172_000006_000004	After a moment's hesitation, the captain sauntered after the cabs.	After a moment's hesitation, the captain sauntered after the cabs.
2638_10172_000006_000006	Captain Wragge gleaned the human field, and on that unoccupied afternoon the York terminus was as likely a corner to look about in as any other.	Captain Wragge gleaned the human field, and on that unoccupied afternoon the York terminus was as likely a corner to look about in as any other.
2638_10172_000007_000000	He reached the platform a few minutes after the train had arrived. That entire incapability of devising administrative measures for the management of large crowds, which is one of the characteristics of Englishmen in authority, is nowhere more strikingly exemplified than at York.	He reached the platform a few minutes after the train had arrived. That entire incapability of devising administrative measures for the management of large crowds, which is one of the characteristics of Englishmen in authority, is nowhere more strikingly exemplified than at York.
2638_10172_000007_000001	Three different lines of railway assemble three passenger mobs, from morning to night, under one roof; and leave them to raise a traveler's riot, with all the assistance which the bewildered servants of the company can render to increase the confusion.	Three different lines of railway assemble three passenger mobs, from morning to night, under one roof; and leave them to raise a traveler's riot, with all the assistance which the bewildered servants of the company can render to increase the confusion.
2638_10172_000007_000002	The customary disturbance was rising to its climax as Captain Wragge approached the platform.	The customary disturbance was rising to its climax as Captain Wragge approached the platform.
2638_10172_000007_000003	Dozens of different people were trying to attain dozens of different objects, in dozens of different directions, all starting from the same common point and all equally deprived of the means of information.	Dozens of different people were trying to attain dozens of different objects, in dozens of different directions, all starting from the same common point and all equally deprived of the means of information.
2638_10172_000008_000000	Offering his assistance in this emergency, with the polite alacrity which marked his character, Captain Wragge observed the three startling words, "Fifty Pounds Reward," printed in capital letters on the bills which he assisted in recovering; and instantly secreted one of them, to be more closely examined at the first convenient opportunity.	Offering his assistance in this emergency, with the polite alacrity which marked his character, Captain Wragge observed the three startling words, "Fifty Pounds Reward," printed in capital letters on the bills which he assisted in recovering; and instantly secreted one of them, to be more closely examined at the first convenient opportunity.
2638_10172_000008_000002	When a man happens not to be possessed of fifty pence in his own pocket, if his heart is in the right place, it bounds; if his mouth is properly constituted, it waters, at the sight of another man who carries about with him a printed offer of fifty pounds sterling, addressed to his fellow-creatures.	When a man happens not to be possessed of fifty pence in his own pocket, if his heart is in the right place, it bounds; if his mouth is properly constituted, it waters, at the sight of another man who carries about with him a printed offer of fifty pounds sterling, addressed to his fellow creatures.
2638_10172_000009_000003	With his back carefully turned on the traveler, Captain Wragge now possessed his mind of the following lines:	With his back carefully turned on the traveler, Captain Wragge now possessed his mind of the following lines:
2638_10172_000010_000000	"FIFTY POUNDS REWARD.	"FIFTY POUNDS REWARD.
2638_10172_000011_000001	Age--eighteen.	Age-eighteen.
2638_10172_000011_000002	Dress--deep mourning.	Dress-deep mourning.
