2589_22581_000000_000000	But here came the voice of Mr. Heywood, calling his groom.	But here came the voice of mr Heywood, calling his groom.	false	0	6.9	21.850163
2589_22581_000000_000001	She started, glanced around her as if seeking a covert, then peered from the door, and glided noiselessly out.	She started, glanced around her as if seeking a covert, then peered from the door, and glided noiselessly out.	false	6.9	16.62	19.637552
2589_22581_000001_000000	CHAPTER VI.	CHAPTER six.	true	16.62	17.68	27.062178
2589_22581_000002_000000	PREPARATIONS.	PREPARATIONS.	true	17.99	19.24	20.12661
2589_22581_000003_000000	Great was the merriment in Raglan Castle over the discomfiture of the bumpkins, and many were the compliments Tom received in parlour, nursery, kitchen, guard-room, everywhere, on the success of his hastily-formed scheme for the chastisement of their presumption.	Great was the merriment in Raglan Castle over the discomfiture of the bumpkins, and many were the compliments Tom received in parlour, nursery, kitchen, guard room, everywhere, on the success of his hastily formed scheme for the chastisement of their presumption.	true	20.36	36.76	21.081068
2589_22581_000003_000001	The household had looked for a merry time on the occasion of the wedding, but had not expected such a full cup of delight as had been pressed out for them betwixt the self-importance of the overweening yokels and the inventive faculties of Tom Fool.	The household had looked for a merry time on the occasion of the wedding, but had not expected such a full cup of delight as had been pressed out for them betwixt the self importance of the overweening yokels and the inventive faculties of Tom Fool.	true	37.4	52.9	20.989088
2589_22581_000003_000002	All the evening, one standing in any open spot of the castle might have heard, now on the one, now on the other side, renewed bursts of merriment ripple the air; but as the still autumn night crept on, the intervals between grew longer and longer, until at length all sounds ceased, and silence took up her ancient reign, broken only by the occasional stamp of a horse or howl of a watch-dog.	All the evening, one standing in any open spot of the castle might have heard, now on the one, now on the other side, renewed bursts of merriment ripple the air; but as the still autumn night crept on, the intervals between grew longer and longer, until at length all sounds ceased, and silence took up her ancient reign, broken only by the occasional stamp of a horse or howl of a watch dog.	false	53.81	83.35	20.571068
2589_22581_000004_000000	But the earl, who, from simplicity of nature and peace of conscience combined, was perhaps better fitted for the enjoyment of the joke, in a time when such ludifications were not yet considered unsuitable to the dignity of the highest position, than any other member of his household, had, through it all, showed a countenance in which, although eyes, lips, and voice shared in the laughter, there yet lurked a thoughtful doubt concerning the result.	But the earl, who, from simplicity of nature and peace of conscience combined, was perhaps better fitted for the enjoyment of the joke, in a time when such ludifications were not yet considered unsuitable to the dignity of the highest position, than any other member of his household, had, through it all, showed a countenance in which, although eyes, lips, and voice shared in the laughter, there yet lurked a thoughtful doubt concerning the result.	false	84.35	114.07	21.156961
2589_22581_000004_000001	For he knew that, in some shape or other, and that certainly not the true one, the affair would be spread over the country, where now prejudice against the Catholics was strong and dangerous in proportion to the unreason of those who cherished it.	For he knew that, in some shape or other, and that certainly not the true one, the affair would be spread over the country, where now prejudice against the Catholics was strong and dangerous in proportion to the unreason of those who cherished it.	true	114.65	129.58	21.985062
2589_22581_000004_000002	Now, also, it was becoming pretty plain that except the king yielded every prerogative, and became the puppet which the mingled pride and apprehension of the Parliament would have him, their differences must ere long be referred to the arbitration of the sword, in which case there was no shadow of doubt in the mind of the earl as to the part befitting a peer of the realm.	Now, also, it was becoming pretty plain that except the king yielded every prerogative, and became the puppet which the mingled pride and apprehension of the Parliament would have him, their differences must ere long be referred to the arbitration of the sword, in which case there was no shadow of doubt in the mind of the earl as to the part befitting a peer of the realm.	true	130.34	153.43	21.681114
2589_22581_000004_000003	The king was a protestant, but no less the king; and not this man, but his parents, had sinned in forsaking the church--of which sin their offspring had now to bear the penalty, reaping the whirlwind sprung from the stormy seeds by them sown.	The king was a protestant, but no less the king; and not this man, but his parents, had sinned in forsaking the church-of which sin their offspring had now to bear the penalty, reaping the whirlwind sprung from the stormy seeds by them sown.	true	153.8	170.47	20.931993
2589_22581_000004_000004	For what were the puritans but the lawfully-begotten children of the so called reformation, whose spirit they inherited, and in whose footsteps they so closely followed?	For what were the puritans but the lawfully begotten children of the so called reformation, whose spirit they inherited, and in whose footsteps they so closely followed?	true	171.23	181.66	22
