2589_22581_000001_000000	CHAPTER VI.	CHAPTER six.
2589_22581_000003_000000	Great was the merriment in Raglan Castle over the discomfiture of the bumpkins, and many were the compliments Tom received in parlour, nursery, kitchen, guard-room, everywhere, on the success of his hastily-formed scheme for the chastisement of their presumption.	Great was the merriment in Raglan Castle over the discomfiture of the bumpkins, and many were the compliments Tom received in parlour, nursery, kitchen, guard room, everywhere, on the success of his hastily formed scheme for the chastisement of their presumption.
2589_22581_000003_000001	The household had looked for a merry time on the occasion of the wedding, but had not expected such a full cup of delight as had been pressed out for them betwixt the self-importance of the overweening yokels and the inventive faculties of Tom Fool.	The household had looked for a merry time on the occasion of the wedding, but had not expected such a full cup of delight as had been pressed out for them betwixt the self importance of the overweening yokels and the inventive faculties of Tom Fool.
2589_22581_000004_000001	For he knew that, in some shape or other, and that certainly not the true one, the affair would be spread over the country, where now prejudice against the Catholics was strong and dangerous in proportion to the unreason of those who cherished it.	For he knew that, in some shape or other, and that certainly not the true one, the affair would be spread over the country, where now prejudice against the Catholics was strong and dangerous in proportion to the unreason of those who cherished it.
2589_22581_000004_000002	Now, also, it was becoming pretty plain that except the king yielded every prerogative, and became the puppet which the mingled pride and apprehension of the Parliament would have him, their differences must ere long be referred to the arbitration of the sword, in which case there was no shadow of doubt in the mind of the earl as to the part befitting a peer of the realm.	Now, also, it was becoming pretty plain that except the king yielded every prerogative, and became the puppet which the mingled pride and apprehension of the Parliament would have him, their differences must ere long be referred to the arbitration of the sword, in which case there was no shadow of doubt in the mind of the earl as to the part befitting a peer of the realm.
2589_22581_000004_000003	The king was a protestant, but no less the king; and not this man, but his parents, had sinned in forsaking the church--of which sin their offspring had now to bear the penalty, reaping the whirlwind sprung from the stormy seeds by them sown.	The king was a protestant, but no less the king; and not this man, but his parents, had sinned in forsaking the church-of which sin their offspring had now to bear the penalty, reaping the whirlwind sprung from the stormy seeds by them sown.
2589_22581_000004_000004	For what were the puritans but the lawfully-begotten children of the so called reformation, whose spirit they inherited, and in whose footsteps they so closely followed?	For what were the puritans but the lawfully begotten children of the so called reformation, whose spirit they inherited, and in whose footsteps they so closely followed?
2589_22581_000004_000005	In the midst of such reflections, dawned slowly in the mind of the devout old man the enchanting hope that perhaps he might be made the messenger of God to lead back to the true fold the wandering feet of his king.	In the midst of such reflections, dawned slowly in the mind of the devout old man the enchanting hope that perhaps he might be made the messenger of God to lead back to the true fold the wandering feet of his king.
2589_22581_000004_000006	But, fail or speed in any result, so long as his castle held together, it should stand for the king.	But, fail or speed in any result, so long as his castle held together, it should stand for the king.
2589_22581_000004_000007	Faithful catholic as he was, the brave old man was English to the backbone.	Faithful catholic as he was, the brave old man was English to the backbone.
2589_22581_000005_000001	This visit of search, let it have originated how it might, and be as despicable in itself as it was ludicrous in its result, showed but too clearly how strong the current of popular feeling was setting against all the mounds of social distinction, and not kingly prerogative alone.	This visit of search, let it have originated how it might, and be as despicable in itself as it was ludicrous in its result, showed but too clearly how strong the current of popular feeling was setting against all the mounds of social distinction, and not kingly prerogative alone.
2589_22581_000005_000002	What preparations might be needful, must be prudent.	What preparations might be needful, must be prudent.
2589_22581_000006_000001	At length one of them, whom the others called Caspar, retired, and the earl was left with his son Edward, lord Herbert, the only person in the castle who had gone to neither window nor door to delight himself with the discomfiture of the parliamentary commissioners.	At length one of them, whom the others called Caspar, retired, and the earl was left with his son Edward, lord Herbert, the only person in the castle who had gone to neither window nor door to delight himself with the discomfiture of the parliamentary commissioners.
2589_22581_000007_000000	They entered the long picture gallery, faintly lighted from its large windows to the court, but chiefly from the oriel which formed the northern end of it, where they now sat down, the earl being, for the second time that night, weary.	They entered the long picture gallery, faintly lighted from its large windows to the court, but chiefly from the oriel which formed the northern end of it, where they now sat down, the earl being, for the second time that night, weary.
2589_22581_000007_000001	Behind them was a long dim line of portraits, broken only by the great chimney-piece supported by human figures, all of carved stone, and before them, nearly as dim, was the moon-massed landscape--a lovely view of the woodland, pasture, and red tilth to the northward of the castle.	Behind them was a long dim line of portraits, broken only by the great chimney piece supported by human figures, all of carved stone, and before them, nearly as dim, was the moon massed landscape-a lovely view of the woodland, pasture, and red tilth to the northward of the castle.
2589_22581_000008_000000	They sat silent for a while, and the younger said:	They sat silent for a while, and the younger said:
2589_22581_000009_000000	'I fear you are fatigued, my lord.	'I fear you are fatigued, my lord.
2589_22581_000009_000001	It is late for you to be out of bed; nature is mortal.'	It is late for you to be out of bed; nature is mortal.'
