4257_6397_000009_000000	At that time Nostromo had been already long enough in the country to raise to the highest pitch Captain Mitchell's opinion of the extraordinary value of his discovery.	At that time Nostromo had been already long enough in the country to raise to the highest pitch Captain Mitchell's opinion of the extraordinary value of his discovery.
4257_6397_000009_000001	Clearly he was one of those invaluable subordinates whom to possess is a legitimate cause of boasting.	Clearly he was one of those invaluable subordinates whom to possess is a legitimate cause of boasting.
4257_6397_000010_000001	Not that Dr. Monygham was a prodigal either of laughter or of words.	Not that dr Monygham was a prodigal either of laughter or of words.
4257_6397_000010_000002	He was bitterly taciturn when at his best.	He was bitterly taciturn when at his best.
4257_6397_000010_000003	At his worst people feared the open scornfulness of his tongue.	At his worst people feared the open scornfulness of his tongue.
4257_6397_000010_000004	Only Mrs. Gould could keep his unbelief in men's motives within due bounds; but even to her (on an occasion not connected with Nostromo, and in a tone which for him was gentle), even to her, he had said once, "Really, it is most unreasonable to demand that a man should think of other people so much better than he is able to think of himself."	Only mrs Gould could keep his unbelief in men's motives within due bounds; but even to her (on an occasion not connected with Nostromo, and in a tone which for him was gentle), even to her, he had said once, "Really, it is most unreasonable to demand that a man should think of other people so much better than he is able to think of himself."
4257_6397_000011_000000	And Mrs. Gould had hastened to drop the subject.	And mrs Gould had hastened to drop the subject.
4257_6397_000011_000001	There were strange rumours of the English doctor.	There were strange rumours of the English doctor.
4257_6397_000011_000002	Years ago, in the time of Guzman Bento, he had been mixed up, it was whispered, in a conspiracy which was betrayed and, as people expressed it, drowned in blood.	Years ago, in the time of Guzman Bento, he had been mixed up, it was whispered, in a conspiracy which was betrayed and, as people expressed it, drowned in blood.
4257_6397_000011_000003	His hair had turned grey, his hairless, seamed face was of a brick-dust colour; the large check pattern of his flannel shirt and his old stained Panama hat were an established defiance to the conventionalities of Sulaco.	His hair had turned grey, his hairless, seamed face was of a brick dust colour; the large check pattern of his flannel shirt and his old stained Panama hat were an established defiance to the conventionalities of Sulaco.
4257_6397_000011_000004	Had it not been for the immaculate cleanliness of his apparel he might have been taken for one of those shiftless Europeans that are a moral eyesore to the respectability of a foreign colony in almost every exotic part of the world.	Had it not been for the immaculate cleanliness of his apparel he might have been taken for one of those shiftless Europeans that are a moral eyesore to the respectability of a foreign colony in almost every exotic part of the world.
