3118_5912_000000_000000	BOOK I. OF THE UNDERSTANDING	BOOK i OF THE UNDERSTANDING	false	14.58	17.38	21.075766
3118_5912_000001_000000	PART I. OF IDEAS, THEIR ORIGIN, COMPOSITION, CONNEXION, ABSTRACTION, ETC.	PART one OF IDEAS, THEIR ORIGIN, COMPOSITION, CONNEXION, ABSTRACTION, etc	true	18.08	26.85	20.571962
3118_5912_000002_000000	SECT.	SECT.	false	26.85	28.02	100
3118_5912_000002_000001	I. OF THE ORIGIN OF OUR IDEAS.	I. OF THE ORIGIN OF OUR IDEAS.	false	28.02	31.51	19.405378
3118_5912_000003_000000	All the perceptions of the human mind resolve themselves into two distinct kinds, which I shall call IMPRESSIONS and IDEAS.	All the perceptions of the human mind resolve themselves into two distinct kinds, which I shall call IMPRESSIONS and IDEAS.	true	33.11	43.63	20.439861
3118_5912_000003_000001	The difference betwixt these consists in the degrees of force and liveliness, with which they strike upon the mind, and make their way into our thought or consciousness.	The difference betwixt these consists in the degrees of force and liveliness, with which they strike upon the mind, and make their way into our thought or consciousness.	true	44.72	55.63	20
3118_5912_000003_000002	Those perceptions, which enter with most force and violence, we may name impressions: and under this name I comprehend all our sensations, passions and emotions, as they make their first appearance in the soul.	Those perceptions, which enter with most force and violence, we may name impressions: and under this name I comprehend all our sensations, passions and emotions, as they make their first appearance in the soul.	true	56.54	72.7	22.96945
3118_5912_000003_000003	By ideas I mean the faint images of these in thinking and reasoning; such as, for instance, are all the perceptions excited by the present discourse, excepting only those which arise from the sight and touch, and excepting the immediate pleasure or uneasiness it may occasion.	By ideas I mean the faint images of these in thinking and reasoning; such as, for instance, are all the perceptions excited by the present discourse, excepting only those which arise from the sight and touch, and excepting the immediate pleasure or uneasiness it may occasion.	true	74.03	95.2	20.188942
3118_5912_000003_000004	I believe it will not be very necessary to employ many words in explaining this distinction.	I believe it will not be very necessary to employ many words in explaining this distinction.	true	96.32	102.67	16
3118_5912_000003_000005	Every one of himself will readily perceive the difference betwixt feeling and thinking.	Every one of himself will readily perceive the difference betwixt feeling and thinking.	true	103.46	109.57	21.545706
3118_5912_000003_000006	The common degrees of these are easily distinguished; though it is not impossible but in particular instances they may very nearly approach to each other.	The common degrees of these are easily distinguished; though it is not impossible but in particular instances they may very nearly approach to each other.	true	110.48	122.8	18.878656
3118_5912_000003_000007	Thus in sleep, in a fever, in madness, or in any very violent emotions of soul, our ideas may approach to our impressions, As on the other hand it sometimes happens, that our impressions are so faint and low, that we cannot distinguish them from our ideas.	Thus in sleep, in a fever, in madness, or in any very violent emotions of soul, our ideas may approach to our impressions, As on the other hand it sometimes happens, that our impressions are so faint and low, that we cannot distinguish them from our ideas.	true	122.81	144.04	20.25627
3118_5912_000003_000008	But notwithstanding this near resemblance in a few instances, they are in general so very different, that no-one can make a scruple to rank them under distinct heads, and assign to each a peculiar name to mark the difference [Footnote 1.].	But notwithstanding this near resemblance in a few instances, they are in general so very different, that no one can make a scruple to rank them under distinct heads, and assign to each a peculiar name to mark the difference [Footnote one.].	true	144.65	165.12	20.566387
3118_5912_000004_000000	[Footnote 1.	[Footnote one.	false	165.12	165.96	-4
3118_5912_000004_000001	I here make use of these terms, impression and idea, in a sense different from what is usual, and I hope this liberty will be allowed me.	I here make use of these terms, impression and idea, in a sense different from what is usual, and I hope this liberty will be allowed me.	true	165.96	176.92	20.729649
3118_5912_000004_000002	Perhaps I rather restore the word, idea, to its original sense, from which Mr LOCKE had perverted it, in making it stand for all our perceptions.	Perhaps I rather restore the word, idea, to its original sense, from which Mr LOCKE had perverted it, in making it stand for all our perceptions.	true	177.47	188.83	22
3118_5912_000004_000003	By the terms of impression I would not be understood to express the manner, in which our lively perceptions are produced in the soul, but merely the perceptions themselves; for which there is no particular name either in the English or any other language, that I know of.]	By the terms of impression I would not be understood to express the manner, in which our lively perceptions are produced in the soul, but merely the perceptions themselves; for which there is no particular name either in the English or any other language, that I know of.]	false	189.41	213.39	19.765444
3118_5912_000005_000000	There is another division of our perceptions, which it will be convenient to observe, and which extends itself both to our impressions and ideas.	There is another division of our perceptions, which it will be convenient to observe, and which extends itself both to our impressions and ideas.	true	213.39	222.79	15
3118_5912_000005_000001	This division is into SIMPLE and COMPLEX.	This division is into SIMPLE and COMPLEX.	true	223.4	227.17	24.79934
3118_5912_000005_000002	Simple perceptions or impressions and ideas are such as admit of no distinction nor separation.	Simple perceptions or impressions and ideas are such as admit of no distinction nor separation.	true	227.78	236.38	19
3118_5912_000005_000003	The complex are the contrary to these, and may be distinguished into parts.	The complex are the contrary to these, and may be distinguished into parts.	true	236.93	242.35	19.952883
3118_5912_000005_000004	Though a particular colour, taste, and smell, are qualities all united together in this apple, it is easy to perceive they are not the same, but are at least distinguishable from each other.	Though a particular colour, taste, and smell, are qualities all united together in this apple, it is easy to perceive they are not the same, but are at least distinguishable from each other.	true	242.93	257.86	22.055897
3118_5912_000006_000000	Having by these divisions given an order and arrangement to our objects, we may now apply ourselves to consider with the more accuracy their qualities and relations.	Having by these divisions given an order and arrangement to our objects, we may now apply ourselves to consider with the more accuracy their qualities and relations.	true	259.49	272.11	19
3118_5912_000006_000001	The first circumstance, that strikes my eye, is the great resemblance betwixt our impressions and ideas in every other particular, except their degree of force and vivacity.	The first circumstance, that strikes my eye, is the great resemblance betwixt our impressions and ideas in every other particular, except their degree of force and vivacity.	true	272.9	286.24	19
3118_5912_000006_000002	The one seem to be in a manner the reflexion of the other; so that all the perceptions of the mind are double, and appear both as impressions and ideas.	The one seem to be in a manner the reflexion of the other; so that all the perceptions of the mind are double, and appear both as impressions and ideas.	true	287.18	299.83	21.419975
3118_5912_000006_000003	When I shut my eyes and think of my chamber, the ideas I form are exact representations of the impressions I felt; nor is there any circumstance of the one, which is not to be found in the other.	When I shut my eyes and think of my chamber, the ideas I form are exact representations of the impressions I felt; nor is there any circumstance of the one, which is not to be found in the other.	true	300.71	315.85	20
3118_5912_000006_000004	In running over my other perceptions, I find still the same resemblance and representation. Ideas and impressions appear always to correspond to each other.	In running over my other perceptions, I find still the same resemblance and representation. Ideas and impressions appear always to correspond to each other.	true	316.67	329.98	20.673815
3118_5912_000006_000005	This circumstance seems to me remarkable, and engages my attention for a moment.	This circumstance seems to me remarkable, and engages my attention for a moment.	true	330.83	337.15	22.084133
