3118_5912_000001_000000	PART I. OF IDEAS, THEIR ORIGIN, COMPOSITION, CONNEXION, ABSTRACTION, ETC.	PART one OF IDEAS, THEIR ORIGIN, COMPOSITION, CONNEXION, ABSTRACTION, etc
3118_5912_000003_000000	All the perceptions of the human mind resolve themselves into two distinct kinds, which I shall call IMPRESSIONS and IDEAS.	All the perceptions of the human mind resolve themselves into two distinct kinds, which I shall call IMPRESSIONS and IDEAS.
3118_5912_000003_000001	The difference betwixt these consists in the degrees of force and liveliness, with which they strike upon the mind, and make their way into our thought or consciousness.	The difference betwixt these consists in the degrees of force and liveliness, with which they strike upon the mind, and make their way into our thought or consciousness.
3118_5912_000003_000002	Those perceptions, which enter with most force and violence, we may name impressions: and under this name I comprehend all our sensations, passions and emotions, as they make their first appearance in the soul.	Those perceptions, which enter with most force and violence, we may name impressions: and under this name I comprehend all our sensations, passions and emotions, as they make their first appearance in the soul.
3118_5912_000003_000003	By ideas I mean the faint images of these in thinking and reasoning; such as, for instance, are all the perceptions excited by the present discourse, excepting only those which arise from the sight and touch, and excepting the immediate pleasure or uneasiness it may occasion.	By ideas I mean the faint images of these in thinking and reasoning; such as, for instance, are all the perceptions excited by the present discourse, excepting only those which arise from the sight and touch, and excepting the immediate pleasure or uneasiness it may occasion.
3118_5912_000003_000005	Every one of himself will readily perceive the difference betwixt feeling and thinking.	Every one of himself will readily perceive the difference betwixt feeling and thinking.
3118_5912_000003_000007	Thus in sleep, in a fever, in madness, or in any very violent emotions of soul, our ideas may approach to our impressions, As on the other hand it sometimes happens, that our impressions are so faint and low, that we cannot distinguish them from our ideas.	Thus in sleep, in a fever, in madness, or in any very violent emotions of soul, our ideas may approach to our impressions, As on the other hand it sometimes happens, that our impressions are so faint and low, that we cannot distinguish them from our ideas.
3118_5912_000003_000008	But notwithstanding this near resemblance in a few instances, they are in general so very different, that no-one can make a scruple to rank them under distinct heads, and assign to each a peculiar name to mark the difference [Footnote 1.].	But notwithstanding this near resemblance in a few instances, they are in general so very different, that no one can make a scruple to rank them under distinct heads, and assign to each a peculiar name to mark the difference [Footnote one.].
3118_5912_000004_000001	I here make use of these terms, impression and idea, in a sense different from what is usual, and I hope this liberty will be allowed me.	I here make use of these terms, impression and idea, in a sense different from what is usual, and I hope this liberty will be allowed me.
3118_5912_000004_000002	Perhaps I rather restore the word, idea, to its original sense, from which Mr LOCKE had perverted it, in making it stand for all our perceptions.	Perhaps I rather restore the word, idea, to its original sense, from which Mr LOCKE had perverted it, in making it stand for all our perceptions.
3118_5912_000005_000001	This division is into SIMPLE and COMPLEX.	This division is into SIMPLE and COMPLEX.
3118_5912_000005_000004	Though a particular colour, taste, and smell, are qualities all united together in this apple, it is easy to perceive they are not the same, but are at least distinguishable from each other.	Though a particular colour, taste, and smell, are qualities all united together in this apple, it is easy to perceive they are not the same, but are at least distinguishable from each other.
3118_5912_000006_000002	The one seem to be in a manner the reflexion of the other; so that all the perceptions of the mind are double, and appear both as impressions and ideas.	The one seem to be in a manner the reflexion of the other; so that all the perceptions of the mind are double, and appear both as impressions and ideas.
3118_5912_000006_000003	When I shut my eyes and think of my chamber, the ideas I form are exact representations of the impressions I felt; nor is there any circumstance of the one, which is not to be found in the other.	When I shut my eyes and think of my chamber, the ideas I form are exact representations of the impressions I felt; nor is there any circumstance of the one, which is not to be found in the other.
3118_5912_000006_000004	In running over my other perceptions, I find still the same resemblance and representation. Ideas and impressions appear always to correspond to each other.	In running over my other perceptions, I find still the same resemblance and representation. Ideas and impressions appear always to correspond to each other.
3118_5912_000006_000005	This circumstance seems to me remarkable, and engages my attention for a moment.	This circumstance seems to me remarkable, and engages my attention for a moment.
3118_5912_000007_000000	Upon a more accurate survey I find I have been carried away too far by the first appearance, and that I must make use of the distinction of perceptions into simple and complex, to limit this general decision, that all our ideas and impressions are resembling.	Upon a more accurate survey I find I have been carried away too far by the first appearance, and that I must make use of the distinction of perceptions into simple and complex, to limit this general decision, that all our ideas and impressions are resembling.
3118_5912_000008_000001	We may next consider how the case stands with our simple, perceptions.	We may next consider how the case stands with our simple, perceptions.
3118_5912_000008_000002	After the most accurate examination, of which I am capable, I venture to affirm, that the rule here holds without any exception, and that every simple idea has a simple impression, which resembles it, and every simple impression a correspondent idea.	After the most accurate examination, of which I am capable, I venture to affirm, that the rule here holds without any exception, and that every simple idea has a simple impression, which resembles it, and every simple impression a correspondent idea.
3118_5912_000008_000004	That the case is the same with all our simple impressions and ideas, it is impossible to prove by a particular enumeration of them.	That the case is the same with all our simple impressions and ideas, it is impossible to prove by a particular enumeration of them.
3118_5912_000010_000000	The full examination of this question is the subject of the present treatise; and therefore we shall here content ourselves with establishing one general proposition, THAT ALL OUR SIMPLE IDEAS IN THEIR FIRST APPEARANCE ARE DERIVED FROM SIMPLE IMPRESSIONS, WHICH ARE CORRESPONDENT TO THEM, AND WHICH THEY EXACTLY REPRESENT.	The full examination of this question is the subject of the present treatise; and therefore we shall here content ourselves with establishing one general proposition, THAT ALL OUR SIMPLE IDEAS IN THEIR FIRST APPEARANCE ARE DERIVED FROM SIMPLE IMPRESSIONS, WHICH ARE CORRESPONDENT TO THEM, AND WHICH THEY EXACTLY REPRESENT.
3118_5912_000011_000000	In seeking for phenomena to prove this proposition, I find only those of two kinds; but in each kind the phenomena are obvious, numerous, and conclusive.	In seeking for phenomena to prove this proposition, I find only those of two kinds; but in each kind the phenomena are obvious, numerous, and conclusive.
3118_5912_000011_000001	I first make myself certain, by a new, review, of what I have already asserted, that every simple impression is attended with a correspondent idea, and every simple idea with a correspondent impression.	I first make myself certain, by a new, review, of what I have already asserted, that every simple impression is attended with a correspondent idea, and every simple idea with a correspondent impression.
3118_5912_000011_000003	Such a constant conjunction, in such an infinite number of instances, can never arise from chance; but clearly proves a dependence of the impressions on the ideas, or of the ideas on the impressions.	Such a constant conjunction, in such an infinite number of instances, can never arise from chance; but clearly proves a dependence of the impressions on the ideas, or of the ideas on the impressions.
3118_5912_000011_000004	That I may know on which side this dependence lies, I consider the order of their first appearance; and find by constant experience, that the simple impressions always take the precedence of their correspondent ideas, but never appear in the contrary order.	That I may know on which side this dependence lies, I consider the order of their first appearance; and find by constant experience, that the simple impressions always take the precedence of their correspondent ideas, but never appear in the contrary order.
3118_5912_000011_000005	To give a child an idea of scarlet or orange, of sweet or bitter, I present the objects, or in other words, convey to him these impressions; but proceed not so absurdly, as to endeavour to produce the impressions by exciting the ideas.	To give a child an idea of scarlet or orange, of sweet or bitter, I present the objects, or in other words, convey to him these impressions; but proceed not so absurdly, as to endeavour to produce the impressions by exciting the ideas.
3118_5912_000011_000006	Our ideas upon their appearance produce not their correspondent impressions, nor do we perceive any colour, or feel any sensation merely upon thinking of them.	Our ideas upon their appearance produce not their correspondent impressions, nor do we perceive any colour, or feel any sensation merely upon thinking of them.
3118_5912_000012_000000	To confirm this I consider Another plain and convincing phaenomenon; which is, that, where-ever by any accident the faculties, which give rise to any impressions, are obstructed in their operations, as when one is born blind or deaf; not only the impressions are lost, but also their correspondent ideas; so that there never appear in the mind the least traces of either of them.	To confirm this I consider Another plain and convincing phaenomenon; which is, that, where ever by any accident the faculties, which give rise to any impressions, are obstructed in their operations, as when one is born blind or deaf; not only the impressions are lost, but also their correspondent ideas; so that there never appear in the mind the least traces of either of them.
3118_5912_000012_000002	We cannot form to ourselves a just idea of the taste of a pine apple, without having actually tasted it.	We cannot form to ourselves a just idea of the taste of a pine apple, without having actually tasted it.
3118_5912_000013_000002	Now if this be true of different colours, it must be no less so of the different shades of the same colour, that each of them produces a distinct idea, independent of the rest.	Now if this be true of different colours, it must be no less so of the different shades of the same colour, that each of them produces a distinct idea, independent of the rest.
3118_5912_000013_000003	For if this should be denied, it is possible, by the continual gradation of shades, to run a colour insensibly into what is most remote from it; and if you will not allow any of the means to be different, you cannot without absurdity deny the extremes to be the same.	For if this should be denied, it is possible, by the continual gradation of shades, to run a colour insensibly into what is most remote from it; and if you will not allow any of the means to be different, you cannot without absurdity deny the extremes to be the same.
3118_5912_000013_000004	Suppose therefore a person to have enjoyed his sight for thirty years, and to have become perfectly well acquainted with colours of all kinds, excepting one particular shade of blue, for instance, which it never has been his fortune to meet with.	Suppose therefore a person to have enjoyed his sight for thirty years, and to have become perfectly well acquainted with colours of all kinds, excepting one particular shade of blue, for instance, which it never has been his fortune to meet with.
